benchmark,dataset,train_size,seed,method,subset,n_train,n_test,n_eval,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
pdebench_burgers,PDEBench Burgers ShockJump,200,0,xgb_bootstrap,all,200,400,400,0.8156882406523773,0.34464481472969055,1.8720845999996527,0.935,1.774100471159132,0.9425,2.1139710983717976
pdebench_burgers,PDEBench Burgers ShockJump,200,0,xgb_bootstrap,near_threshold,200,400,106,1.1509327056125738,0.5997802019119263,1.8720845999996527,0.839622641509434,2.242650014977291,0.8679245283018868,2.6722823157402953
pdebench_burgers,PDEBench Burgers ShockJump,200,0,xgb_bootstrap,far_from_threshold,200,400,294,0.6539426126121678,0.2526572048664093,1.8720845999996527,0.9693877551020408,1.6051676424355774,0.9693877551020408,1.9126752172797545
pdebench_burgers,PDEBench Burgers ShockJump,200,0,dkl_svgp,all,200,400,400,0.9857010245323181,0.45282864570617676,0.9924826999995275,0.745,1.2060863279710978,0.77,1.4371405007329907
pdebench_burgers,PDEBench Burgers ShockJump,200,0,dkl_svgp,near_threshold,200,400,106,1.5205949544906616,0.9026670455932617,0.9924826999995275,0.5094339622641509,1.3299112013841636,0.5188679245283019,1.5846869378768471
pdebench_burgers,PDEBench Burgers ShockJump,200,0,dkl_svgp,far_from_threshold,200,400,294,0.6987560987472534,0.29064199328422546,0.9924826999995275,0.8299319727891157,1.1614419858561829,0.8605442176870748,1.3839434859804438
pdebench_burgers,PDEBench Burgers ShockJump,200,0,lmjgp_predict_vi,all,200,400,400,0.9301550388336182,0.3620122969150543,596.006409200003,0.805,1.0339510735862205,0.8475,1.2320286941041614
pdebench_burgers,PDEBench Burgers ShockJump,200,0,lmjgp_predict_vi,near_threshold,200,400,106,1.3782565593719482,0.7782908082008362,596.006409200003,0.6320754716981132,2.128610731562805,0.7075471698113207,2.5363961282687684
pdebench_burgers,PDEBench Burgers ShockJump,200,0,lmjgp_predict_vi,far_from_threshold,200,400,294,0.701598584651947,0.21192550659179688,596.006409200003,0.8673469387755102,0.6392778635674518,0.8979591836734694,0.7617465579767856
pdebench_burgers,PDEBench Burgers ShockJump,200,1,xgb_bootstrap,all,200,400,400,0.8655107916846582,0.41710853576660156,0.7536533999955282,0.895,2.071220577764181,0.9275,2.468011542145448
