setting,seed,method,N_train,N_test,Q,D,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,predict_sec,m_u,m_v,steps1,steps2,y_standardized,W_mean_norm_mean,W_mean_anchor_frob_std,W_var_mean,lr
l2_q2_train1000,0,deep_mahalanobis_gp,1000,200,2,20,2.222146609991255,1.2641299027351713,166.40552819999996,0.765,5.157497663979128,0.84,6.145537515385727,165.38429879999998,1.0212293999999815,50,25,300,700,True,0.11253042411149132,0.24487183985164224,0.0193850221567442,0.01
lh_q5_train1000,0,deep_mahalanobis_gp,1000,200,5,30,617.8897002962182,303.05324161125367,445.2625151,0.765,677.662247114454,0.78,807.4843720218742,443.4731790999999,1.7893360000000484,50,25,300,700,True,0.3728551211968803,0.20527060432779398,0.002838691682138468,0.01
l2_q2_train1000,1,deep_mahalanobis_gp,1000,200,2,20,2.234905630495794,1.2220321434613692,212.38974810000002,0.765,5.084227282273661,0.825,6.058230470598785,211.5150480000001,0.8747000999999273,50,25,300,700,True,0.12150633489044799,0.19089644353019716,0.01777673642767661,0.01
lh_q5_train1000,1,deep_mahalanobis_gp,1000,200,5,30,558.2626456659696,225.21229993718597,503.5757873000001,0.81,192.57697097663402,0.83,229.46961430578017,501.81317780000006,1.7626095000000532,50,25,300,700,True,0.11501959128209484,0.23086243860784805,0.002360247042556882,0.01
l2_q2_train1000,2,deep_mahalanobis_gp,1000,200,2,20,2.3493752773522343,1.3154949242087453,203.9319284999999,0.74,5.253818237390646,0.82,6.260310557657403,203.00229999999988,0.9296285000000353,50,25,300,700,True,0.12210674381591417,0.22217187598942914,0.018672738997829882,0.01
lh_q5_train1000,2,deep_mahalanobis_gp,1000,200,5,30,506.24005895574726,193.93136191291404,737.0168974000001,0.785,184.4170240831251,0.79,219.7464378692979,734.5656111999999,2.4512862000001405,50,25,300,700,True,0.0900748831057367,0.21481599919507555,0.0026858204302247445,0.01
l2_q2_train1000,3,deep_mahalanobis_gp,1000,200,2,20,2.304202528932308,1.300945017861133,353.1404054999998,0.735,5.171501746343156,0.845,6.162224408748329,351.67933059999996,1.4610748999998577,50,25,300,700,True,0.127450927726839,0.20640746542688704,0.017083032856615627,0.01
lh_q5_train1000,3,deep_mahalanobis_gp,1000,200,5,30,502.6113599282569,237.08367004369393,689.1291719000001,0.79,678.196153280965,0.815,808.1205604585468,685.5977169000003,3.5314549999998235,50,25,300,700,True,0.38598818321438055,0.3424884298999153,0.00280915525123521,0.01
l2_q2_train1000,4,deep_mahalanobis_gp,1000,200,2,20,2.531341943490513,1.4154078819205966,355.62994810000055,0.725,5.38808205154463,0.805,6.420295759900904,354.33280730000024,1.2971408000003066,50,25,300,700,True,0.1452598401872579,0.2493035918844087,0.015969371121440055,0.01
lh_q5_train1000,4,deep_mahalanobis_gp,1000,200,5,30,383.12415609615704,123.98255403927865,781.1824451999996,0.865,307.38377203573094,0.88,366.27035545934154,779.2006729999998,1.9817721999997957,50,25,300,700,True,0.11245559719339272,0.20516023793532884,0.003446805763983041,0.01
