setting,family,expansion,caseno,seed,method,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n,standardize_x,noise_std,noise_var,lengthscale,kernel_var,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,status,row_normalize_w,standardize_y_for_dmgp_training,w_test_anchor_frob_std,w_train_anchor_frob_std,z_norm_mean,z_norm_std
l2_q2_train1000,L2_phantom,rff,6,0,dmgp_global_z_mean_jgp,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.308138033502474,1.3157867193222046,15.28658670000732,0.8,5.8993587594450165,0.89,7.029519533493572,ok,False,True,0.24487183985164226,0.2497209317713648,1.0255873197595595,1.2673686529871726
lh_q5_train1000,LH,rff,0,0,dmgp_global_z_mean_jgp,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,737.6743206469955,350.8583068847656,45.521893800003454,0.51,18.86526877677262,0.515,22.479354244834095,ok,False,True,0.20527060432779398,0.3320283169300565,0.9522307617287806,0.8382377957344269
l2_q2_train1000,L2_phantom,rff,6,1,dmgp_global_z_mean_jgp,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.2534504377117255,1.2114582061767578,16.297495000006165,0.825,5.716954066773199,0.87,6.812170936396545,ok,False,True,0.19089644353019716,0.18946515288291416,0.9085912171609926,1.1013081592734262
lh_q5_train1000,LH,rff,0,1,dmgp_global_z_mean_jgp,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,582.8963070217927,236.62159729003906,37.314286899985746,0.075,24.92546458551228,0.18,29.70052294323328,ok,False,True,0.23086243860784805,0.18086527892026272,0.31704856879217436,0.5170281977502114
l2_q2_train1000,L2_phantom,rff,6,2,dmgp_global_z_mean_jgp,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.4417614918904804,1.3713587522506714,16.57416799996281,0.76,5.601829411037005,0.85,6.674991448034588,ok,False,True,0.22217187598942914,0.20846002687255655,0.9127760384307937,1.1364521284211009
lh_q5_train1000,LH,rff,0,2,dmgp_global_z_mean_jgp,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,535.478695527308,218.9659423828125,34.54373060003854,0.125,13.749870719943619,0.21,16.38398150546585,ok,False,True,0.21481599919507557,0.171089357521914,0.30681310246385773,0.5755271032746443
l2_q2_train1000,L2_phantom,rff,6,3,dmgp_global_z_mean_jgp,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.268712877732654,1.2913180589675903,15.965840100019705,0.79,5.592240629089815,0.865,6.663565709619839,ok,False,True,0.206407465426887,0.2095930211328499,0.9236609250164792,1.050182296999298
lh_q5_train1000,LH,rff,0,3,dmgp_global_z_mean_jgp,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,671.1369041982315,306.4373779296875,38.161607400048524,0.085,25.98591510027073,0.135,30.964127669062673,ok,False,True,0.34248842989991535,0.5084353496511587,1.2538588788793228,1.2167446362823497
l2_q2_train1000,L2_phantom,rff,6,4,dmgp_global_z_mean_jgp,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.769859897643781,1.493219256401062,15.987777600006666,0.745,5.911316305489893,0.825,7.043767828422329,ok,False,True,0.2493035918844087,0.2304359164801176,1.1195707655562546,1.3387951577119583
lh_q5_train1000,LH,rff,0,4,dmgp_global_z_mean_jgp,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,452.81440326983073,146.77410888671875,32.08939740003552,0.615,20.7162468018944,0.635,24.684930598845323,ok,False,True,0.20516023793532884,0.16917414252973775,0.40287641614966363,0.6747518286460111
