setting,seed,method,N_train,N_test,Q,D,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,predict_sec,m_u,m_v,steps1,steps2,y_standardized,W_mean_norm_mean,W_mean_anchor_frob_std,W_var_mean,lr
l2_q2_train1000,0,deep_mahalanobis_gp,1000,200,2,20,2.2218708887905847,1.2640245280085813,170.7770804,0.765,5.157411971547756,0.84,6.145435406555808,169.7821563,0.9949240999999915,50,25,300,700,True,0.1124836948481992,0.2447664693211037,0.01938410879513201,0.01
lh_q5_train1000,0,deep_mahalanobis_gp,1000,200,5,30,617.7456699394431,303.03156305600123,573.8236463,0.765,677.958516727341,0.78,807.8373990398762,571.9546152999999,1.8690310000000636,50,25,300,700,True,0.37321034076599896,0.20493786713183837,0.002840765520851644,0.01
l2_q2_train1000,1,deep_mahalanobis_gp,1000,200,2,20,2.234905630178914,1.2220321436123782,213.7385097,0.765,5.08422728326736,0.825,6.058230471782849,212.80024909999997,0.9382606000000351,50,25,300,700,True,0.12150633520345049,0.19089644367235836,0.01777673642519934,0.01
lh_q5_train1000,1,deep_mahalanobis_gp,1000,200,5,30,558.0998682733969,225.14501718632073,576.9753976,0.81,193.00510085300655,0.83,229.9797625187558,575.1389462,1.8364513999999872,50,25,300,700,True,0.11468204494759415,0.22939039244628473,0.002339210617006966,0.01
l2_q2_train1000,2,deep_mahalanobis_gp,1000,200,2,20,2.3493752765799365,1.3154949239241773,253.69105400000012,0.74,5.253818235896076,0.82,6.260310555876515,252.73548800000003,0.9555660000000898,50,25,300,700,True,0.12210674530725875,0.22217187509206138,0.01867273879964789,0.01
lh_q5_train1000,2,deep_mahalanobis_gp,1000,200,5,30,506.50108198076987,194.0447602082739,513.9820827999997,0.785,184.50269702999748,0.79,219.84852348200403,512.2152179999998,1.7668647999998939,50,25,300,700,True,0.08958071259340923,0.21266892882233676,0.0026624316831671316,0.01
l2_q2_train1000,3,deep_mahalanobis_gp,1000,200,2,20,2.305567462871327,1.3016344564816809,220.56756959999984,0.735,5.171356677180115,0.845,6.162051548178751,219.45945919999986,1.1081103999999868,50,25,300,700,True,0.12739666258202562,0.20637579866999858,0.01708261277051382,0.01
lh_q5_train1000,3,deep_mahalanobis_gp,1000,200,5,30,502.47324066977654,236.9903158066202,556.5530100000001,0.79,678.1811562295064,0.815,808.1026903695304,554.6309552999996,1.9220547000004444,50,25,300,700,True,0.38597457124298573,0.3424439333584898,0.0028091948037200663,0.01
l2_q2_train1000,4,deep_mahalanobis_gp,1000,200,2,20,2.5313419433743327,1.4154078818908074,234.6349578999998,0.725,5.3880820515326535,0.805,6.420295759886635,233.59184659999983,1.043111299999964,50,25,300,700,True,0.14525984018206656,0.24930359195655907,0.015969371123147946,0.01
lh_q5_train1000,4,deep_mahalanobis_gp,1000,200,5,30,383.3717654178363,123.95274604854676,577.1851061999996,0.865,306.670079319635,0.88,365.4199381354797,574.9944693999996,2.190636799999993,50,25,300,700,True,0.11224188038740122,0.20242886738016647,0.0034494756757649176,0.01
