setting,seed,method,N_train,N_test,Q,D,n,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,W_mean_norm_mean,W_mean_anchor_frob_std
l2_q2_train1000,0,dmgp_W_mean_jgp,1000,200,2,20,25,2.3544506626131034,1.3441212177276611,58.069053899962455,0.805,5.8782657029301335,0.86,7.004385606428185,0.11251464486122131,0.24545128643512726
l2_q2_train1000,0,dmgp_W_samples_jgp,1000,200,2,20,25,2.219918765001543,1.2558363676071167,49.89440889999969,0.845,6.1022143022639606,0.895,7.271236821570041,0.11251464486122131,0.24545128643512726
l2_q2_train1000,0,dmgp_W_mean_feature_permuted,1000,200,2,20,25,2.2769435474944344,1.2805291414260864,50.37083040003199,0.83,6.03329666197182,0.89,7.18911638808051,0.11251464486122131,0.24545128643512726
l2_q2_train1000,0,dmgp_W_mean_anchor_shuffled,1000,200,2,20,25,2.299082861149516,1.2922766208648682,52.79128100001253,0.81,5.994416029626234,0.885,7.142787257120251,0.11251464486122131,0.24545128643512726
l2_q2_train1000,0,dmgp_W_mean_global_mean,1000,200,2,20,25,2.249290328593685,1.289845585823059,55.66793359996518,0.815,6.002123618287749,0.88,7.151971415477378,0.11251464486122131,0.24545128643512726
l2_q2_train1000,0,random_isotropic_jgp,1000,200,2,20,25,2.259100902130851,1.264782428741455,49.25295270001516,0.84,6.203437103656042,0.91,7.391851228768345,0.11251464486122131,0.24545128643512726
lh_q5_train1000,0,dmgp_W_mean_jgp,1000,200,5,30,35,751.0620155247623,366.9433288574219,155.67415219999384,0.465,111.68423528783366,0.485,133.0799745450599,0.37286636233329773,0.20567704737186432
lh_q5_train1000,0,dmgp_W_samples_jgp,1000,200,5,30,35,650.4416553428345,298.22442626953125,149.71142219996545,0.765,796.4429847692052,0.785,949.0203506924445,0.37286636233329773,0.20567704737186432
lh_q5_train1000,0,dmgp_W_mean_feature_permuted,1000,200,5,30,35,839.5938147727741,446.7186279296875,143.56191489996854,0.64,585.6363489392419,0.67,697.8287509301339,0.37286636233329773,0.20567704737186432
lh_q5_train1000,0,dmgp_W_mean_anchor_shuffled,1000,200,5,30,35,762.8493325612494,379.4044494628906,185.42391409998527,0.425,153.1407823209609,0.455,182.47849717160693,0.37286636233329773,0.20567704737186432
lh_q5_train1000,0,dmgp_W_mean_global_mean,1000,200,5,30,35,845.076879092713,455.42498779296875,204.1807259999914,0.495,211.91771306537095,0.51,252.51552994658917,0.37286636233329773,0.20567704737186432
lh_q5_train1000,0,random_isotropic_jgp,1000,200,5,30,35,783.8029517868475,401.8328552246094,150.04609709995566,0.755,824.2538003022673,0.79,982.1589813476917,0.37286636233329773,0.20567704737186432
