setting,seed,method,N_train,N_test,Q,D,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,predict_sec,m_u,m_v,steps1,steps2,y_standardized,W_mean_norm_mean,W_mean_anchor_frob_std,W_var_mean,lr
l2_q2_train200,0,deep_mahalanobis_gp,200,200,2,20,2.257514422796118,1.2668167888666235,46.3215262,0.82,5.939675802351803,0.88,7.07756025320607,45.3174615,1.0040647000000007,50,25,300,700,True,0.06812773016416361,0.1520943851675447,0.013321239165364073,0.01
l2_q2_train500,0,deep_mahalanobis_gp,500,200,2,20,2.263411661921539,1.226610173365815,109.4498216,0.81,5.474947950194136,0.885,6.523802862325137,108.2018668,1.2479548000000023,50,25,300,700,True,0.08348609720463789,0.17582849054416969,0.016486311342808976,0.01
lh_q5_train200,0,deep_mahalanobis_gp,200,200,5,30,740.6694850958896,387.74677663628785,111.76888710000003,0.715,743.7429088413389,0.75,886.2243370480085,109.88606870000001,1.8828184000000192,50,25,300,700,True,0.18564371512607583,0.3377363166759997,0.0044548982002432245,0.01
lh_q5_train500,0,deep_mahalanobis_gp,500,200,5,30,669.4468797394942,329.4255741338241,271.05057209999995,0.79,717.2519277855675,0.82,854.6583861732948,268.8996065,2.1509655999999495,50,25,300,700,True,0.27604155489577753,0.2714339640751399,0.0035200542619590464,0.01
l2_q2_train200,1,deep_mahalanobis_gp,200,200,2,20,2.6376704610183612,1.3796538599982324,59.59910230000003,0.83,6.222483342798978,0.895,7.414546222504826,58.47845070000005,1.1206515999999738,50,25,300,700,True,0.046462011592968616,0.14227434000961203,0.013956564988534474,0.01
l2_q2_train500,1,deep_mahalanobis_gp,500,200,2,20,2.372136113936009,1.2847733892674984,131.56925740000008,0.8,5.37285910614027,0.86,6.402156501645772,130.51787490000004,1.0513825000000452,50,25,300,700,True,0.07714311852455989,0.19838772812082006,0.015628509410783892,0.01
lh_q5_train200,1,deep_mahalanobis_gp,200,200,5,30,570.6850571539995,223.44936274814387,156.95539529999996,0.79,99.30692197718264,0.805,118.33149606846413,154.66934129999993,2.2860540000000356,50,25,300,700,True,0.002108552703739875,0.03199483677418718,0.001928074671845154,0.01
lh_q5_train500,1,deep_mahalanobis_gp,500,200,5,30,598.5925151256577,241.15943815551444,359.1569006,0.81,108.21600856588145,0.81,128.94732750956396,357.1197998,2.037100799999962,50,25,300,700,True,0.009022151699131746,0.03358547324466567,0.002761262510805263,0.01
l2_q2_train200,2,deep_mahalanobis_gp,200,200,2,20,2.20013969708513,1.2075949199370035,76.89079270000002,0.825,5.908159768519813,0.915,7.040006582633732,75.76108060000001,1.129712100000006,50,25,300,700,True,0.07762680409765815,0.1509704404494192,0.013423858706125075,0.01
l2_q2_train500,2,deep_mahalanobis_gp,500,200,2,20,2.0215804511454483,1.126104827426917,142.74565299999995,0.85,5.573042199633909,0.895,6.640689369940271,141.50950669999997,1.236146299999973,50,25,300,700,True,0.09646973273914346,0.1930411188570474,0.014739127614216887,0.01
lh_q5_train200,2,deep_mahalanobis_gp,200,200,5,30,389.3742289500091,117.11308432720169,123.52811709999992,0.84,99.6273368265318,0.87,118.7132939102576,121.43014679999987,2.0979703000000427,50,25,300,700,True,0.023286937175779152,0.041504325381388076,0.001865714186068492,0.01
lh_q5_train500,2,deep_mahalanobis_gp,500,200,5,30,503.4661605739988,180.48196335302939,288.52557,0.795,120.52269864794042,0.805,143.6116532188591,286.3748564,2.1507136000000173,50,25,300,700,True,0.06795765865160347,0.11326163971121468,0.002093318420032102,0.01
