preset,seed,method,subset,status,neighborhood,feature_set,n_train,n_test,n_eval,D,Q,n_neighbors,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,MC_num,base_low_dimensional_generator,dkl_epochs,expansion_method,generator_family,history,lmjgp_steps,mean_n_inliers,self_cem_gate_steps,self_cem_hyper_steps,self_cem_kcov,self_cem_updates,x_standardization,xgb_boots,y_standardization
dataset_b,0,xgb_raw,all,ok,none,raw_x,1000,80,80,30,3,35,0.9657952866812144,0.5645236968994141,1.8076122000056785,0.625,1.5353550963084337,0.7375,1.8294884377169793,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,10,method-internal only where applicable
dataset_b,0,xgb_raw,jump,ok,none,raw_x,1000,80,25,30,3,35,1.2190345638158324,0.7602181434631348,1.8076122000056785,0.52,1.5333112965552311,0.64,1.8270531001025843,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,10,method-internal only where applicable
dataset_b,0,xgb_raw,nonjump,ok,none,raw_x,1000,80,55,30,3,35,0.8253892874121499,0.4755716919898987,1.8076122000056785,0.6727272727272727,1.536284096196253,0.7818181818181819,1.8305954093598857,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,10,method-internal only where applicable
dataset_b,0,xgb_graph,all,ok,none,raw_x+block_onehot+graph_agg_x,1000,80,80,30,3,35,0.7652261055024001,0.45524340867996216,2.9383748000109335,0.6125,1.1934436226974163,0.725,1.4220757882275414,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,10,method-internal only where applicable
dataset_b,0,xgb_graph,jump,ok,none,raw_x+block_onehot+graph_agg_x,1000,80,25,30,3,35,0.8975138924378288,0.5470296740531921,2.9383748000109335,0.56,1.2273757381862105,0.64,1.4625083976631603,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,10,method-internal only where applicable
dataset_b,0,xgb_graph,nonjump,ok,none,raw_x+block_onehot+graph_agg_x,1000,80,55,30,3,35,0.6968422245506323,0.4135223627090454,2.9383748000109335,0.6363636363636364,1.1780199338388735,0.7636363636363637,1.4036973293931694,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,10,method-internal only where applicable
dataset_b,0,dkl_raw,all,ok,none,raw_x,1000,80,80,30,3,35,1.0041010808804316,0.7215306162834167,0.843464400008088,0.125,0.4652177717171434,0.1375,0.5543411660425385,,temporal AR latent state with SBM block means,40,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,dkl_raw,jump,ok,none,raw_x,1000,80,25,30,3,35,1.2932540163448996,0.9755451679229736,0.843464400008088,0.08,0.47895455225204503,0.12,0.5707095496304675,,temporal AR latent state with SBM block means,40,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,dkl_raw,nonjump,ok,none,raw_x,1000,80,55,30,3,35,0.8403989277849455,0.6060695052146912,0.843464400008088,0.14545454545454545,0.45897378056491545,0.14545454545454545,0.5469009916843889,,temporal AR latent state with SBM block means,40,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,dkl_graph,all,ok,none,raw_x+block_onehot+graph_agg_x,1000,80,80,30,3,35,0.7212928321782445,0.48510879278182983,0.5744917999982135,0.3,0.4872986381512378,0.35,0.5806521412254634,,temporal AR latent state with SBM block means,40,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,dkl_graph,jump,ok,none,raw_x+block_onehot+graph_agg_x,1000,80,25,30,3,35,0.798768712334943,0.5276011228561401,0.5744917999982135,0.24,0.5132941105943626,0.36,0.6116276571709508,,temporal AR latent state with SBM block means,40,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,dkl_graph,nonjump,ok,none,raw_x+block_onehot+graph_agg_x,1000,80,55,30,3,35,0.6831781557212315,0.4657941162586212,0.5744917999982135,0.32727272727272727,0.4754825143134538,0.34545454545454546,0.5665723612502419,,temporal AR latent state with SBM block means,40,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,lmjgp_feature,all,ok,feature_knn,raw_x,1000,80,80,30,3,35,0.9630782495077688,0.5311512351036072,36.074626899993746,0.825,2.40253589835775,0.8875,2.8627980965534867,3,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,lmjgp_feature,jump,ok,feature_knn,raw_x,1000,80,25,30,3,35,1.1671825490330123,0.7016050219535828,36.074626899993746,0.68,2.5544119516663835,0.72,3.043769576156024,3,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,lmjgp_feature,nonjump,ok,feature_knn,raw_x,1000,80,55,30,3,35,0.8543333350398357,0.45367226004600525,36.074626899993746,0.8909090909090909,2.3335013286720074,0.9636363636363636,2.780538333097788,3,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,lmjgp_graph,all,ok,graph_hop_then_time_then_feature,raw_x,1000,80,80,30,3,35,0.9150221098023439,0.5179816484451294,38.5503025999933,0.8625,2.6467207879970003,0.9,3.153762338854385,3,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,lmjgp_graph,jump,ok,graph_hop_then_time_then_feature,raw_x,1000,80,25,30,3,35,1.104201903531586,0.6227996349334717,38.5503025999933,0.8,2.6568300966696925,0.8,3.1658083231185272,3,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,lmjgp_graph,nonjump,ok,graph_hop_then_time_then_feature,raw_x,1000,80,55,30,3,35,0.8146353430729957,0.4703370928764343,38.5503025999933,0.8909090909090909,2.6421256476912314,0.9454545454545454,3.1482868914615922,3,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,selfcem_feature,all,ok,feature_knn_fixed,raw_x,1000,80,80,30,3,35,1.0762263085699029,0.6242484450340271,26.344570199988084,0.7,2.0382187376026897,0.7375,2.428687424132619,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.10857142508029938, 'inlier_frac': 0.8271428346633911, 'mean_lengthscale': 0.7759364247322083, 'mean_signal_var': 1.1713205575942993, 'mean_noise_var': 0.06808789074420929}, {'outer': 2.0, 'changed_frac': 0.05071428418159485, 'inlier_frac': 0.866428554058075, 'mean_lengthscale': 0.7620319128036499, 'mean_signal_var': 0.8855107426643372, 'mean_noise_var': 0.08207298815250397}]",,30.325000762939453,20,10,0.0,2,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,selfcem_feature,jump,ok,feature_knn_fixed,raw_x,1000,80,25,30,3,35,1.4164671868327259,0.8771603107452393,26.344570199988084,0.6,2.2207617882515467,0.64,2.646200884927867,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.10857142508029938, 'inlier_frac': 0.8271428346633911, 'mean_lengthscale': 0.7759364247322083, 'mean_signal_var': 1.1713205575942993, 'mean_noise_var': 0.06808789074420929}, {'outer': 2.0, 'changed_frac': 0.05071428418159485, 'inlier_frac': 0.866428554058075, 'mean_lengthscale': 0.7620319128036499, 'mean_signal_var': 0.8855107426643372, 'mean_noise_var': 0.08207298815250397}]",,30.325000762939453,20,10,0.0,2,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,selfcem_feature,nonjump,ok,feature_knn_fixed,raw_x,1000,80,55,30,3,35,0.8790652379999458,0.509288489818573,26.344570199988084,0.7454545454545455,1.9552446236713912,0.7818181818181819,2.3298176692256876,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.10857142508029938, 'inlier_frac': 0.8271428346633911, 'mean_lengthscale': 0.7759364247322083, 'mean_signal_var': 1.1713205575942993, 'mean_noise_var': 0.06808789074420929}, {'outer': 2.0, 'changed_frac': 0.05071428418159485, 'inlier_frac': 0.866428554058075, 'mean_lengthscale': 0.7620319128036499, 'mean_signal_var': 0.8855107426643372, 'mean_noise_var': 0.08207298815250397}]",,30.325000762939453,20,10,0.0,2,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,selfcem_graph,all,ok,graph_hop_then_time_then_feature_fixed,raw_x,1000,80,80,30,3,35,1.024956196690578,0.5856173038482666,26.74649390000559,0.6875,2.129404124300747,0.7375,2.5373415140261892,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.09071428328752518, 'inlier_frac': 0.7228571176528931, 'mean_lengthscale': 0.9150252342224121, 'mean_signal_var': 0.8436272740364075, 'mean_noise_var': 0.05762789398431778}, {'outer': 2.0, 'changed_frac': 0.03035714291036129, 'inlier_frac': 0.7403571605682373, 'mean_lengthscale': 0.9902170300483704, 'mean_signal_var': 0.6178128123283386, 'mean_noise_var': 0.06028024107217789}]",,25.912500381469727,20,10,0.0,2,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,selfcem_graph,jump,ok,graph_hop_then_time_then_feature_fixed,raw_x,1000,80,25,30,3,35,1.245570630486625,0.6912795901298523,26.74649390000559,0.64,2.0876433735172015,0.64,2.4875805102736543,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.09071428328752518, 'inlier_frac': 0.7228571176528931, 'mean_lengthscale': 0.9150252342224121, 'mean_signal_var': 0.8436272740364075, 'mean_noise_var': 0.05762789398431778}, {'outer': 2.0, 'changed_frac': 0.03035714291036129, 'inlier_frac': 0.7403571605682373, 'mean_lengthscale': 0.9902170300483704, 'mean_signal_var': 0.6178128123283386, 'mean_noise_var': 0.06028024107217789}]",,25.912500381469727,20,10,0.0,2,train-only StandardScaler for model inputs,,method-internal only where applicable
dataset_b,0,selfcem_graph,nonjump,ok,graph_hop_then_time_then_feature_fixed,raw_x,1000,80,55,30,3,35,0.9071099113767053,0.5375890135765076,26.74649390000559,0.7090909090909091,2.1483862837478127,0.7818181818181819,2.5599601520955235,,temporal AR latent state with SBM block means,,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.09071428328752518, 'inlier_frac': 0.7228571176528931, 'mean_lengthscale': 0.9150252342224121, 'mean_signal_var': 0.8436272740364075, 'mean_noise_var': 0.05762789398431778}, {'outer': 2.0, 'changed_frac': 0.03035714291036129, 'inlier_frac': 0.7403571605682373, 'mean_lengthscale': 0.9902170300483704, 'mean_signal_var': 0.6178128123283386, 'mean_noise_var': 0.06028024107217789}]",,25.912500381469727,20,10,0.0,2,train-only StandardScaler for model inputs,,method-internal only where applicable
