preset,seed,method,subset,status,neighborhood,feature_set,n_train,n_test,n_eval,D,Q,n_neighbors,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,MC_num,base_low_dimensional_generator,expansion_method,generator_family,history,lmjgp_steps,mean_n_inliers,self_cem_gate_steps,self_cem_hyper_steps,self_cem_kcov,self_cem_updates,x_standardization,y_standardization
dataset_b,0,lmjgp_feature_graphfeat,all,ok,feature_knn_graphfeat,raw_x+block_onehot+graph_agg_x,1000,80,80,30,3,35,0.8379883355769581,0.4613354802131653,60.030477299995255,0.85,2.219721848890948,0.9125,2.6449617207496803,3,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,method-internal only where applicable
dataset_b,0,lmjgp_feature_graphfeat,jump,ok,feature_knn_graphfeat,raw_x+block_onehot+graph_agg_x,1000,80,25,30,3,35,0.9476608081622755,0.5263263583183289,60.030477299995255,0.84,2.657211558187854,0.88,3.1662628625528173,3,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,method-internal only where applicable
dataset_b,0,lmjgp_feature_graphfeat,nonjump,ok,feature_knn_graphfeat,raw_x+block_onehot+graph_agg_x,1000,80,55,30,3,35,0.7830758800092434,0.43179410696029663,60.030477299995255,0.8545454545454545,2.020862890119627,0.9272727272727272,2.4080066562937086,3,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,method-internal only where applicable
dataset_b,0,lmjgp_graph_graphfeat,all,ok,graph_hop_then_time_then_graphfeat,raw_x+block_onehot+graph_agg_x,1000,80,80,30,3,35,0.954482656028132,0.5260029435157776,62.438417199999094,0.825,2.5942117902529125,0.9125,3.091194008909156,3,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,method-internal only where applicable
dataset_b,0,lmjgp_graph_graphfeat,jump,ok,graph_hop_then_time_then_graphfeat,raw_x+block_onehot+graph_agg_x,1000,80,25,30,3,35,1.1088637204756837,0.6251054406166077,62.438417199999094,0.72,2.5811067048655274,0.88,3.0755783365157394,3,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,method-internal only where applicable
dataset_b,0,lmjgp_graph_graphfeat,nonjump,ok,graph_hop_then_time_then_graphfeat,raw_x+block_onehot+graph_agg_x,1000,80,55,30,3,35,0.8753544994925511,0.4809563159942627,62.438417199999094,0.8727272727272727,2.6001686472471786,0.9272727272727272,3.0982920418152538,3,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,,120,,,,,,train-only StandardScaler for model inputs,method-internal only where applicable
dataset_b,0,selfcem_feature_graphfeat,all,ok,feature_knn_graphfeat_fixed,raw_x+block_onehot+graph_agg_x,1000,80,80,30,3,35,0.8129311075562143,0.46706709265708923,28.682956000004197,0.6625,1.5678550200148278,0.7125,1.8682144853853604,,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.08892857283353806, 'inlier_frac': 0.7667856812477112, 'mean_lengthscale': 1.0434356927871704, 'mean_signal_var': 0.7433002591133118, 'mean_noise_var': 0.05638974532485008}, {'outer': 2.0, 'changed_frac': 0.028928570449352264, 'inlier_frac': 0.7892857193946838, 'mean_lengthscale': 1.1918141841888428, 'mean_signal_var': 0.5159409642219543, 'mean_noise_var': 0.05809592083096504}]",,27.625,20,10,0.0,2,train-only StandardScaler for model inputs,method-internal only where applicable
dataset_b,0,selfcem_feature_graphfeat,jump,ok,feature_knn_graphfeat_fixed,raw_x+block_onehot+graph_agg_x,1000,80,25,30,3,35,0.9245371954607516,0.5033865571022034,28.682956000004197,0.68,1.9040745229686717,0.76,2.2688447335070885,,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.08892857283353806, 'inlier_frac': 0.7667856812477112, 'mean_lengthscale': 1.0434356927871704, 'mean_signal_var': 0.7433002591133118, 'mean_noise_var': 0.05638974532485008}, {'outer': 2.0, 'changed_frac': 0.028928570449352264, 'inlier_frac': 0.7892857193946838, 'mean_lengthscale': 1.1918141841888428, 'mean_signal_var': 0.5159409642219543, 'mean_noise_var': 0.05809592083096504}]",,27.625,20,10,0.0,2,train-only StandardScaler for model inputs,method-internal only where applicable
dataset_b,0,selfcem_feature_graphfeat,nonjump,ok,feature_knn_graphfeat_fixed,raw_x+block_onehot+graph_agg_x,1000,80,55,30,3,35,0.7567794587574261,0.45055827498435974,28.682956000004197,0.6545454545454545,1.415027973217626,0.6909090909090909,1.6861098271482113,,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.08892857283353806, 'inlier_frac': 0.7667856812477112, 'mean_lengthscale': 1.0434356927871704, 'mean_signal_var': 0.7433002591133118, 'mean_noise_var': 0.05638974532485008}, {'outer': 2.0, 'changed_frac': 0.028928570449352264, 'inlier_frac': 0.7892857193946838, 'mean_lengthscale': 1.1918141841888428, 'mean_signal_var': 0.5159409642219543, 'mean_noise_var': 0.05809592083096504}]",,27.625,20,10,0.0,2,train-only StandardScaler for model inputs,method-internal only where applicable
dataset_b,0,selfcem_graph_graphfeat,all,ok,graph_hop_then_time_then_graphfeat_fixed,raw_x+block_onehot+graph_agg_x,1000,80,80,30,3,35,0.8524397698324111,0.4801269471645355,25.980094899990945,0.75,1.853606357925417,0.8,2.2087082057152925,,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.09535714238882065, 'inlier_frac': 0.6650000214576721, 'mean_lengthscale': 1.1801074743270874, 'mean_signal_var': 0.7109330296516418, 'mean_noise_var': 0.042737483978271484}, {'outer': 2.0, 'changed_frac': 0.02321428619325161, 'inlier_frac': 0.6817857027053833, 'mean_lengthscale': 1.4403244256973267, 'mean_signal_var': 0.5348072648048401, 'mean_noise_var': 0.03740835189819336}]",,23.86250114440918,20,10,0.0,2,train-only StandardScaler for model inputs,method-internal only where applicable
dataset_b,0,selfcem_graph_graphfeat,jump,ok,graph_hop_then_time_then_graphfeat_fixed,raw_x+block_onehot+graph_agg_x,1000,80,25,30,3,35,0.8896442891007542,0.4753611385822296,25.980094899990945,0.8,1.933559042201545,0.88,2.303977705129016,,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.09535714238882065, 'inlier_frac': 0.6650000214576721, 'mean_lengthscale': 1.1801074743270874, 'mean_signal_var': 0.7109330296516418, 'mean_noise_var': 0.042737483978271484}, {'outer': 2.0, 'changed_frac': 0.02321428619325161, 'inlier_frac': 0.6817857027053833, 'mean_lengthscale': 1.4403244256973267, 'mean_signal_var': 0.5348072648048401, 'mean_noise_var': 0.03740835189819336}]",,23.86250114440918,20,10,0.0,2,train-only StandardScaler for model inputs,method-internal only where applicable
dataset_b,0,selfcem_graph_graphfeat,nonjump,ok,graph_hop_then_time_then_graphfeat_fixed,raw_x+block_onehot+graph_agg_x,1000,80,55,30,3,35,0.8349807931064266,0.4822933077812195,25.980094899990945,0.7272727272727273,1.8172642287089946,0.7636363636363637,2.165403887799964,,temporal AR latent state with SBM block means,linear_latent_to_observed,graph_local_sbm_latent_surrogate,"[{'outer': 1.0, 'changed_frac': 0.09535714238882065, 'inlier_frac': 0.6650000214576721, 'mean_lengthscale': 1.1801074743270874, 'mean_signal_var': 0.7109330296516418, 'mean_noise_var': 0.042737483978271484}, {'outer': 2.0, 'changed_frac': 0.02321428619325161, 'inlier_frac': 0.6817857027053833, 'mean_lengthscale': 1.4403244256973267, 'mean_signal_var': 0.5348072648048401, 'mean_noise_var': 0.03740835189819336}]",,23.86250114440918,20,10,0.0,2,train-only StandardScaler for model inputs,method-internal only where applicable
