setting,family,base_setting,expansion,eta_sigma,method,N_train,N_test,latent_dim,observed_dim,Q,n,standardize_x,standardize_y,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,mean_crps_mean,mean_crps_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,n_seeds,rmse_mean,rmse_std,wall_sec_mean,wall_sec_std
l2_linear_noise3_train1000,L2_phantom,l2_q2_train1000,linear_noise,3.0,dkl_svgp,1000,200,2,20,2,25,True,True,0.245,0.0,0.285,0.0,0.8919196724891663,0.0,0.5256163181875573,0.0,0.6263104731352191,0.0,1,1.3290809392929077,0.0,2.2753772999858484,0.0
l2_linear_noise3_train1000,L2_phantom,l2_q2_train1000,linear_noise,3.0,lmjgp_baseline,1000,200,2,20,2,25,True,True,0.795,0.0,0.82,0.0,0.6063416004180908,0.0,2.317353675829675,0.0,2.7612972179692137,0.0,1,1.1090606451034546,0.0,96.9185779094696,0.0
l2_linear_noise3_train1000,L2_phantom,l2_q2_train1000,linear_noise,3.0,lmjgp_pls_kl,1000,200,2,20,2,25,True,True,0.795,0.0,0.865,0.0,0.5976715683937073,0.0,2.3828290598639854,0.0,2.839315950139942,0.0,1,1.1191456317901611,0.0,103.74519220000366,0.0
l2_linear_noise3_train1000,L2_phantom,l2_q2_train1000,linear_noise,3.0,xgb_bootstrap,1000,200,2,20,2,25,True,True,0.72,0.0,0.785,0.0,0.5795835256576538,0.0,1.8101977976317993,0.0,2.1569837158262386,0.0,1,1.0311294653267677,0.0,14.09331230004318,0.0
l2_nonlinear_noise3_train1000,L2_phantom,l2_q2_train1000,nonlinear_noise,3.0,dkl_svgp,1000,200,2,20,2,25,True,True,0.25,0.0,0.305,0.0,0.7057493329048157,0.0,0.5357205468701796,0.0,0.6383504042178408,0.0,1,1.0665218830108643,0.0,2.1101715000113472,0.0
l2_nonlinear_noise3_train1000,L2_phantom,l2_q2_train1000,nonlinear_noise,3.0,lmjgp_baseline,1000,200,2,20,2,25,True,True,0.79,0.0,0.84,0.0,0.584758460521698,0.0,2.208911215064033,0.0,2.6320800560205977,0.0,1,1.0908249616622925,0.0,92.16948819160461,0.0
l2_nonlinear_noise3_train1000,L2_phantom,l2_q2_train1000,nonlinear_noise,3.0,lmjgp_pls_kl,1000,200,2,20,2,25,True,True,0.81,0.0,0.855,0.0,0.5756188631057739,0.0,2.442476126143944,0.0,2.9103898133558825,0.0,1,1.0641840696334839,0.0,101.32075299997814,0.0
l2_nonlinear_noise3_train1000,L2_phantom,l2_q2_train1000,nonlinear_noise,3.0,xgb_bootstrap,1000,200,2,20,2,25,True,True,0.68,0.0,0.74,0.0,0.5640647411346436,0.0,1.7124205087121935,0.0,2.040474889965803,0.0,1,0.9870262637385541,0.0,14.250763199990615,0.0
lh_linear_noise3_train1000,LH,lh_q5_train1000,linear_noise,3.0,dkl_svgp,1000,200,5,30,5,35,True,True,0.5,0.0,0.54,0.0,1.4808318614959717,0.0,0.5070933116239843,0.0,0.6042389494718716,0.0,1,2.3981826305389404,0.0,1.9556479000020772,0.0
lh_linear_noise3_train1000,LH,lh_q5_train1000,linear_noise,3.0,lmjgp_baseline,1000,200,5,30,5,35,True,True,0.66,0.0,0.67,0.0,1.3983025550842285,0.0,1.540464476461809,0.0,1.8355766396820983,0.0,1,2.383009910583496,0.0,250.04274034500122,0.0
lh_linear_noise3_train1000,LH,lh_q5_train1000,linear_noise,3.0,lmjgp_pls_kl,1000,200,5,30,5,35,True,True,0.625,0.0,0.635,0.0,1.4642266035079956,0.0,1.2890814768427683,0.0,1.5360353203173318,0.0,1,2.4399707317352295,0.0,255.51583680004114,0.0
lh_linear_noise3_train1000,LH,lh_q5_train1000,linear_noise,3.0,xgb_bootstrap,1000,200,5,30,5,35,True,True,0.65,0.0,0.655,0.0,1.3792163133621216,0.0,1.790102807514658,0.0,2.133039058226351,0.0,1,2.323871596268071,0.0,14.82950210000854,0.0
lh_nonlinear_noise3_train1000,LH,lh_q5_train1000,nonlinear_noise,3.0,dkl_svgp,1000,200,5,30,5,35,True,True,0.5,0.0,0.52,0.0,1.5422502756118774,0.0,0.4644455121218246,0.0,0.5534209619777272,0.0,1,2.4730257987976074,0.0,1.9609890999854542,0.0
lh_nonlinear_noise3_train1000,LH,lh_q5_train1000,nonlinear_noise,3.0,lmjgp_baseline,1000,200,5,30,5,35,True,True,0.62,0.0,0.62,0.0,1.4477312564849854,0.0,1.1602374511805724,0.0,1.382508194387537,0.0,1,2.435812473297119,0.0,245.94660234451294,0.0
lh_nonlinear_noise3_train1000,LH,lh_q5_train1000,nonlinear_noise,3.0,lmjgp_pls_kl,1000,200,5,30,5,35,True,True,0.64,0.0,0.665,0.0,1.3737238645553589,0.0,1.2234901168574053,0.0,1.4578783942773066,0.0,1,2.3727006912231445,0.0,251.55047840002226,0.0
lh_nonlinear_noise3_train1000,LH,lh_q5_train1000,nonlinear_noise,3.0,xgb_bootstrap,1000,200,5,30,5,35,True,True,0.64,0.0,0.645,0.0,1.373033881187439,0.0,1.746883550848603,0.0,2.0815401375223517,0.0,1,2.3142124346732107,0.0,17.582872099999804,0.0
