"setting","method","n_seeds","rmse_mean","mean_crps_mean","coverage_90_mean","mean_width_90_mean","wall_sec_mean"
"l2_linear_noise3_train1000","dkl_svgp","1","1.3290809392929077","0.8919196724891663","0.245","0.5256163181875573",""
"l2_linear_noise3_train1000","lmjgp_baseline","1","1.1090606451034546","0.6063416004180908","0.795","2.317353675829675",""
"l2_linear_noise3_train1000","lmjgp_pls_kl","1","1.1191456317901611","0.5976715683937073","0.795","2.3828290598639854",""
"l2_linear_noise3_train1000","xgb_bootstrap","1","1.0311294653267677","0.5795835256576538","0.72","1.8101977976317993",""
"l2_nonlinear_noise3_train1000","dkl_svgp","1","1.0665218830108643","0.7057493329048157","0.25","0.5357205468701796",""
"l2_nonlinear_noise3_train1000","lmjgp_baseline","1","1.0908249616622925","0.584758460521698","0.79","2.208911215064033",""
"l2_nonlinear_noise3_train1000","lmjgp_pls_kl","1","1.0641840696334839","0.5756188631057739","0.81","2.442476126143944",""
"l2_nonlinear_noise3_train1000","xgb_bootstrap","1","0.9870262637385541","0.5640647411346436","0.68","1.7124205087121935",""
"lh_linear_noise3_train1000","dkl_svgp","1","2.3981826305389404","1.4808318614959717","0.5","0.5070933116239843",""
"lh_linear_noise3_train1000","lmjgp_baseline","1","2.383009910583496","1.3983025550842285","0.66","1.540464476461809",""
"lh_linear_noise3_train1000","lmjgp_pls_kl","1","2.4399707317352295","1.4642266035079956","0.625","1.2890814768427683",""
"lh_linear_noise3_train1000","xgb_bootstrap","1","2.323871596268071","1.3792163133621216","0.65","1.790102807514658",""
"lh_nonlinear_noise3_train1000","dkl_svgp","1","2.4730257987976074","1.5422502756118774","0.5","0.4644455121218246",""
"lh_nonlinear_noise3_train1000","lmjgp_baseline","1","2.435812473297119","1.4477312564849854","0.62","1.1602374511805724",""
"lh_nonlinear_noise3_train1000","lmjgp_pls_kl","1","2.3727006912231445","1.3737238645553589","0.64","1.2234901168574053",""
"lh_nonlinear_noise3_train1000","xgb_bootstrap","1","2.3142124346732107","1.373033881187439","0.64","1.746883550848603",""
"l2_linear_noise3_train1000","deep_mahalanobis_gp","1","1.0306819041070434","0.554517250207119","0.745","1.8540867081236554","168.9491085"
"l2_nonlinear_noise3_train1000","deep_mahalanobis_gp","1","0.9522019484038998","0.5273278431048614","0.7","1.8027268380338086","172.02450010000007"
"lh_linear_noise3_train1000","deep_mahalanobis_gp","1","2.349266098354566","1.399889946673103","0.635","1.3397547632594335","470.58053330000007"
"lh_nonlinear_noise3_train1000","deep_mahalanobis_gp","1","2.4055688807989215","1.4260065042397843","0.635","1.2748272904651072","536.4978184999999"
