setting,family,base_setting,expansion,eta_sigma,seed,method,status,N_train,N_test,latent_dim,observed_dim,Q,n,standardize_x,standardize_y,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
l2_linear_noise3_train1000,L2_phantom,l2_q2_train1000,linear_noise,3.0,0,xgb_bootstrap,ok,1000,200,2,20,2,25,True,True,1.0311294653267677,0.5795835256576538,14.09331230004318,0.72,1.8101977976317993,0.785,2.1569837158262386
l2_linear_noise3_train1000,L2_phantom,l2_q2_train1000,linear_noise,3.0,0,dkl_svgp,ok,1000,200,2,20,2,25,True,True,1.3290809392929077,0.8919196724891663,2.2753772999858484,0.245,0.5256163181875573,0.285,0.6263104731352191
l2_linear_noise3_train1000,L2_phantom,l2_q2_train1000,linear_noise,3.0,0,lmjgp_baseline,ok,1000,200,2,20,2,25,True,True,1.1090606451034546,0.6063416004180908,96.9185779094696,0.795,2.317353675829675,0.82,2.7612972179692137
l2_linear_noise3_train1000,L2_phantom,l2_q2_train1000,linear_noise,3.0,0,lmjgp_pls_kl,ok,1000,200,2,20,2,25,True,True,1.1191456317901611,0.5976715683937073,103.74519220000366,0.795,2.3828290598639854,0.865,2.839315950139942
l2_nonlinear_noise3_train1000,L2_phantom,l2_q2_train1000,nonlinear_noise,3.0,0,xgb_bootstrap,ok,1000,200,2,20,2,25,True,True,0.9870262637385541,0.5640647411346436,14.250763199990615,0.68,1.7124205087121935,0.74,2.040474889965803
l2_nonlinear_noise3_train1000,L2_phantom,l2_q2_train1000,nonlinear_noise,3.0,0,dkl_svgp,ok,1000,200,2,20,2,25,True,True,1.0665218830108643,0.7057493329048157,2.1101715000113472,0.25,0.5357205468701796,0.305,0.6383504042178408
l2_nonlinear_noise3_train1000,L2_phantom,l2_q2_train1000,nonlinear_noise,3.0,0,lmjgp_baseline,ok,1000,200,2,20,2,25,True,True,1.0908249616622925,0.584758460521698,92.16948819160461,0.79,2.208911215064033,0.84,2.6320800560205977
l2_nonlinear_noise3_train1000,L2_phantom,l2_q2_train1000,nonlinear_noise,3.0,0,lmjgp_pls_kl,ok,1000,200,2,20,2,25,True,True,1.0641840696334839,0.5756188631057739,101.32075299997814,0.81,2.442476126143944,0.855,2.9103898133558825
lh_linear_noise3_train1000,LH,lh_q5_train1000,linear_noise,3.0,0,xgb_bootstrap,ok,1000,200,5,30,5,35,True,True,2.323871596268071,1.3792163133621216,14.82950210000854,0.65,1.790102807514658,0.655,2.133039058226351
lh_linear_noise3_train1000,LH,lh_q5_train1000,linear_noise,3.0,0,dkl_svgp,ok,1000,200,5,30,5,35,True,True,2.3981826305389404,1.4808318614959717,1.9556479000020772,0.5,0.5070933116239843,0.54,0.6042389494718716
lh_linear_noise3_train1000,LH,lh_q5_train1000,linear_noise,3.0,0,lmjgp_baseline,ok,1000,200,5,30,5,35,True,True,2.383009910583496,1.3983025550842285,250.04274034500122,0.66,1.540464476461809,0.67,1.8355766396820983
lh_linear_noise3_train1000,LH,lh_q5_train1000,linear_noise,3.0,0,lmjgp_pls_kl,ok,1000,200,5,30,5,35,True,True,2.4399707317352295,1.4642266035079956,255.51583680004114,0.625,1.2890814768427683,0.635,1.5360353203173318
lh_nonlinear_noise3_train1000,LH,lh_q5_train1000,nonlinear_noise,3.0,0,xgb_bootstrap,ok,1000,200,5,30,5,35,True,True,2.3142124346732107,1.373033881187439,17.582872099999804,0.64,1.746883550848603,0.645,2.0815401375223517
lh_nonlinear_noise3_train1000,LH,lh_q5_train1000,nonlinear_noise,3.0,0,dkl_svgp,ok,1000,200,5,30,5,35,True,True,2.4730257987976074,1.5422502756118774,1.9609890999854542,0.5,0.4644455121218246,0.52,0.5534209619777272
lh_nonlinear_noise3_train1000,LH,lh_q5_train1000,nonlinear_noise,3.0,0,lmjgp_baseline,ok,1000,200,5,30,5,35,True,True,2.435812473297119,1.4477312564849854,245.94660234451294,0.62,1.1602374511805724,0.62,1.382508194387537
lh_nonlinear_noise3_train1000,LH,lh_q5_train1000,nonlinear_noise,3.0,0,lmjgp_pls_kl,ok,1000,200,5,30,5,35,True,True,2.3727006912231445,1.3737238645553589,251.55047840002226,0.64,1.2234901168574053,0.665,1.4578783942773066
