phase,step,sample,reward_mean,reward_std,reward_min,reward_max,adv_mean,adv_std,reward_spread_mean_over_anchors,reward_spread_max_over_anchors
refine,1,0,-0.5365576736432994,0.6177268172936431,-2.4568135856082125,0.1722468394460392,0.20125324829960162,0.9621384469290214,0.04850382664295759,0.4443763121260198
refine,1,1,-0.5441129877512622,0.629040284321613,-2.5410180969433966,0.17020407672496018,0.08459809245330523,0.9458865243730671,0.04850382664295759,0.4443763121260198
refine,1,2,-0.5752066422748491,0.5956538402162136,-2.518336251120974,0.035591296347648085,-0.15314257036023285,1.1851388430247602,0.04850382664295759,0.4443763121260198
refine,1,3,-0.5390679634551955,0.6070358782662426,-2.4063459353819767,0.17847224272921258,-0.04585724393455916,0.9725182325202061,0.04850382664295759,0.4443763121260198
refine,1,4,-0.5602987507369417,0.6012826097687309,-2.4856151843444567,0.05462231194241572,-0.08685152645668173,0.8651497405632214,0.04850382664295759,0.4443763121260198
refine,2,0,-0.5573075546447384,0.6019855286537069,-2.4728106113963446,0.09393551728001927,-0.017852199481018315,0.8425808562927196,0.045065499335770184,0.31636241536681264
refine,2,1,-0.5564331921222277,0.5981053821206527,-2.4577119216256267,0.0355247589205187,-0.11277876013840249,1.0097989524607782,0.045065499335770184,0.31636241536681264
refine,2,2,-0.5477165847059912,0.6137788263088254,-2.4804950168798454,0.2010533404921355,0.062058700845881096,0.8331802939732689,0.045065499335770184,0.31636241536681264
refine,2,3,-0.5590116560214617,0.6170623424634856,-2.548985034558667,0.13775128726370106,-0.18244090907591828,1.1553550371515637,0.045065499335770184,0.31636241536681264
refine,2,4,-0.5460983557087952,0.6164380765878126,-2.4873891485782957,0.1928431623117633,0.25101316785094974,1.0621429208100515,0.045065499335770184,0.31636241536681264
