setting,family,method,point,N_train,N_test,n_anchors_used,latent_dim,observed_dim,Q_true,Q,n_final,n_candidate,standardize_x,standardize_y,anchor_dispersion_frob_mean,anchor_dispersion_frob_std,cosine_to_ref_median_mean,cosine_to_ref_median_std,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,gamma_entropy_mean,gamma_entropy_std,gamma_mean_mean,gamma_mean_std,mean_crps_mean,mean_crps_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_frob_W_mean,median_frob_W_std,n_runs,pred_sec_mean,pred_sec_std,rmse_mean,rmse_std,train_loss_mean,train_loss_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,p1_exact_vem,1_exact_local_covariance,1000,200,40,2,20,2,2,25,60,True,False,0.8775256276130676,0.0,0.5647271886855637,0.0,0.775,0.0,0.8,0.0,0.10083930939435959,0.0,0.9323822855949402,0.0,1.6833120584487915,0.0,5.89033250842507,0.0,7.0187640920216765,0.0,1.4142135381698608,0.0,1,3.0799929999629967,0.0,2.961459690555567,0.0,51.27768325805664,0.0,0.7704101999988779,0.0,3.8504031999618746,0.0
l2_q2_train1000,L2_phantom,p2_soft_vem,2_weak_decoder_soft_responsibilities,1000,200,40,2,20,2,2,25,60,True,False,0.7974050641059875,0.0,0.5394548205660756,0.0,0.775,0.0,0.825,0.0,0.5818749070167542,0.0,0.67690110206604,0.0,1.5357987880706787,0.0,6.430059296266092,0.0,7.661888226793764,0.0,1.4142135381698608,0.0,1,3.3952749999589287,0.0,2.7097267159724026,0.0,73.03070831298828,0.0,0.6510122999898158,0.0,4.0462872999487445,0.0
l2_q2_train1000,L2_phantom,p3_norm_gate_vem,3_scale_rotation_constraints,1000,200,40,2,20,2,2,25,60,True,False,0.7974083423614502,0.0,0.5394562142352849,0.0,0.775,0.0,0.825,0.0,0.5818790197372437,0.0,0.6768964529037476,0.0,1.5282106399536133,0.0,6.411848326622204,0.0,7.640188518053283,0.0,1.4142135381698608,0.0,1,3.3623714999994263,0.0,2.6806773881249693,0.0,73.03152465820312,0.0,0.5576581000350416,0.0,3.920029600034468,0.0
l2_q2_train1000,L2_phantom,p4_fixed_nuisance_vem,4_fixed_shared_nuisance,1000,200,40,2,20,2,2,25,60,True,False,0.8733212947845459,0.0,0.5722013425452979,0.0,0.725,0.0,0.775,0.0,0.11709250509738922,0.0,0.9049877524375916,0.0,1.5733306407928467,0.0,5.694870510997108,0.0,6.785856756664979,0.0,1.4142135381698608,0.0,1,2.9337244000053033,0.0,2.7803631074244133,0.0,56.197288513183594,0.0,0.4865703000104986,0.0,3.420294700015802,0.0
l2_q2_train1000,L2_phantom,p5_whitened_kl,5_kl_warmup_whitened_parameterization,1000,200,40,2,20,2,2,25,60,True,False,,,,,0.725,0.0,0.775,0.0,,,,,1.674072265625,0.0,5.706420829028152,0.0,6.799619809486151,0.0,,,1,2.777717799996026,0.0,2.9842464881417157,0.0,27.383863965000604,0.0,5.226024200033862,0.0,8.003742000029888,0.0
l2_q2_train1000,L2_phantom,p6_pairwise_boundary,6_direct_boundary_pairwise_loss,1000,200,40,2,20,2,2,25,60,True,False,0.5212739109992981,0.0,0.5012236582631486,0.0,0.7,0.0,0.75,0.0,,,,,1.5634448528289795,0.0,6.013103393163375,0.0,7.165054624196972,0.0,1.4142135381698608,0.0,1,2.767866999958642,0.0,2.806166959799693,0.0,0.3356245458126068,0.0,0.21811900002649054,0.0,2.9859859999851324,0.0
l2_q2_train1000,L2_phantom,p7_global_wx,7_shared_global_Wx_function,1000,200,40,2,20,2,2,25,60,True,False,1.2522101402282715,0.0,,,0.7,0.0,0.725,0.0,,,,,1.7347208261489868,0.0,5.811428534883729,0.0,6.924744208523135,0.0,1.4142135381698608,0.0,1,2.7381667000008747,0.0,3.0363978168603127,0.0,0.3301782011985779,0.0,0.48632480000378564,0.0,3.2244915000046603,0.0
lh_q5_train1000,LH,p1_exact_vem,1_exact_local_covariance,1000,200,40,5,30,5,5,35,60,True,False,0.9526909589767456,0.0,0.3983594181386034,0.0,0.475,0.0,0.5,0.0,0.057082369923591614,0.0,0.9465839862823486,0.0,366.0613098144531,0.0,217.89834056389844,0.0,259.64188715552126,0.0,2.2360680103302,0.0,1,7.466509399993811,0.0,732.1295560672987,0.0,47.03126525878906,0.0,0.5874351999955252,0.0,8.053944599989336,0.0
lh_q5_train1000,LH,p2_soft_vem,2_weak_decoder_soft_responsibilities,1000,200,40,5,30,5,5,35,60,True,False,0.8688704967498779,0.0,0.3880810504442078,0.0,0.475,0.0,0.5,0.0,0.5490869283676147,0.0,0.733069896697998,0.0,351.99615478515625,0.0,92.12520466852922,0.0,109.77395207702921,0.0,2.2360680103302,0.0,1,6.875069800007623,0.0,719.2538565719351,0.0,73.67627716064453,0.0,0.5305293999845162,0.0,7.405599199992139,0.0
lh_q5_train1000,LH,p3_norm_gate_vem,3_scale_rotation_constraints,1000,200,40,5,30,5,5,35,60,True,False,0.8688722252845764,0.0,0.38808102660235066,0.0,0.45,0.0,0.475,0.0,0.5490900278091431,0.0,0.7330668568611145,0.0,351.21746826171875,0.0,83.54240056782707,0.0,99.54691020041169,0.0,2.2360680103302,0.0,1,6.764252399967518,0.0,719.2031986946953,0.0,73.67700958251953,0.0,0.549033600022085,0.0,7.313285999989603,0.0
lh_q5_train1000,LH,p4_fixed_nuisance_vem,4_fixed_shared_nuisance,1000,200,40,5,30,5,5,35,60,True,False,0.9111337065696716,0.0,0.3931265119507129,0.0,0.5,0.0,0.5,0.0,0.05621955916285515,0.0,0.9443227648735046,0.0,396.71697998046875,0.0,139.3523376084551,0.0,166.0485519190191,0.0,2.2360680103302,0.0,1,6.637993699987419,0.0,761.4863111933755,0.0,52.47150802612305,0.0,0.4821741000050679,0.0,7.120167799992487,0.0
