setting,family,seed,method,point,status,N_train,N_test,n_anchors_used,latent_dim,observed_dim,Q_true,Q,n_final,n_candidate,standardize_x,standardize_y,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,gamma_mean,gamma_entropy,median_frob_W,anchor_dispersion_frob,cosine_to_ref_median,train_loss,C_mu_frob_median,C_std_median,best_loss,boundary_weighted,coeff_scale,diagnostics_json,expansion,global_w,global_wx_pointwise_z,kl_coeff,lambda_coeff,lambda_gp,lambda_pair,lambda_smooth,log_amp,log_lengthscale,log_noise_var,median_eff_rank_WWT,median_trace_WWT,mu_W_frob_median,noise_std,noise_var,pair_tau,sigma_W_mean,train_gp_loss,train_pair_loss,train_smoothness,train_steps,use_gp_loss,use_pairwise_loss,vem_gamma_damping,vem_lambda_gate_l2,vem_temperature,vem_temperature_final,vem_train_kernel,vem_train_noise,whitened_mean_parameterization
l2_q2_train1000,L2_phantom,0,p1_exact_vem,1_exact_local_covariance,ok,1000,200,40,2,20,2,2,25,60,True,False,2.961459690555567,1.6833120584487915,3.8504031999618746,0.775,5.89033250842507,0.8,7.0187640920216765,0.7704101999988779,3.0799929999629967,0.9323822855949402,0.10083930939435959,1.4142135381698608,0.8775256276130676,0.5647271886855637,51.27768325805664,0.7743196487426758,0.05216183513402939,51.27768325805664,,,"{""C_mu_frob_median"": 0.7743196487426758, ""C_std_median"": 0.05216183513402939, ""anchor_dispersion_frob"": 0.8775256276130676, ""basis"": {""Rv"": 7, ""V_tilde_frob"": 2.6457513107487842, ""n_pca"": 5, ""n_pls"": 2, ""n_random"": 0, ""source_per_column"": [""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""]}, ""best_loss"": 51.27768325805664, ""cosine_to_ref_median"": 0.5647271886855637, ""gamma_entropy"": 0.10083930939435959, ""gamma_mean"": 0.9323822855949402, ""history_tail"": [{""beta"": 0.0012500000000000002, ""bound"": -78.2202377319336, ""coeff_l2"": 0.0, ""gamma_entropy"": 0.5371865630149841, ""gamma_mean"": 0.7218677997589111, ""gate_l2"": 0.0, ""kl"": 35.01735305786133, ""log_amp"": 0.009999999776482582, ""log_lengthscale"": -0.009999999776482582, ""log_noise_var"": -2.2925851345062256, ""loss"": 78.26400756835938, ""smooth"": 0.0, ""step"": 1.0}, {""beta"": 0.025, ""bound"": -59.81158447265625, ""coeff_l2"": 0.01865748129785061, ""gamma_entropy"": 0.26978886127471924, ""gamma_mean"": 0.8467362523078918, ""gate_l2"": 0.03150681033730507, ""kl"": 34.79240036010742, ""log_amp"": 0.013568487018346786, ""log_lengthscale"": -0.1838333010673523, ""log_noise_var"": -2.2322654724121094, ""loss"": 60.68619155883789, ""smooth"": 0.4793504476547241, ""step"": 20.0}, {""beta"": 0.05, ""bound"": -49.538116455078125, ""coeff_l2"": 0.04390352964401245, ""gamma_entropy"": 0.10083930939435959, ""gamma_mean"": 0.9323822855949402, ""gate_l2"": 0.11369186639785767, ""kl"": 34.56494903564453, ""log_amp"": -0.040345169603824615, ""log_lengthscale"": -0.33084264397621155, ""log_noise_var"": -2.0267858505249023, ""loss"": 51.27768325805664, ""smooth"": 1.130423903465271, ""step"": 40.0}], ""kl_coeff"": 34.5467643737793, ""log_amp"": -0.040345169603824615, ""log_lengthscale"": -0.33084264397621155, ""log_noise_var"": -2.0267858505249023, ""median_eff_rank_WWT"": 1.5524245500564575, ""median_frob_W"": 1.4142135381698608, ""median_trace_WWT"": 1.9999998807907104, ""pred_sec"": 3.0799929999629967, ""train_loss"": 51.27768325805664, ""train_sec"": 0.7704101999988779, ""vem_gamma_damping"": 0.7, ""vem_lambda_gate_l2"": 0.0001, ""vem_temperature"": 1.5, ""vem_temperature_final"": 1.0, ""vem_train_kernel"": true, ""vem_train_noise"": true}",rff,,,34.5467643737793,,,,,-0.040345169603824615,-0.33084264397621155,-2.0267858505249023,1.5524245500564575,1.9999998807907104,,2.0,4.0,,,,,,,,,0.7,0.0001,1.5,1.0,True,True,
l2_q2_train1000,L2_phantom,0,p2_soft_vem,2_weak_decoder_soft_responsibilities,ok,1000,200,40,2,20,2,2,25,60,True,False,2.7097267159724026,1.5357987880706787,4.0462872999487445,0.775,6.430059296266092,0.825,7.661888226793764,0.6510122999898158,3.3952749999589287,0.67690110206604,0.5818749070167542,1.4142135381698608,0.7974050641059875,0.5394548205660756,73.03070831298828,0.773594856262207,0.05438041314482689,73.03070831298828,,,"{""C_mu_frob_median"": 0.773594856262207, ""C_std_median"": 0.05438041314482689, ""anchor_dispersion_frob"": 0.7974050641059875, ""basis"": {""Rv"": 7, ""V_tilde_frob"": 2.6457513107487842, ""n_pca"": 5, ""n_pls"": 2, ""n_random"": 0, ""source_per_column"": [""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""]}, ""best_loss"": 73.03070831298828, ""cosine_to_ref_median"": 0.5394548205660756, ""gamma_entropy"": 0.5818749070167542, ""gamma_mean"": 0.67690110206604, ""history_tail"": [{""beta"": 0.0012500000000000002, ""bound"": -89.84722137451172, ""coeff_l2"": 0.0, ""gamma_entropy"": 0.6364488005638123, ""gamma_mean"": 0.6640270948410034, ""gate_l2"": 0.0, ""kl"": 35.01735305786133, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 89.8909912109375, ""smooth"": 0.0, ""step"": 1.0}, {""beta"": 0.025, ""bound"": -78.44588470458984, ""coeff_l2"": 0.02010631188750267, ""gamma_entropy"": 0.6319099068641663, ""gamma_mean"": 0.6243419647216797, ""gate_l2"": 0.015735730528831482, ""kl"": 34.690303802490234, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 79.31809997558594, ""smooth"": 0.4962610900402069, ""step"": 20.0}, {""beta"": 0.05, ""bound"": -71.31915283203125, ""coeff_l2"": 0.04385972023010254, ""gamma_entropy"": 0.5818749070167542, ""gamma_mean"": 0.67690110206604, ""gate_l2"": 0.031553130596876144, ""kl"": 34.00630569458008, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 73.03070831298828, ""smooth"": 1.1229324340820312, ""step"": 40.0}], ""kl_coeff"": 33.959529876708984, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""median_eff_rank_WWT"": 1.8598562479019165, ""median_frob_W"": 1.4142135381698608, ""median_trace_WWT"": 1.9999998807907104, ""pred_sec"": 3.3952749999589287, ""train_loss"": 73.03070831298828, ""train_sec"": 0.6510122999898158, ""vem_gamma_damping"": 0.3, ""vem_lambda_gate_l2"": 0.0001, ""vem_temperature"": 5.0, ""vem_temperature_final"": 3.0, ""vem_train_kernel"": false, ""vem_train_noise"": false}",rff,,,33.959529876708984,,,,,0.0,0.0,-2.3025851249694824,1.8598562479019165,1.9999998807907104,,2.0,4.0,,,,,,,,,0.3,0.0001,5.0,3.0,False,False,
l2_q2_train1000,L2_phantom,0,p3_norm_gate_vem,3_scale_rotation_constraints,ok,1000,200,40,2,20,2,2,25,60,True,False,2.6806773881249693,1.5282106399536133,3.920029600034468,0.775,6.411848326622204,0.825,7.640188518053283,0.5576581000350416,3.3623714999994263,0.6768964529037476,0.5818790197372437,1.4142135381698608,0.7974083423614502,0.5394562142352849,73.03152465820312,0.7735976576805115,0.054380375891923904,73.03152465820312,,,"{""C_mu_frob_median"": 0.7735976576805115, ""C_std_median"": 0.054380375891923904, ""anchor_dispersion_frob"": 0.7974083423614502, ""basis"": {""Rv"": 7, ""V_tilde_frob"": 2.6457513107487842, ""n_pca"": 5, ""n_pls"": 2, ""n_random"": 0, ""source_per_column"": [""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""]}, ""best_loss"": 73.03152465820312, ""cosine_to_ref_median"": 0.5394562142352849, ""gamma_entropy"": 0.5818790197372437, ""gamma_mean"": 0.6768964529037476, ""history_tail"": [{""beta"": 0.0012500000000000002, ""bound"": -89.84722137451172, ""coeff_l2"": 0.0, ""gamma_entropy"": 0.6364488005638123, ""gamma_mean"": 0.6640270948410034, ""gate_l2"": 0.0, ""kl"": 35.01735305786133, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 89.8909912109375, ""smooth"": 0.0, ""step"": 1.0}, {""beta"": 0.025, ""bound"": -78.44597625732422, ""coeff_l2"": 0.02010631561279297, ""gamma_entropy"": 0.631910502910614, ""gamma_mean"": 0.6243410110473633, ""gate_l2"": 0.01573188602924347, ""kl"": 34.690303802490234, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 79.31835174560547, ""smooth"": 0.49626144766807556, ""step"": 20.0}, {""beta"": 0.05, ""bound"": -71.31965637207031, ""coeff_l2"": 0.043859727680683136, ""gamma_entropy"": 0.5818790197372437, ""gamma_mean"": 0.6768964529037476, ""gate_l2"": 0.03152615204453468, ""kl"": 34.00629425048828, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 73.03152465820312, ""smooth"": 1.122933268547058, ""step"": 40.0}], ""kl_coeff"": 33.959510803222656, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""median_eff_rank_WWT"": 1.8598922491073608, ""median_frob_W"": 1.4142135381698608, ""median_trace_WWT"": 1.9999998807907104, ""pred_sec"": 3.3623714999994263, ""train_loss"": 73.03152465820312, ""train_sec"": 0.5576581000350416, ""vem_gamma_damping"": 0.3, ""vem_lambda_gate_l2"": 0.01, ""vem_temperature"": 5.0, ""vem_temperature_final"": 3.0, ""vem_train_kernel"": false, ""vem_train_noise"": false}",rff,,,33.959510803222656,,,,,0.0,0.0,-2.3025851249694824,1.8598922491073608,1.9999998807907104,,2.0,4.0,,,,,,,,,0.3,0.01,5.0,3.0,False,False,
l2_q2_train1000,L2_phantom,0,p4_fixed_nuisance_vem,4_fixed_shared_nuisance,ok,1000,200,40,2,20,2,2,25,60,True,False,2.7803631074244133,1.5733306407928467,3.420294700015802,0.725,5.694870510997108,0.775,6.785856756664979,0.4865703000104986,2.9337244000053033,0.9049877524375916,0.11709250509738922,1.4142135381698608,0.8733212947845459,0.5722013425452979,56.197288513183594,0.7534476518630981,0.05269258841872215,56.197288513183594,,,"{""C_mu_frob_median"": 0.7534476518630981, ""C_std_median"": 0.05269258841872215, ""anchor_dispersion_frob"": 0.8733212947845459, ""basis"": {""Rv"": 7, ""V_tilde_frob"": 2.6457513107487842, ""n_pca"": 5, ""n_pls"": 2, ""n_random"": 0, ""source_per_column"": [""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""]}, ""best_loss"": 56.197288513183594, ""cosine_to_ref_median"": 0.5722013425452979, ""gamma_entropy"": 0.11709250509738922, ""gamma_mean"": 0.9049877524375916, ""history_tail"": [{""beta"": 0.0012500000000000002, ""bound"": -78.2202377319336, ""coeff_l2"": 0.0, ""gamma_entropy"": 0.5371865630149841, ""gamma_mean"": 0.7218677997589111, ""gate_l2"": 0.0, ""kl"": 35.01735305786133, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 78.26400756835938, ""smooth"": 0.0, ""step"": 1.0}, {""beta"": 0.025, ""bound"": -61.21278762817383, ""coeff_l2"": 0.018440470099449158, ""gamma_entropy"": 0.2738601863384247, ""gamma_mean"": 0.8359504342079163, ""gate_l2"": 0.031189316883683205, ""kl"": 34.773170471191406, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 62.086856842041016, ""smooth"": 0.4738723337650299, ""step"": 20.0}, {""beta"": 0.05, ""bound"": -54.4625358581543, ""coeff_l2"": 0.04407253861427307, ""gamma_entropy"": 0.11709250509738922, ""gamma_mean"": 0.9049877524375916, ""gate_l2"": 0.1071557030081749, ""kl"": 34.466773986816406, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 56.197288513183594, ""smooth"": 1.1396790742874146, ""step"": 40.0}], ""kl_coeff"": 34.444664001464844, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""median_eff_rank_WWT"": 1.6460474729537964, ""median_frob_W"": 1.4142135381698608, ""median_trace_WWT"": 2.0, ""pred_sec"": 2.9337244000053033, ""train_loss"": 56.197288513183594, ""train_sec"": 0.4865703000104986, ""vem_gamma_damping"": 0.7, ""vem_lambda_gate_l2"": 0.0001, ""vem_temperature"": 1.5, ""vem_temperature_final"": 1.0, ""vem_train_kernel"": false, ""vem_train_noise"": false}",rff,,,34.444664001464844,,,,,0.0,0.0,-2.3025851249694824,1.6460474729537964,2.0,,2.0,4.0,,,,,,,,,0.7,0.0001,1.5,1.0,False,False,
l2_q2_train1000,L2_phantom,0,p5_whitened_kl,5_kl_warmup_whitened_parameterization,ok,1000,200,40,2,20,2,2,25,60,True,False,2.9842464881417157,1.674072265625,8.003742000029888,0.725,5.706420829028152,0.775,6.799619809486151,5.226024200033862,2.777717799996026,,,,,,27.383863965000604,,,,,,"{""basis"": {""Rv"": 7, ""V_tilde_frob"": 2.6457513107487842, ""n_pca"": 5, ""n_pls"": 2, ""n_random"": 0, ""source_per_column"": [""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""]}, ""history_tail"": [{""KL_V_per_T_betaW"": 2.581751585006714, ""KL_V_per_T_raw"": 43.390785217285156, ""KL_u_per_T"": 5.86865758895874, ""aux_metric_mode"": ""A"", ""aux_metric_neg_corr"": 0.0, ""beta_W"": 0.059500000000000004, ""data_per_T"": -46.5446782020874, ""elbo_per_T"": -54.995087519104004, ""loss"": 54.995087519104004, ""row_norm"": 0.0, ""row_norm_mode"": ""second_moment"", ""step"": 1.0}, {""KL_V_per_T_betaW"": 13.246988296508789, ""KL_V_per_T_raw"": 13.246988296508789, ""KL_u_per_T"": 3.7055580615997314, ""aux_metric_mode"": ""A"", ""aux_metric_neg_corr"": 0.0, ""beta_W"": 1.0, ""data_per_T"": -21.607181152661322, ""elbo_per_T"": -38.5597270816164, ""loss"": 38.5597270816164, ""row_norm"": 0.0, ""row_norm_mode"": ""second_moment"", ""step"": 20.0}, {""KL_V_per_T_betaW"": 8.132628440856934, ""KL_V_per_T_raw"": 8.132628440856934, ""KL_u_per_T"": 2.307178497314453, ""aux_metric_mode"": ""A"", ""aux_metric_neg_corr"": 0.0, ""beta_W"": 1.0, ""data_per_T"": -16.94405683609435, ""elbo_per_T"": -27.383863965000604, ""loss"": 27.383863965000604, ""row_norm"": 0.0, ""row_norm_mode"": ""second_moment"", ""step"": 40.0}], ""init_info"": {""calibration"": {""alphas_capped_at"": 5.0, ""alphas_q"": [1.0212136507034302, 1.0214462280273438], ""mu_W_frob_post"": 8.99732494354248, ""mu_W_frob_pre"": 8.809420585632324, ""target_W_frob"": 1.4142135381698608}, ""lengthscale_init_median_heuristic"": 6.004958629608154, ""mu_V_mode"": ""pls"", ""supervised_init"": {""W_init_frob"": 1.4142135623730947, ""W_init_shape"": [2, 20], ""W_init_trace_WtW"": 1.9999999999999991, ""mode"": ""pls""}}, ""mu_W_frob_median"": 3.4117965698242188, ""pred_sec"": 2.777717799996026, ""sigma_W_mean"": 0.5062789916992188, ""train_loss"": 27.383863965000604, ""train_sec"": 5.226024200033862, ""whitened_mean_parameterization"": true}",rff,,,,,,,,,,,,,3.4117965698242188,2.0,4.0,,0.5062789916992188,,,,,,,,,,,,,True
l2_q2_train1000,L2_phantom,0,p6_pairwise_boundary,6_direct_boundary_pairwise_loss,ok,1000,200,40,2,20,2,2,25,60,True,False,2.806166959799693,1.5634448528289795,2.9859859999851324,0.7,6.013103393163375,0.75,7.165054624196972,0.21811900002649054,2.767866999958642,,,1.4142135381698608,0.5212739109992981,0.5012236582631486,0.3356245458126068,,,,True,1.0,"{""anchor_dispersion_frob"": 0.5212739109992981, ""basis"": {""Rv"": 7, ""V_tilde_frob"": 2.6457513107487842, ""n_pca"": 5, ""n_pls"": 2, ""n_random"": 0, ""source_per_column"": [""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""]}, ""boundary_weighted"": true, ""coeff_scale"": 1.0, ""cosine_to_ref_median"": 0.5012236582631486, ""global_w"": false, ""lambda_coeff"": 0.0001, ""lambda_gp"": 0.0, ""lambda_pair"": 1.0, ""lambda_smooth"": 0.01, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""median_eff_rank_WWT"": 1.6309527158737183, ""median_frob_W"": 1.4142135381698608, ""median_trace_WWT"": 2.0, ""pair_tau"": 0.5608174800872803, ""pred_sec"": 2.767866999958642, ""train_gp_loss"": 0.0, ""train_loss"": 0.3356245458126068, ""train_pair_loss"": 0.33046555519104004, ""train_sec"": 0.21811900002649054, ""train_smoothness"": 0.5156534910202026, ""train_steps"": 40, ""use_gp_loss"": false, ""use_pairwise_loss"": true}",rff,False,,,0.0001,0.0,1.0,0.01,0.0,0.0,-2.3025851249694824,1.6309527158737183,2.0,,2.0,4.0,0.5608174800872803,,0.0,0.33046555519104004,0.5156534910202026,40,False,True,,,,,,,
l2_q2_train1000,L2_phantom,0,p7_global_wx,7_shared_global_Wx_function,ok,1000,200,40,2,20,2,2,25,60,True,False,3.0363978168603127,1.7347208261489868,3.2244915000046603,0.7,5.811428534883729,0.725,6.924744208523135,0.48632480000378564,2.7381667000008747,,,1.4142135381698608,1.2522101402282715,,0.3301782011985779,,,,,,"{""anchor_dispersion_frob"": 1.2522101402282715, ""basis"": {""Rv"": 7, ""V_tilde_frob"": 2.6457513107487842, ""n_pca"": 5, ""n_pls"": 2, ""n_random"": 0, ""source_per_column"": [""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""]}, ""global_wx_pointwise_z"": true, ""median_eff_rank_WWT"": 1.942126989364624, ""median_frob_W"": 1.4142135381698608, ""median_trace_WWT"": 1.999999761581421, ""pair_tau"": 0.5608174800872803, ""pred_sec"": 2.7381667000008747, ""train_loss"": 0.3301782011985779, ""train_sec"": 0.48632480000378564}",rff,,True,,,,,,,,,1.942126989364624,1.999999761581421,,2.0,4.0,0.5608174800872803,,,,,,,,,,,,,,
lh_q5_train1000,LH,0,p1_exact_vem,1_exact_local_covariance,ok,1000,200,40,5,30,5,5,35,60,True,False,732.1295560672987,366.0613098144531,8.053944599989336,0.475,217.89834056389844,0.5,259.64188715552126,0.5874351999955252,7.466509399993811,0.9465839862823486,0.057082369923591614,2.2360680103302,0.9526909589767456,0.3983594181386034,47.03126525878906,1.179394245147705,0.04857765510678291,47.03126525878906,,,"{""C_mu_frob_median"": 1.179394245147705, ""C_std_median"": 0.04857765510678291, ""anchor_dispersion_frob"": 0.9526909589767456, ""basis"": {""Rv"": 10, ""V_tilde_frob"": 3.162277659466776, ""n_pca"": 5, ""n_pls"": 5, ""n_random"": 0, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""]}, ""best_loss"": 47.03126525878906, ""cosine_to_ref_median"": 0.3983594181386034, ""gamma_entropy"": 0.057082369923591614, ""gamma_mean"": 0.9465839862823486, ""history_tail"": [{""beta"": 0.0012500000000000002, ""bound"": -108.96923828125, ""coeff_l2"": 0.0, ""gamma_entropy"": 0.5179280638694763, ""gamma_mean"": 0.765868604183197, ""gate_l2"": 0.0, ""kl"": 125.06196594238281, ""log_amp"": 0.009999998845160007, ""log_lengthscale"": -0.009999999776482582, ""log_noise_var"": -2.2925851345062256, ""loss"": 109.12556457519531, ""smooth"": 0.0, ""step"": 1.0}, {""beta"": 0.025, ""bound"": -58.236244201660156, ""coeff_l2"": 0.012205267325043678, ""gamma_entropy"": 0.21174167096614838, ""gamma_mean"": 0.897773265838623, ""gate_l2"": 0.02741764299571514, ""kl"": 125.63042449951172, ""log_amp"": 0.14280012249946594, ""log_lengthscale"": 0.1550043523311615, ""log_noise_var"": -2.448620319366455, ""loss"": 61.38743209838867, ""smooth"": 1.0421302318572998, ""step"": 20.0}, {""beta"": 0.05, ""bound"": -40.66362380981445, ""coeff_l2"": 0.028497446328401566, ""gamma_entropy"": 0.057082369923591614, ""gamma_mean"": 0.9465839862823486, ""gate_l2"": 0.09271501004695892, ""kl"": 126.8360595703125, ""log_amp"": 0.20274928212165833, ""log_lengthscale"": 0.26469686627388, ""log_noise_var"": -2.6704065799713135, ""loss"": 47.03126525878906, ""smooth"": 2.5825717449188232, ""step"": 40.0}], ""kl_coeff"": 126.8806381225586, ""log_amp"": 0.20274928212165833, ""log_lengthscale"": 0.26469686627388, ""log_noise_var"": -2.6704065799713135, ""median_eff_rank_WWT"": 2.511730194091797, ""median_frob_W"": 2.2360680103302, ""median_trace_WWT"": 5.000000953674316, ""pred_sec"": 7.466509399993811, ""train_loss"": 47.03126525878906, ""train_sec"": 0.5874351999955252, ""vem_gamma_damping"": 0.7, ""vem_lambda_gate_l2"": 0.0001, ""vem_temperature"": 1.5, ""vem_temperature_final"": 1.0, ""vem_train_kernel"": true, ""vem_train_noise"": true}",rff,,,126.8806381225586,,,,,0.20274928212165833,0.26469686627388,-2.6704065799713135,2.511730194091797,5.000000953674316,,2.0,4.0,,,,,,,,,0.7,0.0001,1.5,1.0,True,True,
lh_q5_train1000,LH,0,p2_soft_vem,2_weak_decoder_soft_responsibilities,ok,1000,200,40,5,30,5,5,35,60,True,False,719.2538565719351,351.99615478515625,7.405599199992139,0.475,92.12520466852922,0.5,109.77395207702921,0.5305293999845162,6.875069800007623,0.733069896697998,0.5490869283676147,2.2360680103302,0.8688704967498779,0.3880810504442078,73.67627716064453,1.1596022844314575,0.048864252865314484,73.67627716064453,,,"{""C_mu_frob_median"": 1.1596022844314575, ""C_std_median"": 0.048864252865314484, ""anchor_dispersion_frob"": 0.8688704967498779, ""basis"": {""Rv"": 10, ""V_tilde_frob"": 3.162277659466776, ""n_pca"": 5, ""n_pls"": 5, ""n_random"": 0, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""]}, ""best_loss"": 73.67627716064453, ""cosine_to_ref_median"": 0.3880810504442078, ""gamma_entropy"": 0.5490869283676147, ""gamma_mean"": 0.733069896697998, ""history_tail"": [{""beta"": 0.0012500000000000002, ""bound"": -120.19805145263672, ""coeff_l2"": 0.0, ""gamma_entropy"": 0.632386326789856, ""gamma_mean"": 0.6713624596595764, ""gate_l2"": 0.0, ""kl"": 125.06196594238281, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 120.35437774658203, ""smooth"": 0.0, ""step"": 1.0}, {""beta"": 0.025, ""bound"": -85.73697662353516, ""coeff_l2"": 0.013026997447013855, ""gamma_entropy"": 0.6219243407249451, ""gamma_mean"": 0.6611665487289429, ""gate_l2"": 0.01486138068139553, ""kl"": 125.58208465576172, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 88.8878173828125, ""smooth"": 1.1289364099502563, ""step"": 20.0}, {""beta"": 0.05, ""bound"": -67.33514404296875, ""coeff_l2"": 0.026474282145500183, ""gamma_entropy"": 0.5490869283676147, ""gamma_mean"": 0.733069896697998, ""gate_l2"": 0.03533544763922691, ""kl"": 126.34903717041016, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 73.67627716064453, ""smooth"": 2.3678765296936035, ""step"": 40.0}], ""kl_coeff"": 126.3680191040039, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""median_eff_rank_WWT"": 2.4258370399475098, ""median_frob_W"": 2.2360680103302, ""median_trace_WWT"": 5.000000953674316, ""pred_sec"": 6.875069800007623, ""train_loss"": 73.67627716064453, ""train_sec"": 0.5305293999845162, ""vem_gamma_damping"": 0.3, ""vem_lambda_gate_l2"": 0.0001, ""vem_temperature"": 5.0, ""vem_temperature_final"": 3.0, ""vem_train_kernel"": false, ""vem_train_noise"": false}",rff,,,126.3680191040039,,,,,0.0,0.0,-2.3025851249694824,2.4258370399475098,5.000000953674316,,2.0,4.0,,,,,,,,,0.3,0.0001,5.0,3.0,False,False,
lh_q5_train1000,LH,0,p3_norm_gate_vem,3_scale_rotation_constraints,ok,1000,200,40,5,30,5,5,35,60,True,False,719.2031986946953,351.21746826171875,7.313285999989603,0.45,83.54240056782707,0.475,99.54691020041169,0.549033600022085,6.764252399967518,0.7330668568611145,0.5490900278091431,2.2360680103302,0.8688722252845764,0.38808102660235066,73.67700958251953,1.1596029996871948,0.04886426404118538,73.67700958251953,,,"{""C_mu_frob_median"": 1.1596029996871948, ""C_std_median"": 0.04886426404118538, ""anchor_dispersion_frob"": 0.8688722252845764, ""basis"": {""Rv"": 10, ""V_tilde_frob"": 3.162277659466776, ""n_pca"": 5, ""n_pls"": 5, ""n_random"": 0, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""]}, ""best_loss"": 73.67700958251953, ""cosine_to_ref_median"": 0.38808102660235066, ""gamma_entropy"": 0.5490900278091431, ""gamma_mean"": 0.7330668568611145, ""history_tail"": [{""beta"": 0.0012500000000000002, ""bound"": -120.19805145263672, ""coeff_l2"": 0.0, ""gamma_entropy"": 0.632386326789856, ""gamma_mean"": 0.6713624596595764, ""gate_l2"": 0.0, ""kl"": 125.06196594238281, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 120.35437774658203, ""smooth"": 0.0, ""step"": 1.0}, {""beta"": 0.025, ""bound"": -85.73705291748047, ""coeff_l2"": 0.013026999309659004, ""gamma_entropy"": 0.6219248175621033, ""gamma_mean"": 0.6611657738685608, ""gate_l2"": 0.014859139919281006, ""kl"": 125.58208465576172, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 88.8880386352539, ""smooth"": 1.1289366483688354, ""step"": 20.0}, {""beta"": 0.05, ""bound"": -67.33552551269531, ""coeff_l2"": 0.02647431381046772, ""gamma_entropy"": 0.5490900278091431, ""gamma_mean"": 0.7330668568611145, ""gate_l2"": 0.035320114344358444, ""kl"": 126.34903717041016, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""loss"": 73.67700958251953, ""smooth"": 2.3678793907165527, ""step"": 40.0}], ""kl_coeff"": 126.36799621582031, ""log_amp"": 0.0, ""log_lengthscale"": 0.0, ""log_noise_var"": -2.3025851249694824, ""median_eff_rank_WWT"": 2.4258358478546143, ""median_frob_W"": 2.2360680103302, ""median_trace_WWT"": 5.000000953674316, ""pred_sec"": 6.764252399967518, ""train_loss"": 73.67700958251953, ""train_sec"": 0.549033600022085, ""vem_gamma_damping"": 0.3, ""vem_lambda_gate_l2"": 0.01, ""vem_temperature"": 5.0, ""vem_temperature_final"": 3.0, ""vem_train_kernel"": false, ""vem_train_noise"": false}",rff,,,126.36799621582031,,,,,0.0,0.0,-2.3025851249694824,2.4258358478546143,5.000000953674316,,2.0,4.0,,,,,,,,,0.3,0.01,5.0,3.0,False,False,
