phase,step,sample,reward_mean,reward_std,reward_min,reward_max,adv_mean,adv_std,reward_spread_mean_over_anchors,reward_spread_max_over_anchors
explore,1,0,-0.5725704363481996,0.7763308531322127,-4.648283089160783,0.4567869512128796,0.008463011570138061,0.10310543175407813,0.13084242666924367,1.7497680618823248
explore,1,1,-0.6177438244133316,0.779365433894882,-4.648283779250738,0.04941263865785772,-0.03671037649499391,0.18656100267708664,0.13084242666924367,1.7497680618823248
explore,1,2,-0.5531664549458796,0.7926125815262679,-4.648280427809013,1.0397427279736857,0.027866992972458107,0.12732979437330613,0.13084242666924367,1.7497680618823248
explore,1,3,-0.5933265002875949,0.8166811798215,-4.648339663323099,0.6327109913843543,-0.01229305236925719,0.1628285628020961,0.13084242666924367,1.7497680618823248
explore,1,4,-0.5683600235966826,0.7871459601520348,-4.648293105349886,0.6075195766203734,0.01267342432165504,0.08011656441979903,0.13084242666924367,1.7497680618823248
explore,2,0,-0.6018132524549006,0.808400824459915,-4.648297414777297,0.8617806362574192,-0.02841679837359822,0.14668663786279793,0.1280012524376915,1.5235740053203015
explore,2,1,-0.5689386745069797,0.8077582858709814,-4.648303416212881,0.8810312421726406,0.0044577795743228265,0.11636692982529093,0.1280012524376915,1.5235740053203015
explore,2,2,-0.5538197050420901,0.7780991822993577,-4.6483248991883315,0.47218787555629943,0.01957674903921227,0.13574383803439083,0.1280012524376915,1.5235740053203015
explore,2,3,-0.5687882929868043,0.7621887158925178,-4.648290668952487,0.3713783558479622,0.004608161094498071,0.12589450767881794,0.1280012524376915,1.5235740053203015
explore,2,4,-0.5736223454157372,0.8137608079096633,-4.648290937237795,0.8476880906911473,-0.0002258913344347896,0.12426359678003587,0.1280012524376915,1.5235740053203015
explore,3,0,-0.5707247070527771,0.785099071758933,-4.648304220807503,0.4180863359027022,0.007657718108409729,0.09092781136913927,0.09929303710022415,1.272641929395036
explore,3,1,-0.577532808600378,0.7914657373267044,-4.648356324860925,0.7859193038616247,0.0008496165608087888,0.04763780292043443,0.09929303710022415,1.272641929395036
explore,3,2,-0.5855872883543184,0.8068840556833926,-4.648301055782424,0.5087137951388538,-0.007204863193131504,0.08526867316446832,0.09929303710022415,1.272641929395036
explore,3,3,-0.5972318347689293,0.8216406736949985,-4.64830159092582,0.821610219202367,-0.018849409607742448,0.10942818201329091,0.09929303710022415,1.272641929395036
explore,3,4,-0.5608354870295313,0.7740715034940233,-4.648320468335789,0.7336992391863175,0.017546938131655573,0.1161519945272045,0.09929303710022415,1.272641929395036
explore,4,0,-0.5692322503058133,0.7803346660123887,-4.648268140568008,0.4872803768061662,-0.007511494686604556,0.10134890030135321,0.12217518176970912,2.547275900051724
explore,4,1,-0.5537290028119024,0.790941269840669,-4.6482642123391305,0.5065374575045176,0.00799175280730624,0.08641587597004088,0.12217518176970912,2.547275900051724
explore,4,2,-0.5304997058347987,0.7918248118839197,-4.648284167713946,0.6338890256366833,0.031221049784409993,0.2374413467137268,0.12217518176970912,2.547275900051724
explore,4,3,-0.578495470863324,0.7909720194816251,-4.648277055554201,0.3870491565385701,-0.016774715244115324,0.13392310945977617,0.12217518176970912,2.547275900051724
