setting,family,seed,control,N_train,N_test,latent_dim,observed_dim,Q,n,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_wall_sec,pred_wall_sec,sigma_w_mean,mu_w_norm_mean,matched_second_moment,mean_abs_cos_muW_to_pls,mean_anchor_muW_frob_std,standardize_x
l2_q2_train1000,L2_phantom,0,pls_kl_learned_qw,1000,200,2,20,2,25,2.2225134948197334,1.2521560192108154,52.67954159999499,0.83,6.152545958503888,0.915,7.331210689089999,43.78756029997021,52.67954159999499,0.36018359661102295,1.9824079275131226,0.3405836224555969,0.4984884560108185,0.3784542679786682,True
l2_q2_train1000,L2_phantom,0,prior_qw,1000,200,2,20,2,25,2.1988921802640093,1.247395634651184,84.43562170001678,0.845,6.250348074611359,0.915,7.447749098369441,43.78756029997021,84.43562170001678,0.36018359661102295,1.9824079275131226,0.3405836224555969,0.4984884560108185,0.3784542679786682,True
l2_q2_train1000,L2_phantom,0,moment_matched_isotropic,1000,200,2,20,2,25,2.1989690052503637,1.2482765913009644,49.45676099997945,0.845,6.233456415203957,0.915,7.4276214447380475,43.78756029997021,49.45676099997945,0.36018359661102295,1.9824079275131226,0.3405836224555969,0.4984884560108185,0.3784542679786682,True
l2_q2_train1000,L2_phantom,0,feature_permuted_learned_qw,1000,200,2,20,2,25,2.2338996375289972,1.2558562755584717,52.53051750001032,0.845,6.248846217066865,0.905,7.445959524726605,43.78756029997021,52.53051750001032,0.36018359661102295,1.9824079275131226,0.3405836224555969,0.4984884560108185,0.3784542679786682,True
l2_q2_train1000,L2_phantom,0,anchor_shuffled_learned_qw,1000,200,2,20,2,25,2.259355292706362,1.2693387269973755,52.87292020005407,0.84,6.053539880284068,0.9,7.213237670468854,43.78756029997021,52.87292020005407,0.36018359661102295,1.9824079275131226,0.3405836224555969,0.4984884560108185,0.3784542679786682,True
l2_q2_train1000,L2_phantom,0,global_mean_learned_qw,1000,200,2,20,2,25,2.3291868639677418,1.3148751258850098,50.9993431000039,0.795,5.8253784403670466,0.87,6.9413665461506575,43.78756029997021,50.9993431000039,0.36018359661102295,1.9824079275131226,0.3405836224555969,0.4984884560108185,0.3784542679786682,True
l2_q2_train1000,L2_phantom,0,zero_mean_learned_sigma,1000,200,2,20,2,25,2.215308704909648,1.252307653427124,48.4485696000047,0.84,6.172055647950292,0.905,7.354457917924203,43.78756029997021,48.4485696000047,0.36018359661102295,1.9824079275131226,0.3405836224555969,0.4984884560108185,0.3784542679786682,True
l2_q2_train1000,L2_phantom,0,frozen_pls_static,1000,200,2,20,2,25,2.230284683400635,1.2593696117401123,49.14870849996805,0.8,5.847457809205816,0.895,6.967675736838687,43.78756029997021,49.14870849996805,0.36018359661102295,1.9824079275131226,0.3405836224555969,0.4984884560108185,0.3784542679786682,True
lh_q5_train1000,LH,0,pls_kl_learned_qw,1000,200,5,30,5,35,766.4694826079467,398.7393798828125,170.16593369998736,0.8,986.9242994870915,0.805,1175.992836546294,119.94702920003328,170.16593369998736,0.39078399538993835,1.724537968635559,0.2566826641559601,0.5598997473716736,0.2560421824455261,True
lh_q5_train1000,LH,0,prior_qw,1000,200,5,30,5,35,766.2536342805223,393.8681335449219,161.14508839999326,0.79,965.2846137512097,0.795,1150.2075605897332,119.94702920003328,161.14508839999326,0.39078399538993835,1.724537968635559,0.2566826641559601,0.5598997473716736,0.2560421824455261,True
lh_q5_train1000,LH,0,moment_matched_isotropic,1000,200,5,30,5,35,761.9639551804854,389.94866943359375,154.79298230004497,0.79,957.5946406553395,0.8,1141.044392473722,119.94702920003328,154.79298230004497,0.39078399538993835,1.724537968635559,0.2566826641559601,0.5598997473716736,0.2560421824455261,True
lh_q5_train1000,LH,0,feature_permuted_learned_qw,1000,200,5,30,5,35,787.9379620347643,410.0638732910156,148.39919939998072,0.77,945.7602689430279,0.78,1126.9428688148787,119.94702920003328,148.39919939998072,0.39078399538993835,1.724537968635559,0.2566826641559601,0.5598997473716736,0.2560421824455261,True
lh_q5_train1000,LH,0,anchor_shuffled_learned_qw,1000,200,5,30,5,35,732.9246559468589,368.7078552246094,155.7305527999997,0.805,976.0491645739031,0.83,1163.0343140324287,119.94702920003328,155.7305527999997,0.39078399538993835,1.724537968635559,0.2566826641559601,0.5598997473716736,0.2560421824455261,True
lh_q5_train1000,LH,0,global_mean_learned_qw,1000,200,5,30,5,35,767.4975728159101,381.8686828613281,147.93952359998366,0.7,520.7007656750379,0.72,620.4532310494845,119.94702920003328,147.93952359998366,0.39078399538993835,1.724537968635559,0.2566826641559601,0.5598997473716736,0.2560421824455261,True
lh_q5_train1000,LH,0,zero_mean_learned_sigma,1000,200,5,30,5,35,758.9726545124179,387.92791748046875,139.58451259997673,0.78,991.1960526591752,0.805,1181.0829444020587,119.94702920003328,139.58451259997673,0.39078399538993835,1.724537968635559,0.2566826641559601,0.5598997473716736,0.2560421824455261,True
lh_q5_train1000,LH,0,frozen_pls_static,1000,200,5,30,5,35,693.9855715296065,330.65264892578125,144.41769299999578,0.46,184.07606151973036,0.5,219.34015591607098,119.94702920003328,144.41769299999578,0.39078399538993835,1.724537968635559,0.2566826641559601,0.5598997473716736,0.2560421824455261,True
