setting,family,seed,control,N_train,N_test,latent_dim,observed_dim,Q,n,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_wall_sec,pred_wall_sec,sigma_w_mean,mu_w_norm_mean,matched_second_moment,standardize_x
l2_q2_train1000,L2_phantom,0,learned_qw,1000,200,2,20,2,25,2.2711754558479273,1.270399808883667,49.231951499998104,0.845,6.140822837433668,0.895,7.31724172874754,41.699099399964325,49.231951499998104,0.603674590587616,1.5829548835754395,0.6361468434333801,True
l2_q2_train1000,L2_phantom,0,prior_qw,1000,200,2,20,2,25,2.2515545141210707,1.2651623487472534,47.68067889998201,0.84,6.120805623758454,0.905,7.2933897474943645,41.699099399964325,47.68067889998201,0.603674590587616,1.5829548835754395,0.6361468434333801,True
l2_q2_train1000,L2_phantom,0,moment_matched_isotropic,1000,200,2,20,2,25,2.2530670783737516,1.266711711883545,48.94650889997138,0.84,6.117656394983078,0.905,7.289637209956876,41.699099399964325,48.94650889997138,0.603674590587616,1.5829548835754395,0.6361468434333801,True
l2_q2_train1000,L2_phantom,0,feature_permuted_learned_qw,1000,200,2,20,2,25,2.1867988097252358,1.2385201454162598,47.59362569998484,0.845,6.2071016112780395,0.9,7.3962177589218525,41.699099399964325,47.59362569998484,0.603674590587616,1.5829548835754395,0.6361468434333801,True
l2_q2_train1000,L2_phantom,0,anchor_shuffled_learned_qw,1000,200,2,20,2,25,2.260201810125772,1.2667354345321655,49.93697149999207,0.845,6.092828417410704,0.895,7.260052849954577,41.699099399964325,49.93697149999207,0.603674590587616,1.5829548835754395,0.6361468434333801,True
l2_q2_train1000,L2_phantom,0,global_mean_learned_qw,1000,200,2,20,2,25,2.259818189588427,1.2718007564544678,49.111413899983745,0.865,6.334636534178851,0.9,7.548184992699339,41.699099399964325,49.111413899983745,0.603674590587616,1.5829548835754395,0.6361468434333801,True
l2_q2_train1000,L2_phantom,0,zero_mean_learned_sigma,1000,200,2,20,2,25,2.2578266433607377,1.2684811353683472,51.93406890000915,0.85,6.12796883174859,0.9,7.301925236272452,41.699099399964325,51.93406890000915,0.603674590587616,1.5829548835754395,0.6361468434333801,True
lh_q5_train1000,LH,0,learned_qw,1000,200,5,30,5,35,786.6610651398195,406.2146911621094,148.8700392000028,0.76,984.0831302463355,0.78,1172.607374585046,114.89728520001518,148.8700392000028,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
lh_q5_train1000,LH,0,prior_qw,1000,200,5,30,5,35,786.6610651398195,406.2146911621094,147.9767828999902,0.76,984.0831302463355,0.78,1172.607374585046,114.89728520001518,147.9767828999902,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
lh_q5_train1000,LH,0,moment_matched_isotropic,1000,200,5,30,5,35,779.5145121850089,401.7211608886719,171.510399199964,0.76,1013.1546117647663,0.78,1207.2481814141313,114.89728520001518,171.510399199964,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
lh_q5_train1000,LH,0,feature_permuted_learned_qw,1000,200,5,30,5,35,762.4864826817357,385.7359313964844,230.62752739997813,0.765,867.1462255386618,0.78,1033.2684583828723,114.89728520001518,230.62752739997813,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
lh_q5_train1000,LH,0,anchor_shuffled_learned_qw,1000,200,5,30,5,35,791.6808057391412,406.01495361328125,146.45900620002067,0.76,820.869836397458,0.79,978.126739651692,114.89728520001518,146.45900620002067,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
lh_q5_train1000,LH,0,global_mean_learned_qw,1000,200,5,30,5,35,802.3496555449437,420.570068359375,150.75367940001888,0.71,869.3794616141796,0.745,1035.929523297872,114.89728520001518,150.75367940001888,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
lh_q5_train1000,LH,0,zero_mean_learned_sigma,1000,200,5,30,5,35,786.6610651398195,406.2146911621094,147.77567529998487,0.76,984.0831302463355,0.78,1172.607374585046,114.89728520001518,147.77567529998487,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
