setting,family,seed,control,N_train,N_test,latent_dim,observed_dim,Q,n,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_wall_sec,pred_wall_sec,sigma_w_mean,mu_w_norm_mean,matched_second_moment,standardize_x
l2_q2_train1000,L2_phantom,0,learned_qw,1000,200,2,20,2,25,2.2711754558479273,1.270399808883667,45.897841099998914,0.845,6.140822837433668,0.895,7.31724172874754,40.706303899991326,45.897841099998914,0.603674590587616,1.5829548835754395,0.6361468434333801,True
l2_q2_train1000,L2_phantom,0,prior_qw,1000,200,2,20,2,25,2.2515545141210707,1.2651623487472534,44.52290209999774,0.84,6.120805623758454,0.905,7.2933897474943645,40.706303899991326,44.52290209999774,0.603674590587616,1.5829548835754395,0.6361468434333801,True
l2_q2_train1000,L2_phantom,0,moment_matched_isotropic,1000,200,2,20,2,25,2.2530670783737516,1.266711711883545,45.072331200004555,0.84,6.117656394983078,0.905,7.289637209956876,40.706303899991326,45.072331200004555,0.603674590587616,1.5829548835754395,0.6361468434333801,True
l2_q2_train1000,L2_phantom,0,feature_permuted_learned_qw,1000,200,2,20,2,25,2.1867988097252358,1.2385201454162598,45.31983280001441,0.845,6.2071016112780395,0.9,7.3962177589218525,40.706303899991326,45.31983280001441,0.603674590587616,1.5829548835754395,0.6361468434333801,True
l2_q2_train1000,L2_phantom,0,zero_mean_learned_sigma,1000,200,2,20,2,25,2.2578266433607377,1.2684811353683472,45.63960749999387,0.85,6.12796883174859,0.9,7.301925236272452,40.706303899991326,45.63960749999387,0.603674590587616,1.5829548835754395,0.6361468434333801,True
lh_q5_train1000,LH,0,learned_qw,1000,200,5,30,5,35,786.6610651398195,406.2146911621094,136.25593919999665,0.76,984.0831302463355,0.78,1172.607374585046,104.75435770000331,136.25593919999665,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
lh_q5_train1000,LH,0,prior_qw,1000,200,5,30,5,35,786.6610651398195,406.2146911621094,131.57162160001462,0.76,984.0831302463355,0.78,1172.607374585046,104.75435770000331,131.57162160001462,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
lh_q5_train1000,LH,0,moment_matched_isotropic,1000,200,5,30,5,35,779.5145121850089,401.7211608886719,131.41160629998194,0.76,1013.1546117647663,0.78,1207.2481814141313,104.75435770000331,131.41160629998194,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
lh_q5_train1000,LH,0,feature_permuted_learned_qw,1000,200,5,30,5,35,762.4864826817357,385.7359313964844,136.12879739998607,0.765,867.1462255386618,0.78,1033.2684583828723,104.75435770000331,136.12879739998607,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
lh_q5_train1000,LH,0,zero_mean_learned_sigma,1000,200,5,30,5,35,786.6610651398195,406.2146911621094,133.43612779997056,0.76,984.0831302463355,0.78,1172.607374585046,104.75435770000331,133.43612779997056,0.3162277340888977,9.025430142833857e-13,0.10000001639127731,True
