setting,seed,method,N_train,N_test,D,Q_true,Q,n,standardize_x,jump_amp,noise_std,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,status,cem_jgp_elapsed_sec,cem_map_train_time_sec,cem_vi_train_time_sec,median_capture_ratio_top_Q_truth,median_subspace_cos_to_truth,vi_anchor_var_mean,vi_best_loss,vi_kl,vi_query_var_mean
train200,0,cem_em_transductive_vi_fullcov_ensemble,200,200,50,2,2,25,True,1.5,0.1,1.6780685046701882,1.022476315498352,445.3028586000437,0.655,2.707594608415423,0.69,3.226297969786235,ok,41.46573370002443,317.0288714999915,86.80825340002775,0.9999999403953552,0.3419176787137985,0.0029874714091420174,75.75704956054688,10030.658203125,0.003085730131715536
train200,1,cem_em_transductive_vi_fullcov_ensemble,200,200,50,2,2,25,True,1.5,0.1,1.4071788248572792,0.87451171875,354.13764380000066,0.615,2.295000105181533,0.665,2.734661295672936,ok,36.96124490001239,232.29144729999825,84.88495159999002,0.9999999403953552,0.4786321520805359,0.0019993879832327366,100.59190368652344,9278.4072265625,0.002094871364533901
train200,2,cem_em_transductive_vi_fullcov_ensemble,200,200,50,2,2,25,True,1.5,0.1,1.372810948012222,0.8004014492034912,353.322237400047,0.775,3.1614844317542987,0.805,3.767141052791875,ok,38.86181010003202,230.2651215000078,84.19530580000719,0.9999999403953552,0.3789411932229996,0.01494788471609354,82.87120819091797,8862.296875,0.015028906054794788
train200,3,cem_em_transductive_vi_fullcov_ensemble,200,200,50,2,2,25,True,1.5,0.1,1.6144862652901062,0.9503999352455139,356.68248079996556,0.695,3.1194581530118968,0.735,3.717063652961465,ok,38.075013699999545,230.3989106999943,88.20855639997171,0.9999999403953552,0.4111577868461609,0.008036646991968155,141.5927276611328,9238.431640625,0.00812350120395422
train200,4,cem_em_transductive_vi_fullcov_ensemble,200,200,50,2,2,25,True,1.5,0.1,1.2750966420404757,0.729580819606781,356.3561820000177,0.73,2.7259680869191714,0.785,3.2481913197767813,ok,36.58387339999899,229.56556429999182,90.20674430002691,0.9999999403953552,0.44384661316871643,0.002305052476003766,83.03445434570312,9261.6201171875,0.002401126781478524
train500,0,cem_em_transductive_vi_fullcov_ensemble,500,200,50,2,2,25,True,1.5,0.1,1.3171550634467435,0.7821170687675476,349.9478364000097,0.66,2.5174879289533347,0.72,2.9997718893733754,ok,36.92443499999354,228.44795010000234,84.57545130001381,0.9999999403953552,0.48563212156295776,0.0022280283737927675,78.50507354736328,9628.4716796875,0.0023240339942276478
train500,1,cem_em_transductive_vi_fullcov_ensemble,500,200,50,2,2,25,True,1.5,0.1,1.402908028337314,0.8514731526374817,352.2125904999557,0.645,2.5790985324260953,0.695,3.0731854514641204,ok,37.382607999956235,229.6700836000382,85.15989889996126,0.9999999403953552,0.480697825551033,0.0024396150838583708,96.19538879394531,10223.572265625,0.0025400230661034584
train500,2,cem_em_transductive_vi_fullcov_ensemble,500,200,50,2,2,25,True,1.5,0.1,1.4342103937359223,0.859849750995636,348.48360360000515,0.615,2.286730964246626,0.665,2.7248080065109432,ok,35.827151499979664,228.23156640003435,84.42488569999114,0.9999999403953552,0.4765605479478836,0.002660332713276148,87.58039093017578,10029.7275390625,0.0027589979581534863
train500,3,cem_em_transductive_vi_fullcov_ensemble,500,200,50,2,2,25,True,1.5,0.1,1.3820214148274939,0.8359570503234863,354.11597210000036,0.695,2.833152560354973,0.735,3.3759094973664885,ok,39.55404620000627,229.67627920000814,84.88564669998595,0.9999999403953552,0.47767776250839233,0.002231334336102009,83.43008422851562,9073.669921875,0.0023346259258687496
train500,4,cem_em_transductive_vi_fullcov_ensemble,500,200,50,2,2,25,True,1.5,0.1,1.348832224089229,0.7706118822097778,349.66215579997515,0.655,2.436496392252887,0.71,2.903264520945926,ok,36.760610299999826,228.6051730000181,84.29637249995722,0.9999999403953552,0.5099925398826599,0.002865303074941039,77.5040054321289,10449.81640625,0.0029704205226153135
