setting,method,N_train,N_test,D,Q_true,Q,n,standardize_x,n_seeds,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,mean_crps_mean,mean_crps_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_capture_ratio_top_Q_truth_mean,median_eff_rank_A_mean,median_subspace_cos_to_truth_mean,pca_explained_variance_sum_mean,rmse_mean,rmse_std,wall_sec_mean,wall_sec_std
train200_q5,dkl_svgp,200,200,50,5,5,25,True,5,0.16799999999999998,0.0092736184954957,0.209,0.02395829710142188,1.175846481323242,0.06901875593548941,0.8311739779346908,0.030042327044203867,0.990404881593118,0.03579764062504658,,,,,1.5919072151184082,0.09469258532116007,1.9731224199873396,0.20162977556294479
train200_q5,jgp_pca,200,200,50,5,5,25,True,5,0.5210000000000001,0.041761226035642196,0.592,0.032341923257592456,1.2893384933471679,0.057624549380947146,2.9930597271231774,0.16304869998321866,3.5664506389003945,0.19428450924564447,,,,0.19329662024974822,2.007239197146268,0.05498092492826389,64.70103029998718,3.106502762721215
train200_q5,lmjgp_baseline,200,200,50,5,5,25,True,5,0.7830000000000001,0.022045407685048625,0.8630000000000001,0.018601075237738292,0.977703869342804,0.0407075727849042,4.263434125206852,0.14775411250396128,5.080195100005087,0.17605988419295848,0.23191949129104614,40.607051086425784,0.2626673936843872,,1.6874626874923706,0.07406525279949548,515.2731340800062,10.847338548237989
train200_q5,lmjgp_pls_kl,200,200,50,5,5,25,True,5,0.7490000000000001,0.025377155080899064,0.8130000000000001,0.034583232931581144,1.0025463581085206,0.07384382339460233,3.8408172912231997,0.13095138935355988,4.5766160822152315,0.15603820464812224,0.6874741911888123,8.644122171401978,0.33535288870334623,,1.721287727355957,0.11177246508008648,518.7402741000056,8.58952075178151
train200_q5,xgb_bootstrap,200,200,50,5,5,25,True,5,0.539,0.05013980454688668,0.6529999999999999,0.04822862220714997,0.9626606106758118,0.058360994424288236,2.595479655744171,0.07793254516869193,3.0927047638233858,0.09286235519769041,,,,,1.5322740234511742,0.08638264000421952,13.93389293999644,0.13006169284199579
train500_q5,dkl_svgp,500,200,50,5,5,25,True,5,0.213,0.036687872655688285,0.246,0.040914545090957564,1.0547277212142945,0.05699747742285563,0.777603993259066,0.0610451529978334,0.9265723077420438,0.07273978629225515,,,,,1.4678885459899902,0.055785047739087594,2.2757551000104286,0.1434940464331194
train500_q5,jgp_pca,500,200,50,5,5,25,True,5,0.5450000000000002,0.03949683531626299,0.615,0.047116875957558986,1.2642523050308228,0.06642561230089135,3.1345721861179903,0.18753175442461498,3.7350731342087378,0.22345786798736175,,,,0.15530939698219298,1.9904983037091146,0.08636624157898017,59.172258719988164,3.70303500956277
train500_q5,lmjgp_baseline,500,200,50,5,5,25,True,5,0.805,0.026076809620810566,0.868,0.012884098726725137,0.9463543653488159,0.03898902165661625,4.331075661738475,0.14958651600132883,5.160794962077094,0.17824332763202091,0.2351464033126831,40.40146484375,0.3028878152370453,,1.6452603340148926,0.0693805826363298,459.3097160200006,32.21406126914661
train500_q5,lmjgp_pls_kl,500,200,50,5,5,25,True,5,0.78,0.026645825188948445,0.8460000000000001,0.01907878402833893,0.9477852344512939,0.04391799048203855,4.007638122954945,0.07610390413530013,4.775395363670944,0.09068339501097578,0.689239752292633,9.362049007415772,0.30824617892503736,,1.646705150604248,0.08328682611644304,482.6684924000059,32.05400181136317
train500_q5,xgb_bootstrap,500,200,50,5,5,25,True,5,0.504,0.04768647607026548,0.623,0.04478839135311742,0.9275984048843384,0.06577096257524774,2.34167649867529,0.07888936958056789,2.790279648988384,0.0940024818059658,,,,,1.4813843739726207,0.09359234375905097,17.507886379992122,0.22776921630978458
