setting,seed,method,N_train,N_test,D,Q_true,Q,n,standardize_x,jump_amp,noise_std,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,status,dkl_epochs,median_capture_ratio_top_Q_truth,median_eff_rank_A,median_subspace_cos_to_truth,n_bad_sig2,pca_explained_variance_sum,xgb_boots
moderate,0,xgb_bootstrap,1000,200,50,2,2,25,True,1.5,0.1,1.3556410886525312,0.8423277139663696,19.471788200025912,0.515,2.168701165101691,0.63,2.584166826264822,ok,,,,,,,30
moderate,0,dkl_svgp,1000,200,50,2,2,25,True,1.5,0.1,1.0369092226028442,0.6680587530136108,3.3118978000129573,0.325,0.7288884403784306,0.405,0.8685241461497182,ok,80,,,,,,
moderate,0,jgp_pca,1000,200,50,2,2,25,True,1.5,0.1,1.632242332082472,0.9289809465408325,24.212930999987293,0.89,4.46709259448875,0.945,5.322869133973004,ok,,,,,0,0.0575527548789978,
moderate,0,lmjgp_baseline,1000,200,50,2,2,25,True,1.5,0.1,1.4235111474990845,0.7900486588478088,210.14313819998642,0.935,4.34680811803903,0.96,5.179541340011395,ok,,0.2044609636068344,28.995830535888672,0.2702084630727768,,,
moderate,0,lmjgp_pls_kl,1000,200,50,2,2,25,True,1.5,0.1,1.437076449394226,0.7978314757347107,213.33360499999253,0.91,4.317787367144034,0.94,5.144960982448564,ok,,0.6675026416778564,3.837771415710449,0.21138866990804672,,,
moderate,1,xgb_bootstrap,1000,200,50,2,2,25,True,1.5,0.1,1.2597573165836198,0.8228923082351685,22.163577599974815,0.48,2.1220940437354794,0.59,2.528631015780478,ok,,,,,,,30
moderate,1,dkl_svgp,1000,200,50,2,2,25,True,1.5,0.1,1.1729586124420166,0.7709137797355652,2.9244481999776326,0.295,0.6968080185232819,0.355,0.8302979657682599,ok,80,,,,,,
moderate,1,jgp_pca,1000,200,50,2,2,25,True,1.5,0.1,1.6001502201238975,0.9622124433517456,23.828332800010685,0.84,4.3985661729022265,0.92,5.241214866323719,ok,,,,,0,0.05607862025499344,
moderate,1,lmjgp_baseline,1000,200,50,2,2,25,True,1.5,0.1,1.4367629289627075,0.8350993394851685,228.76372500002617,0.86,4.270456656517878,0.94,5.088562962181019,ok,,0.15290318429470062,37.32301139831543,0.21816779673099518,,,
moderate,1,lmjgp_pls_kl,1000,200,50,2,2,25,True,1.5,0.1,1.3845962285995483,0.7995274066925049,226.980815399962,0.885,4.14580897301656,0.95,4.940036086344829,ok,,0.6173624992370605,4.792752265930176,0.2354171797633171,,,
moderate,2,xgb_bootstrap,1000,200,50,2,2,25,True,1.5,0.1,1.3123565585319799,0.8473344445228577,20.08091920003062,0.47,2.1787161732142026,0.615,2.596100444480918,ok,,,,,,,30
moderate,2,dkl_svgp,1000,200,50,2,2,25,True,1.5,0.1,1.1173762083053589,0.7635143995285034,2.9022802999825217,0.29,0.6956346520935759,0.345,0.8288998134310488,ok,80,,,,,,
moderate,2,jgp_pca,1000,200,50,2,2,25,True,1.5,0.1,1.4893700546759512,0.8800511360168457,23.131738500029314,0.905,4.558071237201728,0.93,5.431276873213766,ok,,,,,0,0.056499578058719635,
moderate,2,lmjgp_baseline,1000,200,50,2,2,25,True,1.5,0.1,1.4249026775360107,0.8224348425865173,230.90579519997118,0.92,4.393875313800575,0.965,5.2356253629508105,ok,,0.15149322152137756,37.280534744262695,0.11910559609532356,,,
moderate,2,lmjgp_pls_kl,1000,200,50,2,2,25,True,1.5,0.1,1.4412304162979126,0.8388370871543884,228.85524070000974,0.855,4.197743360059106,0.925,5.001919725408328,ok,,0.5462913513183594,6.249521970748901,0.22440337389707565,,,
moderate,3,xgb_bootstrap,1000,200,50,2,2,25,True,1.5,0.1,1.3543151939663456,0.8766250014305115,19.63668580004014,0.465,2.1064150732784244,0.565,2.5099483701596337,ok,,,,,,,30
moderate,3,dkl_svgp,1000,200,50,2,2,25,True,1.5,0.1,0.9379584193229675,0.6065544486045837,2.9979963999940082,0.36,0.7266922873366094,0.375,0.8659072683947747,ok,80,,,,,,
moderate,3,jgp_pca,1000,200,50,2,2,25,True,1.5,0.1,1.5613577329033197,0.9157456755638123,23.53277660004096,0.85,4.3882666919194016,0.93,5.2289422777753956,ok,,,,,0,0.057817310094833374,
moderate,3,lmjgp_baseline,1000,200,50,2,2,25,True,1.5,0.1,1.4315377473831177,0.8247967958450317,231.70131039997796,0.92,4.427804230706861,0.94,5.27605416104029,ok,,0.17351415753364563,33.41659927368164,0.19411571323871613,,,
moderate,3,lmjgp_pls_kl,1000,200,50,2,2,25,True,1.5,0.1,1.4640976190567017,0.8428331017494202,235.22748840000713,0.87,4.28638126115112,0.92,5.1075382989756015,ok,,0.5338940620422363,6.021463871002197,0.21986444294452667,,,
moderate,4,xgb_bootstrap,1000,200,50,2,2,25,True,1.5,0.1,1.3410674821644308,0.8760291934013367,19.634547299996484,0.47,2.090122027886656,0.55,2.490534009122824,ok,,,,,,,30
moderate,4,dkl_svgp,1000,200,50,2,2,25,True,1.5,0.1,1.0634517669677734,0.7019032835960388,3.0065771999652497,0.32,0.7495539784655592,0.37,0.8931486535880981,ok,80,,,,,,
moderate,4,jgp_pca,1000,200,50,2,2,25,True,1.5,0.1,1.5239284896416045,0.9027320742607117,23.43747090001125,0.915,4.703760947125083,0.955,5.604876870009279,ok,,,,,0,0.05672401934862137,
moderate,4,lmjgp_baseline,1000,200,50,2,2,25,True,1.5,0.1,1.4862499237060547,0.8562629222869873,233.17319120001048,0.885,4.435509179540246,0.96,5.2852351738481875,ok,,0.1827101707458496,32.285268783569336,0.2256743311882019,,,
moderate,4,lmjgp_pls_kl,1000,200,50,2,2,25,True,1.5,0.1,1.4671602249145508,0.8433828353881836,232.58909669995774,0.88,4.444288222493288,0.945,5.295696048739885,ok,,0.5542685389518738,6.253173589706421,0.2029218003153801,,,
