setting,seed,method,N_train,N_test,D,Q_true,Q,n,standardize_x,jump_amp,noise_std,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,status,dkl_epochs,median_capture_ratio_top_Q_truth,median_eff_rank_A,median_subspace_cos_to_truth,n_bad_sig2,pca_explained_variance_sum,xgb_boots
train200,0,xgb_bootstrap,200,200,50,2,2,25,True,1.5,0.1,1.4113661186020114,0.9184472560882568,14.045026500010863,0.425,2.341471376306356,0.595,2.7900352306103917,ok,,,,,,,30
train200,0,dkl_svgp,200,200,50,2,2,25,True,1.5,0.1,1.5538339614868164,1.1460717916488647,1.8916632999898866,0.18,0.7613093737767846,0.215,0.9071560710607001,ok,80,,,,,,
train200,0,jgp_pca,200,200,50,2,2,25,True,1.5,0.1,1.5086650091226883,0.897300124168396,24.953746300016064,0.895,4.562303122411915,0.93,5.436319475462847,ok,,,,,0,0.08236022293567657,
train200,0,lmjgp_baseline,200,200,50,2,2,25,True,1.5,0.1,1.4958332777023315,0.8669838309288025,230.64727429999039,0.9,4.543726337378548,0.95,5.414183870800307,ok,,0.23951533436775208,23.109923362731934,0.20465034991502762,,,
train200,0,lmjgp_pls_kl,200,200,50,2,2,25,True,1.5,0.1,1.3679393529891968,0.7782363891601562,254.2821029999759,0.915,4.217077682165006,0.935,5.024957991167752,ok,,0.6885977983474731,3.450662136077881,0.2897210717201233,,,
train200,1,xgb_bootstrap,200,200,50,2,2,25,True,1.5,0.1,1.26402782517859,0.8122542500495911,13.740747099975124,0.515,2.2455732579606416,0.65,2.67576557459783,ok,,,,,,,30
train200,1,dkl_svgp,200,200,50,2,2,25,True,1.5,0.1,1.32551109790802,0.9529640674591064,2.1739870000164956,0.23,0.7020269703171031,0.27,0.8365167303959055,ok,80,,,,,,
train200,1,jgp_pca,200,200,50,2,2,25,True,1.5,0.1,1.4888053951130216,0.8820825815200806,24.59185530000832,0.89,4.531867931951447,0.935,5.40005370920394,ok,,,,,0,0.08237890899181366,
train200,1,lmjgp_baseline,200,200,50,2,2,25,True,1.5,0.1,1.3864177465438843,0.8013444542884827,230.15479499998037,0.88,4.058737060850308,0.945,4.836283503674489,ok,,0.18669237196445465,30.43311309814453,0.29587313532829285,,,
train200,1,lmjgp_pls_kl,200,200,50,2,2,25,True,1.5,0.1,1.2973369359970093,0.7426071763038635,231.2939422999625,0.92,3.9119313881311735,0.955,4.661353755190452,ok,,0.6193785667419434,4.08722996711731,0.3504724055528641,,,
train200,2,xgb_bootstrap,200,200,50,2,2,25,True,1.5,0.1,1.337159054396837,0.8456924557685852,13.576978500001132,0.555,2.459348804927585,0.665,2.930494850179091,ok,,,,,,,30
train200,2,dkl_svgp,200,200,50,2,2,25,True,1.5,0.1,1.4932634830474854,1.1034739017486572,1.8402493000030518,0.17,0.7195024131231316,0.205,0.8573400048517519,ok,80,,,,,,
train200,2,jgp_pca,200,200,50,2,2,25,True,1.5,0.1,1.5392783087052486,0.9012775421142578,22.101078799983952,0.87,4.586169274409197,0.945,5.464757749603339,ok,,,,,0,0.0819099098443985,
train200,2,lmjgp_baseline,200,200,50,2,2,25,True,1.5,0.1,1.3963652849197388,0.8142256140708923,232.10232609999366,0.925,4.487322923804047,0.975,5.346975058174208,ok,,0.16493724286556244,35.192392349243164,0.13598722964525223,,,
train200,2,lmjgp_pls_kl,200,200,50,2,2,25,True,1.5,0.1,1.4270732402801514,0.8333556056022644,234.43400159996236,0.9,4.3242261293103565,0.94,5.152633240784644,ok,,0.6248297691345215,4.076555013656616,0.27330969274044037,,,
train200,3,xgb_bootstrap,200,200,50,2,2,25,True,1.5,0.1,1.4805572123480375,0.919664740562439,13.804779800004326,0.555,2.4194784588957416,0.66,2.8829864026229446,ok,,,,,,,30
train200,3,dkl_svgp,200,200,50,2,2,25,True,1.5,0.1,1.5557105541229248,1.0942809581756592,1.860236500040628,0.235,0.6897221848398093,0.265,0.8218546741631662,ok,80,,,,,,
train200,3,jgp_pca,200,200,50,2,2,25,True,1.5,0.1,1.677025884553732,0.9751633405685425,22.13331800000742,0.85,4.425451501857197,0.905,5.27325071170281,ok,,,,,0,0.08517436683177948,
train200,3,lmjgp_baseline,200,200,50,2,2,25,True,1.5,0.1,1.6161726713180542,0.9078202843666077,236.37762019998627,0.87,4.415612662389323,0.93,5.261527011374261,ok,,0.20343977212905884,26.80138874053955,0.20589140057563782,,,
train200,3,lmjgp_pls_kl,200,200,50,2,2,25,True,1.5,0.1,1.5724284648895264,0.8639658689498901,201.5523379999795,0.89,4.320712547781343,0.945,5.1484465501631975,ok,,0.6151431202888489,4.7895567417144775,0.3256438374519348,,,
train200,4,xgb_bootstrap,200,200,50,2,2,25,True,1.5,0.1,1.3514007631205247,0.887938916683197,13.985099399986211,0.485,2.3863914409265594,0.62,2.8435607889921335,ok,,,,,,,30
train200,4,dkl_svgp,200,200,50,2,2,25,True,1.5,0.1,1.3687876462936401,0.9472951889038086,1.891300900024362,0.235,0.7985729328339854,0.285,0.9515583403515288,ok,80,,,,,,
train200,4,jgp_pca,200,200,50,2,2,25,True,1.5,0.1,1.629567548232447,0.984402060508728,26.794604199996684,0.895,4.612666954668196,0.92,5.496331683071055,ok,,,,,0,0.08293533325195312,
train200,4,lmjgp_baseline,200,200,50,2,2,25,True,1.5,0.1,1.4716204404830933,0.8647253513336182,241.15505620004842,0.93,4.453597319737817,0.955,5.30678852227607,ok,,0.16543890535831451,35.38397407531738,0.16689863801002502,,,
train200,4,lmjgp_pls_kl,200,200,50,2,2,25,True,1.5,0.1,1.4739664793014526,0.8650935292243958,240.60441070003435,0.9,4.437600327084345,0.935,5.287726929835248,ok,,0.5188746452331543,6.616636276245117,0.1475875899195671,,,
train500,0,xgb_bootstrap,500,200,50,2,2,25,True,1.5,0.1,1.2649911172093942,0.8174991011619568,17.34486279997509,0.46,2.200452349457103,0.635,2.6220006959681332,ok,,,,,,,30
train500,0,dkl_svgp,500,200,50,2,2,25,True,1.5,0.1,1.255212426185608,0.904434084892273,2.212450799997896,0.215,0.6891558421738282,0.275,0.8211798352534642,ok,80,,,,,,
train500,0,jgp_pca,500,200,50,2,2,25,True,1.5,0.1,1.4287227962546976,0.8414117693901062,22.499608199985232,0.895,4.332379322151245,0.93,5.162348369271042,ok,,,,,0,0.06662724912166595,
train500,0,lmjgp_baseline,500,200,50,2,2,25,True,1.5,0.1,1.2836799621582031,0.7377274036407471,227.95326869998826,0.92,4.380326788614173,0.96,5.2194812994463895,ok,,0.18103152513504028,32.79550743103027,0.18885774165391922,,,
train500,0,lmjgp_pls_kl,500,200,50,2,2,25,True,1.5,0.1,1.3510665893554688,0.777888298034668,237.64334790001158,0.91,4.2563394675468045,0.94,5.071741293983386,ok,,0.6364040374755859,4.592009544372559,0.26883767545223236,,,
