setting,family,seed,method,status,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n,standardize_x,standardize_y,y_scale,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,expansion,caseno,lmjgp_steps,MC_num
l2_q2_train1000,L2_phantom,0,lmjgp_baseline,ok,1000,200,2,20,2,2,25,True,True,3.9045451272058114,2.206693330453148,1.2515933088855486,83.9691858291626,0.845,6.257700873114974,0.915,7.456510498178234,rff,6,300,3
l2_q2_train1000,L2_phantom,0,lmjgp_pls_kl,ok,1000,200,2,20,2,2,25,True,True,3.9045451272058114,2.28057455591405,1.2834935927502056,88.08792600000743,0.83,6.153695461528923,0.9,7.332580406426714,rff,6,300,3
lh_q5_train1000,LH,0,lmjgp_baseline,ok,1000,200,5,30,5,5,35,True,True,388.6937353184207,771.8044112231398,396.18991153813187,240.8417673110962,0.78,935.3042546858001,0.785,1114.4837593657383,rff,0,300,3
lh_q5_train1000,LH,0,lmjgp_pls_kl,ok,1000,200,5,30,5,5,35,True,True,388.6937353184207,764.1499515552275,388.72598510763265,234.1372548000072,0.735,638.973140283916,0.74,761.383457788906,rff,0,300,3
l2_q2_train1000,L2_phantom,1,lmjgp_baseline,ok,1000,200,2,20,2,2,25,True,True,3.859445294490804,2.214310803154014,1.1852964880177592,79.9310302734375,0.825,5.936379415928981,0.89,7.073632366516337,rff,6,300,3
l2_q2_train1000,L2_phantom,1,lmjgp_pls_kl,ok,1000,200,2,20,2,2,25,True,True,3.859445294490804,2.3096353671684726,1.2171707203432744,91.0552704000147,0.825,5.8428393361673265,0.885,6.962172486780026,rff,6,300,3
lh_q5_train1000,LH,1,lmjgp_baseline,ok,1000,200,5,30,5,5,35,True,True,172.84991684329782,611.3455429074595,257.88172925935294,269.85128831863403,0.425,144.8366727122959,0.535,172.58354026482033,rff,0,300,3
lh_q5_train1000,LH,1,lmjgp_pls_kl,ok,1000,200,5,30,5,5,35,True,True,172.84991684329782,611.8605933808414,253.94594910173862,283.6497023999691,0.49,72.55912434170406,0.58,86.45952936437138,rff,0,300,3
l2_q2_train1000,L2_phantom,2,lmjgp_baseline,ok,1000,200,2,20,2,2,25,True,True,3.9920218086013355,2.5289359801353686,1.3833971571248849,100.14354014396667,0.79,6.062978440077813,0.875,7.224484408147243,rff,6,300,3
l2_q2_train1000,L2_phantom,2,lmjgp_pls_kl,ok,1000,200,2,20,2,2,25,True,True,3.9920218086013355,2.5666766018872655,1.4045662357280235,87.9055873999605,0.79,6.179087824095721,0.865,7.362837272629175,rff,6,300,3
lh_q5_train1000,LH,2,lmjgp_baseline,ok,1000,200,5,30,5,5,35,True,True,194.78313659804382,504.67332370650684,190.29943211123594,266.85610699653625,0.56,315.57128399212905,0.65,376.02637769414235,rff,0,300,3
lh_q5_train1000,LH,2,lmjgp_pls_kl,ok,1000,200,5,30,5,5,35,True,True,194.78313659804382,478.21557324716065,178.05278438119495,274.05916800000705,0.57,375.12753473287813,0.63,446.99202752065355,rff,0,300,3
l2_q2_train1000,L2_phantom,3,lmjgp_baseline,ok,1000,200,2,20,2,2,25,True,True,3.717619208740847,2.449203232266885,1.3124688756208125,85.72906708717346,0.805,6.275559061677106,0.89,7.477789842332266,rff,6,300,3
l2_q2_train1000,L2_phantom,3,lmjgp_pls_kl,ok,1000,200,2,20,2,2,25,True,True,3.717619208740847,2.4788378842698506,1.344481714097494,92.5681867999956,0.805,6.02938414700771,0.88,7.184454338951652,rff,6,300,3
lh_q5_train1000,LH,3,lmjgp_baseline,ok,1000,200,5,30,5,5,35,True,True,399.5657026752952,656.5223666483316,313.04837411497493,358.26081562042236,0.565,993.515131157295,0.59,1183.8462968725516,rff,0,300,3
lh_q5_train1000,LH,3,lmjgp_pls_kl,ok,1000,200,5,30,5,5,35,True,True,399.5657026752952,171531.71002058353,8.612461061460907e+18,702.9726877000066,0.575,1.212369930177155e+20,0.625,1.4446278745729807e+20,rff,0,300,3
l2_q2_train1000,L2_phantom,4,lmjgp_baseline,ok,1000,200,2,20,2,2,25,True,True,3.9548228858487446,2.6862806868679425,1.4655920066081085,271.5085778236389,0.76,6.136678940117906,0.85,7.31230397054131,rff,6,300,3
l2_q2_train1000,L2_phantom,4,lmjgp_pls_kl,ok,1000,200,2,20,2,2,25,True,True,3.9548228858487446,2.589537398750913,1.43834186686937,244.92207660002168,0.755,6.0835118469790626,0.855,7.2489514715667065,rff,6,300,3
lh_q5_train1000,LH,4,lmjgp_baseline,ok,1000,200,5,30,5,5,35,True,True,220.54155853863128,438.1611006425145,140.2192458875231,268.47751808166504,0.8,310.14485447852235,0.825,369.56038811485917,rff,0,300,3
lh_q5_train1000,LH,4,lmjgp_pls_kl,ok,1000,200,5,30,5,5,35,True,True,220.54155853863128,407.9186525070423,134.41294003262857,242.15875309996773,0.775,404.8609522049169,0.83,482.4215796872484,rff,0,300,3
