setting,family,expansion,caseno,method,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n,standardize_x,noise_std,noise_var,lengthscale,kernel_var,n_seeds,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,mean_crps_mean,mean_crps_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,pca_explained_variance_sum_mean,rmse_mean,rmse_std,vi_best_loss_mean,vi_kl_mean,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,rff,6,cem_em_transductive_vi_fullcov_ensemble,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.789,0.01827566688249705,0.865,0.014142135623730963,1.3506711959838866,0.0831786750651718,5.910816575463656,0.1277958892714443,7.043172363368558,0.15227819438774243,,2.4681024427167335,0.1502070772558709,463.9073913574219,83732.6578125,414.4819790599751,3.9806257898449586
l2_q2_train1000,L2_phantom,rff,6,dkl_svgp,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.348,0.021587033144922895,0.41000000000000003,0.017320508075688763,1.5585907220840454,0.08069601379838251,1.9942784227905388,0.03547369212773476,2.376329309653592,0.042269511298632635,,2.374913787841797,0.10548992848706269,,,1.757580379990395,0.08062255368530975
l2_q2_train1000,L2_phantom,rff,6,jgp_pca,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.771,0.0267207784317748,0.857,0.02976575213227446,1.409788727760315,0.051784576198691895,6.062484753586251,0.29116331081484675,7.2238961444092045,0.3469424837966919,0.7692950322523205,2.6051364959447065,0.07207111865457069,,,13.720701220002956,0.5987693917845012
l2_q2_train1000,L2_phantom,rff,6,lmjgp_baseline,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.805,0.018165902124584923,0.8800000000000001,0.010954451150103333,1.3147398471832275,0.07733782016315399,6.127457316942706,0.09234174928724645,7.301315728787611,0.11003198090511249,,2.404139757156372,0.14338611548237543,,,78.58965520858764,2.333887852112394
l2_q2_train1000,L2_phantom,rff,6,lmjgp_pls_kl,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.798,0.02088061301782109,0.8799999999999999,0.018708286933869722,1.3397774934768676,0.07743574183395932,6.089639761021888,0.1748066063063152,7.256253331517951,0.2082949187734364,,2.457353687286377,0.13917080052749115,,,79.17423727998975,0.9571175299967167
l2_q2_train1000,L2_phantom,rff,6,xgb_bootstrap,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,5,0.689,0.03638681079732049,0.773,0.035580893749314425,1.4050641298294066,0.11286294340143123,4.847131494135335,0.11242282783987752,5.775713413747642,0.1339600618534597,,2.4356067851027126,0.18981157720064415,,,9.359064660023432,1.5522682888521462
lh_q5_train1000,LH,rff,0,cem_em_transductive_vi_fullcov_ensemble,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,5,0.546,0.12179490958164056,0.592,0.1277732366342811,249.9891357421875,95.36372192787303,311.75533960699147,109.65344814313171,371.479399507555,130.6601424100512,,584.1814647933155,133.7457564683985,469.3958312988281,60815.008984375,908.4586842599907,361.2093795738866
lh_q5_train1000,LH,rff,0,dkl_svgp,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,5,0.596,0.11909659944767521,0.611,0.11208925015361643,268.48517150878905,80.48571740731788,138.1525161840188,43.94186949426475,164.61887651128512,52.35996699702637,,528.8844177246094,84.47052989080915,,,2.3621005199849607,0.7115553827842233
lh_q5_train1000,LH,rff,0,jgp_pca,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,5,0.378,0.1404492791010335,0.42400000000000004,0.14301748144894735,327.6866821289062,137.3276909883359,164.76419466781414,109.9858188061622,196.32864724211078,131.0561864825349,0.5317772238335545,679.6499485157594,162.88275294644632,,,66.70652882000431,25.21359660169108
lh_q5_train1000,LH,rff,0,lmjgp_baseline,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,5,0.679,0.10150862032359614,0.719,0.09630160954002795,258.6902160644531,79.87077126293765,539.7767044047209,317.350080553307,643.1836140263368,378.14594452890935,,595.8483764648438,105.10986490149217,,,354.92899174690245,109.1150743821705
lh_q5_train1000,LH,rff,0,lmjgp_pls_kl,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,5,0.724,0.055081757415681665,0.7699999999999999,0.051672042731055266,4310911073596402.5,8621822147192327.0,6.068438417310276e+16,1.2136876834620443e+17,7.23099037229912e+16,1.4461980744598112e+17,,1359.695458984375,1586.8174368032385,,,364.4168463600101,102.80557917902212
lh_q5_train1000,LH,rff,0,xgb_bootstrap,1000,200,5,30,5,5,35,True,2.0,4.0,0.5,9.0,5,0.7550000000000001,0.08905054744357273,0.768,0.0792842985716592,296.83363952636716,102.97860746109413,503.45939572720516,142.03843628392457,599.908871607293,169.24923590486304,,603.1997470898896,106.84172850317664,,,12.563029759982602,3.5288688126236796
