"setting","method","n_seeds","rmse_mean","crps_mean","coverage_90_mean","mean_width_90_mean"
"l2_q2_train1000","cem_em_transductive_vi_fullcov_ensemble","5","2.46810244271673","1.35067119598389","0.789","5.91081657546366"
"l2_q2_train1000","dkl_svgp","5","2.3749137878418","1.55859072208405","0.348","1.99427842279054"
"l2_q2_train1000","jgp_pca","5","2.60513649594471","1.40978872776031","0.771","6.06248475358625"
"l2_q2_train1000","lmjgp_baseline","5","2.40413975715637","1.31473984718323","0.805","6.12745731694271"
"l2_q2_train1000","lmjgp_pls_kl","5","2.45735368728638","1.33977749347687","0.798","6.08963976102189"
"l2_q2_train1000","xgb_bootstrap","5","2.43560678510271","1.40506412982941","0.689","4.84713149413534"
"lh_q5_train1000","cem_em_transductive_vi_fullcov_ensemble","4","585.667620835638","251.538650512695","0.5975","279.199992987949"
"lh_q5_train1000","dkl_svgp","4","525.828788757324","254.184459686279","0.63125","123.83841735532"
"lh_q5_train1000","jgp_pca","4","642.45376608897","297.473091125488","0.42375","121.476602108041"
"lh_q5_train1000","lmjgp_baseline","4","584.223510742188","248.998725891113","0.7125","444.362833280774"
"lh_q5_train1000","lmjgp_pls_kl","4","567.906433105469","238.417873382568","0.7325","537.233785656514"
"lh_q5_train1000","xgb_bootstrap","4","584.471263814942","274.667911529541","0.77875","459.792624452554"
