"setting","method","n_seeds","rmse_mean","crps_mean","coverage_90_mean","mean_width_90_mean"
"l2_q2_train1000","cem_em_transductive_vi_fullcov_ensemble","5","2.46810244271673","1.35067119598389","0.789","5.91081657546366"
"l2_q2_train1000","dkl_svgp","5","2.3749137878418","1.55859072208405","0.348","1.99427842279054"
"l2_q2_train1000","jgp_pca","5","2.60513649594471","1.40978872776031","0.771","6.06248475358625"
"l2_q2_train1000","lmjgp_baseline","5","2.40413975715637","1.31473984718323","0.805","6.12745731694271"
"l2_q2_train1000","lmjgp_pls_kl","5","2.45735368728638","1.33977749347687","0.798","6.08963976102189"
"l2_q2_train1000","xgb_bootstrap","5","2.43560678510271","1.40506412982941","0.689","4.84713149413534"
"lh_q5_train1000","cem_em_transductive_vi_fullcov_ensemble","5","584.181464793316","249.989135742188","0.546","311.755339606991"
"lh_q5_train1000","dkl_svgp","5","528.884417724609","268.485171508789","0.596","138.152516184019"
"lh_q5_train1000","jgp_pca","5","679.649948515759","327.686682128906","0.378","164.764194667814"
"lh_q5_train1000","lmjgp_baseline","5","595.848376464844","258.690216064453","0.679","539.776704404721"
"lh_q5_train1000","lmjgp_pls_kl","4","567.906433105469","238.417873382568","0.7325","537.233785656514"
"lh_q5_train1000","xgb_bootstrap","5","603.19974708989","296.833639526367","0.755","503.459395727205"
