setting,family,expansion,caseno,seed,method,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n,standardize_x,noise_std,noise_var,lengthscale,kernel_var,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,status,cem_jgp_elapsed_sec,cem_map_train_time_sec,cem_vi_train_time_sec,dkl_epochs,lmjgp_steps,n_bad_sig2,pca_explained_variance_sum,truth_diag_skipped,vi_anchor_var_mean,vi_best_loss,vi_kl,vi_query_var_mean,xgb_boots
l2_q2_train1000,L2_phantom,rff,6,0,xgb_bootstrap,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.2648554254821653,1.350776195526123,12.427126300055534,0.71,4.879802802847356,0.795,5.8146436792461165,ok,,,,,,,,,,,,,30
l2_q2_train1000,L2_phantom,rff,6,0,dkl_svgp,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.2431325912475586,1.4999843835830688,1.8532794999773614,0.37,2.0361344526776186,0.405,2.426203845460497,ok,,,,80,,,,,,,,,
l2_q2_train1000,L2_phantom,rff,6,0,jgp_pca,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.5226538768080458,1.4082707166671753,14.835131300031208,0.78,6.129709460385234,0.86,7.303999323219996,ok,,,,,,0,0.7887465420908415,,,,,,
l2_q2_train1000,L2_phantom,rff,6,0,lmjgp_baseline,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.247180938720703,1.2649946212768555,82.9889886379242,0.82,6.197867205803318,0.89,7.385214286118839,ok,,,,,300,,,,,,,,
l2_q2_train1000,L2_phantom,rff,6,0,lmjgp_pls_kl,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.2900099754333496,1.2950454950332642,80.72681849997025,0.825,6.158233465440791,0.9,7.337987771606947,ok,,,,,300,,,True,,,,,
l2_q2_train1000,L2_phantom,rff,6,0,cem_em_transductive_vi_fullcov_ensemble,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.284733006337078,1.2905644178390503,411.4403161999653,0.815,5.958823895006591,0.885,7.100376612887614,ok,42.87790540000424,269.2904805999715,99.27193019998958,,,,,,0.0064449552446603775,408.1971740722656,65120.328125,0.015112358145415783,
l2_q2_train1000,L2_phantom,rff,6,1,xgb_bootstrap,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.270955406970033,1.3019546270370483,8.813478199997917,0.7,4.631575518111883,0.77,5.518862626093446,ok,,,,,,,,,,,,,30
l2_q2_train1000,L2_phantom,rff,6,1,dkl_svgp,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.3002004623413086,1.4693822860717773,1.6610592000070028,0.37,1.9690807102624703,0.435,2.3463043832780217,ok,,,,80,,,,,,,,,
l2_q2_train1000,L2_phantom,rff,6,1,jgp_pca,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.6249397427283983,1.3519207239151,13.16503879998345,0.79,6.2243479845026,0.9,7.416768080135978,ok,,,,,,0,0.6226739298214632,,,,,,
l2_q2_train1000,L2_phantom,rff,6,1,lmjgp_baseline,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.252260208129883,1.2086546421051025,77.0924141407013,0.825,5.949895488229106,0.89,7.089737760021645,ok,,,,,300,,,,,,,,
l2_q2_train1000,L2_phantom,rff,6,1,lmjgp_pls_kl,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.2978861331939697,1.2193495035171509,79.43974089995027,0.81,5.754856643642979,0.89,6.857334642375488,ok,,,,,300,,,True,,,,,
l2_q2_train1000,L2_phantom,rff,6,1,cem_em_transductive_vi_fullcov_ensemble,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.286365092098514,1.2244865894317627,411.41362199990544,0.8,5.741512489544554,0.875,6.841434102042583,ok,43.110898199956864,268.3120831999695,99.99064059997909,,,,,,0.00783263798803091,105.18817138671875,12569.125,0.00694075133651495,
l2_q2_train1000,L2_phantom,rff,6,2,xgb_bootstrap,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.534096395745457,1.428938388824463,8.199758400034625,0.69,4.90413243067174,0.795,5.84363421889762,ok,,,,,,,,,,,,,30
l2_q2_train1000,L2_phantom,rff,6,2,dkl_svgp,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.4153690338134766,1.5685774087905884,1.6922745000338182,0.355,2.0124585420344063,0.425,2.3979922578751087,ok,,,,80,,,,,,,,,
l2_q2_train1000,L2_phantom,rff,6,2,jgp_pca,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.5762052095044354,1.416955828666687,13.46238420001464,0.745,5.663027049410744,0.835,6.747912931859104,ok,,,,,,0,0.8179977509682276,,,,,,
l2_q2_train1000,L2_phantom,rff,6,2,lmjgp_baseline,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.5672435760498047,1.386036992073059,77.37589144706726,0.795,6.156730905066135,0.88,7.336197360490319,ok,,,,,300,,,,,,,,
l2_q2_train1000,L2_phantom,rff,6,2,lmjgp_pls_kl,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.5032830238342285,1.3720014095306396,79.00239830004284,0.785,6.089338619524276,0.88,7.255894499291241,ok,,,,,300,,,True,,,,,
l2_q2_train1000,L2_phantom,rff,6,2,cem_em_transductive_vi_fullcov_ensemble,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.5791146198734696,1.4105404615402222,421.42254239995964,0.785,6.036973848216672,0.865,7.193498025744959,ok,43.57271529996069,280.20010449999245,97.6497226000065,,,,,,0.004078255034983158,436.88226318359375,75662.5546875,0.009736746549606323,
l2_q2_train1000,L2_phantom,rff,6,3,xgb_bootstrap,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.346564007983663,1.329299807548523,8.49871830001939,0.725,4.957455868332785,0.8,5.907173013860922,ok,,,,,,,,,,,,,30
l2_q2_train1000,L2_phantom,rff,6,3,dkl_svgp,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.3650057315826416,1.5514509677886963,1.852182999951765,0.32,1.9383385143140546,0.395,2.3096727974169498,ok,,,,80,,,,,,,,,
l2_q2_train1000,L2_phantom,rff,6,3,jgp_pca,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.5680491117277886,1.3701622486114502,13.825471799995285,0.805,6.478639510830131,0.875,7.719775122835215,ok,,,,,,0,0.8423333044492205,,,,,,
l2_q2_train1000,L2_phantom,rff,6,3,lmjgp_baseline,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.3824758529663086,1.2956843376159668,76.57483983039856,0.81,6.20001029983663,0.88,7.387767940165588,ok,,,,,300,,,,,,,,
l2_q2_train1000,L2_phantom,rff,6,3,lmjgp_pls_kl,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.5673651695251465,1.363800048828125,77.75329419999616,0.805,6.2071812555847234,0.885,7.396312660966699,ok,,,,,300,,,True,,,,,
l2_q2_train1000,L2_phantom,rff,6,3,cem_em_transductive_vi_fullcov_ensemble,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.567290488596593,1.3721541166305542,411.61272490007104,0.785,5.776547593888619,0.855,6.883181003763093,ok,42.71973870001966,271.0054055000073,97.88758070004405,,,,,,0.008193714544177055,718.5220947265625,147609.125,0.00479881139472127,
l2_q2_train1000,L2_phantom,rff,6,4,xgb_bootstrap,1000,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.761562689332245,1.6143516302108765,8.856242100009695,0.62,4.862690850712916,0.705,5.794253530640106,ok,,,,,,,,,,,,,30
