setting,family,expansion,caseno,seed,method,N_train,N_test,d,D,Q_true,Q,n,standardize_x,noise_std,noise_var,lengthscale,kernel_var,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,status,error,cem_jgp_elapsed_sec,cem_map_train_time_sec,cem_vi_train_time_sec,dkl_epochs,lmjgp_steps,n_bad_sig2,pca_explained_variance_sum,truth_diag_skipped,vi_anchor_var_mean,vi_best_loss,vi_kl,vi_query_var_mean,xgb_boots
l2_q2_train200,L2_phantom,rff,6,0,xgb_bootstrap,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.4929897146254434,1.438686490058899,2.9191300999955274,0.665,4.698487430022322,0.76,5.59859308680577,ok,,,,,,,,,,,,,,30
l2_q2_train200,L2_phantom,rff,6,0,dkl_svgp,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.462644338607788,1.6954138278961182,1.071910900005605,0.3,2.0135706142637493,0.355,2.3993173736677886,ok,,,,,80,,,,,,,,,
l2_q2_train200,L2_phantom,rff,6,0,jgp_pca,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,3.2735917007229314,1.7400071620941162,12.056943500007037,0.71,6.6326501538638105,0.785,7.90329012297618,ok,,,,,,,0,0.7984360060696504,,,,,,
l2_q2_train200,L2_phantom,rff,6,0,lmjgp_baseline,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,3.0273165702819824,1.6052212715148926,57.721477031707764,0.785,6.978002930742884,0.845,8.314803338227065,ok,,,,,,300,,,,,,,,
l2_q2_train200,L2_phantom,rff,6,0,lmjgp_pls_kl,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,3.069080114364624,1.6086621284484863,60.99504940002225,0.795,7.299114721908768,0.865,8.697431637416663,ok,,,,,,300,,,True,,,,,
l2_q2_train200,L2_phantom,rff,6,0,cem_em_transductive_vi_fullcov_ensemble,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,3.1884943317805488,1.6449453830718994,320.77071220002836,0.765,6.705848106184833,0.825,7.9905108628283825,ok,,33.883202800003346,209.5098197000334,77.3776896999916,,,,,,0.008512400090694427,2631.793701171875,509998.4375,-0.0010115626500919461,
l2_q2_train200,L2_phantom,rff,6,1,xgb_bootstrap,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.919117096456514,1.6401488780975342,3.390220200002659,0.615,4.6724070918856535,0.685,5.567516447149246,ok,,,,,,,,,,,,,,30
l2_q2_train200,L2_phantom,rff,6,1,dkl_svgp,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.7238526344299316,1.7503817081451416,0.9713051000144333,0.315,1.991767658654739,0.405,2.3733375496579243,ok,,,,,80,,,,,,,,,
l2_q2_train200,L2_phantom,rff,6,1,jgp_pca,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,3.2176659351228936,1.6714978218078613,10.11331370001426,0.73,5.526009372295323,0.78,6.584646299502711,ok,,,,,,,0,0.8160669637717097,,,,,,
l2_q2_train200,L2_phantom,rff,6,1,lmjgp_baseline,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.9694085121154785,1.5281238555908203,56.359612226486206,0.84,7.136710429622153,0.88,8.503914987302073,ok,,,,,,300,,,,,,,,
l2_q2_train200,L2_phantom,rff,6,1,lmjgp_pls_kl,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.8780694007873535,1.5135406255722046,60.03949830000056,0.82,6.9464154114322465,0.885,8.277164487453119,ok,,,,,,300,,,True,,,,,
l2_q2_train200,L2_phantom,rff,6,1,cem_em_transductive_vi_fullcov_ensemble,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,3.1431118292232383,1.6657272577285767,324.98424040008103,0.745,6.079563219280922,0.82,7.2442463914611555,ok,,34.18663130002096,211.09781400003703,79.69979510002304,,,,,,0.002080711768940091,3247.65625,617181.0625,0.005588773172348738,
l2_q2_train200,L2_phantom,rff,6,2,xgb_bootstrap,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.4643457440381518,1.4002925157546997,3.337879400001839,0.71,5.077136844037703,0.77,6.049781692330996,ok,,,,,,,,,,,,,,30
l2_q2_train200,L2_phantom,rff,6,2,dkl_svgp,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.4103517532348633,1.5973376035690308,0.9285632999963127,0.32,2.0850274575576115,0.395,2.484463454151839,ok,,,,,80,,,,,,,,,
l2_q2_train200,L2_phantom,rff,6,2,jgp_pca,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.8154679455216516,1.5449981689453125,10.499459200014826,0.795,7.113664238317865,0.855,8.476453756590049,ok,,,,,,,0,0.7099882319155482,,,,,,
l2_q2_train200,L2_phantom,rff,6,2,lmjgp_baseline,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.411048650741577,1.3088738918304443,58.50496053695679,0.855,7.160798113093572,0.91,8.53261723247539,ok,,,,,,300,,,,,,,,
l2_q2_train200,L2_phantom,rff,6,2,lmjgp_pls_kl,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.3767249584198,1.2901182174682617,59.40282670001034,0.86,7.1303694676815255,0.9,8.496359265122706,ok,,,,,,300,,,True,,,,,
l2_q2_train200,L2_phantom,rff,6,2,cem_em_transductive_vi_fullcov_ensemble,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.5013253211404507,1.317192554473877,326.33658079995075,0.83,6.336842118976281,0.875,7.550813109084275,ok,,36.960864099964965,212.21516289998544,77.16055380000034,,,,,,0.002756478963419795,1332.1072998046875,251723.1875,0.005789484363049269,
l2_q2_train200,L2_phantom,rff,6,3,xgb_bootstrap,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.6245771884622258,1.5304741859436035,3.461055399966426,0.605,4.320983774525944,0.705,5.148769736763118,ok,,,,,,,,,,,,,,30
l2_q2_train200,L2_phantom,rff,6,3,dkl_svgp,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.6567904949188232,1.8657140731811523,1.042213000007905,0.225,1.8315716546694438,0.25,2.182452237351848,ok,,,,,80,,,,,,,,,
l2_q2_train200,L2_phantom,rff,6,3,jgp_pca,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.4810297307090967,1.4149413108825684,10.160642899980303,0.71,5.003292093863035,0.78,5.961790245299958,ok,,,,,,,0,0.8102691321927965,,,,,,
l2_q2_train200,L2_phantom,rff,6,3,lmjgp_baseline,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.512847661972046,1.3799256086349487,58.358561515808105,0.84,6.533975794210871,0.88,7.785712371407032,ok,,,,,,300,,,,,,,,
l2_q2_train200,L2_phantom,rff,6,3,lmjgp_pls_kl,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.433410167694092,1.3545178174972534,59.23200449999422,0.8,6.219264983796551,0.875,7.410711311221098,ok,,,,,,300,,,True,,,,,
l2_q2_train200,L2_phantom,rff,6,3,cem_em_transductive_vi_fullcov_ensemble,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.440177914421619,1.3822511434555054,322.9010893999948,0.735,5.403998364187897,0.835,6.439261216180015,ok,,31.38727230002405,213.9867047999869,77.52711229998386,,,,,,0.005571804940700531,1139.582763671875,216059.796875,0.0038842950016260147,
l2_q2_train200,L2_phantom,rff,6,4,xgb_bootstrap,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.9217588913430728,1.658889889717102,3.316769099968951,0.64,5.207992158501048,0.705,6.205705416686429,ok,,,,,,,,,,,,,,30
l2_q2_train200,L2_phantom,rff,6,4,dkl_svgp,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,3.274970531463623,2.075866937637329,0.9491354000056162,0.285,2.138420054205577,0.36,2.5480846571308766,ok,,,,,80,,,,,,,,,
l2_q2_train200,L2_phantom,rff,6,4,jgp_pca,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,3.5124100418656536,1.944564938545227,9.963560400006827,0.655,5.391306483482512,0.715,6.424137907533557,ok,,,,,,,0,0.7829963793147996,,,,,,
l2_q2_train200,L2_phantom,rff,6,4,lmjgp_baseline,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,3.0290329456329346,1.6333914995193481,55.83615803718567,0.775,6.98429437430048,0.825,8.322300055613711,ok,,,,,,300,,,,,,,,
l2_q2_train200,L2_phantom,rff,6,4,lmjgp_pls_kl,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.9419524669647217,1.6040202379226685,58.546030100027565,0.755,6.949484317601597,0.825,8.280821314702244,ok,,,,,,300,,,True,,,,,
l2_q2_train200,L2_phantom,rff,6,4,cem_em_transductive_vi_fullcov_ensemble,200,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,3.0377502120622166,1.6372580528259277,322.38832349999575,0.73,5.6893197248026555,0.775,6.779242586960911,ok,,34.448812999995425,210.16415219998453,77.7753583000158,,,,,,0.004673399031162262,2862.626708984375,548143.75,0.004397427663207054,
l2_q2_train500,L2_phantom,rff,6,0,xgb_bootstrap,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.431057624435243,1.355838656425476,4.296384500048589,0.695,4.794364490472158,0.77,5.7128376507877485,ok,,,,,,,,,,,,,,30
l2_q2_train500,L2_phantom,rff,6,0,dkl_svgp,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.189764976501465,1.3869539499282837,1.012014000036288,0.41,2.033666339281568,0.475,2.4232629069558436,ok,,,,,80,,,,,,,,,
l2_q2_train500,L2_phantom,rff,6,0,jgp_pca,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.6811619162494558,1.4134107828140259,10.272613500012085,0.78,5.733516107199367,0.84,6.8319058247865545,ok,,,,,,,0,0.7846437899571364,,,,,,
l2_q2_train500,L2_phantom,rff,6,0,lmjgp_baseline,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.491248846054077,1.2945977449417114,56.28679013252258,0.85,6.306447849848012,0.9,7.514596103600184,ok,,,,,,300,,,,,,,,
l2_q2_train500,L2_phantom,rff,6,0,lmjgp_pls_kl,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.587432622909546,1.3364207744598389,57.04363590001594,0.85,6.185329745211993,0.88,7.370274980387347,ok,,,,,,300,,,True,,,,,
l2_q2_train500,L2_phantom,rff,6,0,cem_em_transductive_vi_fullcov_ensemble,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.6519410110731862,1.3736764192581177,314.79490650002845,0.795,5.817587481908476,0.855,6.932083046553102,ok,,31.04115930001717,206.52819090004778,77.2255562999635,,,,,,0.008109946735203266,1185.1749267578125,191497.46875,0.0016707126051187515,
l2_q2_train500,L2_phantom,rff,6,1,xgb_bootstrap,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.595476779441854,1.4819540977478027,4.61857669998426,0.64,4.719575061254008,0.735,5.6237205492475,ok,,,,,,,,,,,,,,30
l2_q2_train500,L2_phantom,rff,6,1,dkl_svgp,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.4284911155700684,1.5431082248687744,1.029840100032743,0.355,2.0040510893498835,0.42,2.387974160098269,ok,,,,,80,,,,,,,,,
l2_q2_train500,L2_phantom,rff,6,1,jgp_pca,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.722000290484027,1.4810596704483032,9.746627799991984,0.74,5.771966743246544,0.82,6.8777225835548075,ok,,,,,,,0,0.8027126468183132,,,,,,
l2_q2_train500,L2_phantom,rff,6,1,lmjgp_baseline,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.6588637828826904,1.3985775709152222,57.02044343948364,0.825,6.32028005642527,0.88,7.531078194330891,ok,,,,,,300,,,,,,,,
l2_q2_train500,L2_phantom,rff,6,1,lmjgp_pls_kl,500,200,2,20,2,2,25,True,2.0,4.0,0.5,9.0,2.6797499656677246,1.402138590812683,56.966935299977195,0.82,6.2456632779322385,0.88,7.442166818818532,ok,,,,,,300,,,True,,,,,
