setting,family,seed,variant,status,mode,kind,init,projection_init,kcov_lambda,cem_updates,local_noise_std_floor,local_noise_var_floor,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_control,ensemble_samples,neighbor_mode,retrieval_lambda,qr_retrieval_pool,qr_anchor_pred_weight,qr_retrieval_composite_temperature,qr_rank_weight,qr_rank_temperature,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,m_inducing,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,qr_pairwise_weight,qr_pairwise_margin,qr_ortho_weight,qr_ortho_target_scale,qr_ortho_normalize,qr_mean_parameterization,qr_residual_group_weight,qr_residual_group_eps,lowrank_rank,lowrank_train_basis_scale,w_moment_kind,lowrank_basis,lowrank_qr_w_signal_var,lowrank_basis_scale_l1,standardize_x,standardize_y_for_head,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,init_sec,train_sec,pred_sec,init_inlier_rate,final_inlier_rate,label_change_rate,mean_n_inliers,min_n_inliers,median_n_inliers,max_n_inliers,gate_norm_mean,mean_lengthscale,mean_signal_var,mean_noise_var,mean_kernel_vector_correction,Q_true,expansion,fallback_count,history_json,meanw_cem_failed,meanw_cem_inlier_rate,n_total_neighbors,noise_std,noise_var,qr_history_json,qr_train_anchor_count,qr_train_anchor_strategy,qr_train_n_neighbors,refresh_history_json
l2_q2_train200,L2_phantom,0,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,200,200,200,2,20,2,25,40,0.02,5.82820039720282,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,3.5166705300108902,1.877416968345642,0.7776799999992363,0.715,5.7905286251306824,0.755,6.899840430019737,16.95742639998207,133.487544899981,0.7776799999992363,0.8270000000000001,0.8358,0.04,20.895,2.0,24.0,24.0,4.238831996048786,2.5768794935993857,0.09979648401593855,0.2612387506430387,0.02037119634518409,2,rff,0,"[{""changed_frac"": 0.0344, ""inlier_frac"": 0.8314, ""mean_lengthscale"": 2.263798912312689, ""mean_noise_var"": 0.279306584391332, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.13007506212967002, ""outer"": 1.0}, {""changed_frac"": 0.007200000000000001, ""inlier_frac"": 0.8358, ""mean_lengthscale"": 2.288712089630292, ""mean_noise_var"": 0.26194439715016193, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.10004891842962434, ""outer"": 2.0}]",0,0.8270000000000001,25,2.0,4.0,[],0,kmeans,25,[]
l2_q2_train500,L2_phantom,0,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,500,200,200,2,20,2,25,40,0.02,5.830945915320855,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,2.6270537444691575,1.3477222919464111,0.7177075000072364,0.81,5.463548674712681,0.85,6.5102197878026296,14.933801799983485,136.39820190001046,0.7177075000072364,0.899,0.8886000000000001,0.0236,22.215,6.0,24.0,24.0,4.711939807437978,1.96469439765022,0.03322611451347986,0.18278833980915438,0.006941079337174114,2,rff,0,"[{""changed_frac"": 0.0228, ""inlier_frac"": 0.8874000000000001, ""mean_lengthscale"": 2.0010124454301565, ""mean_noise_var"": 0.204899893586101, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.0415128932803059, ""outer"": 1.0}, {""changed_frac"": 0.002, ""inlier_frac"": 0.8886000000000001, ""mean_lengthscale"": 1.7554065601976434, ""mean_noise_var"": 0.18459319444288114, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.03513675431506609, ""outer"": 2.0}]",0,0.899,25,2.0,4.0,[],0,kmeans,25,[]
lh_q5_train200,LH,0,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,200,200,200,5,30,5,35,40,0.02,7.793329454447337,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,908.3538053527145,514.8169555664062,0.6582930999866221,0.64,440.738639179079,0.66,525.1724805368801,34.49163010000484,130.51075129999663,0.6582930999866221,0.5341428571428571,0.5845714285714286,0.06814285714285714,20.46,4.0,27.0,32.0,3.030217986744059,12.455505556695902,0.5907918674501015,0.010399868001046848,0.25903496824872124,5,rff,0,"[{""changed_frac"": 0.06714285714285714, ""inlier_frac"": 0.5827142857142857, ""mean_lengthscale"": 10.36405642376193, ""mean_noise_var"": 0.011165468112498283, ""mean_outlier_logp"": null, ""mean_signal_var"": 1.002634258229328, ""outer"": 1.0}, {""changed_frac"": 0.008142857142857143, ""inlier_frac"": 0.5845714285714286, ""mean_lengthscale"": 11.333798775396016, ""mean_noise_var"": 0.010705485717939247, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.735620357201483, ""outer"": 2.0}]",0,0.5341428571428571,35,2.0,4.0,[],0,kmeans,35,[]
lh_q5_train500,LH,0,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,500,200,200,5,30,5,35,40,0.02,7.798757460965352,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,760.6883076154307,371.4882507324219,0.7019092999980785,0.72,344.1351440343312,0.74,410.06231622681196,32.580389700015076,115.90583430000697,0.7019092999980785,0.5948571428571429,0.6357142857142858,0.06371428571428572,22.25,6.0,26.0,34.0,3.436608924647065,13.389990835792062,0.38194090394749874,0.017106435364847194,0.20793951323889276,5,rff,0,"[{""changed_frac"": 0.061142857142857145, ""inlier_frac"": 0.634, ""mean_lengthscale"": 10.044676240239204, ""mean_noise_var"": 0.028864011380586755, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.7811553009607454, ""outer"": 1.0}, {""changed_frac"": 0.005714285714285715, ""inlier_frac"": 0.6357142857142858, ""mean_lengthscale"": 11.909322394865868, ""mean_noise_var"": 0.025236930194170563, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.508367291076188, ""outer"": 2.0}]",0,0.5948571428571429,35,2.0,4.0,[],0,kmeans,35,[]
l2_q2_train200,L2_phantom,1,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,200,200,200,2,20,2,25,40,0.02,5.997172479103075,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,3.2980768591644387,1.69358491897583,0.712917800003197,0.745,5.538391754475535,0.83,6.599400817909923,12.407611000002362,131.18813600001158,0.712917800003197,0.801,0.8004,0.0274,20.01,2.0,24.0,24.0,4.521975592938906,3.2269832822742996,0.053360205477314494,0.20331056489668034,0.011050893527505115,2,rff,0,"[{""changed_frac"": 0.0234, ""inlier_frac"": 0.798, ""mean_lengthscale"": 2.789663375696444, ""mean_noise_var"": 0.22265702789320316, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.057123287079669294, ""outer"": 1.0}, {""changed_frac"": 0.0044, ""inlier_frac"": 0.8004, ""mean_lengthscale"": 2.798173236596248, ""mean_noise_var"": 0.2056545247953899, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.052190484759118486, ""outer"": 2.0}]",0,0.801,25,2.0,4.0,[],0,kmeans,25,[]
l2_q2_train500,L2_phantom,1,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,500,200,200,2,20,2,25,40,0.02,5.946919584004709,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,2.6779517728572926,1.4048420190811157,0.738765499991132,0.8,5.983153499480263,0.865,7.1293671247150305,11.274463399982778,113.39841180000803,0.738765499991132,0.934,0.9142,0.0246,22.855,11.0,24.0,24.0,4.86534300094688,1.8477525606042964,0.036432983988449213,0.23786555373574872,0.010041051535683503,2,rff,0,"[{""changed_frac"": 0.025, ""inlier_frac"": 0.9138000000000001, ""mean_lengthscale"": 1.4772017452550852, ""mean_noise_var"": 0.2594009944255311, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.038926765552178604, ""outer"": 1.0}, {""changed_frac"": 0.0028, ""inlier_frac"": 0.9142, ""mean_lengthscale"": 1.4313400869370942, ""mean_noise_var"": 0.23854440989002915, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.03396865844115829, ""outer"": 2.0}]",0,0.934,25,2.0,4.0,[],0,kmeans,25,[]
lh_q5_train200,LH,1,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,200,200,200,5,30,5,35,40,0.02,7.748667185945523,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,567.3739930270167,223.84060668945312,0.691877499979455,0.775,62.87639141294994,0.775,74.92184145018832,31.354692900000373,118.20309490000363,0.691877499979455,0.7825714285714286,0.8682857142857143,0.0982857142857143,30.39,2.0,33.0,34.0,4.135797861792631,10.197574648767004,0.5179029527260357,0.01683046630270394,0.09478346766794285,5,rff,0,"[{""changed_frac"": 0.08842857142857144, ""inlier_frac"": 0.8575714285714287, ""mean_lengthscale"": 7.975560785988691, ""mean_noise_var"": 0.011881466119616841, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.683908387317538, ""outer"": 1.0}, {""changed_frac"": 0.013571428571428573, ""inlier_frac"": 0.8682857142857143, ""mean_lengthscale"": 9.503790583856782, ""mean_noise_var"": 0.014675208044052113, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.5894759230462784, ""outer"": 2.0}]",0,0.7825714285714286,35,2.0,4.0,[],0,kmeans,35,[]
lh_q5_train500,LH,1,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,500,200,200,5,30,5,35,40,0.02,7.743835195765954,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,597.1101509759037,240.1560516357422,0.6505672999774106,0.8,100.27251116254091,0.8,119.4820665485081,32.969648099999176,119.23422940002638,0.6505672999774106,0.8270000000000001,0.9051428571428572,0.09100000000000001,31.68,2.0,33.0,34.0,4.072440148639552,12.471835939126512,0.4676754940138462,0.014259817599235437,0.0022132446955979348,5,rff,0,"[{""changed_frac"": 0.08671428571428572, ""inlier_frac"": 0.9014285714285715, ""mean_lengthscale"": 8.565017612598721, ""mean_noise_var"": 0.018513000894691194, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.6340579813016848, ""outer"": 1.0}, {""changed_frac"": 0.004857142857142858, ""inlier_frac"": 0.9051428571428572, ""mean_lengthscale"": 10.600327354822413, ""mean_noise_var"": 0.014972493035555746, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.539913804081626, ""outer"": 2.0}]",0,0.8270000000000001,35,2.0,4.0,[],0,kmeans,35,[]
l2_q2_train200,L2_phantom,2,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,200,200,200,2,20,2,25,40,0.02,6.0965056056128315,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,2.6903611751590666,1.4001322984695435,0.592806800006656,0.825,6.236587514164189,0.87,7.431352379268349,15.668273799994495,110.81645450001815,0.592806800006656,0.869,0.8784000000000001,0.0422,21.96,3.0,24.0,24.0,4.339784341079862,3.350452965629022,0.13073604531603106,0.1777779249408115,0.03870664365484271,2,rff,0,"[{""changed_frac"": 0.035, ""inlier_frac"": 0.8728, ""mean_lengthscale"": 3.374666738477931, ""mean_noise_var"": 0.19516613833789753, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.14553472591981406, ""outer"": 1.0}, {""changed_frac"": 0.01, ""inlier_frac"": 0.8784000000000001, ""mean_lengthscale"": 3.202476082337836, ""mean_noise_var"": 0.17950216833205482, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.1300873837699118, ""outer"": 2.0}]",0,0.869,25,2.0,4.0,[],0,kmeans,25,[]
l2_q2_train500,L2_phantom,2,self_cem2_nstd0.1_kcov0.1,ok,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,0,raw,1.0,200,0.0,1.0,0.0,0.25,4,500,200,200,2,20,2,25,40,0.02,5.932418073073202,30,0.05,False,0.0,1.0,0.0,1.0,True,free,0.0,1e-08,0,False,diag,pca_residual,0.1,0.0,True,True,2.393950960722928,1.2534176111221313,0.7962761000089813,0.84,5.88088193129361,0.915,7.007503034802191,11.339329699985683,104.089873000019,0.7962761000089813,0.8922,0.8824000000000001,0.0234,22.06,5.0,24.0,24.0,4.81486775552707,2.3091077066407104,0.09350155687642786,0.19299613962648082,0.011506438921178664,2,rff,0,"[{""changed_frac"": 0.022000000000000002, ""inlier_frac"": 0.881, ""mean_lengthscale"": 2.243196529132692, ""mean_noise_var"": 0.21152671963292707, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.09538051752947954, ""outer"": 1.0}, {""changed_frac"": 0.0022, ""inlier_frac"": 0.8824000000000001, ""mean_lengthscale"": 2.026029902573542, ""mean_noise_var"": 0.1944483602841909, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.09192582611903034, ""outer"": 2.0}]",0,0.8922,25,2.0,4.0,[],0,kmeans,25,[]
