setting,family,variant,mode,kind,init,projection_init,kcov_lambda,cem_updates,local_noise_std_floor,local_noise_var_floor,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_control,ensemble_samples,neighbor_mode,retrieval_lambda,qr_retrieval_pool,qr_anchor_pred_weight,qr_retrieval_composite_temperature,qr_rank_weight,qr_rank_temperature,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,m_inducing,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,qr_pairwise_weight,qr_pairwise_margin,qr_ortho_weight,qr_ortho_target_scale,qr_ortho_normalize,qr_mean_parameterization,qr_residual_group_weight,qr_residual_group_eps,lowrank_rank,lowrank_train_basis_scale,lowrank_basis,lowrank_qr_w_signal_var,lowrank_basis_scale_l1,standardize_x,standardize_y_for_head,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,final_inlier_rate_mean,final_inlier_rate_std,init_inlier_rate_mean,init_inlier_rate_std,label_change_rate_mean,label_change_rate_std,max_n_inliers_mean,max_n_inliers_std,mean_crps_mean,mean_crps_std,mean_n_inliers_mean,mean_n_inliers_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_n_inliers_mean,median_n_inliers_std,min_n_inliers_mean,min_n_inliers_std,n_runs,pred_sec_mean,pred_sec_std,rmse_mean,rmse_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
lh_q5_train1000,LH,diagnostic_anchor_y_soft_mixture,,diagnostic_oracle_y_mixture,,,,2,,,,,,,,,,,,,,,,,,,1000,200,40,5,30,5,35,,,,,,,,,,,,,,,,,,,,True,True,0.725,0.0,0.725,0.0,,,,,,,,,377.00091552734375,0.0,,,463.24361872258305,0.0,551.9888176597335,0.0,,,,,1,0.8505975999869406,0.0,732.0302219027941,0.0,20.697589899995364,0.0,21.548187499982305,0.0
lh_q5_train1000,LH,fixed_pairwise_selfcem,,fixed_init,,,,2,,,,,,,,,,,,,,,,,,,1000,200,40,5,30,5,35,,,,,,,,,,,,,,,,,,,,True,True,0.65,0.0,0.65,0.0,0.8592857142857143,0.0,0.6857142857142857,0.0,0.21071428571428572,0.0,34.0,0.0,461.9512634277344,0.0,30.075000000000003,0.0,287.12996462485063,0.0,342.13645538173483,0.0,31.0,0.0,18.0,0.0,1,0.8505975999869406,0.0,825.2185971313537,0.0,20.697589899995364,0.0,21.548187499982305,0.0
lh_q5_train1000,LH,fixed_pca_selfcem,,fixed_init,,,,2,,,,,,,,,,,,,,,,,,,1000,200,40,5,30,5,35,,,,,,,,,,,,,,,,,,,,True,True,0.65,0.0,0.65,0.0,0.86,0.0,0.6857142857142857,0.0,0.20142857142857143,0.0,34.0,0.0,518.9622802734375,0.0,30.1,0.0,235.606193227531,0.0,280.7420950375966,0.0,30.0,0.0,24.0,0.0,1,0.8505975999869406,0.0,898.2432806161953,0.0,20.697589899995364,0.0,21.548187499982305,0.0
lh_q5_train1000,LH,fixed_pls_selfcem,,fixed_init,,,,2,,,,,,,,,,,,,,,,,,,1000,200,40,5,30,5,35,,,,,,,,,,,,,,,,,,,,True,True,0.7,0.0,0.7,0.0,0.8678571428571429,0.0,0.6857142857142857,0.0,0.20785714285714285,0.0,34.0,0.0,422.7835388183594,0.0,30.375,0.0,287.55224714732776,0.0,342.6396360427945,0.0,31.0,0.0,22.0,0.0,1,0.8505975999869406,0.0,795.0284706126527,0.0,20.697589899995364,0.0,21.548187499982305,0.0
lh_q5_train1000,LH,fixed_rand0_selfcem,,fixed_init,,,,2,,,,,,,,,,,,,,,,,,,1000,200,40,5,30,5,35,,,,,,,,,,,,,,,,,,,,True,True,0.625,0.0,0.625,0.0,0.8164285714285714,0.0,0.6857142857142857,0.0,0.19357142857142856,0.0,34.0,0.0,525.4169921875,0.0,28.575000000000003,0.0,256.8418491718753,0.0,306.0459398034912,0.0,29.0,0.0,20.0,0.0,1,0.8505975999869406,0.0,912.4516845152065,0.0,20.697589899995364,0.0,21.548187499982305,0.0
lh_q5_train1000,LH,fixed_rand1_selfcem,,fixed_init,,,,2,,,,,,,,,,,,,,,,,,,1000,200,40,5,30,5,35,,,,,,,,,,,,,,,,,,,,True,True,0.625,0.0,0.625,0.0,0.8185714285714286,0.0,0.6857142857142857,0.0,0.15571428571428572,0.0,34.0,0.0,562.6927490234375,0.0,28.650000000000002,0.0,184.29407117387868,0.0,219.59993044154334,0.0,29.0,0.0,20.0,0.0,1,0.8505975999869406,0.0,945.4983803752622,0.0,20.697589899995364,0.0,21.548187499982305,0.0
lh_q5_train1000,LH,fixed_raw_pls_selfcem,,fixed_init,,,,2,,,,,,,,,,,,,,,,,,,1000,200,40,5,30,5,35,,,,,,,,,,,,,,,,,,,,True,True,0.625,0.0,0.625,0.0,0.83,0.0,0.6857142857142857,0.0,0.16714285714285715,0.0,34.0,0.0,459.285888671875,0.0,29.05,0.0,310.3464232982261,0.0,369.8005721777766,0.0,30.0,0.0,20.0,0.0,1,0.8505975999869406,0.0,815.0989498323921,0.0,20.697589899995364,0.0,21.548187499982305,0.0
lh_q5_train1000,LH,likelihood_hard_select,,hard_select,,,,2,,,,,,,,,,,,,,,,,,,1000,200,40,5,30,5,35,,,,,,,,,,,,,,,,,,,,True,True,0.625,0.0,0.625,0.0,,,,,,,,,566.6017456054688,0.0,,,157.1430012643159,0.0,187.24743518450353,0.0,,,,,1,0.8505975999869406,0.0,944.9978271565416,0.0,20.697589899995364,0.0,21.548187499982305,0.0
lh_q5_train1000,LH,likelihood_soft_mixture,,mixture,,,,2,,,,,,,,,,,,,,,,,,,1000,200,40,5,30,5,35,,,,,,,,,,,,,,,,,,,,True,True,0.625,0.0,0.625,0.0,,,,,,,,,561.6229858398438,0.0,,,186.69706747066567,0.0,222.4632771366621,0.0,,,,,1,0.8505975999869406,0.0,943.2528518596059,0.0,20.697589899995364,0.0,21.548187499982305,0.0
lh_q5_train1000,LH,uniform_mixture,,mixture_control,,,,2,,,,,,,,,,,,,,,,,,,1000,200,40,5,30,5,35,,,,,,,,,,,,,,,,,,,,True,True,0.65,0.0,0.65,0.0,,,,,,,,,458.54754638671875,0.0,,,469.59601590164255,0.0,559.5581657661214,0.0,,,,,1,0.8505975999869406,0.0,844.4050324458852,0.0,20.697589899995364,0.0,21.548187499982305,0.0
