setting,family,seed,variant,status,kind,cem_updates,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,standardize_x,standardize_y_for_head,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,init_inlier_rate,final_inlier_rate,label_change_rate,mean_n_inliers,min_n_inliers,median_n_inliers,max_n_inliers,W_init,bound_diag_json,expansion,gate_steps,generator_family,hyper_steps,mean_bound,mean_mixture_weight,mixture_between_sigma_mean,mixture_temperature,mixture_weight_entropy,mixture_weights_json,n_total_neighbors,pool_size,selected_counts_json,uses_y_test_for_weights
lh_q5_train1000,LH,0,fixed_raw_pls_selfcem,ok,fixed_init,2,1000,200,40,5,30,5,35,True,True,815.0989498323921,459.285888671875,21.548187499982305,0.625,310.3464232982261,0.625,369.8005721777766,20.697589899995364,0.8505975999869406,0.6857142857142857,0.83,0.16714285714285715,29.05,20.0,30.0,34.0,raw_pls,,rff,4,LH,3,-8.200738510743614,0.08649142900903868,,10.0,,,35,120,,
lh_q5_train1000,LH,0,fixed_pls_selfcem,ok,fixed_init,2,1000,200,40,5,30,5,35,True,True,795.0284706126527,422.7835388183594,21.548187499982305,0.7,287.55224714732776,0.7,342.6396360427945,20.697589899995364,0.8505975999869406,0.6857142857142857,0.8678571428571429,0.20785714285714285,30.375,22.0,31.0,34.0,pls,,rff,4,LH,3,-0.13240794507072984,0.17313630422810922,,10.0,,,35,120,,
lh_q5_train1000,LH,0,fixed_pca_selfcem,ok,fixed_init,2,1000,200,40,5,30,5,35,True,True,898.2432806161953,518.9622802734375,21.548187499982305,0.65,235.606193227531,0.65,280.7420950375966,20.697589899995364,0.8505975999869406,0.6857142857142857,0.86,0.20142857142857143,30.1,24.0,30.0,34.0,pca,,rff,4,LH,3,1.839577557056482,0.16470419366031827,,10.0,,,35,120,,
lh_q5_train1000,LH,0,fixed_pairwise_selfcem,ok,fixed_init,2,1000,200,40,5,30,5,35,True,True,825.2185971313537,461.9512634277344,21.548187499982305,0.65,287.12996462485063,0.65,342.13645538173483,20.697589899995364,0.8505975999869406,0.6857142857142857,0.8592857142857143,0.21071428571428572,30.075000000000003,18.0,31.0,34.0,pairwise,,rff,4,LH,3,0.8044689188805858,0.22276806925946274,,10.0,,,35,120,,
lh_q5_train1000,LH,0,fixed_rand0_selfcem,ok,fixed_init,2,1000,200,40,5,30,5,35,True,True,912.4516845152065,525.4169921875,21.548187499982305,0.625,256.8418491718753,0.625,306.0459398034912,20.697589899995364,0.8505975999869406,0.6857142857142857,0.8164285714285714,0.19357142857142856,28.575000000000003,20.0,29.0,34.0,rand0,,rff,4,LH,3,-5.758476658037728,0.15437595027207537,,10.0,,,35,120,,
lh_q5_train1000,LH,0,fixed_rand1_selfcem,ok,fixed_init,2,1000,200,40,5,30,5,35,True,True,945.4983803752622,562.6927490234375,21.548187499982305,0.625,184.29407117387868,0.625,219.59993044154334,20.697589899995364,0.8505975999869406,0.6857142857142857,0.8185714285714286,0.15571428571428572,28.650000000000002,20.0,29.0,34.0,rand1,,rff,4,LH,3,-0.2595682387492488,0.19852405357099578,,10.0,,,35,120,,
lh_q5_train1000,LH,0,likelihood_soft_mixture,ok,mixture,2,1000,200,40,5,30,5,35,True,True,943.2528518596059,561.6229858398438,21.548187499982305,0.625,186.69706747066567,0.625,222.4632771366621,20.697589899995364,0.8505975999869406,,,,,,,,"raw_pls,pls,pca,pairwise,rand0,rand1","{""bound_mean"": -1.951190812777376, ""fallback_count"": 0.0, ""gate_bound_mean"": -10.454077338403268, ""gp_bound_mean"": 23.24438295346942, ""mean_n_inliers"": 29.47083333333333, ""outlier_bound_mean"": -14.741496427843526}",rff,4,LH,3,,,18.272335655113764,10.0,1.2315348046943955,"{""pairwise"": 0.22276806925946274, ""pca"": 0.16470419366031827, ""pls"": 0.17313630422810922, ""rand0"": 0.15437595027207537, ""rand1"": 0.19852405357099578, ""raw_pls"": 0.08649142900903868}",,120,,
lh_q5_train1000,LH,0,uniform_mixture,ok,mixture_control,2,1000,200,40,5,30,5,35,True,True,844.4050324458852,458.54754638671875,21.548187499982305,0.65,469.59601590164255,0.65,559.5581657661214,20.697589899995364,0.8505975999869406,,,,,,,,"raw_pls,pls,pca,pairwise,rand0,rand1",,rff,4,LH,3,,,93.73082494509906,10.0,1.791759469228055,"{""pairwise"": 0.16666666666666666, ""pca"": 0.16666666666666666, ""pls"": 0.16666666666666666, ""rand0"": 0.16666666666666666, ""rand1"": 0.16666666666666666, ""raw_pls"": 0.16666666666666666}",,120,,
lh_q5_train1000,LH,0,diagnostic_anchor_y_soft_mixture,ok,diagnostic_oracle_y_mixture,2,1000,200,40,5,30,5,35,True,True,732.0302219027941,377.00091552734375,21.548187499982305,0.725,463.24361872258305,0.725,551.9888176597335,20.697589899995364,0.8505975999869406,,,,,,,,"raw_pls,pls,pca,pairwise,rand0,rand1",,rff,4,LH,3,,,69.9086933157295,10.0,1.4136985753571514,"{""pairwise"": 0.16994204625122467, ""pca"": 0.15234019124359122, ""pls"": 0.18921391669879128, ""rand0"": 0.16506968267805208, ""rand1"": 0.11605311154776357, ""raw_pls"": 0.2073810515805773}",,120,,True
lh_q5_train1000,LH,0,likelihood_hard_select,ok,hard_select,2,1000,200,40,5,30,5,35,True,True,944.9978271565416,566.6017456054688,21.548187499982305,0.625,157.1430012643159,0.625,187.24743518450353,20.697589899995364,0.8505975999869406,,,,,,,,"raw_pls,pls,pca,pairwise,rand0,rand1",,rff,4,LH,3,,,,10.0,,,,120,"{""pairwise"": 11, ""pca"": 4, ""pls"": 5, ""rand0"": 6, ""rand1"": 11, ""raw_pls"": 3}",
