setting,family,variant,mode,kind,init,projection_init,kcov_lambda,cem_updates,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,w_var,w_cov_lengthscale,standardize_x,standardize_y_for_head,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,final_inlier_rate_mean,final_inlier_rate_std,gate_norm_mean_mean,gate_norm_mean_std,init_inlier_rate_mean,init_inlier_rate_std,init_sec_mean,init_sec_std,label_change_rate_mean,label_change_rate_std,max_n_inliers_mean,max_n_inliers_std,mean_crps_mean,mean_crps_std,mean_kernel_vector_correction_mean,mean_kernel_vector_correction_std,mean_lengthscale_mean,mean_lengthscale_std,mean_n_inliers_mean,mean_n_inliers_std,mean_noise_var_mean,mean_noise_var_std,mean_signal_var_mean,mean_signal_var_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_n_inliers_mean,median_n_inliers_std,min_n_inliers_mean,min_n_inliers_std,n_runs,pred_sec_mean,pred_sec_std,rmse_mean,rmse_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,fixed_label_hyperopt_kcov0,anchor,fixed_label_hyperopt,cem,pls,0.0,0,1000,200,200,2,20,2,25,0.02,6.085469384105049,True,True,0.81,0.0,0.875,0.0,0.9412,0.0,1.0,0.0,0.9412,0.0,16.786680400022306,0.0,0.0,0.0,25.0,0.0,1.2771711349487305,0.0,0.0,0.0,1.96286668844371,0.0,23.53,0.0,0.2038232196610826,0.0,0.05152713960673972,0.0,5.928189488650193,0.0,7.063873466247396,0.0,24.0,0.0,7.0,0.0,1,0.5092597000184469,0.0,2.2657035734452506,0.0,46.536155299982056,0.0,0.5092597000184469,0.0
l2_q2_train1000,L2_phantom,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,1000,200,200,2,20,2,25,0.02,,True,True,0.8,0.0,0.875,0.0,0.9412,0.0,,,0.9412,0.0,16.2816751000355,0.0,0.0,0.0,25.0,0.0,1.2696621417999268,0.0,,,,,23.53,0.0,,,,,5.852561751399146,0.0,6.973757459074752,0.0,24.0,0.0,7.0,0.0,1,0.0,0.0,2.25370978528544,0.0,16.2816751000355,0.0,16.2816751000355,0.0
l2_q2_train1000,L2_phantom,self_cem1_kcov0.05,anchor,self_cem,cem,pls,0.05,1,1000,200,200,2,20,2,25,0.02,6.085469384105049,True,True,0.775,0.0,0.87,0.0,0.9242,0.0,4.7311453407085065,0.0,0.9412,0.0,16.595080800005235,0.0,0.0258,0.0,24.0,0.0,1.2757681608200073,0.0,0.014593661085720832,0.0,1.8152592321811802,0.0,23.105,0.0,0.18196931008070405,0.0,0.04199097296763239,0.0,5.632371264656358,0.0,6.7113843112864835,0.0,24.0,0.0,7.0,0.0,1,1.064536300022155,0.0,2.262933589559313,0.0,102.12236619996838,0.0,1.064536300022155,0.0
l2_q2_train1000,L2_phantom,self_cem1_kcov0.1,anchor,self_cem,cem,pls,0.1,1,1000,200,200,2,20,2,25,0.02,6.085469384105049,True,True,0.775,0.0,0.87,0.0,0.9242,0.0,4.7311453407085065,0.0,0.9412,0.0,18.293644699966535,0.0,0.0258,0.0,24.0,0.0,1.2756717205047607,0.0,0.014593661085720832,0.0,1.8152592321811802,0.0,23.105,0.0,0.18196931008070405,0.0,0.04199097296763239,0.0,5.642018472225584,0.0,6.722879668123863,0.0,24.0,0.0,7.0,0.0,1,0.8141756000113674,0.0,2.262933589559313,0.0,103.2362843999872,0.0,0.8141756000113674,0.0
l2_q2_train1000,L2_phantom,self_cem1_response_kcov0.05,anchor,self_cem,response,pls,0.05,1,1000,200,200,2,20,2,25,0.02,6.085469384105049,True,True,0.54,0.0,0.6,0.0,0.7644000000000001,0.0,2.4878192590081363,0.0,0.7200000000000001,0.0,16.642555200029165,0.0,0.13920000000000002,0.0,24.0,0.0,1.5577389001846313,0.0,0.03644945071769103,0.0,0.2761363184843432,0.0,19.11,0.0,0.0401145460472566,0.0,0.1460616647071961,0.0,3.753438562929193,0.0,4.4724979055793135,0.0,19.0,0.0,14.0,0.0,1,0.9072283999994397,0.0,2.4663364696258525,0.0,98.78212070005247,0.0,0.9072283999994397,0.0
lh_q5_train1000,LH,fixed_label_hyperopt_kcov0,anchor,fixed_label_hyperopt,cem,pls,0.0,0,1000,200,200,5,30,5,35,0.02,7.805389906357939,True,True,0.68,0.0,0.71,0.0,0.6050000000000001,0.0,1.0,0.0,0.6050000000000001,0.0,47.09192490001442,0.0,0.0,0.0,34.0,0.0,311.6141052246094,0.0,0.0,0.0,9.632133878286933,0.0,21.175,0.0,0.006064897366180713,0.0,0.8237098953699578,0.0,422.6450650721519,0.0,503.61265720663704,0.0,23.0,0.0,5.0,0.0,1,0.5182385999942198,0.0,671.6878740214124,0.0,45.03528929996537,0.0,0.5182385999942198,0.0
lh_q5_train1000,LH,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,1000,200,200,5,30,5,35,0.02,,True,True,0.53,0.0,0.57,0.0,0.6050000000000001,0.0,,,0.6050000000000001,0.0,46.70469270000467,0.0,0.0,0.0,34.0,0.0,322.5732116699219,0.0,,,,,21.175,0.0,,,,,247.95788570338712,0.0,295.4600444065385,0.0,23.0,0.0,5.0,0.0,1,0.0,0.0,684.2995904178458,0.0,46.70469270000467,0.0,46.70469270000467,0.0
lh_q5_train1000,LH,self_cem1_kcov0.05,anchor,self_cem,cem,pls,0.05,1,1000,200,200,5,30,5,35,0.02,7.805389906357939,True,True,0.69,0.0,0.7,0.0,0.6392857142857143,0.0,3.586122107328718,0.0,0.6050000000000001,0.0,47.071456099976785,0.0,0.06028571428571429,0.0,34.0,0.0,300.17034912109375,0.0,0.40675163305471584,0.0,11.657841327568134,0.0,22.375,0.0,0.0018365550450397707,0.0,0.49502007333729475,0.0,262.7799681604232,0.0,313.1216449986323,0.0,26.0,0.0,3.0,0.0,1,0.7963661999674514,0.0,668.0912443986681,0.0,106.33631869999226,0.0,0.7963661999674514,0.0
lh_q5_train1000,LH,self_cem1_kcov0.1,anchor,self_cem,cem,pls,0.1,1,1000,200,200,5,30,5,35,0.02,7.805389906357939,True,True,0.69,0.0,0.705,0.0,0.6392857142857143,0.0,3.586122107328718,0.0,0.6050000000000001,0.0,46.239496499998495,0.0,0.06028571428571429,0.0,34.0,0.0,299.9403076171875,0.0,0.40675163305471584,0.0,11.657841327568134,0.0,22.375,0.0,0.0018365550450397707,0.0,0.49502007333729475,0.0,281.7249755327115,0.0,335.69601364038755,0.0,26.0,0.0,3.0,0.0,1,0.8240022999816574,0.0,668.0912443986681,0.0,101.06320229999255,0.0,0.8240022999816574,0.0
lh_q5_train1000,LH,self_cem1_response_kcov0.05,anchor,self_cem,response,pls,0.05,1,1000,200,200,5,30,5,35,0.02,7.805389906357939,True,True,0.665,0.0,0.68,0.0,0.7938571428571429,0.0,3.5796467873588758,0.0,0.6857142857142857,0.0,46.45206209999742,0.0,0.12614285714285714,0.0,34.0,0.0,416.4035949707031,0.0,0.8072125688257845,0.0,14.741437635840263,0.0,27.785,0.0,0.060980853650004295,0.0,0.5743509163276883,0.0,287.7590078892299,0.0,342.8860066625901,0.0,28.0,0.0,22.0,0.0,1,0.9902259000227787,0.0,796.3613146623322,0.0,99.40198900003452,0.0,0.9902259000227787,0.0
