setting,family,variant,mode,kind,init,projection_init,kcov_lambda,cem_updates,refresh_every,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,m_inducing,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,standardize_x,standardize_y_for_head,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,final_inlier_rate_mean,final_inlier_rate_std,gate_norm_mean_mean,gate_norm_mean_std,init_inlier_rate_mean,init_inlier_rate_std,init_sec_mean,init_sec_std,label_change_rate_mean,label_change_rate_std,max_n_inliers_mean,max_n_inliers_std,mean_crps_mean,mean_crps_std,mean_kernel_vector_correction_mean,mean_kernel_vector_correction_std,mean_lengthscale_mean,mean_lengthscale_std,mean_n_inliers_mean,mean_n_inliers_std,mean_noise_var_mean,mean_noise_var_std,mean_signal_var_mean,mean_signal_var_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_n_inliers_mean,median_n_inliers_std,min_n_inliers_mean,min_n_inliers_std,n_runs,pred_sec_mean,pred_sec_std,qr_R_std_median_mean,qr_R_std_median_std,qr_best_loss_mean,qr_best_loss_std,qr_grad_data_over_scaled_KL_R_mu_final_mean,qr_grad_data_over_scaled_KL_R_mu_final_std,qr_kl_per_anchor_mean,qr_kl_per_anchor_std,qr_train_sec_mean,qr_train_sec_std,refresh_count_mean,refresh_count_std,refresh_inlier_rate_final_mean,refresh_inlier_rate_final_std,refresh_label_change_final_mean,refresh_label_change_final_std,refresh_label_change_max_mean,refresh_label_change_max_std,refresh_label_change_mean_mean,refresh_label_change_mean_std,refresh_train_sec_mean,refresh_train_sec_std,rmse_mean,rmse_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,0,4,1000,200,200,2,20,2,25,40,0.02,,40,0.05,False,True,True,0.8,0.0,0.875,0.0,0.9412,0.0,,,0.9412,0.0,24.599280899972655,0.0,0.0,0.0,25.0,0.0,1.2696621417999268,0.0,,,,,23.53,0.0,,,,,5.852561751399146,0.0,6.973757459074752,0.0,24.0,0.0,7.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.25370978528544,0.0,24.599280899972655,0.0,24.599280899972655,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem1_kcov0.1,anchor,qr_alt,cem,pls,0.1,1,10,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.78,0.0,0.875,0.0,0.9262,0.0,4.902578939753938,0.0,0.9412,0.0,25.84597590001067,0.0,0.0274,0.0,24.0,0.0,1.2794793844223022,0.0,0.006855505913483932,0.0,1.9759174680361247,0.0,23.155,0.0,0.18400920416755598,0.0,0.03940678717585331,0.0,5.6280914111127505,0.0,6.706284551242712,0.0,24.0,0.0,7.0,0.0,1,1.6068044999847189,0.0,0.049787068367863944,0.0,21.154774785281926,0.0,0.7025197954441211,0.0,62.29465336123094,0.0,57.40885100001469,0.0,3.0,0.0,0.9262,0.0,0.001,0.0,0.0252,0.0,0.009666666666666667,0.0,165.56845060002524,0.0,2.2623214519003914,0.0,222.97730420005973,0.0,1.6068044999847189,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,10,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.77,0.0,0.875,0.0,0.927,0.0,4.99464741199577,0.0,0.9412,0.0,23.839709399966523,0.0,0.0286,0.0,24.0,0.0,1.2867251634597778,0.0,0.008875350663492366,0.0,2.4562324236599054,0.0,23.175,0.0,0.18313790398275145,0.0,0.04136795280363177,0.0,5.633534713978881,0.0,6.71277064666163,0.0,24.0,0.0,7.0,0.0,1,1.4772726999945007,0.0,0.049787068367863944,0.0,21.069410277121506,0.0,0.6386551781018647,0.0,61.49548971650541,0.0,55.00332910002908,0.0,3.0,0.0,0.927,0.0,0.0004,0.0,0.027200000000000002,0.0,0.010066666666666668,0.0,274.2781561000156,0.0,2.269949351246859,0.0,329.28148790006526,0.0,1.4772726999945007,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh5_self_cem1_kcov0.1,anchor,qr_alt,cem,pls,0.1,1,5,8,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,30,0.05,False,True,True,0.765,0.0,0.86,0.0,0.9274,0.0,4.903171025425636,0.0,0.9412,0.0,23.98150200000964,0.0,0.0286,0.0,24.0,0.0,1.3041332960128784,0.0,0.005825359948735387,0.0,3.566370796589963,0.0,23.185,0.0,0.17677933517804312,0.0,0.049525913960741096,0.0,5.5652089229410615,0.0,6.631355445056406,0.0,24.0,0.0,7.0,0.0,1,1.5092914000269957,0.0,0.049787068367863944,0.0,20.835368878950828,0.0,1.3875835922537354,0.0,64.2216557608679,0.0,58.336962600064,0.0,7.0,0.0,0.9274,0.0,0.0,0.0,0.0252,0.0,0.004428571428571428,0.0,356.9110892000026,0.0,2.292473790202363,0.0,415.24805400008336,0.0,1.5092914000269957,0.0
l2_q2_train1000,L2_phantom,qr_mstep_fixed_label_kcov0,anchor,qr_mstep,cem,pls,0.0,0,0,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.805,0.0,0.875,0.0,0.9412,0.0,1.0,0.0,0.9412,0.0,24.540059499966446,0.0,0.0,0.0,25.0,0.0,1.2823987007141113,0.0,0.0,0.0,1.96286668844371,0.0,23.53,0.0,0.2038232196610826,0.0,0.05152713960673972,0.0,5.902892408832231,0.0,7.033730136442948,0.0,24.0,0.0,7.0,0.0,1,0.5497338999994099,0.0,0.049787068367863944,0.0,33.22235064528946,0.0,1.0234317532493806,0.0,60.7650500687773,0.0,51.99412220000522,0.0,,,,,,,,,,,,,2.2738276702435516,0.0,112.12756820005598,0.0,0.5497338999994099,0.0
l2_q2_train1000,L2_phantom,qr_mstep_self_cem1_kcov0.1,anchor,qr_mstep,cem,pls,0.1,1,0,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.775,0.0,0.87,0.0,0.9242,0.0,4.7311453407085065,0.0,0.9412,0.0,24.194089800002985,0.0,0.0258,0.0,24.0,0.0,1.2764229774475098,0.0,0.008665590340621596,0.0,1.8152592321811802,0.0,23.105,0.0,0.18196931008070405,0.0,0.04199097296763239,0.0,5.62248142008524,0.0,6.699599834628815,0.0,24.0,0.0,7.0,0.0,1,1.2671449999907054,0.0,0.049787068367863944,0.0,21.407897797642928,0.0,0.804491899288887,0.0,55.04878669602434,0.0,56.553940600017086,0.0,,,,,,,,,,,,,2.258119057832776,0.0,191.95788000000175,0.0,1.2671449999907054,0.0
lh_q5_train1000,LH,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,0,4,1000,200,200,5,30,5,35,40,0.02,,40,0.05,False,True,True,0.53,0.0,0.57,0.0,0.6050000000000001,0.0,,,0.6050000000000001,0.0,74.3615350999753,0.0,0.0,0.0,34.0,0.0,322.5732116699219,0.0,,,,,21.175,0.0,,,,,247.95788570338712,0.0,295.4600444065385,0.0,23.0,0.0,5.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,684.2995904178458,0.0,74.3615350999753,0.0,74.3615350999753,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem1_kcov0.1,anchor,qr_alt,cem,pls,0.1,1,10,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,True,True,0.695,0.0,0.705,0.0,0.6407142857142858,0.0,3.2607276636870575,0.0,0.6050000000000001,0.0,72.72197680000681,0.0,0.062000000000000006,0.0,34.0,0.0,289.33819580078125,0.0,0.13099077636719955,0.0,12.86928435277402,0.0,22.425,0.0,0.005199448861449414,0.0,0.3310038002649817,0.0,166.96975555665875,0.0,198.95673513820972,0.0,26.0,0.0,4.0,0.0,1,1.6884055999689735,0.0,0.049787068367863944,0.0,-20.56673664523462,0.0,10.189069843083752,0.0,54.74763080433923,0.0,63.2362147999811,0.0,3.0,0.0,0.6407142857142858,0.0,0.0018571428571428573,0.0,0.06028571428571429,0.0,0.02247619047619048,0.0,185.8515302000451,0.0,652.827768113984,0.0,249.08774790004827,0.0,1.6884055999689735,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,10,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,True,True,0.685,0.0,0.69,0.0,0.6408571428571429,0.0,3.247823024451426,0.0,0.6050000000000001,0.0,74.39199210004881,0.0,0.06442857142857143,0.0,34.0,0.0,285.2152099609375,0.0,0.10505484749216176,0.0,14.653508759526634,0.0,22.43,0.0,0.004303820566171225,0.0,0.25648629890981,0.0,128.3940235246092,0.0,152.9909153100872,0.0,26.0,0.0,4.0,0.0,1,1.4879264999763109,0.0,0.049787068367863944,0.0,-26.275961356816268,0.0,9.943860600907575,0.0,54.78168988833476,0.0,59.65925760002574,0.0,3.0,0.0,0.6408571428571429,0.0,0.002285714285714286,0.0,0.061142857142857145,0.0,0.022428571428571426,0.0,283.88755510002375,0.0,649.5452680687981,0.0,343.546817000024,0.0,1.4879264999763109,0.0
lh_q5_train1000,LH,qr_alt_refresh5_self_cem1_kcov0.1,anchor,qr_alt,cem,pls,0.1,1,5,8,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,30,0.05,False,True,True,0.57,0.0,0.61,0.0,0.6407142857142858,0.0,3.398301000305728,0.0,0.6050000000000001,0.0,73.75271640002029,0.0,0.06542857142857143,0.0,34.0,0.0,299.856201171875,0.0,0.08137237176531464,0.0,15.938168259453693,0.0,22.425,0.0,0.00011769090607300378,0.0,0.19151180938190088,0.0,86.1759230274161,0.0,102.68494576096073,0.0,26.0,0.0,4.0,0.0,1,1.6368994999793358,0.0,0.049787068367863944,0.0,-31.996863013748456,0.0,19.065713592607008,0.0,57.333603476793115,0.0,62.23506230005296,0.0,7.0,0.0,0.6407142857142858,0.0,0.00028571428571428574,0.0,0.06142857142857144,0.0,0.010530612244897961,0.0,409.23012219998054,0.0,667.6320050315545,0.0,471.4651910000248,0.0,1.6368994999793358,0.0
