setting,family,variant,mode,kind,init,projection_init,kcov_lambda,cem_updates,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,m_inducing,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,standardize_x,standardize_y_for_head,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,final_inlier_rate_mean,final_inlier_rate_std,gate_norm_mean_mean,gate_norm_mean_std,init_inlier_rate_mean,init_inlier_rate_std,init_sec_mean,init_sec_std,label_change_rate_mean,label_change_rate_std,max_n_inliers_mean,max_n_inliers_std,mean_crps_mean,mean_crps_std,mean_kernel_vector_correction_mean,mean_kernel_vector_correction_std,mean_lengthscale_mean,mean_lengthscale_std,mean_n_inliers_mean,mean_n_inliers_std,mean_noise_var_mean,mean_noise_var_std,mean_signal_var_mean,mean_signal_var_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_n_inliers_mean,median_n_inliers_std,min_n_inliers_mean,min_n_inliers_std,n_runs,pred_sec_mean,pred_sec_std,qr_R_std_median_mean,qr_R_std_median_std,qr_best_loss_mean,qr_best_loss_std,qr_grad_data_over_scaled_KL_R_mu_final_mean,qr_grad_data_over_scaled_KL_R_mu_final_std,qr_kl_per_anchor_mean,qr_kl_per_anchor_std,qr_train_sec_mean,qr_train_sec_std,refresh_count_mean,refresh_count_std,refresh_damping_active_mean,refresh_damping_active_std,refresh_gate_norm_final_mean,refresh_gate_norm_final_std,refresh_inlier_rate_final_mean,refresh_inlier_rate_final_std,refresh_label_change_final_mean,refresh_label_change_final_std,refresh_label_change_max_mean,refresh_label_change_max_std,refresh_label_change_mean_mean,refresh_label_change_mean_std,refresh_noise_var_floor_active_mean,refresh_noise_var_floor_active_std,refresh_train_sec_mean,refresh_train_sec_std,rmse_mean,rmse_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,0,,1e-05,1.0,0.001,8.0,4,1000,200,200,2,20,2,25,40,0.02,,30,0.05,False,True,True,0.8,0.0,0.875,0.0,0.9412,0.0,,,0.9412,0.0,28.835371799999848,0.0,0.0,0.0,25.0,0.0,1.2696621417999268,0.0,,,,,23.53,0.0,,,,,5.852561751399146,0.0,6.973757459074752,0.0,24.0,0.0,7.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25370978528544,0.0,28.835371799999848,0.0,28.835371799999848,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem1_kcov0.1,anchor,qr_alt,cem,pls,0.1,1,10,,1e-05,1.0,0.001,8.0,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,30,0.05,False,True,True,0.78,0.0,0.875,0.0,0.9262,0.0,4.902578939753938,0.0,0.9412,0.0,21.776690800033975,0.0,0.0274,0.0,24.0,0.0,1.2794793844223022,0.0,0.006855505913483932,0.0,1.9759174680361247,0.0,23.155,0.0,0.18400920416755598,0.0,0.03940678717585331,0.0,5.6280914111127505,0.0,6.706284551242712,0.0,24.0,0.0,7.0,0.0,1,1.2971660000039265,0.0,0.049787068367863944,0.0,21.154774785281926,0.0,0.7025197954441211,0.0,62.29465336123094,0.0,58.45605949999299,0.0,3.0,0.0,1.0,0.0,4.902578939753938,0.0,0.9262,0.0,0.001,0.0,0.0252,0.0,0.009666666666666667,0.0,1e-05,0.0,166.6085080000339,0.0,2.2623214519003914,0.0,225.06456970004365,0.0,1.2971660000039265,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,10,,1e-05,1.0,0.001,8.0,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,30,0.05,False,True,True,0.77,0.0,0.875,0.0,0.927,0.0,4.99464741199577,0.0,0.9412,0.0,25.291099000023678,0.0,0.0286,0.0,24.0,0.0,1.2867251634597778,0.0,0.008875350663492366,0.0,2.4562324236599054,0.0,23.175,0.0,0.18313790398275145,0.0,0.04136795280363177,0.0,5.633534713978881,0.0,6.71277064666163,0.0,24.0,0.0,7.0,0.0,1,1.2438103999593295,0.0,0.049787068367863944,0.0,21.069410277121506,0.0,0.6386551781018647,0.0,61.49548971650541,0.0,54.98999090003781,0.0,3.0,0.0,1.0,0.0,4.99464741199577,0.0,0.927,0.0,0.0004,0.0,0.027200000000000002,0.0,0.010066666666666668,0.0,1e-05,0.0,275.9962825999828,0.0,2.269949351246859,0.0,330.98627810005564,0.0,1.2438103999593295,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_damp0.5_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,10,0.1,0.010000000000000002,0.5,0.001,8.0,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,30,0.05,False,True,True,0.78,0.0,0.88,0.0,0.927,0.0,4.239084557716515,0.0,0.9412,0.0,27.89667750004446,0.0,0.029,0.0,24.0,0.0,1.274182677268982,0.0,0.009245004830655917,0.0,1.8635184158527753,0.0,23.175,0.0,0.18744520351946897,0.0,0.043788466319016645,0.0,5.6905067996867436,0.0,6.780657073929017,0.0,24.0,0.0,7.0,0.0,1,1.610179400013294,0.0,0.049787068367863944,0.0,21.35785977128399,0.0,0.7308290878953791,0.0,62.65075359343265,0.0,62.37796069995966,0.0,3.0,0.0,0.5,0.0,4.239084557716515,0.0,0.927,0.0,0.0006000000000000001,0.0,0.0274,0.0,0.0102,0.0,0.010000000000000002,0.0,300.8753069000086,0.0,2.2520864309068536,0.0,363.2532727999496,0.0,1.610179400013294,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_damp0.5_kcov0.25,anchor,qr_alt,cem,pls,0.25,2,10,0.1,0.010000000000000002,0.5,0.001,8.0,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,30,0.05,False,True,True,0.78,0.0,0.88,0.0,0.927,0.0,4.239084557716515,0.0,0.9412,0.0,29.76586139999563,0.0,0.029,0.0,24.0,0.0,1.274074673652649,0.0,0.009245004830655917,0.0,1.8635184158527753,0.0,23.175,0.0,0.18744520351946897,0.0,0.043788466319016645,0.0,5.704956233992605,0.0,6.797874636861321,0.0,24.0,0.0,7.0,0.0,1,1.6393904000287876,0.0,0.049787068367863944,0.0,21.35785977128399,0.0,0.7308290878953791,0.0,62.65075359343265,0.0,63.54808860004414,0.0,3.0,0.0,0.5,0.0,4.239084557716515,0.0,0.927,0.0,0.0006000000000000001,0.0,0.0274,0.0,0.0102,0.0,0.010000000000000002,0.0,305.64904150000075,0.0,2.2520864309068536,0.0,369.19713280006545,0.0,1.6393904000287876,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,10,0.1,0.010000000000000002,1.0,0.001,8.0,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,30,0.05,False,True,True,0.77,0.0,0.875,0.0,0.927,0.0,4.994616705041509,0.0,0.9412,0.0,26.006644100008998,0.0,0.0286,0.0,24.0,0.0,1.2884454727172852,0.0,0.008633151838570956,0.0,2.47168913939412,0.0,23.175,0.0,0.1835713383904883,0.0,0.04106847893977597,0.0,5.633959898748814,0.0,6.713277285563833,0.0,24.0,0.0,7.0,0.0,1,1.4921394999837503,0.0,0.049787068367863944,0.0,21.06399979633831,0.0,0.6475942854216623,0.0,61.237941198707624,0.0,52.6346875000163,0.0,3.0,0.0,1.0,0.0,4.994616705041509,0.0,0.927,0.0,0.0004,0.0,0.0274,0.0,0.010066666666666666,0.0,0.010000000000000002,0.0,243.99241820001043,0.0,2.271882823805749,0.0,296.62710830004653,0.0,1.4921394999837503,0.0
lh_q5_train1000,LH,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,0,,1e-05,1.0,0.001,8.0,4,1000,200,200,5,30,5,35,40,0.02,,30,0.05,False,True,True,0.53,0.0,0.57,0.0,0.6050000000000001,0.0,,,0.6050000000000001,0.0,87.59699130000081,0.0,0.0,0.0,34.0,0.0,322.5732116699219,0.0,,,,,21.175,0.0,,,,,247.95788570338712,0.0,295.4600444065385,0.0,23.0,0.0,5.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.2995904178458,0.0,87.59699130000081,0.0,87.59699130000081,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem1_kcov0.1,anchor,qr_alt,cem,pls,0.1,1,10,,1e-05,1.0,0.001,8.0,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,30,0.05,False,True,True,0.695,0.0,0.705,0.0,0.6407142857142858,0.0,3.2607276636870575,0.0,0.6050000000000001,0.0,86.3493653999758,0.0,0.062000000000000006,0.0,34.0,0.0,289.33819580078125,0.0,0.13099077636719955,0.0,12.86928435277402,0.0,22.425,0.0,0.005199448861449414,0.0,0.3310038002649817,0.0,166.96975555665875,0.0,198.95673513820972,0.0,26.0,0.0,4.0,0.0,1,1.5080156000331044,0.0,0.049787068367863944,0.0,-20.56673664523462,0.0,10.189069843083752,0.0,54.74763080433923,0.0,58.963354400068056,0.0,3.0,0.0,1.0,0.0,3.2607276636870575,0.0,0.6407142857142858,0.0,0.0018571428571428573,0.0,0.06028571428571429,0.0,0.02247619047619048,0.0,1e-05,0.0,187.49023969995324,0.0,652.827768113984,0.0,246.4535967000411,0.0,1.5080156000331044,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,10,,1e-05,1.0,0.001,8.0,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,30,0.05,False,True,True,0.685,0.0,0.69,0.0,0.6408571428571429,0.0,3.247823024451426,0.0,0.6050000000000001,0.0,66.78626090002945,0.0,0.06442857142857143,0.0,34.0,0.0,285.2152099609375,0.0,0.10505484749216176,0.0,14.653508759526634,0.0,22.43,0.0,0.004303820566171225,0.0,0.25648629890981,0.0,128.3940235246092,0.0,152.9909153100872,0.0,26.0,0.0,4.0,0.0,1,1.0039219000027515,0.0,0.049787068367863944,0.0,-26.275961356816268,0.0,9.943860600907575,0.0,54.78168988833476,0.0,48.55138460005401,0.0,3.0,0.0,1.0,0.0,3.247823024451426,0.0,0.6408571428571429,0.0,0.002285714285714286,0.0,0.061142857142857145,0.0,0.022428571428571426,0.0,1e-05,0.0,281.7451145000523,0.0,649.5452680687981,0.0,330.2965035000816,0.0,1.0039219000027515,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.1_damp0.5_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,10,0.1,0.010000000000000002,0.5,0.001,8.0,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,30,0.05,False,True,True,0.785,0.0,0.79,0.0,0.651,0.0,2.906190955925954,0.0,0.6050000000000001,0.0,44.81732559995726,0.0,0.0682857142857143,0.0,34.0,0.0,289.40765380859375,0.0,0.10225620316582873,0.0,11.409014711306824,0.0,22.785,0.0,0.015432949302136255,0.0,0.38526833391247417,0.0,285.1347198284935,0.0,339.75897456695327,0.0,27.0,0.0,4.0,0.0,1,0.9301851000054739,0.0,0.049787068367863944,0.0,15.803647887791717,0.0,7.719290658720581,0.0,53.708408498626056,0.0,37.66700829996262,0.0,3.0,0.0,0.5,0.0,2.906190955925954,0.0,0.651,0.0,0.001142857142857143,0.0,0.06642857142857143,0.0,0.022952380952380957,0.0,0.010000000000000002,0.0,196.75772260001395,0.0,656.3529157442637,0.0,234.42473359999713,0.0,0.9301851000054739,0.0
