setting,family,variant,mode,kind,init,projection_init,kcov_lambda,cem_updates,local_noise_std_floor,local_noise_var_floor,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_control,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,m_inducing,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,standardize_x,standardize_y_for_head,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,final_inlier_rate_mean,final_inlier_rate_std,gate_norm_mean_mean,gate_norm_mean_std,init_inlier_rate_mean,init_inlier_rate_std,init_sec_mean,init_sec_std,label_change_rate_mean,label_change_rate_std,max_n_inliers_mean,max_n_inliers_std,mean_crps_mean,mean_crps_std,mean_kernel_vector_correction_mean,mean_kernel_vector_correction_std,mean_lengthscale_mean,mean_lengthscale_std,mean_n_inliers_mean,mean_n_inliers_std,mean_noise_var_mean,mean_noise_var_std,mean_signal_var_mean,mean_signal_var_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_n_inliers_mean,median_n_inliers_std,min_n_inliers_mean,min_n_inliers_std,n_runs,pred_sec_mean,pred_sec_std,qr_R_std_median_mean,qr_R_std_median_std,qr_best_loss_mean,qr_best_loss_std,qr_grad_data_over_scaled_KL_R_mu_final_mean,qr_grad_data_over_scaled_KL_R_mu_final_std,qr_kl_per_anchor_mean,qr_kl_per_anchor_std,qr_train_sec_mean,qr_train_sec_std,refresh_count_mean,refresh_count_std,refresh_damping_active_mean,refresh_damping_active_std,refresh_gate_norm_final_mean,refresh_gate_norm_final_std,refresh_inlier_rate_final_mean,refresh_inlier_rate_final_std,refresh_label_change_final_mean,refresh_label_change_final_std,refresh_label_change_max_mean,refresh_label_change_max_std,refresh_label_change_mean_mean,refresh_label_change_mean_std,refresh_noise_var_floor_active_mean,refresh_noise_var_floor_active_std,refresh_train_sec_mean,refresh_train_sec_std,rmse_mean,rmse_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,,40,0.05,False,True,True,0.8,0.0,0.875,0.0,0.9412,0.0,,,0.9412,0.0,16.977496200008318,0.0,0.0,0.0,25.0,0.0,1.2696621417999268,0.0,,,,,23.53,0.0,,,,,5.852561751399146,0.0,6.973757459074752,0.0,24.0,0.0,7.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25370978528544,0.0,16.977496200008318,0.0,16.977496200008318,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.77,0.0,0.87,0.0,0.927,0.0,4.986203248805299,0.0,0.9412,0.0,17.847990299982484,0.0,0.0286,0.0,24.0,0.0,1.2813137769699097,0.0,0.00753272181323226,0.0,2.4373418554900486,0.0,23.175,0.0,0.18266295211440656,0.0,0.04110521002304388,0.0,5.63305402962285,0.0,6.712197875923665,0.0,24.0,0.0,7.0,0.0,1,0.9674385000253096,0.0,0.049787068367863944,0.0,21.068126840469652,0.0,0.7134508080488987,0.0,61.817095981431386,0.0,40.9879237000132,0.0,3.0,0.0,1.0,0.0,4.986203248805299,0.0,0.927,0.0,0.0008,0.0,0.027200000000000002,0.0,0.0102,0.0,0.010000000000000002,0.0,195.24223730002996,0.0,2.2614368682225243,0.0,236.2301857000566,0.0,0.9674385000253096,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_qrmeanonly_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,meanonly,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.77,0.0,0.875,0.0,0.9274,0.0,5.160063032942185,0.0,0.9412,0.0,17.01546219998272,0.0,0.029400000000000003,0.0,24.0,0.0,1.2834243774414062,0.0,2.5876981171811936e-08,0.0,2.6042836879673126,0.0,23.185,0.0,0.18442914596822005,0.0,0.042647115891862736,0.0,5.6158215472542565,0.0,6.691664106685326,0.0,24.0,0.0,7.0,0.0,1,0.8653301000013016,0.0,4.5399929762484854e-05,0.0,21.01942211128336,0.0,2.6305024567398783,0.0,62.69576774417746,0.0,38.069383900030516,0.0,3.0,0.0,1.0,0.0,5.160063032942185,0.0,0.9274,0.0,0.0008,0.0,0.027800000000000002,0.0,0.010466666666666668,0.0,0.010000000000000002,0.0,199.2088514000643,0.0,2.2684477297916366,0.0,237.27826420008205,0.0,0.8653301000013016,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_qrprior_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,prior,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.785,0.0,0.88,0.0,0.9336000000000001,0.0,2.8959717535115277,0.0,0.9412,0.0,18.563685500004794,0.0,0.036000000000000004,0.0,24.0,0.0,1.2733453512191772,0.0,0.03316000320440996,0.0,0.21777050112136345,0.0,23.34,0.0,0.18424102499676018,0.0,0.045176277347258445,0.0,5.716770709842817,0.0,6.811952453138233,0.0,24.0,0.0,7.0,0.0,1,1.034911099995952,0.0,,,,,,,,,0.0,0.0,3.0,0.0,1.0,0.0,2.8959717535115277,0.0,0.9336000000000001,0.0,0.0008,0.0,0.033,0.0,0.012666666666666668,0.0,0.010000000000000002,0.0,201.44103660009569,0.0,2.2534161051639043,0.0,201.4411781000672,0.0,1.034911099995952,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_qrshuf_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,shuf,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.775,0.0,0.87,0.0,0.928,0.0,5.012681935611045,0.0,0.9412,0.0,16.747853500011843,0.0,0.0296,0.0,24.0,0.0,1.270941138267517,0.0,0.008245585297506386,0.0,2.612872452695203,0.0,23.2,0.0,0.1835734964733191,0.0,0.042537497804791935,0.0,5.659063586939939,0.0,6.7431901750316445,0.0,24.0,0.0,7.0,0.0,1,0.9093851000070572,0.0,0.049787068367863944,0.0,21.121691267557434,0.0,0.675088050603022,0.0,57.612979536858205,0.0,37.795170399942435,0.0,3.0,0.0,1.0,0.0,5.012681935611045,0.0,0.928,0.0,0.0006000000000000001,0.0,0.0284,0.0,0.010533333333333334,0.0,0.010000000000000002,0.0,200.81053620006423,0.0,2.2498946675885247,0.0,238.60573130002012,0.0,0.9093851000070572,0.0
l2_q2_train1000,L2_phantom,self_cem2_nstd0.1_kcov0.1,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.77,0.0,0.87,0.0,0.9258000000000001,0.0,5.097715806342544,0.0,0.9412,0.0,16.873745599994436,0.0,0.0274,0.0,24.0,0.0,1.2794755697250366,0.0,0.014551337566384406,0.0,2.2800532757625955,0.0,23.145,0.0,0.18245921491674894,0.0,0.041284846869663085,0.0,5.668208516656996,0.0,6.7540870308934045,0.0,24.0,0.0,7.0,0.0,1,1.0285066000069492,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.265999528998289,0.0,163.65364380000392,0.0,1.0285066000069492,0.0
lh_q5_train1000,LH,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,,40,0.05,False,True,True,0.53,0.0,0.57,0.0,0.6050000000000001,0.0,,,0.6050000000000001,0.0,47.6534643000341,0.0,0.0,0.0,34.0,0.0,322.5732116699219,0.0,,,,,21.175,0.0,,,,,247.95788570338712,0.0,295.4600444065385,0.0,23.0,0.0,5.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.2995904178458,0.0,47.6534643000341,0.0,47.6534643000341,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,True,True,0.765,0.0,0.78,0.0,0.6514285714285715,0.0,3.3606318547943936,0.0,0.6050000000000001,0.0,47.45574269996723,0.0,0.0692857142857143,0.0,34.0,0.0,291.743896484375,0.0,0.09322102910490865,0.0,14.866930503003497,0.0,22.8,0.0,0.015369981596267096,0.0,0.26292591630050965,0.0,225.93815913759434,0.0,269.2219218701513,0.0,27.0,0.0,4.0,0.0,1,0.9396225999807939,0.0,0.049787068367863944,0.0,12.460467422753142,0.0,8.261153188280435,0.0,53.8655633096922,0.0,40.103849400009494,0.0,3.0,0.0,1.0,0.0,3.3606318547943936,0.0,0.6514285714285715,0.0,0.001142857142857143,0.0,0.06685714285714286,0.0,0.02347619047619048,0.0,0.010000000000000002,0.0,211.66747799998848,0.0,658.5476566887205,0.0,251.77135639998596,0.0,0.9396225999807939,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.1_qrmeanonly_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,meanonly,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,True,True,0.735,0.0,0.74,0.0,0.6554285714285715,0.0,6.844782047960357,0.0,0.6050000000000001,0.0,47.20373920002021,0.0,0.06842857142857144,0.0,34.0,0.0,310.3037414550781,0.0,6.99104549556642e-08,0.0,15.0357132789285,0.0,22.94,0.0,0.010342088257030703,0.0,0.3328961942919576,0.0,206.1866103010968,0.0,245.68649979726592,0.0,27.0,0.0,4.0,0.0,1,1.078803499985952,0.0,4.5399929762484854e-05,0.0,12.731848249185633,0.0,280.82782086284647,0.0,260.23810154636243,0.0,39.656483600032516,0.0,3.0,0.0,1.0,0.0,6.844782047960357,0.0,0.6554285714285715,0.0,0.0007142857142857144,0.0,0.06657142857142857,0.0,0.023285714285714285,0.0,0.010000000000000002,0.0,212.53678630001377,0.0,680.5091086245028,0.0,252.19330030004494,0.0,1.078803499985952,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.1_qrprior_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,prior,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,True,True,0.765,0.0,0.765,0.0,0.6497142857142858,0.0,1.4714846793250183,0.0,0.6050000000000001,0.0,47.50473589997273,0.0,0.08614285714285715,0.0,34.0,0.0,315.5584411621094,0.0,0.20009275886199887,0.0,12.678586266215888,0.0,22.740000000000002,0.0,0.010197551847307139,0.0,0.13336175762544475,0.0,191.52785786964753,0.0,228.21951893455042,0.0,27.0,0.0,2.0,0.0,1,0.8452086999895982,0.0,,,,,,,,,0.0,0.0,3.0,0.0,1.0,0.0,1.4714846793250183,0.0,0.6497142857142858,0.0,0.004714285714285714,0.0,0.08514285714285715,0.0,0.031285714285714285,0.0,0.010000000000000002,0.0,210.7712328999769,0.0,699.3463990244209,0.0,210.77127469994593,0.0,0.8452086999895982,0.0
