setting,family,variant,mode,kind,init,projection_init,kcov_lambda,cem_updates,local_noise_std_floor,local_noise_var_floor,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_control,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,m_inducing,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,qr_pairwise_weight,qr_pairwise_margin,lowrank_rank,lowrank_basis,lowrank_qr_w_signal_var,standardize_x,standardize_y_for_head,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,final_inlier_rate_mean,final_inlier_rate_std,gate_norm_mean_mean,gate_norm_mean_std,init_inlier_rate_mean,init_inlier_rate_std,init_sec_mean,init_sec_std,label_change_rate_mean,label_change_rate_std,max_n_inliers_mean,max_n_inliers_std,mean_crps_mean,mean_crps_std,mean_kernel_vector_correction_mean,mean_kernel_vector_correction_std,mean_lengthscale_mean,mean_lengthscale_std,mean_n_inliers_mean,mean_n_inliers_std,mean_noise_var_mean,mean_noise_var_std,mean_signal_var_mean,mean_signal_var_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_n_inliers_mean,median_n_inliers_std,min_n_inliers_mean,min_n_inliers_std,n_runs,pred_sec_mean,pred_sec_std,qr_R_std_median_mean,qr_R_std_median_std,qr_best_loss_mean,qr_best_loss_std,qr_grad_data_over_scaled_KL_R_mu_final_mean,qr_grad_data_over_scaled_KL_R_mu_final_std,qr_grad_pairwise_R_mu_final_mean,qr_grad_pairwise_R_mu_final_std,qr_grad_pairwise_over_data_R_mu_final_mean,qr_grad_pairwise_over_data_R_mu_final_std,qr_grad_pairwise_over_scaled_KL_R_mu_final_mean,qr_grad_pairwise_over_scaled_KL_R_mu_final_std,qr_kl_per_anchor_mean,qr_kl_per_anchor_std,qr_train_sec_mean,qr_train_sec_std,refresh_count_mean,refresh_count_std,refresh_damping_active_mean,refresh_damping_active_std,refresh_gate_norm_final_mean,refresh_gate_norm_final_std,refresh_inlier_rate_final_mean,refresh_inlier_rate_final_std,refresh_label_change_final_mean,refresh_label_change_final_std,refresh_label_change_max_mean,refresh_label_change_max_std,refresh_label_change_mean_mean,refresh_label_change_mean_std,refresh_noise_var_floor_active_mean,refresh_noise_var_floor_active_std,refresh_train_sec_mean,refresh_train_sec_std,rmse_mean,rmse_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,0.8,0.0,0.875,0.0,0.9412,0.0,,,0.9412,0.0,17.5177238000324,0.0,0.0,0.0,25.0,0.0,1.2696621417999268,0.0,,,,,23.53,0.0,,,,,5.852561751399146,0.0,6.973757459074752,0.0,24.0,0.0,7.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25370978528544,0.0,17.5177238000324,0.0,17.5177238000324,0.0
l2_q2_train1000,L2_phantom,qr_alt_lr1_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,0.0,1.0,1,pca_residual,0.1,True,True,0.775,0.0,0.88,0.0,0.9264,0.0,5.145197812081039,0.0,0.9412,0.0,18.114006399991922,0.0,0.027200000000000002,0.0,24.0,0.0,1.2736705541610718,0.0,0.0005534288199057899,0.0,2.97200000835869,0.0,23.16,0.0,0.18495706942049403,0.0,0.03718007825479702,0.0,5.61525102930062,0.0,6.690984292613523,0.0,24.0,0.0,7.0,0.0,1,1.2762314000283368,0.0,0.049787068367863944,0.0,21.008048808042687,0.0,0.7288884072625498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.763153399139071,0.0,42.21240740001667,0.0,3.0,0.0,1.0,0.0,5.145197812081039,0.0,0.9264,0.0,0.0002,0.0,0.026600000000000002,0.0,0.009466666666666667,0.0,0.010000000000000002,0.0,207.99102819996187,0.0,2.253034371806978,0.0,250.2034791999613,0.0,1.2762314000283368,0.0
l2_q2_train1000,L2_phantom,qr_alt_lr2_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.77,0.0,0.87,0.0,0.9266000000000001,0.0,5.134802567480112,0.0,0.9412,0.0,17.42817470000591,0.0,0.028200000000000003,0.0,24.0,0.0,1.2762246131896973,0.0,0.0009420115975833532,0.0,2.9410787828009695,0.0,23.165,0.0,0.18454572851545706,0.0,0.04358711047965688,0.0,5.602504105598465,0.0,6.675795396191045,0.0,24.0,0.0,7.0,0.0,1,1.0392954999697395,0.0,0.049787068367863944,0.0,20.96457129517182,0.0,0.7746396894445691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.55765636568,0.0,42.21946569997817,0.0,3.0,0.0,1.0,0.0,5.134802567480112,0.0,0.9266000000000001,0.0,0.0004,0.0,0.027,0.0,0.0098,0.0,0.010000000000000002,0.0,204.87286539992783,0.0,2.256797742901714,0.0,247.09236659988528,0.0,1.0392954999697395,0.0
l2_q2_train1000,L2_phantom,qr_alt_lr2_refresh10_self_cem2_nstd0.1_qrprior_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,prior,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.78,0.0,0.88,0.0,0.9292,0.0,4.574180876368871,0.0,0.9412,0.0,17.627155199996196,0.0,0.0292,0.0,24.0,0.0,1.2748256921768188,0.0,0.012716122230873879,0.0,2.2675187773600176,0.0,23.23,0.0,0.18246701011304572,0.0,0.04448072322719873,0.0,5.653825531530047,0.0,6.7369486470414355,0.0,24.0,0.0,7.0,0.0,1,1.305216400010977,0.0,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,1.0,0.0,4.574180876368871,0.0,0.9292,0.0,0.0,0.0,0.029,0.0,0.01,0.0,0.010000000000000002,0.0,210.13991079997504,0.0,2.258130214985675,0.0,210.13993949996075,0.0,1.305216400010977,0.0
l2_q2_train1000,L2_phantom,qr_alt_lr2_refresh10_self_cem2_nstd0.1_qrshuf_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,shuf,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.775,0.0,0.875,0.0,0.9268000000000001,0.0,5.118398472769341,0.0,0.9412,0.0,17.21603829995729,0.0,0.027600000000000003,0.0,24.0,0.0,1.2678505182266235,0.0,0.0016513499356952633,0.0,3.004538585440846,0.0,23.17,0.0,0.1852428150468939,0.0,0.03636068582458652,0.0,5.61728391491703,0.0,6.693406625231797,0.0,24.0,0.0,7.0,0.0,1,1.1046274999971502,0.0,0.049787068367863944,0.0,21.025917751741776,0.0,0.7882367774553999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.96383497361706,0.0,41.73515370010864,0.0,3.0,0.0,1.0,0.0,5.118398472769341,0.0,0.9268000000000001,0.0,0.0002,0.0,0.0268,0.0,0.0096,0.0,0.010000000000000002,0.0,206.8171435999684,0.0,2.2464660091544935,0.0,248.55232140002772,0.0,1.1046274999971502,0.0
l2_q2_train1000,L2_phantom,qr_alt_lr4_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,0.0,1.0,4,pca_residual,0.1,True,True,0.765,0.0,0.865,0.0,0.9256000000000001,0.0,5.129058269110069,0.0,0.9412,0.0,17.752117900003213,0.0,0.027200000000000002,0.0,24.0,0.0,1.2923388481140137,0.0,0.00261584261806619,0.0,2.8242430987872473,0.0,23.14,0.0,0.1834323092320551,0.0,0.04209321895076878,0.0,5.594174528592282,0.0,6.6658700930083965,0.0,24.0,0.0,7.0,0.0,1,1.0536108000087552,0.0,0.049787068367863944,0.0,21.017685970532803,0.0,0.6449350539200115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.548231781803903,0.0,42.165425900078844,0.0,3.0,0.0,1.0,0.0,5.129058269110069,0.0,0.9256000000000001,0.0,0.0002,0.0,0.026600000000000002,0.0,0.0096,0.0,0.010000000000000002,0.0,205.75270790001377,0.0,2.272008549666522,0.0,247.91830480005592,0.0,1.0536108000087552,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,0.77,0.0,0.87,0.0,0.927,0.0,4.986203248805299,0.0,0.9412,0.0,17.60718699998688,0.0,0.0286,0.0,24.0,0.0,1.2813137769699097,0.0,0.00753272181323226,0.0,2.4373418554900486,0.0,23.175,0.0,0.18266295211440656,0.0,0.04110521002304388,0.0,5.63305402962285,0.0,6.712197875923665,0.0,24.0,0.0,7.0,0.0,1,0.9898447000305168,0.0,0.049787068367863944,0.0,21.068126840469652,0.0,0.7134508080488987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.817095981431386,0.0,40.09651990007842,0.0,3.0,0.0,1.0,0.0,4.986203248805299,0.0,0.927,0.0,0.0008,0.0,0.027200000000000002,0.0,0.0102,0.0,0.010000000000000002,0.0,193.21495039993897,0.0,2.2614368682225243,0.0,233.31153659999836,0.0,0.9898447000305168,0.0
l2_q2_train1000,L2_phantom,self_cem2_nstd0.1_kcov0.1,anchor,self_cem,cem,pls,0.1,2,0.1,0.010000000000000002,0,,1e-05,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,0.77,0.0,0.87,0.0,0.9258000000000001,0.0,5.097715806342544,0.0,0.9412,0.0,17.35496210004203,0.0,0.0274,0.0,24.0,0.0,1.2794755697250366,0.0,0.014551337566384406,0.0,2.2800532757625955,0.0,23.145,0.0,0.18245921491674894,0.0,0.041284846869663085,0.0,5.668208516656996,0.0,6.7540870308934045,0.0,24.0,0.0,7.0,0.0,1,0.9244131000014022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.265999528998289,0.0,160.67594539996935,0.0,0.9244131000014022,0.0
lh_q5_train1000,LH,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,0.53,0.0,0.57,0.0,0.6050000000000001,0.0,,,0.6050000000000001,0.0,48.952279899967834,0.0,0.0,0.0,34.0,0.0,322.5732116699219,0.0,,,,,21.175,0.0,,,,,247.95788570338712,0.0,295.4600444065385,0.0,23.0,0.0,5.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.2995904178458,0.0,48.952279899967834,0.0,48.952279899967834,0.0
lh_q5_train1000,LH,qr_alt_lr1_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,0.0,1.0,1,pca_residual,0.1,True,True,0.76,0.0,0.77,0.0,0.6541428571428571,0.0,6.439722694426214,0.0,0.6050000000000001,0.0,49.150770400010515,0.0,0.07057142857142858,0.0,34.0,0.0,290.445556640625,0.0,0.009720217753545637,0.0,14.916981672718023,0.0,22.895,0.0,0.010167829939651055,0.0,0.30729255764766705,0.0,218.69380779587868,0.0,260.589744825053,0.0,27.0,0.0,3.0,0.0,1,1.1522478999686427,0.0,0.049787068367863944,0.0,12.692813106652599,0.0,2.704106186875389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7028850340189978,0.0,41.02963000006275,0.0,3.0,0.0,1.0,0.0,6.439722694426214,0.0,0.6541428571428571,0.0,0.0005714285714285715,0.0,0.06814285714285714,0.0,0.02361904761904762,0.0,0.010000000000000002,0.0,218.215168200084,0.0,655.3813450189077,0.0,259.24482880014693,0.0,1.1522478999686427,0.0
