setting,family,variant,mode,kind,init,projection_init,kcov_lambda,cem_updates,local_noise_std_floor,local_noise_var_floor,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_control,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,m_inducing,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,standardize_x,standardize_y_for_head,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,final_inlier_rate_mean,final_inlier_rate_std,gate_norm_mean_mean,gate_norm_mean_std,init_inlier_rate_mean,init_inlier_rate_std,init_sec_mean,init_sec_std,label_change_rate_mean,label_change_rate_std,max_n_inliers_mean,max_n_inliers_std,mean_crps_mean,mean_crps_std,mean_kernel_vector_correction_mean,mean_kernel_vector_correction_std,mean_lengthscale_mean,mean_lengthscale_std,mean_n_inliers_mean,mean_n_inliers_std,mean_noise_var_mean,mean_noise_var_std,mean_signal_var_mean,mean_signal_var_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_n_inliers_mean,median_n_inliers_std,min_n_inliers_mean,min_n_inliers_std,n_runs,pred_sec_mean,pred_sec_std,qr_R_std_median_mean,qr_R_std_median_std,qr_best_loss_mean,qr_best_loss_std,qr_grad_data_over_scaled_KL_R_mu_final_mean,qr_grad_data_over_scaled_KL_R_mu_final_std,qr_kl_per_anchor_mean,qr_kl_per_anchor_std,qr_train_sec_mean,qr_train_sec_std,refresh_count_mean,refresh_count_std,refresh_damping_active_mean,refresh_damping_active_std,refresh_gate_norm_final_mean,refresh_gate_norm_final_std,refresh_inlier_rate_final_mean,refresh_inlier_rate_final_std,refresh_label_change_final_mean,refresh_label_change_final_std,refresh_label_change_max_mean,refresh_label_change_max_std,refresh_label_change_mean_mean,refresh_label_change_mean_std,refresh_noise_var_floor_active_mean,refresh_noise_var_floor_active_std,refresh_train_sec_mean,refresh_train_sec_std,rmse_mean,rmse_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,,40,0.05,False,True,True,0.8,0.0,0.875,0.0,0.9412,0.0,,,0.9412,0.0,17.531919299974106,0.0,0.0,0.0,25.0,0.0,1.2696621417999268,0.0,,,,,23.53,0.0,,,,,5.852561751399146,0.0,6.973757459074752,0.0,24.0,0.0,7.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25370978528544,0.0,17.531919299974106,0.0,17.531919299974106,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.05_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.05,0.0025000000000000005,10,0.05,0.0025000000000000005,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.77,0.0,0.875,0.0,0.927,0.0,4.986069722975022,0.0,0.9412,0.0,17.65672159998212,0.0,0.0286,0.0,24.0,0.0,1.2859920263290405,0.0,0.008777057410040682,0.0,2.5276101437645275,0.0,23.175,0.0,0.18294010999033883,0.0,0.04146100243195877,0.0,5.62822353439637,0.0,6.706441985845507,0.0,24.0,0.0,7.0,0.0,1,0.8901458000182174,0.0,0.049787068367863944,0.0,21.06466899538975,0.0,0.6589063402284131,0.0,61.138194930742415,0.0,40.65945490001468,0.0,3.0,0.0,1.0,0.0,4.986069722975022,0.0,0.927,0.0,0.0004,0.0,0.027200000000000002,0.0,0.010066666666666668,0.0,0.0025000000000000005,0.0,199.98613870004192,0.0,2.2681800599306974,0.0,240.64563310006633,0.0,0.8901458000182174,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.15_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.15,0.0225,10,0.15,0.0225,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.775,0.0,0.87,0.0,0.9276000000000001,0.0,4.97498297361752,0.0,0.9412,0.0,17.435874299961142,0.0,0.0284,0.0,24.0,0.0,1.2882068157196045,0.0,0.007314581353677347,0.0,2.451173688441072,0.0,23.19,0.0,0.1831092031385716,0.0,0.04087050184570647,0.0,5.629394925163836,0.0,6.7078377840359575,0.0,24.0,0.0,7.0,0.0,1,0.8391708999988623,0.0,0.049787068367863944,0.0,21.071721045324125,0.0,0.6497042480882237,0.0,61.210048562560644,0.0,37.03549259994179,0.0,3.0,0.0,1.0,0.0,4.97498297361752,0.0,0.9276000000000001,0.0,0.0008,0.0,0.0274,0.0,0.010133333333333333,0.0,0.0225,0.0,207.049224800081,0.0,2.271838542577666,0.0,244.08475189999444,0.0,0.8391708999988623,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.77,0.0,0.87,0.0,0.927,0.0,4.986203248805299,0.0,0.9412,0.0,16.896295999991708,0.0,0.0286,0.0,24.0,0.0,1.2813137769699097,0.0,0.00753272181323226,0.0,2.4373418554900486,0.0,23.175,0.0,0.18266295211440656,0.0,0.04110521002304388,0.0,5.63305402962285,0.0,6.712197875923665,0.0,24.0,0.0,7.0,0.0,1,1.148126499960199,0.0,0.049787068367863944,0.0,21.068126840469652,0.0,0.7134508080488987,0.0,61.817095981431386,0.0,38.54889830003958,0.0,3.0,0.0,1.0,0.0,4.986203248805299,0.0,0.927,0.0,0.0008,0.0,0.027200000000000002,0.0,0.0102,0.0,0.010000000000000002,0.0,203.81658869999228,0.0,2.2614368682225243,0.0,242.36552020005183,0.0,1.148126499960199,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.2_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.2,0.04000000000000001,10,0.2,0.04000000000000001,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,True,True,0.77,0.0,0.87,0.0,0.9268000000000001,0.0,4.981249164172172,0.0,0.9412,0.0,17.071553799964022,0.0,0.028800000000000003,0.0,24.0,0.0,1.2850053310394287,0.0,0.006981944089169978,0.0,2.407019259457554,0.0,23.17,0.0,0.18392991873930306,0.0,0.03901412296985466,0.0,5.6281262182853675,0.0,6.706326026547028,0.0,24.0,0.0,7.0,0.0,1,0.9460655000293627,0.0,0.049787068367863944,0.0,21.07080666722885,0.0,0.681977749253101,0.0,61.73486134823502,0.0,38.04891999991378,0.0,3.0,0.0,1.0,0.0,4.981249164172172,0.0,0.9268000000000001,0.0,0.0008,0.0,0.027600000000000003,0.0,0.010266666666666667,0.0,0.04000000000000001,0.0,200.5168788000592,0.0,2.2655424672139857,0.0,238.565832399996,0.0,0.9460655000293627,0.0
lh_q5_train1000,LH,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,,40,0.05,False,True,True,0.53,0.0,0.57,0.0,0.6050000000000001,0.0,,,0.6050000000000001,0.0,47.817132199998014,0.0,0.0,0.0,34.0,0.0,322.5732116699219,0.0,,,,,21.175,0.0,,,,,247.95788570338712,0.0,295.4600444065385,0.0,23.0,0.0,5.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.2995904178458,0.0,47.817132199998014,0.0,47.817132199998014,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.05_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.05,0.0025000000000000005,10,0.05,0.0025000000000000005,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,True,True,0.76,0.0,0.78,0.0,0.6444285714285715,0.0,3.328263207709118,0.0,0.6050000000000001,0.0,47.647770099982154,0.0,0.06514285714285714,0.0,34.0,0.0,287.5619201660156,0.0,0.09975813186572766,0.0,15.445405932213312,0.0,22.555,0.0,0.007880784708218389,0.0,0.24439885255669752,0.0,170.20132322644932,0.0,202.80738551986852,0.0,26.0,0.0,4.0,0.0,1,0.9206502999877557,0.0,0.049787068367863944,0.0,0.6711017513920756,0.0,8.20723552067732,0.0,54.24736364126582,0.0,40.18539569998393,0.0,3.0,0.0,1.0,0.0,3.328263207709118,0.0,0.6444285714285715,0.0,0.0018571428571428573,0.0,0.06257142857142857,0.0,0.022857142857142857,0.0,0.0025000000000000005,0.0,210.40740540000843,0.0,653.2085681976939,0.0,250.59282489999896,0.0,0.9206502999877557,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.15_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.15,0.0225,10,0.15,0.0225,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,True,True,0.785,0.0,0.805,0.0,0.6517142857142858,0.0,3.3770365712366215,0.0,0.6050000000000001,0.0,47.56227370002307,0.0,0.06957142857142858,0.0,34.0,0.0,292.1285400390625,0.0,0.08607330268307954,0.0,14.916502456138893,0.0,22.81,0.0,0.028487011254210385,0.0,0.26995151959614944,0.0,287.48811304675286,0.0,342.5632155484428,0.0,27.0,0.0,4.0,0.0,1,0.8958168000099249,0.0,0.049787068367863944,0.0,19.88672143364212,0.0,8.599372768618903,0.0,53.70246120814096,0.0,39.86251379997702,0.0,3.0,0.0,1.0,0.0,3.3770365712366215,0.0,0.6517142857142858,0.0,0.0012857142857142859,0.0,0.06714285714285714,0.0,0.023571428571428566,0.0,0.0225,0.0,211.46815279999282,0.0,658.4523175531328,0.0,251.33069459995022,0.0,0.8958168000099249,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,True,True,0.765,0.0,0.78,0.0,0.6514285714285715,0.0,3.3606318547943936,0.0,0.6050000000000001,0.0,48.036718100018334,0.0,0.0692857142857143,0.0,34.0,0.0,291.743896484375,0.0,0.09322102910490865,0.0,14.866930503003497,0.0,22.8,0.0,0.015369981596267096,0.0,0.26292591630050965,0.0,225.93815913759434,0.0,269.2219218701513,0.0,27.0,0.0,4.0,0.0,1,0.987092700030189,0.0,0.049787068367863944,0.0,12.460467422753142,0.0,8.261153188280435,0.0,53.8655633096922,0.0,40.6302079000161,0.0,3.0,0.0,1.0,0.0,3.3606318547943936,0.0,0.6514285714285715,0.0,0.001142857142857143,0.0,0.06685714285714286,0.0,0.02347619047619048,0.0,0.010000000000000002,0.0,211.5635617999942,0.0,658.5476566887205,0.0,252.1938102999702,0.0,0.987092700030189,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.2_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.2,0.04000000000000001,10,0.2,0.04000000000000001,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,True,True,0.795,0.0,0.81,0.0,0.6524285714285715,0.0,3.3983270541698642,0.0,0.6050000000000001,0.0,47.518865399993956,0.0,0.06914285714285714,0.0,34.0,0.0,292.1695251464844,0.0,0.08336920952195556,0.0,15.015484481254832,0.0,22.835,0.0,0.04571030492003156,0.0,0.2815346413955143,0.0,349.6284056298632,0.0,416.607941143513,0.0,27.0,0.0,4.0,0.0,1,0.9346114000072703,0.0,0.049787068367863944,0.0,25.80142817271515,0.0,8.394155770411128,0.0,53.79224374332544,0.0,39.974785999860615,0.0,3.0,0.0,1.0,0.0,3.3983270541698642,0.0,0.6524285714285715,0.0,0.001,0.0,0.06642857142857143,0.0,0.02304761904761905,0.0,0.04000000000000001,0.0,213.66732569999294,0.0,657.7285440316118,0.0,253.64214879984502,0.0,0.9346114000072703,0.0
