setting,family,variant,mode,kind,init,projection_init,kcov_lambda,cem_updates,local_noise_std_floor,local_noise_var_floor,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_control,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,m_inducing,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,qr_pairwise_weight,qr_pairwise_margin,standardize_x,standardize_y_for_head,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,final_inlier_rate_mean,final_inlier_rate_std,gate_norm_mean_mean,gate_norm_mean_std,init_inlier_rate_mean,init_inlier_rate_std,init_sec_mean,init_sec_std,label_change_rate_mean,label_change_rate_std,max_n_inliers_mean,max_n_inliers_std,mean_crps_mean,mean_crps_std,mean_kernel_vector_correction_mean,mean_kernel_vector_correction_std,mean_lengthscale_mean,mean_lengthscale_std,mean_n_inliers_mean,mean_n_inliers_std,mean_noise_var_mean,mean_noise_var_std,mean_signal_var_mean,mean_signal_var_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_n_inliers_mean,median_n_inliers_std,min_n_inliers_mean,min_n_inliers_std,n_runs,pred_sec_mean,pred_sec_std,qr_R_std_median_mean,qr_R_std_median_std,qr_best_loss_mean,qr_best_loss_std,qr_grad_data_over_scaled_KL_R_mu_final_mean,qr_grad_data_over_scaled_KL_R_mu_final_std,qr_grad_pairwise_R_mu_final_mean,qr_grad_pairwise_R_mu_final_std,qr_grad_pairwise_over_data_R_mu_final_mean,qr_grad_pairwise_over_data_R_mu_final_std,qr_grad_pairwise_over_scaled_KL_R_mu_final_mean,qr_grad_pairwise_over_scaled_KL_R_mu_final_std,qr_kl_per_anchor_mean,qr_kl_per_anchor_std,qr_pairwise_cross_dist_mean_final_mean,qr_pairwise_cross_dist_mean_final_std,qr_pairwise_cross_violation_rate_final_mean,qr_pairwise_cross_violation_rate_final_std,qr_pairwise_loss_final_mean,qr_pairwise_loss_final_std,qr_pairwise_same_dist_mean_final_mean,qr_pairwise_same_dist_mean_final_std,qr_train_sec_mean,qr_train_sec_std,refresh_count_mean,refresh_count_std,refresh_damping_active_mean,refresh_damping_active_std,refresh_gate_norm_final_mean,refresh_gate_norm_final_std,refresh_inlier_rate_final_mean,refresh_inlier_rate_final_std,refresh_label_change_final_mean,refresh_label_change_final_std,refresh_label_change_max_mean,refresh_label_change_max_std,refresh_label_change_mean_mean,refresh_label_change_mean_std,refresh_noise_var_floor_active_mean,refresh_noise_var_floor_active_std,refresh_train_sec_mean,refresh_train_sec_std,rmse_mean,rmse_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
l2_q2_train1000,L2_phantom,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,,40,0.05,False,0.0,1.0,True,True,0.8,0.0,0.875,0.0,0.9412,0.0,,,0.9412,0.0,16.727631799993105,0.0,0.0,0.0,25.0,0.0,1.2696621417999268,0.0,,,,,23.53,0.0,,,,,5.852561751399146,0.0,6.973757459074752,0.0,24.0,0.0,7.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25370978528544,0.0,16.727631799993105,0.0,16.727631799993105,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,0.0,1.0,True,True,0.77,0.0,0.87,0.0,0.927,0.0,4.986203248805299,0.0,0.9412,0.0,16.98401700000977,0.0,0.0286,0.0,24.0,0.0,1.2813137769699097,0.0,0.00753272181323226,0.0,2.4373418554900486,0.0,23.175,0.0,0.18266295211440656,0.0,0.04110521002304388,0.0,5.63305402962285,0.0,6.712197875923665,0.0,24.0,0.0,7.0,0.0,1,0.9256416999851353,0.0,0.049787068367863944,0.0,21.068126840469652,0.0,0.7134508080488987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.817095981431386,0.0,,,,,,,,,39.97537400008878,0.0,3.0,0.0,1.0,0.0,4.986203248805299,0.0,0.927,0.0,0.0008,0.0,0.027200000000000002,0.0,0.0102,0.0,0.010000000000000002,0.0,208.68919559998903,0.0,2.2614368682225243,0.0,248.66459490009584,0.0,0.9256416999851353,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_pair0.005_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,0.005,1.0,True,True,0.77,0.0,0.87,0.0,0.927,0.0,4.989457314628072,0.0,0.9412,0.0,17.236378200002946,0.0,0.0286,0.0,24.0,0.0,1.281853199005127,0.0,0.0074814638349324685,0.0,2.43554618638263,0.0,23.175,0.0,0.18267149434771385,0.0,0.04107646195842566,0.0,5.6337547852076,0.0,6.713032877704718,0.0,24.0,0.0,7.0,0.0,1,1.03784500004258,0.0,0.049787068367863944,0.0,21.07683462255987,0.0,0.6726394549252955,0.0,0.0027556082924886914,0.0,0.017112949823189668,0.0,0.011510845241305715,0.0,61.66618856794344,0.0,2.087316017697956,0.0,0.4107093184979138,0.0,1.6530007666084732,0.0,1.4782998908947473,0.0,39.83065490005538,0.0,3.0,0.0,1.0,0.0,4.989457314628072,0.0,0.927,0.0,0.0008,0.0,0.027200000000000002,0.0,0.0102,0.0,0.010000000000000002,0.0,195.7281445999979,0.0,2.2623889814865623,0.0,235.55883069999982,0.0,1.03784500004258,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_pair0.01_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,0.01,1.0,True,True,0.77,0.0,0.87,0.0,0.927,0.0,4.989839422868321,0.0,0.9412,0.0,16.993379799998365,0.0,0.0286,0.0,24.0,0.0,1.2823048830032349,0.0,0.0075047452271073305,0.0,2.4320463976612134,0.0,23.175,0.0,0.18262392902286656,0.0,0.04118858778919545,0.0,5.632828481364302,0.0,6.711929118597003,0.0,24.0,0.0,7.0,0.0,1,0.8604795999708585,0.0,0.049787068367863944,0.0,21.085697399402836,0.0,0.6561924282369326,0.0,0.0055586488465401785,0.0,0.035045399807073004,0.0,0.02299652599808235,0.0,61.753335716490184,0.0,2.096608276746415,0.0,0.41043115438108485,0.0,1.6533814966528553,0.0,1.4788493111600998,0.0,39.22741650004173,0.0,3.0,0.0,1.0,0.0,4.989839422868321,0.0,0.927,0.0,0.0008,0.0,0.027200000000000002,0.0,0.0102,0.0,0.010000000000000002,0.0,197.93394750001607,0.0,2.262849197172799,0.0,237.16141430003336,0.0,0.8604795999708585,0.0
l2_q2_train1000,L2_phantom,qr_alt_refresh10_self_cem2_nstd0.1_pair0.05_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,2,20,2,25,40,0.02,6.085469384105049,40,0.05,False,0.05,1.0,True,True,0.77,0.0,0.87,0.0,0.927,0.0,5.0132209731551995,0.0,0.9412,0.0,16.988468300027307,0.0,0.0286,0.0,24.0,0.0,1.2857184410095215,0.0,0.00716551041237901,0.0,2.451833778883758,0.0,23.175,0.0,0.18310556887589693,0.0,0.04117846067499487,0.0,5.636283367913116,0.0,6.716045869835773,0.0,24.0,0.0,7.0,0.0,1,1.025191500026267,0.0,0.049787068367863944,0.0,21.152029851929957,0.0,0.6938191051582453,0.0,0.027251420105381584,0.0,0.17135553706682538,0.0,0.11888974539236291,0.0,61.203504047674215,0.0,2.1480154899376163,0.0,0.40500695410292076,0.0,1.6263022648298808,0.0,1.4546602843274024,0.0,39.030277400044724,0.0,3.0,0.0,1.0,0.0,5.0132209731551995,0.0,0.927,0.0,0.0008,0.0,0.027200000000000002,0.0,0.0102,0.0,0.010000000000000002,0.0,203.02966949995607,0.0,2.267922679302507,0.0,242.05997399997432,0.0,1.025191500026267,0.0
lh_q5_train1000,LH,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,,40,0.05,False,0.0,1.0,True,True,0.53,0.0,0.57,0.0,0.6050000000000001,0.0,,,0.6050000000000001,0.0,47.596193599980325,0.0,0.0,0.0,34.0,0.0,322.5732116699219,0.0,,,,,21.175,0.0,,,,,247.95788570338712,0.0,295.4600444065385,0.0,23.0,0.0,5.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.2995904178458,0.0,47.596193599980325,0.0,47.596193599980325,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.1_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,0.0,1.0,True,True,0.765,0.0,0.78,0.0,0.6514285714285715,0.0,3.3606318547943936,0.0,0.6050000000000001,0.0,47.56510810001055,0.0,0.0692857142857143,0.0,34.0,0.0,291.743896484375,0.0,0.09322102910490865,0.0,14.866930503003497,0.0,22.8,0.0,0.015369981596267096,0.0,0.26292591630050965,0.0,225.93815913759434,0.0,269.2219218701513,0.0,27.0,0.0,4.0,0.0,1,0.8780361000099219,0.0,0.049787068367863944,0.0,12.460467422753142,0.0,8.261153188280435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8655633096922,0.0,,,,,,,,,40.47645509999711,0.0,3.0,0.0,1.0,0.0,3.3606318547943936,0.0,0.6514285714285715,0.0,0.001142857142857143,0.0,0.06685714285714286,0.0,0.02347619047619048,0.0,0.010000000000000002,0.0,215.58056899998337,0.0,658.5476566887205,0.0,256.05705549992854,0.0,0.8780361000099219,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.1_pair0.005_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,0.005,1.0,True,True,0.77,0.0,0.78,0.0,0.6514285714285715,0.0,3.3608680902935077,0.0,0.6050000000000001,0.0,48.62394610000774,0.0,0.0692857142857143,0.0,34.0,0.0,291.7633972167969,0.0,0.09338773117811533,0.0,14.85529020105303,0.0,22.8,0.0,0.015371074663987861,0.0,0.2628934624952947,0.0,225.98440995830137,0.0,269.27703312221394,0.0,27.0,0.0,4.0,0.0,1,1.1906652000034228,0.0,0.049787068367863944,0.0,12.465482442866897,0.0,8.280688722009748,0.0,0.0006545635938610233,0.0,0.0031838487617080113,0.0,0.02636446053378847,0.0,53.86313450309209,0.0,1.982591779803325,0.0,0.23080361577431213,0.0,1.0484175442326849,0.0,1.00936927264057,0.0,42.279629400058184,0.0,3.0,0.0,1.0,0.0,3.3608680902935077,0.0,0.6514285714285715,0.0,0.001142857142857143,0.0,0.06685714285714286,0.0,0.02347619047619048,0.0,0.010000000000000002,0.0,222.9483419000171,0.0,658.5609668217674,0.0,265.22799960005796,0.0,1.1906652000034228,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.1_pair0.01_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,0.01,1.0,True,True,0.77,0.0,0.78,0.0,0.6514285714285715,0.0,3.361029341554176,0.0,0.6050000000000001,0.0,50.79308029997628,0.0,0.0692857142857143,0.0,34.0,0.0,291.77911376953125,0.0,0.09331912524995385,0.0,14.854001346513884,0.0,22.8,0.0,0.01537124055810104,0.0,0.26294364771338113,0.0,226.03564126446844,0.0,269.33807898874164,0.0,27.0,0.0,4.0,0.0,1,1.1427121000015177,0.0,0.049787068367863944,0.0,12.471072425922529,0.0,8.28341313226608,0.0,0.0013082863470384846,0.0,0.0063637401798801885,0.0,0.052713488976605265,0.0,53.860167411539145,0.0,1.9843604263927506,0.0,0.23038144432303567,0.0,1.0475128211305362,0.0,1.0085115260936361,0.0,42.58615109999664,0.0,3.0,0.0,1.0,0.0,3.361029341554176,0.0,0.6514285714285715,0.0,0.001142857142857143,0.0,0.06685714285714286,0.0,0.02347619047619048,0.0,0.010000000000000002,0.0,212.26317990006646,0.0,658.5667574811417,0.0,254.849355100072,0.0,1.1427121000015177,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.1_pair0.05_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,0.05,1.0,True,True,0.77,0.0,0.775,0.0,0.6514285714285715,0.0,3.3611344650857666,0.0,0.6050000000000001,0.0,48.814828200032935,0.0,0.0692857142857143,0.0,34.0,0.0,291.8468017578125,0.0,0.09356825708844806,0.0,14.824652972708405,0.0,22.8,0.0,0.015372568212901883,0.0,0.26285960903564165,0.0,226.17876129535887,0.0,269.5086170241117,0.0,27.0,0.0,4.0,0.0,1,0.8605103999725543,0.0,0.049787068367863944,0.0,12.516987244474134,0.0,8.326330456871377,0.0,0.006521636023875041,0.0,0.03166800799215573,0.0,0.2636782994548128,0.0,53.84134104120115,0.0,1.9994978546897644,0.0,0.22809675176318667,0.0,1.0419350273491865,0.0,1.0034265918026555,0.0,42.47011030005524,0.0,3.0,0.0,1.0,0.0,3.3611344650857666,0.0,0.6514285714285715,0.0,0.001142857142857143,0.0,0.06685714285714286,0.0,0.02347619047619048,0.0,0.010000000000000002,0.0,213.1551367000211,0.0,658.5327442882166,0.0,255.6252828000579,0.0,0.8605103999725543,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.1_pair0.2_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,0.2,1.0,True,True,0.77,0.0,0.77,0.0,0.6517142857142858,0.0,3.3536517550140106,0.0,0.6050000000000001,0.0,47.642464100033976,0.0,0.0692857142857143,0.0,34.0,0.0,291.869873046875,0.0,0.09872639738242402,0.0,14.794709848271784,0.0,22.81,0.0,0.015582156265924992,0.0,0.25597874365934425,0.0,225.05612707128282,0.0,268.1709158384572,0.0,27.0,0.0,4.0,0.0,1,1.0276965000084601,0.0,0.049787068367863944,0.0,12.631362113456106,0.0,8.406143618255532,0.0,0.025814987587026033,0.0,0.12447690252487603,0.0,1.046370719784748,0.0,53.79449402145786,0.0,2.0667853706939185,0.0,0.2198609731876862,0.0,1.0257704205534646,0.0,0.9889407862266546,0.0,45.60047389997635,0.0,3.0,0.0,1.0,0.0,3.3536517550140106,0.0,0.6517142857142858,0.0,0.0012857142857142859,0.0,0.06671428571428573,0.0,0.02338095238095238,0.0,0.010000000000000002,0.0,213.72476549999556,0.0,658.2850691380715,0.0,259.3252945999848,0.0,1.0276965000084601,0.0
lh_q5_train1000,LH,qr_alt_refresh10_self_cem2_nstd0.1_pair0.5_kcov0.1,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,7.805389906357939,40,0.05,False,0.5,1.0,True,True,0.76,0.0,0.775,0.0,0.6521428571428572,0.0,3.345334987136929,0.0,0.6050000000000001,0.0,51.36860279995017,0.0,0.07,0.0,34.0,0.0,295.51220703125,0.0,0.10513285817046276,0.0,14.71263999132135,0.0,22.825,0.0,0.015388985461040791,0.0,0.26081131877495084,0.0,223.52758134674804,0.0,266.3495412676612,0.0,27.0,0.0,4.0,0.0,1,0.9053061000304297,0.0,0.049787068367863944,0.0,13.108376079466781,0.0,8.797549364593785,0.0,0.06294802531548888,0.0,0.2887301990283399,0.0,2.5401181790124596,0.0,53.77147402722708,0.0,2.165123727854735,0.0,0.20726856915581188,0.0,0.9994433036367462,0.0,0.9657184392419138,0.0,43.141796300013084,0.0,3.0,0.0,1.0,0.0,3.345334987136929,0.0,0.6521428571428572,0.0,0.0008571428571428572,0.0,0.0672857142857143,0.0,0.023619047619047623,0.0,0.010000000000000002,0.0,213.19132149999496,0.0,662.7777417106869,0.0,256.33315890002996,0.0,0.9053061000304297,0.0
