setting,family,variant,mode,kind,init,projection_init,kcov_lambda,cem_updates,local_noise_std_floor,local_noise_var_floor,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_control,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,n_neighbors,m_inducing,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,qr_pairwise_weight,qr_pairwise_margin,lowrank_rank,lowrank_basis,lowrank_qr_w_signal_var,standardize_x,standardize_y_for_head,coverage_90_mean,coverage_90_std,coverage_95_mean,coverage_95_std,final_inlier_rate_mean,final_inlier_rate_std,gate_norm_mean_mean,gate_norm_mean_std,init_inlier_rate_mean,init_inlier_rate_std,init_sec_mean,init_sec_std,label_change_rate_mean,label_change_rate_std,max_n_inliers_mean,max_n_inliers_std,mean_crps_mean,mean_crps_std,mean_kernel_vector_correction_mean,mean_kernel_vector_correction_std,mean_lengthscale_mean,mean_lengthscale_std,mean_n_inliers_mean,mean_n_inliers_std,mean_noise_var_mean,mean_noise_var_std,mean_signal_var_mean,mean_signal_var_std,mean_width_90_mean,mean_width_90_std,mean_width_95_mean,mean_width_95_std,median_n_inliers_mean,median_n_inliers_std,min_n_inliers_mean,min_n_inliers_std,n_runs,pred_sec_mean,pred_sec_std,qr_R_std_median_mean,qr_R_std_median_std,qr_best_loss_mean,qr_best_loss_std,qr_grad_data_over_scaled_KL_R_mu_final_mean,qr_grad_data_over_scaled_KL_R_mu_final_std,qr_grad_pairwise_R_mu_final_mean,qr_grad_pairwise_R_mu_final_std,qr_grad_pairwise_over_data_R_mu_final_mean,qr_grad_pairwise_over_data_R_mu_final_std,qr_grad_pairwise_over_scaled_KL_R_mu_final_mean,qr_grad_pairwise_over_scaled_KL_R_mu_final_std,qr_kl_per_anchor_mean,qr_kl_per_anchor_std,qr_train_sec_mean,qr_train_sec_std,refresh_count_mean,refresh_count_std,refresh_damping_active_mean,refresh_damping_active_std,refresh_gate_norm_final_mean,refresh_gate_norm_final_std,refresh_inlier_rate_final_mean,refresh_inlier_rate_final_std,refresh_label_change_final_mean,refresh_label_change_final_std,refresh_label_change_max_mean,refresh_label_change_max_std,refresh_label_change_mean_mean,refresh_label_change_mean_std,refresh_noise_var_floor_active_mean,refresh_noise_var_floor_active_std,refresh_train_sec_mean,refresh_train_sec_std,rmse_mean,rmse_std,train_sec_mean,train_sec_std,wall_sec_mean,wall_sec_std
lh_q5_train1000,LH,original_meanw_jumpgp_cem,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,35,40,0.02,,30,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,0.53,0.0,0.57,0.0,0.6050000000000001,0.0,,,0.6050000000000001,0.0,44.06155179999769,0.0,0.0,0.0,34.0,0.0,322.5732116699219,0.0,,,,,21.175,0.0,,,,,247.95788570338712,0.0,295.4600444065385,0.0,23.0,0.0,5.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.2995904178458,0.0,44.06155179999769,0.0,44.06155179999769,0.0
lh_q5_train1000,LH,qr_alt_lr2_refresh10_self_cem2_nstd0.1_kcov0.1_nn100_M100_A0_an100_kmeans_yvar,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,100,100,0.02,7.805389906357939,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.715,0.0,0.72,0.0,0.6282,0.0,5.3489868115417565,0.0,0.5047,0.0,103.03009540005587,0.0,0.1477,0.0,95.0,0.0,360.5098876953125,0.0,0.0747394039314329,0.0,13.471982036577025,0.0,62.82,0.0,0.010142477338316795,0.0,0.5271949275633778,0.0,307.98170062444615,0.0,366.9828313173793,0.0,77.0,0.0,15.0,0.0,1,1.0749976000515744,0.0,0.049787068367863944,0.0,51.371134386384924,0.0,1.9114416714979114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.570254352311421,0.0,50.772568200016394,0.0,3.0,0.0,1.0,0.0,5.3489868115417565,0.0,0.6282,0.0,0.00305,0.0,0.14175000000000001,0.0,0.05066666666666667,0.0,0.010000000000000002,0.0,352.3676528999349,0.0,734.1385018244722,0.0,403.1402485000435,0.0,1.0749976000515744,0.0
lh_q5_train1000,LH,qr_alt_lr2_refresh10_self_cem2_nstd0.1_kcov0.1_nn100_M100_A0_an200_kmeans_yvar,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,100,100,0.02,7.805389906357939,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.715,0.0,0.72,0.0,0.6282,0.0,5.3489868115417565,0.0,0.5047,0.0,101.17329399997834,0.0,0.1477,0.0,95.0,0.0,360.5098876953125,0.0,0.0747394039314329,0.0,13.471982036577025,0.0,62.82,0.0,0.010142477338316795,0.0,0.5271949275633778,0.0,307.98170062444615,0.0,366.9828313173793,0.0,77.0,0.0,15.0,0.0,1,1.0706131000770256,0.0,0.049787068367863944,0.0,51.371134386384924,0.0,1.9114416714979114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.570254352311421,0.0,51.054458099999465,0.0,3.0,0.0,1.0,0.0,5.3489868115417565,0.0,0.6282,0.0,0.00305,0.0,0.14175000000000001,0.0,0.05066666666666667,0.0,0.010000000000000002,0.0,350.46943830000237,0.0,734.1385018244722,0.0,401.5239190000575,0.0,1.0706131000770256,0.0
lh_q5_train1000,LH,qr_alt_lr2_refresh10_self_cem2_nstd0.1_kcov0.1_nn100_M100_A0_an50_kmeans_yvar,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,100,100,0.02,7.805389906357939,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.715,0.0,0.72,0.0,0.6282,0.0,5.3489868115417565,0.0,0.5047,0.0,101.21755920001306,0.0,0.1477,0.0,95.0,0.0,360.5098876953125,0.0,0.0747394039314329,0.0,13.471982036577025,0.0,62.82,0.0,0.010142477338316795,0.0,0.5271949275633778,0.0,307.98170062444615,0.0,366.9828313173793,0.0,77.0,0.0,15.0,0.0,1,1.1999838000629097,0.0,0.049787068367863944,0.0,51.371134386384924,0.0,1.9114416714979114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.570254352311421,0.0,51.01858389994595,0.0,3.0,0.0,1.0,0.0,5.3489868115417565,0.0,0.6282,0.0,0.00305,0.0,0.14175000000000001,0.0,0.05066666666666667,0.0,0.010000000000000002,0.0,348.2535951001337,0.0,734.1385018244722,0.0,399.27220200002193,0.0,1.1999838000629097,0.0
lh_q5_train1000,LH,qr_alt_lr2_refresh10_self_cem2_nstd0.1_kcov0.1_nn100_M200_A0_an100_kmeans_yvar,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,100,200,0.02,7.805389906357939,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.725,0.0,0.725,0.0,0.63105,0.0,5.30192084084081,0.0,0.5047,0.0,101.27674640004989,0.0,0.14915,0.0,95.0,0.0,363.7597351074219,0.0,0.11492147382535844,0.0,13.408482589127757,0.0,63.105000000000004,0.0,0.010031581480171522,0.0,0.5643437947893263,0.0,322.4986213460214,0.0,384.2808092739005,0.0,77.0,0.0,15.0,0.0,1,1.2596764999907464,0.0,0.049787068367863944,0.0,51.626232040156374,0.0,2.1253396281847268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.32033649020296,0.0,51.047428400139324,0.0,3.0,0.0,1.0,0.0,5.30192084084081,0.0,0.63105,0.0,0.00365,0.0,0.1422,0.0,0.05101666666666666,0.0,0.010000000000000002,0.0,350.05893639998976,0.0,743.3485694120152,0.0,401.10639390011784,0.0,1.2596764999907464,0.0
lh_q5_train1000,LH,qr_alt_lr2_refresh10_self_cem2_nstd0.1_kcov0.1_nn100_M200_A0_an200_kmeans_yvar,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,100,200,0.02,7.805389906357939,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.725,0.0,0.725,0.0,0.63105,0.0,5.30192084084081,0.0,0.5047,0.0,102.02578660007566,0.0,0.14915,0.0,95.0,0.0,363.7597351074219,0.0,0.11492147382535844,0.0,13.408482589127757,0.0,63.105000000000004,0.0,0.010031581480171522,0.0,0.5643437947893263,0.0,322.4986213460214,0.0,384.2808092739005,0.0,77.0,0.0,15.0,0.0,1,1.0463945000665262,0.0,0.049787068367863944,0.0,51.626232040156374,0.0,2.1253396281847268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.32033649020296,0.0,49.95217729988508,0.0,3.0,0.0,1.0,0.0,5.30192084084081,0.0,0.63105,0.0,0.00365,0.0,0.1422,0.0,0.05101666666666666,0.0,0.010000000000000002,0.0,336.0168423000723,0.0,743.3485694120152,0.0,385.9690461999271,0.0,1.0463945000665262,0.0
lh_q5_train1000,LH,qr_alt_lr2_refresh10_self_cem2_nstd0.1_kcov0.1_nn100_M200_A0_an50_kmeans_yvar,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,100,200,0.02,7.805389906357939,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.725,0.0,0.725,0.0,0.63105,0.0,5.30192084084081,0.0,0.5047,0.0,103.4602348000044,0.0,0.14915,0.0,95.0,0.0,363.7597351074219,0.0,0.11492147382535844,0.0,13.408482589127757,0.0,63.105000000000004,0.0,0.010031581480171522,0.0,0.5643437947893263,0.0,322.4986213460214,0.0,384.2808092739005,0.0,77.0,0.0,15.0,0.0,1,1.0781265000114217,0.0,0.049787068367863944,0.0,51.626232040156374,0.0,2.1253396281847268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.32033649020296,0.0,50.91156680008862,0.0,3.0,0.0,1.0,0.0,5.30192084084081,0.0,0.63105,0.0,0.00365,0.0,0.1422,0.0,0.05101666666666666,0.0,0.010000000000000002,0.0,351.1725638000062,0.0,743.3485694120152,0.0,402.0841531000333,0.0,1.0781265000114217,0.0
lh_q5_train1000,LH,qr_alt_lr2_refresh10_self_cem2_nstd0.1_kcov0.1_nn200_M100_A0_an100_kmeans_yvar,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,200,100,0.02,7.805389906357939,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.735,0.0,0.755,0.0,0.5881500000000001,0.0,5.019173856576479,0.0,0.466575,0.0,342.5632505000103,0.0,0.15282500000000002,0.0,190.0,0.0,344.3764343261719,0.0,0.2255305664522726,0.0,11.785393895967177,0.0,117.63,0.0,0.01020428822624497,0.0,1.1038412881214121,0.0,513.5484684633549,0.0,611.9307432658109,0.0,156.0,0.0,29.0,0.0,1,3.102833600016311,0.0,0.049787068367863944,0.0,153.16288020091864,0.0,7.6857431908602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.626529212910091,0.0,138.22532420011703,0.0,3.0,0.0,1.0,0.0,5.019173856576479,0.0,0.5881500000000001,0.0,0.01,0.0,0.137525,0.0,0.053541666666666675,0.0,0.010000000000000002,0.0,749.1112327000592,0.0,713.0948496196365,0.0,887.3365809002426,0.0,3.102833600016311,0.0
lh_q5_train1000,LH,qr_alt_lr2_refresh10_self_cem2_nstd0.1_kcov0.1_nn200_M100_A0_an200_kmeans_yvar,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,200,100,0.02,7.805389906357939,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.735,0.0,0.755,0.0,0.5881500000000001,0.0,5.019173856576479,0.0,0.466575,0.0,435.84380319993943,0.0,0.15282500000000002,0.0,190.0,0.0,344.3764343261719,0.0,0.2255305664522726,0.0,11.785393895967177,0.0,117.63,0.0,0.01020428822624497,0.0,1.1038412881214121,0.0,513.5484684633549,0.0,611.9307432658109,0.0,156.0,0.0,29.0,0.0,1,4.848722200025804,0.0,0.049787068367863944,0.0,153.16288020091864,0.0,7.6857431908602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.626529212910091,0.0,198.6898670999799,0.0,3.0,0.0,1.0,0.0,5.019173856576479,0.0,0.5881500000000001,0.0,0.01,0.0,0.137525,0.0,0.053541666666666675,0.0,0.010000000000000002,0.0,935.7045566000743,0.0,713.0948496196365,0.0,1134.3944492000155,0.0,4.848722200025804,0.0
lh_q5_train1000,LH,qr_alt_lr2_refresh10_self_cem2_nstd0.1_kcov0.1_nn200_M100_A0_an50_kmeans_yvar,anchor,qr_alt,cem,pls,0.1,2,0.1,0.010000000000000002,10,0.1,0.010000000000000002,1.0,0.001,8.0,learned,4,1000,200,200,5,30,5,200,100,0.02,7.805389906357939,40,0.05,False,0.0,1.0,2,pca_residual,0.1,True,True,0.735,0.0,0.755,0.0,0.5881500000000001,0.0,5.019173856576479,0.0,0.466575,0.0,347.401188799995,0.0,0.15282500000000002,0.0,190.0,0.0,344.3764343261719,0.0,0.2255305664522726,0.0,11.785393895967177,0.0,117.63,0.0,0.01020428822624497,0.0,1.1038412881214121,0.0,513.5484684633549,0.0,611.9307432658109,0.0,156.0,0.0,29.0,0.0,1,3.262513600056991,0.0,0.049787068367863944,0.0,153.16288020091864,0.0,7.6857431908602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.626529212910091,0.0,127.62689600000158,0.0,3.0,0.0,1.0,0.0,5.019173856576479,0.0,0.5881500000000001,0.0,0.01,0.0,0.137525,0.0,0.053541666666666675,0.0,0.010000000000000002,0.0,672.6042448998196,0.0,713.0948496196365,0.0,800.2311670997879,0.0,3.262513600056991,0.0
