setting,family,seed,method,prediction_head,final_neighbor_mode,status,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n_final,n_candidate,n_vem,standardize_x,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,best_loss,gamma_mean,gamma_entropy,kl_coeff,C_std_median,anchor_dispersion_frob,cosine_to_ref_median,C_mu_frob_median,V_Rv,V_info,boundary_weighted,kernel_var,lengthscale,log_amp,log_lengthscale,log_noise_var,mc_gamma,mc_train,median_eff_rank_WWT,median_frob_W,median_trace_WWT,noise_std,noise_var,posterior,train_kernel,vem_steps
l2_q2_train1000,L2_phantom,0,map_vem1,mean,raw,ok,1000,200,2,20,2,2,25,100,50,True,2.3779610476938746,1.3725684881210327,17.15089489996899,0.77,5.7851186266274155,0.85,6.893394019196869,1.0378921999945305,16.11300269997446,59.97261428833008,0.9303421378135681,0.0765165165066719,0.0,0.049787066876888275,1.1046572923660278,0.5158847312138248,0.9187228679656982,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",False,9.0,0.5,0.0,0.0,-2.3025851249694824,1,1,1.2354958057403564,1.4142135381698608,2.0,2.0,4.0,False,False,1
l2_q2_train1000,L2_phantom,0,map_vem1,mean,projected,ok,1000,200,2,20,2,2,25,100,50,True,2.2585436302154194,1.2816210985183716,16.369583200023044,0.83,5.843458277196927,0.875,6.962910000505683,1.0378921999945305,15.331691000028513,59.97261428833008,0.9303421378135681,0.0765165165066719,0.0,0.049787066876888275,1.1046572923660278,0.5158847312138248,0.9187228679656982,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",False,9.0,0.5,0.0,0.0,-2.3025851249694824,1,1,1.2354958057403564,1.4142135381698608,2.0,2.0,4.0,False,False,1
l2_q2_train1000,L2_phantom,0,map_vem5,mean,raw,ok,1000,200,2,20,2,2,25,100,50,True,2.3599518070988905,1.3466534614562988,19.103256699978374,0.795,5.897248674040294,0.87,7.027005211653748,2.251652200007811,16.851604499970563,60.95185089111328,0.9265036582946777,0.07672448456287384,0.0,0.049787066876888275,1.087354063987732,0.5186891076748914,0.858145534992218,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",False,9.0,0.5,0.0,0.0,-2.3025851249694824,1,1,1.2163695096969604,1.4142135381698608,2.0,2.0,4.0,False,False,5
l2_q2_train1000,L2_phantom,0,map_vem5,mean,projected,ok,1000,200,2,20,2,2,25,100,50,True,2.287129048569349,1.3140082359313965,18.097330400021747,0.825,5.888570032634197,0.855,7.016663972584217,2.251652200007811,15.845678200013936,60.95185089111328,0.9265036582946777,0.07672448456287384,0.0,0.049787066876888275,1.087354063987732,0.5186891076748914,0.858145534992218,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",False,9.0,0.5,0.0,0.0,-2.3025851249694824,1,1,1.2163695096969604,1.4142135381698608,2.0,2.0,4.0,False,False,5
l2_q2_train1000,L2_phantom,0,post_vem1_boundary,mean,raw,ok,1000,200,2,20,2,2,25,100,50,True,2.273275901640666,1.3043447732925415,17.740253199997824,0.8,5.830994007338703,0.875,6.948057906911808,1.562013900023885,16.17823929997394,78.1023941040039,0.9286636710166931,0.07904856652021408,43.28419876098633,0.07220320403575897,1.0326498746871948,0.5437804784324709,1.1142756938934326,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,9.0,0.5,0.0,0.0,-2.3025851249694824,2,2,1.366640567779541,1.4142135381698608,2.0,2.0,4.0,True,False,1
l2_q2_train1000,L2_phantom,0,post_vem1_boundary,mean,projected,ok,1000,200,2,20,2,2,25,100,50,True,2.3251772561520294,1.320509910583496,17.864736000075936,0.805,5.835621307612578,0.88,6.953571675270187,1.562013900023885,16.30272210005205,78.1023941040039,0.9286636710166931,0.07904856652021408,43.28419876098633,0.07220320403575897,1.0326498746871948,0.5437804784324709,1.1142756938934326,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,9.0,0.5,0.0,0.0,-2.3025851249694824,2,2,1.366640567779541,1.4142135381698608,2.0,2.0,4.0,True,False,1
l2_q2_train1000,L2_phantom,0,post_vem1_boundary,posterior,raw,ok,1000,200,2,20,2,2,25,100,50,True,2.321286336812771,1.3222562074661255,35.0113951000385,0.815,5.959281263493331,0.88,7.100921601053727,1.562013900023885,33.449381200014614,78.1023941040039,0.9286636710166931,0.07904856652021408,43.28419876098633,0.07220320403575897,1.0326498746871948,0.5437804784324709,1.1142756938934326,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,9.0,0.5,0.0,0.0,-2.3025851249694824,2,2,1.366640567779541,1.4142135381698608,2.0,2.0,4.0,True,False,1
l2_q2_train1000,L2_phantom,0,post_vem1_boundary,posterior,projected,ok,1000,200,2,20,2,2,25,100,50,True,2.299784448798244,1.3248883485794067,34.313249900063965,0.815,5.950344851706221,0.88,7.090273209630464,1.562013900023885,32.75123600004008,78.1023941040039,0.9286636710166931,0.07904856652021408,43.28419876098633,0.07220320403575897,1.0326498746871948,0.5437804784324709,1.1142756938934326,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,9.0,0.5,0.0,0.0,-2.3025851249694824,2,2,1.366640567779541,1.4142135381698608,2.0,2.0,4.0,True,False,1
lh_q5_train1000,LH,0,map_vem1,mean,raw,ok,1000,200,5,30,5,5,35,100,50,True,708.0142174430181,322.2175598144531,55.252683999948204,0.555,120.23593154099102,0.585,143.26994913506581,1.1307539999834262,54.12192999996478,46.32301712036133,0.9471311569213867,0.030085289850831032,0.0,0.049787066876888275,1.0911343097686768,0.377343572026447,1.444717526435852,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",False,9.0,0.5,0.0,0.0,-2.3025851249694824,1,1,2.070735454559326,2.2360680103302,5.000000953674316,2.0,4.0,False,False,1
lh_q5_train1000,LH,0,map_vem1,mean,projected,ok,1000,200,5,30,5,5,35,100,50,True,724.5132840477582,338.79376220703125,44.37872779997997,0.56,236.8832882812273,0.595,282.26384765379623,1.1307539999834262,43.247973799996544,46.32301712036133,0.9471311569213867,0.030085289850831032,0.0,0.049787066876888275,1.0911343097686768,0.377343572026447,1.444717526435852,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",False,9.0,0.5,0.0,0.0,-2.3025851249694824,1,1,2.070735454559326,2.2360680103302,5.000000953674316,2.0,4.0,False,False,1
