setting,family,seed,control,status,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n_final,n_candidate,n_vem,standardize_x,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,best_loss,gamma_mean,gamma_entropy,kl_coeff,C_std_median,anchor_dispersion_frob,cosine_to_ref_median,C_mu_frob_median,V_Rv,V_info,eval_mc,gamma_damping,kernel_var,lengthscale,log_amp,log_lengthscale,log_noise_var,median_eff_rank_WWT,median_frob_W,median_trace_WWT,noise_std,noise_var,prior_std,temperature,temperature_final
l2_q2_train1000,L2_phantom,0,learned_qw,ok,1000,200,2,20,2,2,25,100,50,True,2.2374441240606298,1.2780871391296387,32.78281149995746,0.835,5.956304412254976,0.86,7.097374464020431,1.4669010999496095,31.31591040000785,95.80915832519531,0.6919900178909302,0.5706753730773926,41.762630462646484,0.08036620169878006,1.0115665197372437,0.4707528017416933,1.1699975728988647,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",2,0.3,9.0,0.5,0.0,0.0,-2.3025851249694824,1.7692989110946655,1.4142135381698608,2.0,2.0,4.0,1.0,5.0,3.0
l2_q2_train1000,L2_phantom,0,anchor_shuffled,ok,1000,200,2,20,2,2,25,100,50,True,2.2205337177293054,1.2560384273529053,32.17196179990424,0.83,6.288512599095636,0.9,7.493224934182817,1.4669010999496095,30.70506069995463,95.80915832519531,0.6919900178909302,0.5706753730773926,41.762630462646484,0.08036620169878006,1.0115665197372437,0.4707528017416933,1.1699975728988647,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",2,0.3,9.0,0.5,0.0,0.0,-2.3025851249694824,1.7692989110946655,1.4142135381698608,2.0,2.0,4.0,1.0,5.0,3.0
l2_q2_train1000,L2_phantom,0,global_mean,ok,1000,200,2,20,2,2,25,100,50,True,2.270779228675455,1.2965295314788818,62.44310329994187,0.825,5.904037753790442,0.88,7.035094899137445,1.4669010999496095,60.97620219999226,95.80915832519531,0.6919900178909302,0.5706753730773926,41.762630462646484,0.08036620169878006,1.0115665197372437,0.4707528017416933,1.1699975728988647,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",2,0.3,9.0,0.5,0.0,0.0,-2.3025851249694824,1.7692989110946655,1.4142135381698608,2.0,2.0,4.0,1.0,5.0,3.0
l2_q2_train1000,L2_phantom,0,prior_qw,ok,1000,200,2,20,2,2,25,100,50,True,2.2538512609318535,1.271298885345459,64.66868869995233,0.815,6.130942878821133,0.885,7.305469031936091,1.4669010999496095,63.20178760000272,95.80915832519531,0.6919900178909302,0.5706753730773926,41.762630462646484,0.08036620169878006,1.0115665197372437,0.4707528017416933,1.1699975728988647,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",2,0.3,9.0,0.5,0.0,0.0,-2.3025851249694824,1.7692989110946655,1.4142135381698608,2.0,2.0,4.0,1.0,5.0,3.0
l2_q2_train1000,L2_phantom,1,learned_qw,ok,1000,200,2,20,2,2,25,100,50,True,2.402163451329454,1.2520341873168945,60.97241430002032,0.79,5.785406377822141,0.855,6.8937368958935705,1.4790718000149354,59.49334250000538,92.33866882324219,0.6981117725372314,0.5716379284858704,42.6959114074707,0.07522931694984436,0.972195029258728,0.5122446295116614,1.139593243598938,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683755}",2,0.3,9.0,0.5,0.0,0.0,-2.3025851249694824,1.8185476064682007,1.4142135381698608,1.9999998807907104,2.0,4.0,1.0,5.0,3.0
l2_q2_train1000,L2_phantom,1,anchor_shuffled,ok,1000,200,2,20,2,2,25,100,50,True,2.3684191421377063,1.257256269454956,44.10064950003289,0.81,5.959524562123959,0.885,7.101211509253281,1.4790718000149354,42.62157770001795,92.33866882324219,0.6981117725372314,0.5716379284858704,42.6959114074707,0.07522931694984436,0.972195029258728,0.5122446295116614,1.139593243598938,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683755}",2,0.3,9.0,0.5,0.0,0.0,-2.3025851249694824,1.8185476064682007,1.4142135381698608,1.9999998807907104,2.0,4.0,1.0,5.0,3.0
l2_q2_train1000,L2_phantom,1,global_mean,ok,1000,200,2,20,2,2,25,100,50,True,2.3301362172150957,1.2569165229797363,33.3853369000135,0.805,5.655692512264445,0.84,6.739173291799666,1.4790718000149354,31.906265099998564,92.33866882324219,0.6981117725372314,0.5716379284858704,42.6959114074707,0.07522931694984436,0.972195029258728,0.5122446295116614,1.139593243598938,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683755}",2,0.3,9.0,0.5,0.0,0.0,-2.3025851249694824,1.8185476064682007,1.4142135381698608,1.9999998807907104,2.0,4.0,1.0,5.0,3.0
l2_q2_train1000,L2_phantom,1,prior_qw,ok,1000,200,2,20,2,2,25,100,50,True,2.382515395672853,1.2538020610809326,32.482225899992045,0.8,5.748299130061212,0.855,6.849520883000302,1.4790718000149354,31.00315409997711,92.33866882324219,0.6981117725372314,0.5716379284858704,42.6959114074707,0.07522931694984436,0.972195029258728,0.5122446295116614,1.139593243598938,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683755}",2,0.3,9.0,0.5,0.0,0.0,-2.3025851249694824,1.8185476064682007,1.4142135381698608,1.9999998807907104,2.0,4.0,1.0,5.0,3.0
l2_q2_train1000,L2_phantom,2,learned_qw,ok,1000,200,2,20,2,2,25,100,50,True,2.6450696691198825,1.4169327020645142,36.993257499998435,0.79,5.9300049333952165,0.86,7.066036702086662,1.3619424999924377,35.631315000006,92.97639465332031,0.7006712555885315,0.5690012574195862,41.41384506225586,0.08254653215408325,1.0451576709747314,0.41936275308248905,1.1635470390319824,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683777}",2,0.3,9.0,0.5,0.0,0.0,-2.3025851249694824,1.8534296751022339,1.4142135381698608,1.9999998807907104,2.0,4.0,1.0,5.0,3.0
l2_q2_train1000,L2_phantom,2,anchor_shuffled,ok,1000,200,2,20,2,2,25,100,50,True,2.569665580390148,1.3753533363342285,56.15247389994329,0.835,6.143414880930482,0.88,7.3203303390754595,1.3619424999924377,54.79053139995085,92.97639465332031,0.7006712555885315,0.5690012574195862,41.41384506225586,0.08254653215408325,1.0451576709747314,0.41936275308248905,1.1635470390319824,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.1622776601683777}",2,0.3,9.0,0.5,0.0,0.0,-2.3025851249694824,1.8534296751022339,1.4142135381698608,1.9999998807907104,2.0,4.0,1.0,5.0,3.0
