setting,family,seed,method,prediction_head,final_neighbor_mode,status,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n_final,n_candidate,n_vem,standardize_x,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,best_loss,gamma_mean,gamma_entropy,kl_coeff,C_std_median,anchor_dispersion_frob,cosine_to_ref_median,C_mu_frob_median,V_Rv,V_info,boundary_weighted,kernel_var,lengthscale,log_amp,log_lengthscale,log_noise_var,mc_gamma,mc_train,median_eff_rank_WWT,median_frob_W,median_trace_WWT,noise_std,noise_var,posterior,train_kernel,vem_steps
l2_q2_train1000,L2_phantom,0,map_vem1,mean,raw,ok,1000,200,2,20,2,2,25,100,50,True,2.3294823749085047,1.314826250076294,23.2117278999649,0.8,5.905736617933765,0.875,7.037119220621726,1.421878499968443,21.789849399996456,82.79118347167969,0.6942062377929688,0.5689837336540222,0.0,0.049787066876888275,1.1175198554992676,0.45011776323673597,1.056063175201416,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",False,9.0,0.5,0.0,0.0,-2.3025851249694824,1,1,1.6898040771484375,1.4142135381698608,2.0,2.0,4.0,False,False,1
l2_q2_train1000,L2_phantom,0,map_vem1,mean,projected,ok,1000,200,2,20,2,2,25,100,50,True,2.293150856179628,1.2988369464874268,22.834011899947654,0.825,6.086251634427563,0.88,7.252216129671456,1.421878499968443,21.41213339997921,82.79118347167969,0.6942062377929688,0.5689837336540222,0.0,0.049787066876888275,1.1175198554992676,0.45011776323673597,1.056063175201416,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",False,9.0,0.5,0.0,0.0,-2.3025851249694824,1,1,1.6898040771484375,1.4142135381698608,2.0,2.0,4.0,False,False,1
l2_q2_train1000,L2_phantom,0,post_vem1_boundary,mean,raw,ok,1000,200,2,20,2,2,25,100,50,True,2.3709432465734017,1.3639492988586426,22.71051260002423,0.78,5.847627063587822,0.85,6.967877415874149,2.114341599983163,20.596171000041068,95.80915832519531,0.6919900178909302,0.5706753730773926,41.762630462646484,0.08036620169878006,1.0115665197372437,0.4707528017416933,1.1699975728988647,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,9.0,0.5,0.0,0.0,-2.3025851249694824,2,2,1.7692989110946655,1.4142135381698608,2.0,2.0,4.0,True,False,1
l2_q2_train1000,L2_phantom,0,post_vem1_boundary,mean,projected,ok,1000,200,2,20,2,2,25,100,50,True,2.2711503331137606,1.3173284530639648,23.926657099975273,0.79,5.742763285111048,0.84,6.8429245168869075,2.114341599983163,21.81231549999211,95.80915832519531,0.6919900178909302,0.5706753730773926,41.762630462646484,0.08036620169878006,1.0115665197372437,0.4707528017416933,1.1699975728988647,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,9.0,0.5,0.0,0.0,-2.3025851249694824,2,2,1.7692989110946655,1.4142135381698608,2.0,2.0,4.0,True,False,1
l2_q2_train1000,L2_phantom,0,post_vem1_boundary,posterior,raw,ok,1000,200,2,20,2,2,25,100,50,True,2.227680739065869,1.2707651853561401,42.13081599998986,0.825,6.081511813759906,0.89,7.2465682849942334,2.114341599983163,40.0164744000067,95.80915832519531,0.6919900178909302,0.5706753730773926,41.762630462646484,0.08036620169878006,1.0115665197372437,0.4707528017416933,1.1699975728988647,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,9.0,0.5,0.0,0.0,-2.3025851249694824,2,2,1.7692989110946655,1.4142135381698608,2.0,2.0,4.0,True,False,1
l2_q2_train1000,L2_phantom,0,post_vem1_boundary,posterior,projected,ok,1000,200,2,20,2,2,25,100,50,True,2.2117550832751456,1.267646074295044,39.24098090000916,0.82,5.959835858124393,0.865,7.101582441316404,2.114341599983163,37.126639300026,95.80915832519531,0.6919900178909302,0.5706753730773926,41.762630462646484,0.08036620169878006,1.0115665197372437,0.4707528017416933,1.1699975728988647,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,9.0,0.5,0.0,0.0,-2.3025851249694824,2,2,1.7692989110946655,1.4142135381698608,2.0,2.0,4.0,True,False,1
lh_q5_train1000,LH,0,map_vem1,mean,raw,ok,1000,200,5,30,5,5,35,100,50,True,794.9943397905179,401.6105041503906,52.45864889997756,0.485,73.11776434961666,0.515,87.1251899908802,1.1398011000128463,51.318847799964715,70.93570709228516,0.7592628002166748,0.5168451070785522,0.0,0.049787066876888275,1.046817660331726,0.3731186280358258,1.4523930549621582,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",False,9.0,0.5,0.0,0.0,-2.3025851249694824,1,1,1.9928420782089233,2.2360680103302,5.000000953674316,2.0,4.0,False,False,1
lh_q5_train1000,LH,0,map_vem1,mean,projected,ok,1000,200,5,30,5,5,35,100,50,True,704.8948082297132,326.596435546875,48.16114700003527,0.61,122.79179243813091,0.615,146.31544523624333,1.1398011000128463,47.021345900022425,70.93570709228516,0.7592628002166748,0.5168451070785522,0.0,0.049787066876888275,1.046817660331726,0.3731186280358258,1.4523930549621582,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",False,9.0,0.5,0.0,0.0,-2.3025851249694824,1,1,1.9928420782089233,2.2360680103302,5.000000953674316,2.0,4.0,False,False,1
lh_q5_train1000,LH,0,post_vem1_boundary,mean,raw,ok,1000,200,5,30,5,5,35,100,50,True,739.2922565723318,353.79180908203125,50.75213909999002,0.495,50.80342625668122,0.495,60.53601616751605,1.732704099966213,49.019435000023805,86.537353515625,0.7520444393157959,0.5234246253967285,127.94417572021484,0.04593202844262123,0.8927983641624451,0.3761629232574054,1.5371814966201782,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",True,9.0,0.5,0.0,0.0,-2.3025851249694824,2,2,1.9897853136062622,2.2360680103302,5.000000953674316,2.0,4.0,True,False,1
lh_q5_train1000,LH,0,post_vem1_boundary,mean,projected,ok,1000,200,5,30,5,5,35,100,50,True,672.2898378451251,298.66961669921875,49.40270669996971,0.595,109.56852145506917,0.6,130.55894601956308,1.732704099966213,47.6700026000035,86.537353515625,0.7520444393157959,0.5234246253967285,127.94417572021484,0.04593202844262123,0.8927983641624451,0.3761629232574054,1.5371814966201782,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660167648}",True,9.0,0.5,0.0,0.0,-2.3025851249694824,2,2,1.9897853136062622,2.2360680103302,5.000000953674316,2.0,4.0,True,False,1
