setting,family,seed,method,final_neighbor_mode,status,N_train,N_test,latent_dim,observed_dim,Q_true,Q,n_final,n_candidate,gp_neighbors,pair_neighbors,standardize_x,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,train_loss,train_gp_loss,train_pair_loss,train_smoothness,median_frob_W,anchor_dispersion_frob,cosine_to_ref_median,error,V_Rv,V_info,boundary_weighted,coeff_scale,global_w,kernel_var,lambda_coeff,lambda_gp,lambda_pair,lambda_smooth,lengthscale,log_amp,log_lengthscale,log_noise_var,median_eff_rank_WWT,median_trace_WWT,noise_std,noise_var,pair_tau,train_steps,use_gp_loss,use_pairwise_loss
l2_q2_train1000,L2_phantom,0,pls_static,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.2302847006924655,1.2593696117401123,16.366640600026585,0.8,5.847457712428412,0.895,6.967675621521298,0.0,16.366640600026585,0.0,0.0,0.0,0.0,1.4142136573791504,3.8565977433790977e-07,0.7071067336831695,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",,,,9.0,,,,,0.5,,,,2.0,2.000000238418579,2.0,4.0,,0,,
l2_q2_train1000,L2_phantom,0,pls_static,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.305153523003655,1.3014379739761353,15.776947700011078,0.82,6.005346534218481,0.865,7.155811756676094,0.0,15.776947700011078,0.0,0.0,0.0,0.0,1.4142136573791504,3.8565977433790977e-07,0.7071067336831695,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",,,,9.0,,,,,0.5,,,,2.0,2.000000238418579,2.0,4.0,,0,,
l2_q2_train1000,L2_phantom,0,gp_localC,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.273169178212995,1.288554072380066,16.795012499962468,0.795,5.942179173482364,0.875,7.080543203892648,1.4015091999899596,15.393503299972508,20.8719425201416,20.84679412841797,0.0,2.514112710952759,1.4142135381698608,1.3325928449630737,0.3039664622950336,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.06218212842941284,-1.1864759922027588,-1.6082946062088013,1.303283452987671,2.0,2.0,4.0,0.5519832372665405,200,True,False
l2_q2_train1000,L2_phantom,0,gp_localC,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.3568046349345275,1.3094863891601562,16.414284500002395,0.805,6.101697506105644,0.88,7.270621020965628,1.4015091999899596,15.012775300012436,20.8719425201416,20.84679412841797,0.0,2.514112710952759,1.4142135381698608,1.3325928449630737,0.3039664622950336,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.06218212842941284,-1.1864759922027588,-1.6082946062088013,1.303283452987671,2.0,2.0,4.0,0.5519832372665405,200,True,False
l2_q2_train1000,L2_phantom,0,pairwise_localC,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.2899835304321132,1.2866168022155762,16.233513799961656,0.82,5.919642419848499,0.88,7.053689005605902,1.825201899977401,14.408311899984255,0.3622590899467468,0.0,0.3580280840396881,0.4229098856449127,1.4142135381698608,0.47162434458732605,0.41357099181612234,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.3796987533569336,2.0,2.0,4.0,0.5519832372665405,200,False,True
l2_q2_train1000,L2_phantom,0,pairwise_localC,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.211661060644222,1.272383451461792,16.687540300015826,0.785,5.926704458947125,0.88,7.062103944214375,1.825201899977401,14.862338400038425,0.3622590899467468,0.0,0.3580280840396881,0.4229098856449127,1.4142135381698608,0.47162434458732605,0.41357099181612234,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",False,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.3796987533569336,2.0,2.0,4.0,0.5519832372665405,200,False,True
l2_q2_train1000,L2_phantom,0,pairwise_boundary_localC,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.220816573146829,1.2613015174865723,17.388158900022972,0.82,5.885258770592266,0.875,7.012718360501039,1.805138600000646,15.583020300022326,0.33032506704330444,0.0,0.3264961838722229,0.38271281123161316,1.4142135381698608,0.47721657156944275,0.4192938119669042,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.398701786994934,2.0,2.0,4.0,0.5519832372665405,200,False,True
l2_q2_train1000,L2_phantom,0,pairwise_boundary_localC,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.2929977936298624,1.3054119348526,17.334468300046865,0.81,5.963564299107459,0.875,7.106025152768384,1.805138600000646,15.529329700046219,0.33032506704330444,0.0,0.3264961838722229,0.38271281123161316,1.4142135381698608,0.47721657156944275,0.4192938119669042,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.0,0.0,-2.3025851249694824,1.398701786994934,2.0,2.0,4.0,0.5519832372665405,200,False,True
l2_q2_train1000,L2_phantom,0,gp_pairwise_boundary_localC,raw,ok,1000,200,2,20,2,2,25,100,25,100,True,2.2630150719430357,1.2715948820114136,17.79068560001906,0.815,5.997477365571655,0.895,7.146435063891195,2.7933497999911197,14.99733580002794,23.958229064941406,23.48503875732422,0.4479193091392517,2.5262932777404785,1.4142135381698608,1.2778102159500122,0.312768086033261,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.4969313144683838,-1.0356180667877197,-1.5467280149459839,1.4121910333633423,2.0,2.0,4.0,0.5519832372665405,200,True,True
l2_q2_train1000,L2_phantom,0,gp_pairwise_boundary_localC,projected,ok,1000,200,2,20,2,2,25,100,25,100,True,2.4549102128778664,1.3838425874710083,17.69609580002725,0.79,6.044186406977053,0.85,7.202092319592811,2.7933497999911197,14.902746000036132,23.958229064941406,23.48503875732422,0.4479193091392517,2.5262932777404785,1.4142135381698608,1.2778102159500122,0.312768086033261,,10,"{""n_pls"": 5, ""n_pca"": 5, ""n_random"": 0, ""Rv"": 10, ""source_per_column"": [""pls"", ""pls"", ""pls"", ""pls"", ""pls"", ""pca"", ""pca"", ""pca"", ""pca"", ""pca""], ""V_tilde_frob"": 3.162277660168376}",True,1.0,False,9.0,0.0001,1.0,1.0,0.01,0.5,0.4969313144683838,-1.0356180667877197,-1.5467280149459839,1.4121910333633423,2.0,2.0,4.0,0.5519832372665405,200,True,True
