dataset,method,n_seeds,rmse_mean,rmse_std,mean_crps_mean,mean_crps_std,wall_sec_mean,wall_sec_std,coverage_90_mean,coverage_90_std,width_90_mean,width_90_std,coverage_95_mean,coverage_95_std,width_95_mean,width_95_std
Appliances Energy Prediction,cemem_large_projected_final,1,115.4637617654404,0.0,45.852088928222656,0.0,32.99156910000602,0.0,0.65,0.0,82.22821686858158,0.0,0.685,0.0,97.98096373722113,0.0
Appliances Energy Prediction,cemem_large_raw_final,1,108.11273285310425,0.0,42.347755432128906,0.0,33.17583600000944,0.0,0.655,0.0,89.98527687268023,0.0,0.685,0.0,107.22407083491913,0.0
Appliances Energy Prediction,cemem_small_current,1,107.24128736588243,0.0,44.749393463134766,0.0,38.19809290001285,0.0,0.49,0.0,68.75838846316172,0.0,0.545,0.0,81.93067323113686,0.0
Appliances Energy Prediction,cluster_anchor_projected_final,1,120.62346954890488,0.0,48.27401351928711,0.0,33.71423339998,0.0,0.64,0.0,84.2812944220813,0.0,0.685,0.0,100.4273565325393,0.0
Parkinsons Telemonitoring,cemem_large_projected_final,1,10.584374974116011,0.0,7.074830532073975,0.0,40.72936379999737,0.0,0.52,0.0,16.30199946603061,0.0,0.6,0.0,19.425030474370494,0.0
Parkinsons Telemonitoring,cemem_large_raw_final,1,10.08258623344695,0.0,6.90402364730835,0.0,37.773532099992735,0.0,0.465,0.0,15.533036558677349,0.0,0.545,0.0,18.508754655559255,0.0
Parkinsons Telemonitoring,cemem_small_current,1,10.272564966098523,0.0,6.994329929351807,0.0,38.365006599982735,0.0,0.44,0.0,14.720724453907874,0.0,0.505,0.0,17.54082508209024,0.0
Parkinsons Telemonitoring,cluster_anchor_projected_final,1,10.336164452397558,0.0,6.9853291511535645,0.0,44.036642199993366,0.0,0.53,0.0,16.4408926839537,0.0,0.575,0.0,19.59053195144154,0.0
Wine Quality,cemem_large_projected_final,1,0.7846282461149273,0.0,0.48944294452667236,0.0,16.570035000011558,0.0,0.61,0.0,1.349667510269014,0.0,0.675,0.0,1.6082280318971842,0.0
Wine Quality,cemem_large_raw_final,1,0.779954305914229,0.0,0.47873687744140625,0.0,18.206120799994096,0.0,0.635,0.0,1.4027992841290984,0.0,0.695,0.0,1.6715384453553686,0.0
Wine Quality,cemem_small_current,1,0.8322735260743106,0.0,0.5257608294487,0.0,23.662841900018975,0.0,0.53,0.0,0.9807962963321174,0.0,0.58,0.0,1.1686908704113756,0.0
Wine Quality,cluster_anchor_projected_final,1,0.8528399901303109,0.0,0.527999997138977,0.0,14.596659899980295,0.0,0.62,0.0,1.3450099985916888,0.0,0.675,0.0,1.6026782644312172,0.0
