source,dataset,seed,method,rmse,mean_crps,coverage_90,width_90,wall_sec
bestpreset_seed0,Appliances Energy Prediction,0,dkl_svgp,103.13649115636369,46.1120719909668,0.58,57.49837003977237,1.2144015000085346
bestpreset_seed0,Appliances Energy Prediction,0,lmjgp_supervised,102.91276141318836,38.79152297973633,0.86,142.9203649565364,90.28877569999895
bestpreset_seed0,Appliances Energy Prediction,0,lmjgp_supervised_residual_ridge,106.95008770923623,45.95143508911133,0.8,163.79052093225675,83.15104669998982
bestpreset_seed0,Appliances Energy Prediction,0,lmjgp_transductive,102.87351593930379,39.849552154541016,0.875,156.89032686080745,88.35781709998264
bestpreset_seed0,Appliances Energy Prediction,0,lmjgp_transductive_residual_ridge,105.7848796835438,45.271297454833984,0.805,163.16832145748387,87.22650530000101
bestpreset_seed0,Appliances Energy Prediction,0,xgb_bootstrap,99.97672588146533,43.639198303222656,0.875,170.81917448550078,10.108233299979474
inductive_old_seed0,Appliances Energy Prediction,0,cem_em_supervised,108.1933976913287,42.7303352355957,0.81,137.07030270899034,105.9376123999973
inductive_old_seed0,Appliances Energy Prediction,0,cem_em_transductive,107.24128736588243,44.749393463134766,0.49,68.75838846316172,34.55050820000179
inductive_old_seed0,Appliances Energy Prediction,0,lmjgp_supervised,103.12955056254084,38.90568542480469,0.885,157.0829655950554,100.22864050000499
inductive_old_seed0,Appliances Energy Prediction,0,lmjgp_transductive,108.65963492554886,42.083927154541016,0.835,157.59160285365036,100.13463190000039
inductive_old_seed0,Appliances Energy Prediction,0,xgboost,99.97672588146533,43.639198303222656,0.875,170.81917448550078,8.851483200007351
new_projected_refit,Appliances Energy Prediction,0,cemem_large_projected_final,115.4637617654404,45.852088928222656,0.65,82.22821686858158,32.99156910000602
new_projected_refit,Appliances Energy Prediction,0,cemem_large_raw_final,108.11273285310425,42.347755432128906,0.655,89.98527687268023,33.17583600000944
new_projected_refit,Appliances Energy Prediction,0,cemem_small_current,107.24128736588243,44.749393463134766,0.49,68.75838846316172,38.19809290001285
new_projected_refit,Appliances Energy Prediction,0,cluster_anchor_projected_final,120.62346954890488,48.27401351928711,0.64,84.2812944220813,33.71423339998
bestpreset_seed0,Parkinsons Telemonitoring,0,dkl_svgp,7.105870173514586,4.104738712310791,0.795,16.067398678539888,2.283023600000888
bestpreset_seed0,Parkinsons Telemonitoring,0,lmjgp_supervised,10.411681701046719,6.915775299072266,0.485,17.1354087279671,67.57297979999566
bestpreset_seed0,Parkinsons Telemonitoring,0,lmjgp_supervised_residual_ridge,10.201611259244292,6.565202236175537,0.555,20.589250893388808,71.10419539999566
bestpreset_seed0,Parkinsons Telemonitoring,0,lmjgp_transductive,9.626647866983555,6.137050151824951,0.61,20.056744445647432,71.4634764000075
bestpreset_seed0,Parkinsons Telemonitoring,0,lmjgp_transductive_residual_ridge,10.116073532586466,6.6259446144104,0.565,19.91461064709616,65.89761439998983
bestpreset_seed0,Parkinsons Telemonitoring,0,xgb_bootstrap,8.438477738345732,6.11039924621582,0.31,7.720720525595169,17.621447000012267
inductive_old_seed0,Parkinsons Telemonitoring,0,cem_em_supervised,7.320381429445768,3.9474618434906006,0.785,15.110547899219753,109.72231979999924
inductive_old_seed0,Parkinsons Telemonitoring,0,cem_em_transductive,7.075150419528879,3.890207290649414,0.705,13.031325949581353,40.40420409999933
inductive_old_seed0,Parkinsons Telemonitoring,0,lmjgp_supervised,7.362463197801086,4.1266093254089355,0.82,19.05545488236506,108.07952370000567
inductive_old_seed0,Parkinsons Telemonitoring,0,lmjgp_transductive,7.3621836341028395,4.146829128265381,0.835,19.482121364969576,102.64995289999933
inductive_old_seed0,Parkinsons Telemonitoring,0,xgboost,4.63594344541674,2.740567922592163,0.65,8.555764096479535,6.044334099999105
new_projected_refit,Parkinsons Telemonitoring,0,cemem_large_projected_final,10.584374974116011,7.074830532073975,0.52,16.30199946603061,40.72936379999737
new_projected_refit,Parkinsons Telemonitoring,0,cemem_large_raw_final,10.08258623344695,6.90402364730835,0.465,15.533036558677349,37.773532099992735
new_projected_refit,Parkinsons Telemonitoring,0,cemem_small_current,10.272564966098523,6.994329929351807,0.44,14.720724453907874,38.365006599982735
new_projected_refit,Parkinsons Telemonitoring,0,cluster_anchor_projected_final,10.336164452397558,6.9853291511535645,0.53,16.4408926839537,44.036642199993366
bestpreset_seed0,Wine Quality,0,dkl_svgp,0.7804383818384943,0.5593961477279663,0.22,0.5085814553270221,1.4083142000017688
bestpreset_seed0,Wine Quality,0,lmjgp_supervised,0.7135346796163484,0.3996134102344513,0.82,2.0049663868694507,44.1283742999949
bestpreset_seed0,Wine Quality,0,lmjgp_supervised_residual_ridge,0.6968397612006003,0.39499831199645996,0.805,1.8836693765852714,53.07276819998515
bestpreset_seed0,Wine Quality,0,lmjgp_transductive,0.7008608033954251,0.3984736204147339,0.835,2.0766669966461855,44.05749760000617
bestpreset_seed0,Wine Quality,0,lmjgp_transductive_residual_ridge,0.7118809029892164,0.4001103639602661,0.815,1.9485721594570071,44.48501989999204
bestpreset_seed0,Wine Quality,0,xgb_bootstrap,0.698256314247014,0.4131523072719574,0.61,1.2391746178952223,5.0560016999952495
inductive_old_seed0,Wine Quality,0,cem_em_supervised,0.7438710689114308,0.43172091245651245,0.76,1.8342752284354324,51.04326179999771
inductive_old_seed0,Wine Quality,0,cem_em_transductive,0.8149023660489388,0.4991101026535034,0.6,1.1385735657742375,20.49593960000493
inductive_old_seed0,Wine Quality,0,lmjgp_supervised,0.7209081985302737,0.40443557500839233,0.83,1.9850621523642695,49.367388099999516
inductive_old_seed0,Wine Quality,0,lmjgp_transductive,0.7145904243378669,0.39937087893486023,0.825,2.0564317491104007,51.079895700000634
inductive_old_seed0,Wine Quality,0,xgboost,0.698256314247014,0.4131523072719574,0.61,1.2391746178952223,5.1391746000008425
new_projected_refit,Wine Quality,0,cemem_large_projected_final,0.7846282461149273,0.48944294452667236,0.61,1.349667510269014,16.570035000011558
new_projected_refit,Wine Quality,0,cemem_large_raw_final,0.779954305914229,0.47873687744140625,0.635,1.4027992841290984,18.206120799994096
new_projected_refit,Wine Quality,0,cemem_small_current,0.8322735260743106,0.5257608294487,0.53,0.9807962963321174,23.662841900018975
new_projected_refit,Wine Quality,0,cluster_anchor_projected_final,0.8528399901303109,0.527999997138977,0.62,1.3450099985916888,14.596659899980295
