dataset,seed,method,Q,n_final,n_candidate,standardize_x,standardize_y,split_type,rmse,mean_crps,wall_sec,coverage_90,width_90,coverage_95,width_95
Wine Quality,0,cemem_small_current,3,25,100,True,False,random_row,0.8322735260743106,0.5257608294487,23.662841900018975,0.53,0.9807962963321174,0.58,1.1686908704113756
Wine Quality,0,cemem_large_raw_final,3,25,100,True,False,random_row,0.779954305914229,0.47873687744140625,18.206120799994096,0.635,1.4027992841290984,0.695,1.6715384453553686
Wine Quality,0,cemem_large_projected_final,3,25,100,True,False,random_row,0.7846282461149273,0.48944294452667236,16.570035000011558,0.61,1.349667510269014,0.675,1.6082280318971842
Wine Quality,0,cluster_anchor_projected_final,3,25,100,True,False,random_row,0.8528399901303109,0.527999997138977,14.596659899980295,0.62,1.3450099985916888,0.675,1.6026782644312172
Parkinsons Telemonitoring,0,cemem_small_current,5,25,100,False,False,subject_grouped,10.272564966098523,6.994329929351807,38.365006599982735,0.44,14.720724453907874,0.505,17.54082508209024
Parkinsons Telemonitoring,0,cemem_large_raw_final,5,25,100,False,False,subject_grouped,10.08258623344695,6.90402364730835,37.773532099992735,0.465,15.533036558677349,0.545,18.508754655559255
Parkinsons Telemonitoring,0,cemem_large_projected_final,5,25,100,False,False,subject_grouped,10.584374974116011,7.074830532073975,40.72936379999737,0.52,16.30199946603061,0.6,19.425030474370494
Parkinsons Telemonitoring,0,cluster_anchor_projected_final,5,25,100,False,False,subject_grouped,10.336164452397558,6.9853291511535645,44.036642199993366,0.53,16.4408926839537,0.575,19.59053195144154
Appliances Energy Prediction,0,cemem_small_current,5,35,100,True,True,random_row,107.24128736588243,44.749393463134766,38.19809290001285,0.49,68.75838846316172,0.545,81.93067323113686
Appliances Energy Prediction,0,cemem_large_raw_final,5,35,100,True,True,random_row,108.11273285310425,42.347755432128906,33.17583600000944,0.655,89.98527687268023,0.685,107.22407083491913
Appliances Energy Prediction,0,cemem_large_projected_final,5,35,100,True,True,random_row,115.4637617654404,45.852088928222656,32.99156910000602,0.65,82.22821686858158,0.685,97.98096373722113
Appliances Energy Prediction,0,cluster_anchor_projected_final,5,35,100,True,True,random_row,120.62346954890488,48.27401351928711,33.71423339998,0.64,84.2812944220813,0.685,100.4273565325393
