dataset,seed,method,metric,value
Wine Quality,0,xgb_bootstrap,rmse,0.6673765981664376
Wine Quality,0,xgb_bootstrap,crps,0.36528274416923523
Wine Quality,0,xgb_bootstrap,wall_sec,5.586782699996547
Wine Quality,0,xgb_bootstrap,cov90,0.83
Wine Quality,0,xgb_bootstrap,w90,1.6675295655466766
Wine Quality,0,xgb_bootstrap,cov95,0.885
Wine Quality,0,xgb_bootstrap,w95,1.9869840319375927
Wine Quality,0,dkl_svgp,rmse,0.7017931938171387
Wine Quality,0,dkl_svgp,crps,0.4138476550579071
Wine Quality,0,dkl_svgp,wall_sec,8.158397200000763
Wine Quality,0,dkl_svgp,cov90,0.6
Wine Quality,0,dkl_svgp,w90,1.0963885529083386
Wine Quality,0,dkl_svgp,cov95,0.69
Wine Quality,0,dkl_svgp,w95,1.3064275395404101
Wine Quality,0,pls_only,rmse,0.7928147778095657
Wine Quality,0,pls_only,crps,0.4169369637966156
Wine Quality,0,pls_only,wall_sec,18.204223900000216
Wine Quality,0,pls_only,cov90,0.76
Wine Quality,0,pls_only,w90,1.4591721709989232
Wine Quality,0,pls_only,cov95,0.82
Wine Quality,0,pls_only,w95,1.738710883169294
Wine Quality,0,cem_em_coeff,rmse,0.7809771831909313
Wine Quality,0,cem_em_coeff,crps,0.39676788449287415
Wine Quality,0,cem_em_coeff,wall_sec,21.438087099995755
Wine Quality,0,cem_em_coeff,cov90,0.765
Wine Quality,0,cem_em_coeff,w90,1.3332222059339882
Wine Quality,0,cem_em_coeff,cov95,0.8
Wine Quality,0,cem_em_coeff,w95,1.5886322431392568
Wine Quality,1,xgb_bootstrap,rmse,0.5906387397355976
Wine Quality,1,xgb_bootstrap,crps,0.3227345943450928
Wine Quality,1,xgb_bootstrap,wall_sec,5.537651600003301
Wine Quality,1,xgb_bootstrap,cov90,0.865
Wine Quality,1,xgb_bootstrap,w90,1.6883696350735768
Wine Quality,1,xgb_bootstrap,cov95,0.895
Wine Quality,1,xgb_bootstrap,w95,2.011816506413597
Wine Quality,1,dkl_svgp,rmse,0.6464455723762512
Wine Quality,1,dkl_svgp,crps,0.3761247992515564
Wine Quality,1,dkl_svgp,wall_sec,7.921944000001531
Wine Quality,1,dkl_svgp,cov90,0.65
Wine Quality,1,dkl_svgp,w90,1.0977059316397655
Wine Quality,1,dkl_svgp,cov95,0.72
Wine Quality,1,dkl_svgp,w95,1.307997293119263
Wine Quality,1,pls_only,rmse,0.7218824428702332
Wine Quality,1,pls_only,crps,0.37287989258766174
Wine Quality,1,pls_only,wall_sec,18.474826899997424
Wine Quality,1,pls_only,cov90,0.775
Wine Quality,1,pls_only,w90,1.5132251628681865
Wine Quality,1,pls_only,cov95,0.855
Wine Quality,1,pls_only,w95,1.8031189955900582
Wine Quality,1,cem_em_coeff,rmse,0.7303993267672455
Wine Quality,1,cem_em_coeff,crps,0.3967248499393463
Wine Quality,1,cem_em_coeff,wall_sec,22.109558100004506
Wine Quality,1,cem_em_coeff,cov90,0.75
Wine Quality,1,cem_em_coeff,w90,1.3174545467134038
Wine Quality,1,cem_em_coeff,cov95,0.795
Wine Quality,1,cem_em_coeff,w95,1.5698439183385124
Wine Quality,2,xgb_bootstrap,rmse,0.6527217879674101
Wine Quality,2,xgb_bootstrap,crps,0.3581203818321228
Wine Quality,2,xgb_bootstrap,wall_sec,6.429049899998063
Wine Quality,2,xgb_bootstrap,cov90,0.85
Wine Quality,2,xgb_bootstrap,w90,1.6690868155532854
Wine Quality,2,xgb_bootstrap,cov95,0.875
Wine Quality,2,xgb_bootstrap,w95,1.9888396097700929
Wine Quality,2,dkl_svgp,rmse,0.6682931780815125
Wine Quality,2,dkl_svgp,crps,0.3992100954055786
Wine Quality,2,dkl_svgp,wall_sec,7.756915699996171
