dataset,seed,method,metric,value
Wine Quality,0,xgb_bootstrap,rmse,0.6973398023393039
Wine Quality,0,xgb_bootstrap,crps,0.3926815390586853
Wine Quality,0,xgb_bootstrap,wall_sec,1.9115935000008903
Wine Quality,0,xgb_bootstrap,cov90,0.8125
Wine Quality,0,xgb_bootstrap,w90,1.691731595348
Wine Quality,0,xgb_bootstrap,cov95,0.890625
Wine Quality,0,xgb_bootstrap,w95,2.015822529166841
Wine Quality,0,dkl_svgp,rmse,0.7102718949317932
Wine Quality,0,dkl_svgp,crps,0.47061872482299805
Wine Quality,0,dkl_svgp,wall_sec,3.1329657999958727
Wine Quality,0,dkl_svgp,cov90,0.328125
Wine Quality,0,dkl_svgp,w90,0.6739335685333323
Wine Quality,0,dkl_svgp,cov95,0.40625
Wine Quality,0,dkl_svgp,w95,0.8030413774543462
Wine Quality,0,pls_only,rmse,0.8478403993023399
Wine Quality,0,pls_only,crps,0.45253342390060425
Wine Quality,0,pls_only,wall_sec,6.109554900001967
Wine Quality,0,pls_only,cov90,0.734375
Wine Quality,0,pls_only,w90,1.4806801265319143
Wine Quality,0,pls_only,cov95,0.8125
Wine Quality,0,pls_only,w95,1.7643391929076384
Wine Quality,0,cem_em_coeff,rmse,0.9269630516231038
Wine Quality,0,cem_em_coeff,crps,0.5207302570343018
Wine Quality,0,cem_em_coeff,wall_sec,6.758262200004538
Wine Quality,0,cem_em_coeff,cov90,0.65625
Wine Quality,0,cem_em_coeff,w90,1.3231817058662698
Wine Quality,0,cem_em_coeff,cov95,0.703125
Wine Quality,0,cem_em_coeff,w95,1.5766682493850088
