dataset,mode,method,metric,value,std_x,std_y
Wine Quality,raw,lmjgp,rmse,0.7458947831981896,False,False
Wine Quality,raw,lmjgp,crps,0.41513416171073914,False,False
Wine Quality,raw,lmjgp,wall,14.332849700000224,False,False
Wine Quality,raw,lmjgp,cov90,0.875,False,False
Wine Quality,raw,lmjgp,w90,2.090287620074376,False,False
Wine Quality,raw,lmjgp,cov95,0.9375,False,False
Wine Quality,raw,lmjgp,w95,2.490731324384641,False,False
Wine Quality,raw,cem_em_coeff,rmse,0.7565030449685067,False,False
Wine Quality,raw,cem_em_coeff,crps,0.44472625851631165,False,False
Wine Quality,raw,cem_em_coeff,wall,4.2736808999979985,False,False
Wine Quality,raw,cem_em_coeff,cov90,0.7916666666666666,False,False
Wine Quality,raw,cem_em_coeff,w90,1.835512264341378,False,False
Wine Quality,raw,cem_em_coeff,cov95,0.8541666666666666,False,False
Wine Quality,raw,cem_em_coeff,w95,2.1871477633898917,False,False
Wine Quality,std_x,lmjgp,rmse,0.7115317213527592,True,False
Wine Quality,std_x,lmjgp,crps,0.4068267047405243,True,False
Wine Quality,std_x,lmjgp,wall,12.949908700000378,True,False
Wine Quality,std_x,lmjgp,cov90,0.8125,True,False
Wine Quality,std_x,lmjgp,w90,1.911124470735609,True,False
Wine Quality,std_x,lmjgp,cov95,0.9375,True,False
Wine Quality,std_x,lmjgp,w95,2.2772452644052055,True,False
Wine Quality,std_x,cem_em_coeff,rmse,0.7864979083433439,True,False
Wine Quality,std_x,cem_em_coeff,crps,0.48008236289024353,True,False
Wine Quality,std_x,cem_em_coeff,wall,4.949387900000147,True,False
Wine Quality,std_x,cem_em_coeff,cov90,0.6458333333333334,True,False
Wine Quality,std_x,cem_em_coeff,w90,1.3271211539926817,True,False
Wine Quality,std_x,cem_em_coeff,cov95,0.75,True,False
Wine Quality,std_x,cem_em_coeff,w95,1.5813623913561952,True,False
Wine Quality,std_xy,lmjgp,rmse,0.7126553832221816,True,True
Wine Quality,std_xy,lmjgp,crps,0.42188724875450134,True,True
Wine Quality,std_xy,lmjgp,wall,11.425599799997144,True,True
Wine Quality,std_xy,lmjgp,cov90,0.8541666666666666,True,True
Wine Quality,std_xy,lmjgp,w90,1.821435647552346,True,True
Wine Quality,std_xy,lmjgp,cov95,0.8958333333333334,True,True
Wine Quality,std_xy,lmjgp,w95,2.170374439929002,True,True
Wine Quality,std_xy,cem_em_coeff,rmse,0.8179683858813698,True,True
Wine Quality,std_xy,cem_em_coeff,crps,0.485503226518631,True,True
Wine Quality,std_xy,cem_em_coeff,wall,4.917245500000718,True,True
Wine Quality,std_xy,cem_em_coeff,cov90,0.625,True,True
Wine Quality,std_xy,cem_em_coeff,w90,1.3677270919476594,True,True
Wine Quality,std_xy,cem_em_coeff,cov95,0.7083333333333334,True,True
Wine Quality,std_xy,cem_em_coeff,w95,1.6297473507508657,True,True
