benchmark,dataset,train_size,subset,method,n_seeds,seeds,rmse_mean,mean_crps_mean,coverage_90_mean,mean_width_90_mean,coverage_95_mean,mean_width_95_mean,wall_sec_mean,rmse_std,mean_crps_std,coverage_90_std,mean_width_90_std,coverage_95_std,mean_width_95_std,wall_sec_std,source,split_type,standardize_x,standardize_y,n,source_artifact
,Wine Quality,200,all,xgb_bootstrap,5,,0.7508252189635722,0.44050047397613523,0.6799999999999999,1.3749097354701034,0.748,1.6383059983941046,11.914881880005122,0.03732503993637171,0.021657667238790413,0.017606816861658974,0.056380241607212514,0.022271057451320107,0.06718120152405718,0.7322191228418743,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Wine Quality,200,all,dkl_svgp,5,,0.9656176361335801,0.6744560122489929,0.229,0.4813250738573906,0.27,0.5735342003440161,1.818612800000119,0.02093398795623469,0.01455429340439534,0.020591260281974007,0.02750692920968306,0.017606816861659005,0.03277652776690638,0.17328354965067305,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Wine Quality,200,all,lmjgp_transductive,5,,0.7792984831133729,0.4360604524612427,0.857,2.2144756414283164,0.897,2.6387104789894997,94.08908611999941,0.01931847062071846,0.010637918156160494,0.02204540768504862,0.0883750767441604,0.012489995996796807,0.10530539904060897,23.960204868547418,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Wine Quality,200,all,lmjgp_transductive_residual_ridge,5,,0.7699906916299727,0.42918190360069275,0.8230000000000001,2.0098133652731893,0.875,2.394840335357641,113.54073901999509,0.025985226802210996,0.01078557814361683,0.023790754506740612,0.07644506929911586,0.01581138830084191,0.09108991837749467,11.503272461899014,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Wine Quality,200,all,lmjgp_supervised,5,,0.7753453442551888,0.43662930727005006,0.853,2.1899212014850873,0.9019999999999999,2.6094520591758923,103.13826767999853,0.026912437699973858,0.01306964019805518,0.035860842154082216,0.08574319263043356,0.026381811916545827,0.1021693156895643,1.9736073656969488,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Wine Quality,200,all,lmjgp_supervised_residual_ridge,5,,0.7641144889549862,0.42888582348823545,0.818,2.021369903998122,0.8779999999999999,2.4086108005927693,116.08297599999932,0.023517318420868755,0.013121472649455427,0.011224972160321799,0.06722653919071352,0.02400000000000002,0.0801053622402086,5.18041808384376,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Parkinsons Telemonitoring,200,all,xgb_bootstrap,5,,9.478727974752417,6.740556716918945,0.31999999999999995,9.932396003057729,0.375,11.835179816129052,12.084381200000644,0.8697714567379201,0.7476096661285384,0.0719027120489902,0.36307427659083763,0.07071067811865475,0.4326296845937961,0.039258381597195406,baseline,subject_grouped,false,false,25,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Parkinsons Telemonitoring,200,all,dkl_svgp,5,,7.814344191376061,4.92281584739685,0.657,15.392666034566233,0.696,18.341492859591003,1.697295920000761,1.167081484180144,0.989843773719943,0.14545102268461368,0.8567319774958895,0.1395850994913139,1.0208591164478473,0.051596355437277724,baseline,subject_grouped,false,false,25,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Parkinsons Telemonitoring,200,all,lmjgp_transductive,5,,8.996776334743199,5.501913356781006,0.733,22.73533790802379,0.7969999999999999,27.09082604429792,69.02264171999995,0.6191757903355726,0.45939928052251383,0.05608921464952062,1.0750826785276155,0.051439284598446745,1.2810400243468867,1.7628455185234624,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
,Parkinsons Telemonitoring,200,all,lmjgp_transductive_residual_ridge,5,,9.455069560987722,5.854293632507324,0.679,21.151548574506343,0.7629999999999999,25.203624653286568,69.23563114000717,0.49667649974998573,0.4994230928933669,0.06288083968904996,1.3776224472829237,0.059211485372349874,1.6415383938890282,3.99438450400215,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
,Parkinsons Telemonitoring,200,all,lmjgp_supervised,5,,8.912024329418289,5.447029876708984,0.716,22.262313495096727,0.796,26.527182691507,68.50405702000134,0.75688524819515,0.5978302345473878,0.06865857557508746,1.5926220084820095,0.06476109943476872,1.8977261723864502,1.7794612175871998,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
,Parkinsons Telemonitoring,200,all,lmjgp_supervised_residual_ridge,5,,9.427621721503547,5.751371574401856,0.6990000000000001,21.239427973030864,0.7739999999999999,25.308339415298754,69.50914898000192,0.5483620701900928,0.4770453206326153,0.05379591062525106,0.9999233142061422,0.04363484845854286,1.191482117942756,3.11434826418911,baseline,subject_grouped,true,false,25,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
,Appliances Energy Prediction,200,all,xgb_bootstrap,5,,104.00228214489482,44.99367828369141,0.881,169.6967421337878,0.899,202.20614006392523,12.254772939998656,5.66726828815242,3.000130388210174,0.028879058156387326,23.80239124361972,0.02477902338672772,28.362298516427558,0.3419467101995728,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Appliances Energy Prediction,200,all,dkl_svgp,5,,119.60496193309191,57.588583374023436,0.479,46.17636878043355,0.529,55.02253712035595,1.5916053000022656,8.100169382411137,6.543640320620506,0.024576411454889018,5.110853033171173,0.021540659228538032,6.089957009644797,0.08021460361231467,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Appliances Energy Prediction,200,all,lmjgp_transductive,5,,108.71040073210204,45.033512878417966,0.825,158.7732876477248,0.866,189.1900412277474,221.7356426399987,8.032953914455902,3.8921445155289502,0.037815340802378056,16.164897056993972,0.03200000000000003,19.261662877702623,10.030440172525255,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Appliances Energy Prediction,200,all,lmjgp_transductive_residual_ridge,5,,103.8924443362296,48.38452911376953,0.783,158.16789743103197,0.833,188.46867429158425,86.92324742000783,7.259161734243015,4.977190017891626,0.027129319932501065,16.427191782296056,0.0188679622641132,19.574206320172777,1.5827497754034483,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Appliances Energy Prediction,200,all,lmjgp_supervised,5,,106.93829574060601,44.978877258300784,0.8320000000000001,162.80112574499609,0.861,193.9895063454073,220.37647207999834,9.649661960957989,4.875791861221975,0.027676705006196078,18.865649426360832,0.02059126028197402,22.479807816794185,7.812770333933474,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Appliances Energy Prediction,200,all,lmjgp_supervised_residual_ridge,5,,102.98099336476318,47.66483612060547,0.783,162.74984106817863,0.828,193.92839688382728,86.01245914000319,5.666515819505077,4.581814431439818,0.031717503054307414,13.77175109233256,0.024819347291981694,16.410053577258704,1.6294642305010432,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
,Wine Quality,500,all,xgb_bootstrap,5,,0.7201957579877588,0.41994212865829467,0.6519999999999999,1.2645553857246086,0.738,1.5068106802122831,9.372351360006723,0.01821881654116885,0.007743514766942765,0.025806975801127903,0.023013335917892414,0.022934689882359447,0.027422081104437532,4.767178149541923,baseline,random_row,true,false,25,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
