dataset,seed,method,metric,value
Wine Quality,0,lmjgp_transductive,rmse,0.8188384942428607
Wine Quality,0,lmjgp_transductive,mean_crps,0.42852112650871277
Wine Quality,0,lmjgp_transductive,wall_sec,4.461580900002446
Wine Quality,0,lmjgp_transductive,coverage_90,0.9166666666666666
Wine Quality,0,lmjgp_transductive,mean_width_90,2.2757613143591495
Wine Quality,0,lmjgp_transductive,coverage_95,0.9166666666666666
Wine Quality,0,lmjgp_transductive,mean_width_95,2.711736862458866
Wine Quality,0,cem_em_transductive,rmse,0.8143301837337774
Wine Quality,0,cem_em_transductive,mean_crps,0.3534574508666992
Wine Quality,0,cem_em_transductive,wall_sec,0.8936725000021397
Wine Quality,0,cem_em_transductive,coverage_90,0.8333333333333334
Wine Quality,0,cem_em_transductive,mean_width_90,1.6409826816174462
Wine Quality,0,cem_em_transductive,coverage_95,0.9166666666666666
Wine Quality,0,cem_em_transductive,mean_width_95,1.9553514686805886
Wine Quality,0,lmjgp_supervised,rmse,0.7136406483223913
Wine Quality,0,lmjgp_supervised,mean_crps,0.35721555352211
Wine Quality,0,lmjgp_supervised,wall_sec,1.3642906000022776
Wine Quality,0,lmjgp_supervised,coverage_90,0.9166666666666666
Wine Quality,0,lmjgp_supervised,mean_width_90,1.9242660312561537
Wine Quality,0,lmjgp_supervised,coverage_95,0.9166666666666666
Wine Quality,0,lmjgp_supervised,mean_width_95,2.2929043996005096
Wine Quality,0,cem_em_supervised,rmse,0.9359090306261737
Wine Quality,0,cem_em_supervised,mean_crps,0.4258247911930084
Wine Quality,0,cem_em_supervised,wall_sec,1.4788398000018788
Wine Quality,0,cem_em_supervised,coverage_90,0.8333333333333334
Wine Quality,0,cem_em_supervised,mean_width_90,1.9623149767480619
Wine Quality,0,cem_em_supervised,coverage_95,0.8333333333333334
Wine Quality,0,cem_em_supervised,mean_width_95,2.338242514550035
Parkinsons Telemonitoring,0,lmjgp_transductive,rmse,6.88110722610463
Parkinsons Telemonitoring,0,lmjgp_transductive,mean_crps,2.0989091396331787
Parkinsons Telemonitoring,0,lmjgp_transductive,wall_sec,3.4070855000027223
Parkinsons Telemonitoring,0,lmjgp_transductive,coverage_90,0.8333333333333334
Parkinsons Telemonitoring,0,lmjgp_transductive,mean_width_90,3.648654947394069
Parkinsons Telemonitoring,0,lmjgp_transductive,coverage_95,0.8333333333333334
Parkinsons Telemonitoring,0,lmjgp_transductive,mean_width_95,4.347640526628599
Parkinsons Telemonitoring,0,cem_em_transductive,rmse,4.880780825180507
Parkinsons Telemonitoring,0,cem_em_transductive,mean_crps,1.8702770471572876
Parkinsons Telemonitoring,0,cem_em_transductive,wall_sec,1.8273079999999027
Parkinsons Telemonitoring,0,cem_em_transductive,coverage_90,0.6666666666666666
Parkinsons Telemonitoring,0,cem_em_transductive,mean_width_90,5.642408745755447
Parkinsons Telemonitoring,0,cem_em_transductive,coverage_95,0.6666666666666666
Parkinsons Telemonitoring,0,cem_em_transductive,mean_width_95,6.72334470771773
Parkinsons Telemonitoring,0,lmjgp_supervised,rmse,1.731630014857648
Parkinsons Telemonitoring,0,lmjgp_supervised,mean_crps,0.5585930943489075
Parkinsons Telemonitoring,0,lmjgp_supervised,wall_sec,2.666611799999373
Parkinsons Telemonitoring,0,lmjgp_supervised,coverage_90,0.9166666666666666
Parkinsons Telemonitoring,0,lmjgp_supervised,mean_width_90,4.894950851284231
Parkinsons Telemonitoring,0,lmjgp_supervised,coverage_95,0.9166666666666666
