dataset,seed,method,metric,value
Wine Quality,0,lmjgp_transductive,rmse,0.3469620177608847
Wine Quality,0,lmjgp_transductive,mean_crps,0.10632625967264175
Wine Quality,0,lmjgp_transductive,wall_sec,0.9477565999986837
Wine Quality,0,lmjgp_transductive,coverage_90,0.8333333333333334
Wine Quality,0,lmjgp_transductive,mean_width_90,0.9579262194260328
Wine Quality,0,lmjgp_transductive,coverage_95,0.8333333333333334
Wine Quality,0,lmjgp_transductive,mean_width_95,1.1414394929482856
Wine Quality,0,cem_em_transductive,rmse,0.6158914142315296
Wine Quality,0,cem_em_transductive,mean_crps,0.4220784902572632
Wine Quality,0,cem_em_transductive,wall_sec,0.7169741999969119
Wine Quality,0,cem_em_transductive,coverage_90,0.6666666666666666
Wine Quality,0,cem_em_transductive,mean_width_90,0.8418537041229323
Wine Quality,0,cem_em_transductive,coverage_95,0.6666666666666666
Wine Quality,0,cem_em_transductive,mean_width_95,1.0031305602497032
Wine Quality,0,lmjgp_supervised,rmse,1.010573606522236
Wine Quality,0,lmjgp_supervised,mean_crps,0.6370071768760681
Wine Quality,0,lmjgp_supervised,wall_sec,1.0003963999988628
Wine Quality,0,lmjgp_supervised,coverage_90,0.5
Wine Quality,0,lmjgp_supervised,mean_width_90,0.2644192662671818
Wine Quality,0,lmjgp_supervised,coverage_95,0.5
Wine Quality,0,lmjgp_supervised,mean_width_95,0.3150749891725611
Wine Quality,0,cem_em_supervised,rmse,1.1390135837792297
Wine Quality,0,cem_em_supervised,mean_crps,0.6487210392951965
Wine Quality,0,cem_em_supervised,wall_sec,0.8111605999947642
Wine Quality,0,cem_em_supervised,coverage_90,0.5
Wine Quality,0,cem_em_supervised,mean_width_90,0.6695529245031847
Wine Quality,0,cem_em_supervised,coverage_95,0.5
Wine Quality,0,cem_em_supervised,mean_width_95,0.7978215181382972
