dataset,seed,method,metric,value
Wine Quality,0,lmjgp_transductive,rmse,0.3469620177608847
Wine Quality,0,lmjgp_transductive,mean_crps,0.10632625967264175
Wine Quality,0,lmjgp_transductive,wall_sec,1.0343796000015573
Wine Quality,0,lmjgp_transductive,coverage_90,0.8333333333333334
Wine Quality,0,lmjgp_transductive,mean_width_90,0.9579262194260328
Wine Quality,0,lmjgp_transductive,coverage_95,0.8333333333333334
Wine Quality,0,lmjgp_transductive,mean_width_95,1.1414394929482856
Wine Quality,0,cem_em_transductive,rmse,0.6158914142315296
Wine Quality,0,cem_em_transductive,mean_crps,0.4220784902572632
Wine Quality,0,cem_em_transductive,wall_sec,0.9066666999933659
Wine Quality,0,cem_em_transductive,coverage_90,0.6666666666666666
Wine Quality,0,cem_em_transductive,mean_width_90,0.8418537041229323
Wine Quality,0,cem_em_transductive,coverage_95,0.6666666666666666
Wine Quality,0,cem_em_transductive,mean_width_95,1.0031305602497032
Wine Quality,0,lmjgp_supervised,rmse,1.2604173655926962
Wine Quality,0,lmjgp_supervised,mean_crps,0.7908753752708435
Wine Quality,0,lmjgp_supervised,wall_sec,0.988949099999445
Wine Quality,0,lmjgp_supervised,coverage_90,0.5
Wine Quality,0,lmjgp_supervised,mean_width_90,0.6467309323925999
Wine Quality,0,lmjgp_supervised,coverage_95,0.5
Wine Quality,0,lmjgp_supervised,mean_width_95,0.7706274372430236
Wine Quality,0,cem_em_supervised,rmse,1.1391943198934709
Wine Quality,0,cem_em_supervised,mean_crps,0.6487920880317688
Wine Quality,0,cem_em_supervised,wall_sec,0.7560738000029232
Wine Quality,0,cem_em_supervised,coverage_90,0.5
Wine Quality,0,cem_em_supervised,mean_width_90,0.6695736332398976
Wine Quality,0,cem_em_supervised,coverage_95,0.5
Wine Quality,0,cem_em_supervised,mean_width_95,0.7978461941200733
