dataset,seed,method,metric,value
Wine Quality,0,lmjgp_transductive,rmse,0.6769844250703068
Wine Quality,0,lmjgp_transductive,mean_crps,0.36688050627708435
Wine Quality,0,lmjgp_transductive,wall_sec,173.28951439999946
Wine Quality,0,lmjgp_transductive,coverage_90,0.8446153846153847
Wine Quality,0,lmjgp_transductive,mean_width_90,1.8175936927106795
Wine Quality,0,lmjgp_transductive,coverage_95,0.8892307692307693
Wine Quality,0,lmjgp_transductive,mean_width_95,2.16579646837183
Wine Quality,0,cem_em_transductive,rmse,0.7078607392904478
Wine Quality,0,cem_em_transductive,mean_crps,0.37443792819976807
Wine Quality,0,cem_em_transductive,wall_sec,66.0929415999999
Wine Quality,0,cem_em_transductive,coverage_90,0.7430769230769231
Wine Quality,0,cem_em_transductive,mean_width_90,1.1934446821001063
Wine Quality,0,cem_em_transductive,coverage_95,0.7938461538461539
Wine Quality,0,cem_em_transductive,mean_width_95,1.4220770505837073
Wine Quality,0,lmjgp_supervised,rmse,0.6816376086084681
Wine Quality,0,lmjgp_supervised,mean_crps,0.4178551733493805
Wine Quality,0,lmjgp_supervised,wall_sec,164.67628169999807
Wine Quality,0,lmjgp_supervised,coverage_90,0.8476923076923077
Wine Quality,0,lmjgp_supervised,mean_width_90,2.5162368438927074
Wine Quality,0,lmjgp_supervised,coverage_95,0.8892307692307693
Wine Quality,0,lmjgp_supervised,mean_width_95,2.9982811295755134
Wine Quality,0,cem_em_supervised,rmse,0.688476533815862
Wine Quality,0,cem_em_supervised,mean_crps,0.371894896030426
Wine Quality,0,cem_em_supervised,wall_sec,165.31977510000434
Wine Quality,0,cem_em_supervised,coverage_90,0.8276923076923077
Wine Quality,0,cem_em_supervised,mean_width_90,1.7158563873139554
Wine Quality,0,cem_em_supervised,coverage_95,0.8769230769230769
Wine Quality,0,cem_em_supervised,mean_width_95,2.0445689918386765
Wine Quality,1,lmjgp_transductive,rmse,0.6761713723478582
Wine Quality,1,lmjgp_transductive,mean_crps,0.3624343276023865
Wine Quality,1,lmjgp_transductive,wall_sec,152.2601571999985
Wine Quality,1,lmjgp_transductive,coverage_90,0.8661538461538462
Wine Quality,1,lmjgp_transductive,mean_width_90,1.825600262535458
Wine Quality,1,lmjgp_transductive,coverage_95,0.9030769230769231
Wine Quality,1,lmjgp_transductive,mean_width_95,2.175336884758518
Wine Quality,1,cem_em_transductive,rmse,0.711979468993919
Wine Quality,1,cem_em_transductive,mean_crps,0.3865305483341217
Wine Quality,1,cem_em_transductive,wall_sec,52.99035799999547
Wine Quality,1,cem_em_transductive,coverage_90,0.7369230769230769
Wine Quality,1,cem_em_transductive,mean_width_90,1.2034876920052666
Wine Quality,1,cem_em_transductive,coverage_95,0.7723076923076924
Wine Quality,1,cem_em_transductive,mean_width_95,1.434044034993727
Wine Quality,1,lmjgp_supervised,rmse,0.6830874603817262
Wine Quality,1,lmjgp_supervised,mean_crps,0.3689606785774231
Wine Quality,1,lmjgp_supervised,wall_sec,124.38685799999803
Wine Quality,1,lmjgp_supervised,coverage_90,0.8507692307692307
Wine Quality,1,lmjgp_supervised,mean_width_90,1.84314387108212
Wine Quality,1,lmjgp_supervised,coverage_95,0.9046153846153846
Wine Quality,1,lmjgp_supervised,mean_width_95,2.19624138370415
Wine Quality,1,cem_em_supervised,rmse,0.6933998454621597
Wine Quality,1,cem_em_supervised,mean_crps,0.3755219876766205
Wine Quality,1,cem_em_supervised,wall_sec,131.3481587999995
Wine Quality,1,cem_em_supervised,coverage_90,0.8369230769230769
Wine Quality,1,cem_em_supervised,mean_width_90,1.7412560960153343
Wine Quality,1,cem_em_supervised,coverage_95,0.8861538461538462
Wine Quality,1,cem_em_supervised,mean_width_95,2.0748346115003953
Wine Quality,2,lmjgp_transductive,rmse,0.6461212529950592
Wine Quality,2,lmjgp_transductive,mean_crps,0.34559914469718933
Wine Quality,2,lmjgp_transductive,wall_sec,138.67774730000383
Wine Quality,2,lmjgp_transductive,coverage_90,0.8738461538461538
Wine Quality,2,lmjgp_transductive,mean_width_90,1.8241158255967698
Wine Quality,2,lmjgp_transductive,coverage_95,0.916923076923077
Wine Quality,2,lmjgp_transductive,mean_width_95,2.1735680690478203
Wine Quality,2,cem_em_transductive,rmse,0.668961865757768
Wine Quality,2,cem_em_transductive,mean_crps,0.3675009310245514
Wine Quality,2,cem_em_transductive,wall_sec,50.98632899999939
Wine Quality,2,cem_em_transductive,coverage_90,0.7492307692307693
Wine Quality,2,cem_em_transductive,mean_width_90,1.2218407288283915
Wine Quality,2,cem_em_transductive,coverage_95,0.7769230769230769
Wine Quality,2,cem_em_transductive,mean_width_95,1.4559130272194551
Wine Quality,2,lmjgp_supervised,rmse,0.6377895450870404
Wine Quality,2,lmjgp_supervised,mean_crps,0.34539851546287537
Wine Quality,2,lmjgp_supervised,wall_sec,135.2343619999956
Wine Quality,2,lmjgp_supervised,coverage_90,0.8846153846153846
Wine Quality,2,lmjgp_supervised,mean_width_90,1.8440611027512763
Wine Quality,2,lmjgp_supervised,coverage_95,0.9184615384615384
Wine Quality,2,lmjgp_supervised,mean_width_95,2.1973343326496186
Wine Quality,2,cem_em_supervised,rmse,0.6487592706622982
Wine Quality,2,cem_em_supervised,mean_crps,0.3527704179286957
Wine Quality,2,cem_em_supervised,wall_sec,129.92619060000288
Wine Quality,2,cem_em_supervised,coverage_90,0.8569230769230769
Wine Quality,2,cem_em_supervised,mean_width_90,1.7279027851119497
Wine Quality,2,cem_em_supervised,coverage_95,0.8923076923076924
Wine Quality,2,cem_em_supervised,mean_width_95,2.058923160161405
Wine Quality,3,lmjgp_transductive,rmse,0.6657494535175771
Wine Quality,3,lmjgp_transductive,mean_crps,0.35959240794181824
Wine Quality,3,lmjgp_transductive,wall_sec,134.11194350000005
Wine Quality,3,lmjgp_transductive,coverage_90,0.8738461538461538
Wine Quality,3,lmjgp_transductive,mean_width_90,1.8767680126863455
Wine Quality,3,lmjgp_transductive,coverage_95,0.9153846153846154
Wine Quality,3,lmjgp_transductive,mean_width_95,2.2363070196218566
Wine Quality,3,cem_em_transductive,rmse,0.721037835076984
Wine Quality,3,cem_em_transductive,mean_crps,0.3823015093803406
Wine Quality,3,cem_em_transductive,wall_sec,49.44216650000453
Wine Quality,3,cem_em_transductive,coverage_90,0.7553846153846154
Wine Quality,3,cem_em_transductive,mean_width_90,1.2386091548946259
Wine Quality,3,cem_em_transductive,coverage_95,0.7923076923076923
Wine Quality,3,cem_em_transductive,mean_width_95,1.4758938392678524
Wine Quality,3,lmjgp_supervised,rmse,0.688909547326627
Wine Quality,3,lmjgp_supervised,mean_crps,0.36433669924736023
Wine Quality,3,lmjgp_supervised,wall_sec,124.81151999999565
Wine Quality,3,lmjgp_supervised,coverage_90,0.8707692307692307
Wine Quality,3,lmjgp_supervised,mean_width_90,1.8801604439479223
