dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Parkinsons Telemonitoring,0,xgb_bootstrap,subject_grouped,25,raw,200,0,9.015205104059318,7.0216217041015625,4.743808100000024,0.16,5.738757302210097,0.19,6.838151093841905
Parkinsons Telemonitoring,0,dkl_svgp,subject_grouped,25,raw,200,0,7.021180442914844,4.07615852355957,1.477685099991504,0.79,15.4162830716393,0.805,18.369634294990675
Parkinsons Telemonitoring,1,xgb_bootstrap,subject_grouped,25,raw,200,0,9.831811770721876,7.636773586273193,5.482508799992502,0.145,6.406982003642468,0.21,7.6343899365739665
Parkinsons Telemonitoring,1,dkl_svgp,subject_grouped,25,raw,200,0,6.249695951089223,3.6652884483337402,1.3760003999923356,0.795,15.99867905527034,0.89,19.063601912506396
Parkinsons Telemonitoring,2,xgb_bootstrap,subject_grouped,25,raw,200,0,10.637729274189661,7.5629096031188965,4.965906999976141,0.31,6.5222145009452905,0.355,7.771697926088348
Parkinsons Telemonitoring,2,dkl_svgp,subject_grouped,25,raw,200,0,8.75298285483752,5.740255355834961,1.420929400017485,0.49,14.975866021128402,0.52,17.844845010986973
Parkinsons Telemonitoring,3,xgb_bootstrap,subject_grouped,25,raw,200,0,9.355301953747908,7.300421714782715,5.039483400003519,0.115,7.181908692865111,0.145,8.55777203978895
Parkinsons Telemonitoring,3,dkl_svgp,subject_grouped,25,raw,200,0,8.81300709543681,5.683290004730225,1.3849871999991592,0.56,14.58688201955289,0.58,17.381341984846426
Parkinsons Telemonitoring,4,xgb_bootstrap,subject_grouped,25,raw,200,0,10.131217925669194,7.606599807739258,4.279845299985027,0.205,6.545269798881509,0.25,7.799170008021606
Parkinsons Telemonitoring,4,dkl_svgp,subject_grouped,25,raw,200,0,8.463281421960703,5.466739654541016,1.3534939000091981,0.615,14.819656252948421,0.68,17.658709591610158
