dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Parkinsons Telemonitoring,0,lmjgp_transductive,subject_grouped,25,raw,200,0,8.537232845678142,5.351074695587158,66.6150344000198,0.68,22.301965467932344,0.755,26.57443093135057
Parkinsons Telemonitoring,0,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,8.808524777935405,5.462689399719238,64.99370630001067,0.71,22.94705423304639,0.81,27.343101605590604
Parkinsons Telemonitoring,0,lmjgp_supervised,subject_grouped,25,raw,200,0,8.34973603266713,5.121851921081543,70.66824150001048,0.715,22.997234638686887,0.775,27.402895246905217
Parkinsons Telemonitoring,0,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,8.75959459403955,5.467884540557861,64.97443729999941,0.685,21.821851756359756,0.76,26.002340158197605
Parkinsons Telemonitoring,1,lmjgp_transductive,subject_grouped,25,raw,200,0,8.088973049813514,4.708174228668213,68.55519439998898,0.835,24.7501320846859,0.895,29.491601382488717
Parkinsons Telemonitoring,1,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,9.03858233213653,5.155526638031006,76.84132830001181,0.785,22.501160730687264,0.84,26.811786726719557
Parkinsons Telemonitoring,1,lmjgp_supervised,subject_grouped,25,raw,200,0,7.802796067636778,4.530413627624512,65.96400819998235,0.84,24.739820199950636,0.91,29.479314013957755
Parkinsons Telemonitoring,1,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.141862133708356,5.123265266418457,68.26462690002518,0.78,22.5296236165143,0.845,26.845702347053784
Parkinsons Telemonitoring,2,lmjgp_transductive,subject_grouped,25,raw,200,0,9.25673488901653,5.586343288421631,68.44219080000767,0.705,22.661913852178536,0.79,27.003335885479192
Parkinsons Telemonitoring,2,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,9.420680407581994,5.849218845367432,68.04391189999296,0.655,20.953126990856664,0.775,24.96719075343278
Parkinsons Telemonitoring,2,lmjgp_supervised,subject_grouped,25,raw,200,0,8.97695552425209,5.394313335418701,67.7549721999967,0.72,22.492432528321903,0.82,26.80138643212459
Parkinsons Telemonitoring,2,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.171562234320877,5.576572418212891,68.65075899998192,0.74,21.605798842396354,0.795,25.74489723246565
Parkinsons Telemonitoring,3,lmjgp_transductive,subject_grouped,25,raw,200,0,9.867388012504797,6.044701099395752,69.48235289999866,0.75,22.422579924617235,0.79,26.71815192101418
Parkinsons Telemonitoring,3,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,10.142716707988932,6.4542717933654785,68.42878210000345,0.64,19.855744862382068,0.695,23.65957929558264
Parkinsons Telemonitoring,3,lmjgp_supervised,subject_grouped,25,raw,200,0,9.822663654882605,6.108790874481201,70.38997129999916,0.66,20.654080896254253,0.73,24.610855353410365
Parkinsons Telemonitoring,3,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,10.331003896395721,6.439997673034668,74.17286280001281,0.655,20.541029323683833,0.755,24.476146096001056
Parkinsons Telemonitoring,4,lmjgp_transductive,subject_grouped,25,raw,200,0,9.233552876703012,5.819273471832275,72.01843609998468,0.695,21.540098210704926,0.755,25.666610101156962
Parkinsons Telemonitoring,4,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,9.864843579295751,6.349761486053467,67.87042710001697,0.605,19.50065605555933,0.695,23.23646488510726
Parkinsons Telemonitoring,4,lmjgp_supervised,subject_grouped,25,raw,200,0,9.60797036765284,6.079779624938965,67.74309190001804,0.645,20.427999212269953,0.745,24.341462411137048
Parkinsons Telemonitoring,4,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.734085749053238,6.1491379737854,71.48305889999028,0.635,19.69883632620007,0.715,23.472611242775667
