dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Parkinsons Telemonitoring,0,lmjgp_transductive,subject_grouped,25,raw,200,0,9.626647866983555,6.137050151824951,71.4634764000075,0.61,20.056744445647432,0.7,23.899085071447825
Parkinsons Telemonitoring,0,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,10.116073532586466,6.6259446144104,65.89761439998983,0.565,19.91461064709616,0.655,23.7297222043928
Parkinsons Telemonitoring,0,lmjgp_supervised,subject_grouped,25,raw,200,0,10.411681701046719,6.915775299072266,67.57297979999566,0.485,17.1354087279671,0.555,20.418098861133295
Parkinsons Telemonitoring,0,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,10.201611259244292,6.565202236175537,71.10419539999566,0.555,20.589250893388808,0.685,24.53360564033444
Parkinsons Telemonitoring,1,lmjgp_transductive,subject_grouped,25,raw,200,0,7.1248766222955675,4.184742450714111,70.84745190001559,0.865,23.682301373663314,0.92,28.219202610405254
Parkinsons Telemonitoring,1,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,8.075219301702072,4.716551303863525,70.143880299991,0.82,22.941243769522604,0.875,27.33617801126372
Parkinsons Telemonitoring,1,lmjgp_supervised,subject_grouped,25,raw,200,0,7.762933272320235,4.685513019561768,64.49689559999388,0.79,23.03045857375788,0.87,27.442484007325515
Parkinsons Telemonitoring,1,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,7.596780119515362,4.37701416015625,65.32169890002115,0.86,23.60620233416731,0.895,28.128525011969533
Parkinsons Telemonitoring,2,lmjgp_transductive,subject_grouped,25,raw,200,0,8.55955214556871,4.937544345855713,72.10174919999554,0.795,22.53791012494426,0.85,26.85557633086255
Parkinsons Telemonitoring,2,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,9.27000648692558,5.381025791168213,74.46846520001418,0.74,20.343985164905074,0.795,24.241353499114407
Parkinsons Telemonitoring,2,lmjgp_supervised,subject_grouped,25,raw,200,0,8.170903127001921,4.723455429077148,67.95921519998228,0.78,21.99124079822366,0.83,26.20417965077562
Parkinsons Telemonitoring,2,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.439902230590821,5.482426166534424,67.28330579999601,0.72,21.26342331588108,0.82,25.336931629835366
Parkinsons Telemonitoring,3,lmjgp_transductive,subject_grouped,25,raw,200,0,9.88190069332234,6.178598403930664,76.30513490000158,0.655,20.376927773528013,0.735,24.28060703839585
Parkinsons Telemonitoring,3,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,10.055664238563214,6.487432956695557,69.76067080002395,0.56,18.893549210001193,0.645,22.51305245948796
Parkinsons Telemonitoring,3,lmjgp_supervised,subject_grouped,25,raw,200,0,9.708884063932516,5.983795642852783,65.16606319998391,0.685,21.228402563370956,0.765,25.295201829379774
Parkinsons Telemonitoring,3,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.70198662881958,6.1356329917907715,67.01146599999629,0.615,19.10728241314249,0.69,22.76773127928891
Parkinsons Telemonitoring,4,lmjgp_transductive,subject_grouped,25,raw,200,0,9.490031857483366,6.129490852355957,66.39824920002138,0.59,18.295734190309588,0.675,21.800711927288603
Parkinsons Telemonitoring,4,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,9.666870881430595,6.322114944458008,72.22454300001846,0.525,17.62551391087446,0.61,21.002095206701846
Parkinsons Telemonitoring,4,lmjgp_supervised,subject_grouped,25,raw,200,0,9.597546959537787,6.255642890930176,67.34603179999976,0.54,18.841094586484502,0.67,22.450548920430894
Parkinsons Telemonitoring,4,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.721917937325268,6.404019832611084,66.44638479998684,0.5,17.423752610476036,0.63,20.761681788890446
