dataset,method,n_seeds,all_neighbor_abs_y_median_mean,all_neighbor_abs_y_median_std,best_outer_mean,best_outer_std,cem_anchor_dispersion_frob_mean,cem_anchor_dispersion_frob_std,cem_cosine_to_ref_median_mean,cem_cosine_to_ref_median_std,cem_median_eff_rank_WWT_mean,cem_median_eff_rank_WWT_std,cem_median_frob_W_mean,cem_median_frob_W_std,cem_median_trace_WWT_mean,cem_median_trace_WWT_std,coeff_gp_lengthscale_mean,coeff_gp_lengthscale_std,coeff_gp_ridge_mean,coeff_gp_ridge_std,elapsed_sec_mean,elapsed_sec_std,feature_eff_count_mean,feature_eff_count_std,feature_top1_share_mean,feature_top1_share_std,feature_top3_share_mean,feature_top3_share_std,feature_weight_entropy_mean,feature_weight_entropy_std,mean_coeff_gp_var_mean,mean_coeff_gp_var_std,metric_anchor_dispersion_frob_mean,metric_anchor_dispersion_frob_std,metric_anchor_dispersion_rel_mean,metric_anchor_dispersion_rel_std,metric_cosine_to_pls_median_mean,metric_cosine_to_pls_median_std,metric_eff_rank_median_mean,metric_eff_rank_median_std,metric_top_eig_median_mean,metric_top_eig_median_std,metric_trace_median_mean,metric_trace_median_std,proj_anchor_knn_abs_y_median_mean,proj_anchor_knn_abs_y_median_std,proj_minus_raw_anchor_knn_abs_y_median_mean,proj_minus_raw_anchor_knn_abs_y_median_std,proj_minus_raw_pair_y_abs_corr_median_mean,proj_minus_raw_pair_y_abs_corr_median_std,proj_pair_y_abs_corr_median_mean,proj_pair_y_abs_corr_median_std,raw_anchor_knn_abs_y_median_mean,raw_anchor_knn_abs_y_median_std,raw_pair_y_abs_corr_median_mean,raw_pair_y_abs_corr_median_std,sampled_W_eff_rank_median_mean,sampled_W_eff_rank_median_std,sampled_W_frob_median_mean,sampled_W_frob_median_std,train_time_sec_mean,train_time_sec_std,EW_raw_median_eff_rank_mean,EW_raw_median_eff_rank_std,EW_raw_median_frob_mean,EW_raw_median_frob_std,EW_raw_median_kappa_mean,EW_raw_median_kappa_std,kernel_metric_A_median_kappa_K_mean,kernel_metric_A_median_kappa_K_std,kernel_metric_A_median_kappa_K_jitter_mean,kernel_metric_A_median_kappa_K_jitter_std,kernel_metric_A_median_kappa_K_plus_noise_mean,kernel_metric_A_median_kappa_K_plus_noise_std,kernel_sampled_row_normalized_median_kappa_K_mean,kernel_sampled_row_normalized_median_kappa_K_std,kernel_sampled_row_normalized_median_kappa_K_jitter_mean,kernel_sampled_row_normalized_median_kappa_K_jitter_std,kernel_sampled_row_normalized_median_kappa_K_plus_noise_mean,kernel_sampled_row_normalized_median_kappa_K_plus_noise_std,metric_E_WtW_median_eff_rank_A_mean,metric_E_WtW_median_eff_rank_A_std,metric_E_WtW_median_eff_rank_B_mean,metric_E_WtW_median_eff_rank_B_std,metric_E_WtW_median_min_eig_B_positive_mean,metric_E_WtW_median_min_eig_B_positive_std,metric_E_WtW_median_top_eig_B_mean,metric_E_WtW_median_top_eig_B_std,metric_E_WtW_median_trace_E_WtW_mean,metric_E_WtW_median_trace_E_WtW_std,sampled_W_row_normalized_M_mean,sampled_W_row_normalized_M_std,sampled_W_row_normalized_median_eff_rank_mean,sampled_W_row_normalized_median_eff_rank_std,sampled_W_row_normalized_median_frob_mean,sampled_W_row_normalized_median_frob_std,sampled_W_row_normalized_median_kappa_mean,sampled_W_row_normalized_median_kappa_std,train_best_loss_mean,train_best_loss_std
Appliances Energy Prediction,cem_em_supervised,1,0.45132213830947876,0.0,4.0,0.0,1.410696029663086,0.0,0.373622501846103,0.0,3.5777623653411865,0.0,2.2360680103302,0.0,5.000000953674316,0.0,6.391851425170898,0.0,0.0001,0.0,157.99586930000805,0.0,23.185388229811224,0.0,0.12637314200401306,0.0,0.27349579334259033,0.0,3.143522262573242,0.0,0.0688609629869461,0.0,1.458324909210205,0.0,0.8253884076440341,0.0,0.646296858141486,0.0,4.835348129272461,0.0,1.6653226017951965,0.0,5.000000476837158,0.0,0.42791764438152313,0.0,1.4901161193847656e-08,0.0,0.0011475955525058756,0.0,0.05795194414635298,0.0,0.41569142043590546,0.0,0.05153367372241924,0.0,3.6641491651535034,0.0,2.2360680103302,0.0,157.8312656999915,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appliances Energy Prediction,cem_em_transductive,1,0.45132213830947876,0.0,4.0,0.0,1.0912444591522217,0.0,0.39550780088606685,0.0,3.3416390419006348,0.0,2.2360680103302,0.0,5.000000953674316,0.0,,,,,96.22549309997703,0.0,19.34241398712417,0.0,0.1655849665403366,0.0,0.39791393280029297,0.0,2.9623003005981445,0.0,,,1.4472839832305908,0.0,0.6169478953936054,0.0,0.6351437712798262,0.0,3.3549578189849854,0.0,2.182527542114258,0.0,5.0,0.0,0.3472246080636978,0.0,-0.04401438310742378,0.0,0.055776969164151854,0.0,0.10815222001533661,0.0,0.41569142043590546,0.0,0.05153367372241924,0.0,3.3549585342407227,0.0,2.2360680103302,0.0,96.18049700002302,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appliances Energy Prediction,lmjgp_supervised,1,0.45132213830947876,0.0,,,,,,,,,,,,,,,,,67.36290769997868,0.0,26.994672046562677,0.0,0.03876244276762009,0.0,0.11496390402317047,0.0,3.2956395149230957,0.0,,,0.5414315462112427,0.0,0.56124355320369,0.0,0.3720952777332819,0.0,20.41209602355957,0.0,0.4168262183666229,0.0,5.0,0.0,0.43036291003227234,0.0,-0.0048904865980148315,0.0,-0.029179875577553416,0.0,0.02547605458907312,0.0,0.41569142043590546,0.0,0.05153367372241924,0.0,4.389441251754761,0.0,2.2360680103302,0.0,61.9874853999936,0.0,1.008257269859314,0.0,1.8179186554334592e-05,0.0,1111.8382568359375,0.0,2.236005425453186,0.0,2.236003279685974,0.0,2.1413357257843018,0.0,3161.1607666015625,0.0,3160.270263671875,0.0,210.0146255493164,0.0,27.0,0.0,5.0,0.0,18.406458854675293,0.0,18.406465530395508,0.0,92.03229522705078,0.0,16.0,0.0,4.389441251754761,0.0,2.2360680103302,0.0,1.7472346425056458,0.0,1.2260749340057373,0.0
Appliances Energy Prediction,lmjgp_transductive,1,0.45132213830947876,0.0,,,,,,,,,,,,,,,,,66.91074429999571,0.0,26.994665610532092,0.0,0.03876231983304024,0.0,0.11496381461620331,0.0,3.2956392765045166,0.0,,,0.5414316654205322,0.0,0.5612437114519045,0.0,0.3720956638433953,0.0,20.41209602355957,0.0,0.416826456785202,0.0,5.0,0.0,0.43036291003227234,0.0,-0.0048904865980148315,0.0,-0.029180278438990407,0.0,0.025474893167793312,0.0,0.41569142043590546,0.0,0.05153367372241924,0.0,4.3894407749176025,0.0,2.2360680103302,0.0,63.2610220000206,0.0,,,5.19381846558753e-11,0.0,369.0881042480469,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.10561865568161,0.0,1.1056181192398071,0.0,1.0900740027427673,0.0,27.000001907348633,0.0,5.0,0.0,11.847808837890625,0.0,11.847808837890625,0.0,59.239044189453125,0.0,16.0,0.0,4.389441013336182,0.0,2.2360680103302,0.0,1.747235119342804,0.0,,
Parkinsons Telemonitoring,cem_em_supervised,1,7.49936580657959,0.0,4.0,0.0,1.5405277013778687,0.0,0.35072848959036773,0.0,3.557321071624756,0.0,2.2360680103302,0.0,5.000000953674316,0.0,3.840822219848633,0.0,0.0001,0.0,142.72941460000584,0.0,16.03508797816203,0.0,0.11999641358852386,0.0,0.29622530937194824,0.0,2.7747793197631836,0.0,0.10007098317146301,0.0,1.7492163181304932,0.0,1.0026489054388728,0.0,0.5536592140485725,0.0,4.0062174797058105,0.0,1.85800701379776,0.0,5.0,0.0,6.979174971580505,0.0,0.19318532943725586,0.0,-0.0003905399958219688,0.0,0.07961241951584394,0.0,6.868234634399414,0.0,0.06874917095368746,0.0,3.578415632247925,0.0,2.2360680103302,0.0,142.57416150000063,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkinsons Telemonitoring,cem_em_transductive,1,7.49936580657959,0.0,4.0,0.0,1.2657454013824463,0.0,0.3747398704483261,0.0,3.367400884628296,0.0,2.2360680103302,0.0,5.000000953674316,0.0,,,,,86.35135509999236,0.0,14.982719402743284,0.0,0.18372012674808502,0.0,0.38035261631011963,0.0,2.706897497177124,0.0,,,1.6770386695861816,0.0,0.7943296641844558,0.0,0.5731741555411801,0.0,3.372486114501953,0.0,2.114508032798767,0.0,5.0,0.0,6.534850358963013,0.0,-0.1302502155303955,0.0,0.09123700464222731,0.0,0.1464849765944061,0.0,6.868234634399414,0.0,0.06874917095368746,0.0,3.3724857568740845,0.0,2.2360680103302,0.0,86.30219289998058,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkinsons Telemonitoring,lmjgp_supervised,1,7.49936580657959,0.0,,,,,,,,,,,,,,,,,50.32135099999141,0.0,17.992444942159338,0.0,0.059850890189409256,0.0,0.17546385526657104,0.0,2.8899519443511963,0.0,,,0.5548719763755798,0.0,0.4689810847998091,0.0,0.4680585848123001,0.0,14.69020938873291,0.0,0.5564680099487305,0.0,5.0,0.0,7.179850220680237,0.0,0.4566993713378906,0.0,-0.022582399950165137,0.0,0.033298542595957624,0.0,6.868234634399414,0.0,0.06874917095368746,0.0,4.1318957805633545,0.0,2.2360680103302,0.0,47.1740395000088,0.0,1.0094450116157532,0.0,1.255549967288971,0.0,767.4564819335938,0.0,1.6217204332351685,0.0,1.621719777584076,0.0,1.1133305430412292,0.0,9710.69091796875,0.0,9704.2041015625,0.0,5.141855001449585,0.0,17.861151695251465,0.0,4.994343280792236,0.0,14.454442977905273,0.0,15.693763732910156,0.0,73.52066040039062,0.0,16.0,0.0,4.1318957805633545,0.0,2.2360680103302,0.0,2.0460480451583862,0.0,3.2271265983581543,0.0
Parkinsons Telemonitoring,lmjgp_transductive,1,7.49936580657959,0.0,,,,,,,,,,,,,,,,,48.2123191000137,0.0,17.903533276466064,0.0,0.07017272710800171,0.0,0.20145365595817566,0.0,2.884998083114624,0.0,,,0.6382516622543335,0.0,0.5198390201394738,0.0,0.4925457322302117,0.0,12.979790687561035,0.0,0.7796685099601746,0.0,5.0,0.0,7.725960612297058,0.0,0.5114648342132568,0.0,-0.02715622340644655,0.0,0.04373098799415523,0.0,6.868234634399414,0.0,0.06874917095368746,0.0,4.1356565952301025,0.0,2.2360680103302,0.0,45.42809119998128,0.0,1.7092503309249878,0.0,3.5475003719329834,0.0,2880825851904.0,0.0,1.0041863322257996,0.0,1.004465103149414,0.0,1.003544270992279,0.0,103.12332534790039,0.0,103.1212158203125,0.0,18.092395782470703,0.0,14.399170875549316,0.0,4.963358163833618,0.0,14.398397445678711,0.0,17.541686058044434,0.0,77.32300567626953,0.0,16.0,0.0,4.13565731048584,0.0,2.2360680103302,0.0,2.0644832849502563,0.0,,
Wine Quality,cem_em_supervised,1,0.6399999856948853,0.0,4.0,0.0,1.389549970626831,0.0,0.4230092717062563,0.0,2.4253339767456055,0.0,1.7320507764816284,0.0,3.0,0.0,4.093806266784668,0.0,0.0001,0.0,131.10244099999545,0.0,10.790641983555831,0.0,0.1232590302824974,0.0,0.33732473850250244,0.0,2.3786792755126953,0.0,0.06487239897251129,0.0,1.297620177268982,0.0,1.1822136007444368,0.0,0.5009579043536696,0.0,2.977415442466736,0.0,1.4121551513671875,0.0,3.0,0.0,0.6000000238418579,0.0,0.0,0.0,-0.013136311194849828,0.0,0.054373392686079255,0.0,0.6500000059604645,0.0,0.06361886850642347,0.0,2.470915675163269,0.0,1.7320507764816284,0.0,130.9494616999873,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wine Quality,cem_em_transductive,1,0.6399999856948853,0.0,5.0,0.0,1.0805314779281616,0.0,0.49308669350277035,0.0,2.4906182289123535,0.0,1.7320507764816284,0.0,3.0,0.0,,,,,74.66185939998832,0.0,10.234568852084042,0.0,0.12644480168819427,0.0,0.37541693449020386,0.0,2.3257710933685303,0.0,,,1.3528504371643066,0.0,0.9544076419675788,0.0,0.6671499689806977,0.0,2.4921146631240845,0.0,1.5660221576690674,0.0,3.0,0.0,0.6000000238418579,0.0,0.0,0.0,0.0414795638321683,0.0,0.11287433452303161,0.0,0.6500000059604645,0.0,0.06361886850642347,0.0,2.4921149015426636,0.0,1.7320507764816284,0.0,74.60280520000379,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
