dataset,seed,method,standardize_x,standardize_y,Q,n,max_total_train,max_test_anchors,max_train_anchors,train_time_sec,elapsed_sec,metric_trace_median,metric_eff_rank_median,metric_top_eig_median,feature_weight_entropy,feature_eff_count,feature_top1_share,feature_top3_share,metric_anchor_dispersion_frob,metric_anchor_dispersion_rel,sampled_W_frob_median,sampled_W_eff_rank_median,metric_cosine_to_pls_median,raw_pair_y_abs_corr_median,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr_median,raw_anchor_knn_abs_y_median,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y_median,all_neighbor_abs_y_median,EW_raw_median_frob,EW_raw_median_kappa,EW_raw_median_eff_rank,metric_E_WtW_median_trace_E_WtW,metric_E_WtW_median_eff_rank_A,metric_E_WtW_median_eff_rank_B,metric_E_WtW_median_top_eig_B,metric_E_WtW_median_min_eig_B_positive,kernel_metric_A_median_kappa_K,kernel_metric_A_median_kappa_K_jitter,kernel_metric_A_median_kappa_K_plus_noise,sampled_W_row_normalized_median_frob,sampled_W_row_normalized_median_kappa,sampled_W_row_normalized_median_eff_rank,sampled_W_row_normalized_M,kernel_sampled_row_normalized_median_kappa_K,kernel_sampled_row_normalized_median_kappa_K_jitter,kernel_sampled_row_normalized_median_kappa_K_plus_noise,train_best_loss,cem_median_trace_WWT,cem_median_eff_rank_WWT,cem_median_frob_W,cem_anchor_dispersion_frob,cem_cosine_to_ref_median,best_outer,coeff_gp_lengthscale,coeff_gp_ridge,mean_coeff_gp_var
Wine Quality,0,lmjgp_transductive,1,0,3,25,500,64,64,20.402968899987172,22.982267299987143,3.0,7.102100849151611,0.8317225575447083,2.3929989337921143,10.946271913733765,0.1056763157248497,0.31418585777282715,0.5733040571212769,0.5923854226484473,1.7320507764816284,2.6127418279647827,0.5376165390989236,0.06361886850642347,0.011710836534888809,-0.05141342763887485,0.6500000059604645,0.6500000059604645,0.0,0.6399999856948853,2.5165926218032837,440702.140625,1.0000001192092896,26.70820903778076,7.02236533164978,2.9450533390045166,10.622479438781738,8.042866706848145,1.2896450757980347,1.2896448373794556,1.2252119183540344,1.7320507764816284,1.6535284519195557,2.612742304801941,16.0,4613.903564453125,4610.44677734375,29.815253257751465,,,,,,,,,,
Wine Quality,0,lmjgp_supervised,1,0,3,25,500,64,64,16.562799199979054,19.11405880001257,3.0,9.029870986938477,0.504610687494278,2.3975913524627686,10.996657384278553,0.09484834969043732,0.28148114681243896,0.4160613417625427,0.4589361553287961,1.7320507764816284,2.600119709968567,0.48125298120328175,0.06361886850642347,0.024174441866509747,-0.045792550824945676,0.6500000059604645,0.6000000238418579,0.0,0.6399999856948853,0.3533434569835663,4.350107669830322,1.5010147094726562,41.29509353637695,10.999378681182861,2.9999849796295166,13.805458545684814,13.746240139007568,2.6093897819519043,2.609386682510376,2.5098934173583984,1.7320507764816284,1.658830165863037,2.6001200675964355,16.0,1227359.875,1150760.0,413.6744689941406,1.231114387512207,,,,,,,,,
Wine Quality,0,cem_em_transductive,1,0,3,25,500,64,64,74.60280520000379,74.66185939998832,3.0,2.4921146631240845,1.5660221576690674,2.3257710933685303,10.234568852084042,0.12644480168819427,0.37541693449020386,1.3528504371643066,0.9544076419675788,1.7320507764816284,2.4921149015426636,0.6671499689806977,0.06361886850642347,0.11287433452303161,0.0414795638321683,0.6500000059604645,0.6000000238418579,0.0,0.6399999856948853,,,,,,,,,,,,,,,,,,,,3.0,2.4906182289123535,1.7320507764816284,1.0805314779281616,0.49308669350277035,5,,,
Wine Quality,0,cem_em_supervised,1,0,3,25,500,64,64,130.9494616999873,131.10244099999545,3.0,2.977415442466736,1.4121551513671875,2.3786792755126953,10.790641983555831,0.1232590302824974,0.33732473850250244,1.297620177268982,1.1822136007444368,1.7320507764816284,2.470915675163269,0.5009579043536696,0.06361886850642347,0.054373392686079255,-0.013136311194849828,0.6500000059604645,0.6000000238418579,0.0,0.6399999856948853,,,,,,,,,,,,,,,,,,,,3.0,2.4253339767456055,1.7320507764816284,1.389549970626831,0.4230092717062563,4,4.093806266784668,0.0001,0.06487239897251129
Parkinsons Telemonitoring,0,lmjgp_transductive,1,0,5,25,500,64,64,45.42809119998128,48.2123191000137,5.0,12.979790687561035,0.7796685099601746,2.884998083114624,17.903533276466064,0.07017272710800171,0.20145365595817566,0.6382516622543335,0.5198390201394738,2.2360680103302,4.1356565952301025,0.4925457322302117,0.06874917095368746,0.04373098799415523,-0.02715622340644655,6.868234634399414,7.725960612297058,0.5114648342132568,7.49936580657959,3.5475003719329834,2880825851904.0,1.7092503309249878,77.32300567626953,14.399170875549316,4.963358163833618,17.541686058044434,14.398397445678711,1.0041863322257996,1.004465103149414,1.003544270992279,2.2360680103302,2.0644832849502563,4.13565731048584,16.0,103.12332534790039,103.1212158203125,18.092395782470703,,,,,,,,,,
Parkinsons Telemonitoring,0,lmjgp_supervised,1,0,5,25,500,64,64,47.1740395000088,50.32135099999141,5.0,14.69020938873291,0.5564680099487305,2.8899519443511963,17.992444942159338,0.059850890189409256,0.17546385526657104,0.5548719763755798,0.4689810847998091,2.2360680103302,4.1318957805633545,0.4680585848123001,0.06874917095368746,0.033298542595957624,-0.022582399950165137,6.868234634399414,7.179850220680237,0.4566993713378906,7.49936580657959,1.255549967288971,767.4564819335938,1.0094450116157532,73.52066040039062,17.861151695251465,4.994343280792236,15.693763732910156,14.454442977905273,1.6217204332351685,1.621719777584076,1.1133305430412292,2.2360680103302,2.0460480451583862,4.1318957805633545,16.0,9710.69091796875,9704.2041015625,5.141855001449585,3.2271265983581543,,,,,,,,,
Parkinsons Telemonitoring,0,cem_em_transductive,1,0,5,25,500,64,64,86.30219289998058,86.35135509999236,5.0,3.372486114501953,2.114508032798767,2.706897497177124,14.982719402743284,0.18372012674808502,0.38035261631011963,1.6770386695861816,0.7943296641844558,2.2360680103302,3.3724857568740845,0.5731741555411801,0.06874917095368746,0.1464849765944061,0.09123700464222731,6.868234634399414,6.534850358963013,-0.1302502155303955,7.49936580657959,,,,,,,,,,,,,,,,,,,,5.000000953674316,3.367400884628296,2.2360680103302,1.2657454013824463,0.3747398704483261,4,,,
Parkinsons Telemonitoring,0,cem_em_supervised,1,0,5,25,500,64,64,142.57416150000063,142.72941460000584,5.0,4.0062174797058105,1.85800701379776,2.7747793197631836,16.03508797816203,0.11999641358852386,0.29622530937194824,1.7492163181304932,1.0026489054388728,2.2360680103302,3.578415632247925,0.5536592140485725,0.06874917095368746,0.07961241951584394,-0.0003905399958219688,6.868234634399414,6.979174971580505,0.19318532943725586,7.49936580657959,,,,,,,,,,,,,,,,,,,,5.000000953674316,3.557321071624756,2.2360680103302,1.5405277013778687,0.35072848959036773,4,3.840822219848633,0.0001,0.10007098317146301
Appliances Energy Prediction,0,lmjgp_transductive,1,1,5,35,500,64,64,63.2610220000206,66.91074429999571,5.0,20.41209602355957,0.416826456785202,3.2956392765045166,26.994665610532092,0.03876231983304024,0.11496381461620331,0.5414316654205322,0.5612437114519045,2.2360680103302,4.3894407749176025,0.3720956638433953,0.05153367372241924,0.025474893167793312,-0.029180278438990407,0.41569142043590546,0.43036291003227234,-0.0048904865980148315,0.45132213830947876,5.19381846558753e-11,369.0881042480469,,59.239044189453125,27.000001907348633,5.0,11.847808837890625,11.847808837890625,1.0,1.0,1.0,2.2360680103302,1.747235119342804,4.389441013336182,16.0,1.10561865568161,1.1056181192398071,1.0900740027427673,,,,,,,,,,
Appliances Energy Prediction,0,lmjgp_supervised,1,1,5,35,500,64,64,61.9874853999936,67.36290769997868,5.0,20.41209602355957,0.4168262183666229,3.2956395149230957,26.994672046562677,0.03876244276762009,0.11496390402317047,0.5414315462112427,0.56124355320369,2.2360680103302,4.389441251754761,0.3720952777332819,0.05153367372241924,0.02547605458907312,-0.029179875577553416,0.41569142043590546,0.43036291003227234,-0.0048904865980148315,0.45132213830947876,1.8179186554334592e-05,1111.8382568359375,1.008257269859314,92.03229522705078,27.0,5.0,18.406465530395508,18.406458854675293,2.236005425453186,2.236003279685974,2.1413357257843018,2.2360680103302,1.7472346425056458,4.389441251754761,16.0,3161.1607666015625,3160.270263671875,210.0146255493164,1.2260749340057373,,,,,,,,,
