dataset,method,n,rmse_mean,rmse_std,crps_mean,crps_std,cov90_mean,cov90_std,width90_mean,width90_std,cov95_mean,cov95_std,width95_mean,width95_std
Appliances Energy Prediction,cem_supervised_gp_cond_ensemble,1,97.63950014864727,0.0,37.35961151123047,0.0,0.84375,0.0,144.3376538019015,0.0,0.875,0.0,171.9889225578392,0.0
Appliances Energy Prediction,cem_supervised_gp_cond_ensemble_varx3,1,111.04142520799402,0.0,43.668373107910156,0.0,0.921875,0.0,209.79835396636503,0.0,0.953125,0.0,249.99015781845793,0.0
Appliances Energy Prediction,cem_supervised_map_meanC,1,109.99419737931949,0.0,42.399330139160156,0.0,0.65625,0.0,99.90330351578669,0.0,0.6875,0.0,119.04212850259445,0.0
Appliances Energy Prediction,lmjgp_isotropic_moment_matched,1,93.62231498284257,0.0,38.03834533691406,0.0,0.875,0.0,186.48592535685873,0.0,0.90625,0.0,222.21168579023438,0.0
Appliances Energy Prediction,lmjgp_learned_qW,1,93.45293370555126,0.0,38.640872955322266,0.0,0.890625,0.0,162.32399167051898,0.0,0.90625,0.0,193.4209660288412,0.0
Appliances Energy Prediction,lmjgp_permuted_features,1,107.06279510906168,0.0,41.76579666137695,0.0,0.84375,0.0,167.55435021216272,0.0,0.890625,0.0,199.6533226348528,0.0
Appliances Energy Prediction,lmjgp_prior_unit_rows,1,87.48222367211987,0.0,36.363487243652344,0.0,0.890625,0.0,189.02204291289183,0.0,0.921875,0.0,225.23365624945222,0.0
Appliances Energy Prediction,lmjgp_zero_mean_learned_sigma,1,100.02451463881906,0.0,38.85189437866211,0.0,0.875,0.0,171.30007606715765,0.0,0.890625,0.0,204.11663028208525,0.0
Parkinsons Telemonitoring,cem_supervised_gp_cond_ensemble,1,7.4096285198164376,0.0,4.219006538391113,0.0,0.671875,0.0,13.486522356230111,0.0,0.734375,0.0,16.07018257539164,0.0
Parkinsons Telemonitoring,cem_supervised_gp_cond_ensemble_varx3,1,7.245784916008856,0.0,4.055644512176514,0.0,0.671875,0.0,13.346893525374712,0.0,0.71875,0.0,15.903804561448096,0.0
Parkinsons Telemonitoring,cem_supervised_map_meanC,1,7.491081751434476,0.0,4.201650142669678,0.0,0.625,0.0,11.113361729639276,0.0,0.65625,0.0,13.24238727407528,0.0
Parkinsons Telemonitoring,lmjgp_isotropic_moment_matched,1,6.808540474929603,0.0,3.768829345703125,0.0,0.828125,0.0,18.082945912831907,0.0,0.890625,0.0,21.547159055862878,0.0
Parkinsons Telemonitoring,lmjgp_learned_qW,1,6.590988314224785,0.0,3.472670316696167,0.0,0.875,0.0,16.513344883778494,0.0,0.890625,0.0,19.676864072385627,0.0
Parkinsons Telemonitoring,lmjgp_permuted_features,1,6.725752779147257,0.0,3.6926541328430176,0.0,0.84375,0.0,17.727232274416863,0.0,0.875,0.0,21.12330011262345,0.0
Parkinsons Telemonitoring,lmjgp_prior_unit_rows,1,7.426560942417243,0.0,4.10852575302124,0.0,0.828125,0.0,18.50186700419141,0.0,0.859375,0.0,22.046334324698552,0.0
Parkinsons Telemonitoring,lmjgp_zero_mean_learned_sigma,1,7.194185360542874,0.0,3.8738410472869873,0.0,0.828125,0.0,18.338468740014296,0.0,0.890625,0.0,21.851633284024764,0.0
Wine Quality,cem_supervised_gp_cond_ensemble,1,0.6623839755034295,0.0,0.3841692805290222,0.0,0.765625,0.0,1.9446505019413494,0.0,0.84375,0.0,2.3171939945725226,0.0
Wine Quality,cem_supervised_gp_cond_ensemble_varx3,1,0.6967293700971023,0.0,0.40823978185653687,0.0,0.8125,0.0,1.9675890133806622,0.0,0.890625,0.0,2.344526916811529,0.0
Wine Quality,cem_supervised_map_meanC,1,0.7383862662068885,0.0,0.4181157052516937,0.0,0.796875,0.0,1.5506547126951256,0.0,0.828125,0.0,1.847719055082472,0.0
Wine Quality,lmjgp_isotropic_moment_matched,1,0.7010463275941988,0.0,0.40196987986564636,0.0,0.796875,0.0,1.936660030996122,0.0,0.890625,0.0,2.307672761184002,0.0
Wine Quality,lmjgp_learned_qW,1,0.7056209263260504,0.0,0.4001822769641876,0.0,0.8125,0.0,1.9912537237484966,0.0,0.859375,0.0,2.372725158445644,0.0
Wine Quality,lmjgp_permuted_features,1,0.6672999722009291,0.0,0.3818102777004242,0.0,0.859375,0.0,2.040535505610377,0.0,0.890625,0.0,2.431448023483953,0.0
Wine Quality,lmjgp_prior_unit_rows,1,0.7244622967574487,0.0,0.42264771461486816,0.0,0.84375,0.0,2.096019830105509,0.0,0.90625,0.0,2.497561673923804,0.0
Wine Quality,lmjgp_zero_mean_learned_sigma,1,0.6805515532267541,0.0,0.3864770531654358,0.0,0.859375,0.0,1.959150488795376,0.0,0.875,0.0,2.33447179458131,0.0
