dataset,seed,family,method,rmse,crps,wall_sec,cov90,width90,cov95,width95,standardize_x,standardize_y,Q,n,MC_num,train_time_sec,pred_time_sec,total_eval_sec,feature_eff_count,feature_top1_share,metric_anchor_dispersion_rel,coeff_gp_lengthscale,mean_coeff_gp_var,best_outer
Wine Quality,0,lmjgp_projection_control,lmjgp_learned_qW,0.7056209263260504,0.4001822769641876,74.69118890000391,0.8125,1.9912537237484966,0.859375,2.372725158445644,1,0,3,25,3,37.861557500000345,36.829631400003564,36.829722400027094,10.953675794011986,0.1071624755859375,1.0244085642107532,,,
Wine Quality,0,lmjgp_projection_control,lmjgp_prior_unit_rows,0.7244622967574487,0.42264771461486816,52.64685260000988,0.84375,2.096019830105509,0.90625,2.497561673923804,1,0,3,25,3,37.861557500000345,14.785295100009535,14.785350099991774,10.978678632924725,0.10000134259462357,1.0044130558643805,,,
Wine Quality,0,lmjgp_projection_control,lmjgp_isotropic_moment_matched,0.7010463275941988,0.40196987986564636,50.91425889998209,0.796875,1.936660030996122,0.890625,2.307672761184002,1,0,3,25,3,37.861557500000345,13.052701399981743,13.052752099989448,10.97584422367332,0.09852045029401779,1.0204106384889833,,,
Wine Quality,0,lmjgp_projection_control,lmjgp_permuted_features,0.6672999722009291,0.3818102777004242,50.89646379998885,0.859375,2.040535505610377,0.890625,2.431448023483953,1,0,3,25,3,37.861557500000345,13.034906299988506,13.034945300023537,10.953673182452478,0.1071624681353569,1.0244085014586197,,,
Wine Quality,0,lmjgp_projection_control,lmjgp_zero_mean_learned_sigma,0.6805515532267541,0.3864770531654358,51.357440699997824,0.859375,1.959150488795376,0.875,2.33447179458131,1,0,3,25,3,37.861557500000345,13.495883199997479,13.49592690001009,10.994484120699152,0.09628314524888992,1.0100413774463608,,,
Wine Quality,0,cem_em_projection_uncertainty,cem_supervised_map_meanC,0.7383862662068885,0.4181157052516937,143.74048979999498,0.796875,1.5506547126951256,0.828125,1.847719055082472,1,0,3,25,1,138.51279110001633,5.227698699978646,5.227730699989479,10.311470948969358,0.16251789033412933,1.2425257776215672,3.9460031986236572,0.03249159827828407,5
Wine Quality,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble,0.6623839755034295,0.3841692805290222,154.23928680000245,0.765625,1.9446505019413494,0.84375,2.3171939945725226,1,0,3,25,3,138.51279110001633,15.726495699986117,15.726554799999576,10.420616916635092,0.16144709289073944,1.183077518448885,3.9460031986236572,0.03249159827828407,5
Wine Quality,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble_varx3,0.6967293700971023,0.40823978185653687,152.7227411000349,0.8125,1.9675890133806622,0.890625,2.344526916811529,1,0,3,25,3,138.51279110001633,14.20995000001858,14.210002900013933,10.5410615415128,0.1572747677564621,1.132621861023521,3.9460031986236572,0.03249159827828407,5
Parkinsons Telemonitoring,0,lmjgp_projection_control,lmjgp_learned_qW,6.590988314224785,3.472670316696167,74.84565610002028,0.875,16.513344883778494,0.890625,19.676864072385627,0,0,5,25,3,47.194653100013966,27.651003000006313,27.651067099999636,17.951379075272214,0.06944891810417175,1.0505659233433244,,,
Parkinsons Telemonitoring,0,lmjgp_projection_control,lmjgp_prior_unit_rows,7.426560942417243,4.10852575302124,73.51801170001272,0.828125,18.50186700419141,0.859375,22.046334324698552,0,0,5,25,3,47.194653100013966,26.323358599998755,26.32341149999411,17.988190030054007,0.05889548733830452,1.0466165666792178,,,
Parkinsons Telemonitoring,0,lmjgp_projection_control,lmjgp_isotropic_moment_matched,6.808540474929603,3.768829345703125,76.46169359999476,0.828125,18.082945912831907,0.890625,21.547159055862878,0,0,5,25,3,47.194653100013966,29.267040499980794,29.26708600000711,17.980433410744133,0.06384655088186264,1.0449275977111243,,,
Parkinsons Telemonitoring,0,lmjgp_projection_control,lmjgp_permuted_features,6.725752779147257,3.6926541328430176,86.7010138000187,0.84375,17.727232274416863,0.875,21.12330011262345,0,0,5,25,3,47.194653100013966,39.506360700004734,39.50645609997446,17.951379075272214,0.06944891065359116,1.0505660283792035,,,
Parkinsons Telemonitoring,0,lmjgp_projection_control,lmjgp_zero_mean_learned_sigma,7.194185360542874,3.8738410472869873,122.34247600001981,0.828125,18.338468740014296,0.890625,21.851633284024764,0,0,5,25,3,47.194653100013966,75.14782290000585,75.1479189999809,17.98632024588169,0.06061752513051033,1.0494302428384412,,,
Parkinsons Telemonitoring,0,cem_em_projection_uncertainty,cem_supervised_map_meanC,7.491081751434476,4.201650142669678,189.3003686000011,0.625,11.113361729639276,0.65625,13.24238727407528,0,0,5,25,1,179.12772209997638,10.172646500024712,10.172704900003737,11.59119891196857,0.1774480789899826,0.8225335496697842,49.071754455566406,0.0006282180547714233,5
Parkinsons Telemonitoring,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble,7.4096285198164376,4.219006538391113,208.82981769999606,0.671875,13.486522356230111,0.734375,16.07018257539164,0,0,5,25,3,179.12772209997638,29.702095600019675,29.70215100000496,11.599088788160483,0.17721518874168396,0.8242144584340124,49.071754455566406,0.0006282180547714233,5
Parkinsons Telemonitoring,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble_varx3,7.245784916008856,4.055644512176514,208.35218399995938,0.671875,13.346893525374712,0.71875,15.903804561448096,0,0,5,25,3,179.12772209997638,29.224461899982998,29.224502299999585,11.61476834960148,0.17699362337589264,0.8230574916368736,49.071754455566406,0.0006282180547714233,5
Appliances Energy Prediction,0,lmjgp_projection_control,lmjgp_learned_qW,93.45293370555126,38.640872955322266,93.6717463999812,0.890625,162.32399167051898,0.90625,193.4209660288412,1,1,5,35,3,66.09294339999906,27.578802999982145,27.578870900004404,26.951996311024114,0.04412339627742767,1.2753674715139915,,,
Appliances Energy Prediction,0,lmjgp_projection_control,lmjgp_prior_unit_rows,87.48222367211987,36.363487243652344,119.78890310000861,0.890625,189.02204291289183,0.921875,225.23365624945222,1,1,5,35,3,66.09294339999906,53.69595970000955,53.696034799999325,26.974316122138955,0.0402282290160656,1.285448368179212,,,
Appliances Energy Prediction,0,lmjgp_projection_control,lmjgp_isotropic_moment_matched,93.62231498284257,38.03834533691406,145.35927650000667,0.875,186.48592535685873,0.90625,222.21168579023438,1,1,5,35,3,66.09294339999906,79.26633310000761,79.26642179998453,26.97989252989752,0.04055313020944595,1.2945056294667365,,,
Appliances Energy Prediction,0,lmjgp_projection_control,lmjgp_permuted_features,107.06279510906168,41.76579666137695,131.2183381000068,0.84375,167.55435021216272,0.890625,199.6533226348528,1,1,5,35,3,66.09294339999906,65.12539470000775,65.12543990000268,26.952002736881543,0.04412340000271797,1.2753675151952093,,,
Appliances Energy Prediction,0,lmjgp_projection_control,lmjgp_zero_mean_learned_sigma,100.02451463881906,38.85189437866211,133.0451607000141,0.875,171.30007606715765,0.890625,204.11663028208525,1,1,5,35,3,66.09294339999906,66.95221730001504,66.95230259999516,26.978818322506832,0.04021469131112099,1.2591945615906222,,,
Appliances Energy Prediction,0,cem_em_projection_uncertainty,cem_supervised_map_meanC,109.99419737931949,42.399330139160156,196.22402550000697,0.65625,99.90330351578669,0.6875,119.04212850259445,1,1,5,35,1,186.59617370000342,9.627851800003555,9.627891199983424,20.401215500273118,0.19464141130447388,0.8461900128588885,6.969383716583252,0.05321856960654259,5
Appliances Energy Prediction,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble,97.63950014864727,37.35961151123047,215.3309484999918,0.84375,144.3376538019015,0.875,171.9889225578392,1,1,5,35,3,186.59617370000342,28.734774799988372,28.734856399998534,21.378806965542367,0.18292857706546783,0.8270686540739431,6.969383716583252,0.05321856960654259,5
Appliances Energy Prediction,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble_varx3,111.04142520799402,43.668373107910156,215.6171214999922,0.921875,209.79835396636503,0.953125,249.99015781845793,1,1,5,35,3,186.59617370000342,29.02094779998879,29.020994199992856,22.77820021031058,0.1578923910856247,0.8393746042223218,6.969383716583252,0.05321856960654259,5
