dataset,seed,family,method,rmse,crps,wall_sec,cov90,width90,cov95,width95,standardize_x,standardize_y,Q,n,MC_num,train_time_sec,pred_time_sec,total_eval_sec,feature_eff_count,feature_top1_share,metric_anchor_dispersion_rel,coeff_gp_lengthscale,mean_coeff_gp_var,laplace_mean_var,laplace_extra_var_mean,laplace_anchor_var_median,laplace_hessian_failures,laplace_hessian_median,best_outer
Wine Quality,0,lmjgp_projection_control,lmjgp_learned_qW,0.7056209263260504,0.4001822769641876,41.05048160001752,0.8125,1.9912537237484966,0.859375,2.372725158445644,1,0,3,25,3,25.715144100016914,15.335337500000605,15.335423800017452,10.953675794011986,0.1071624755859375,1.0244085642107532,,,,,,,,
Wine Quality,0,lmjgp_projection_control,lmjgp_prior_unit_rows,0.7244622967574487,0.42264771461486816,40.67440130002797,0.84375,2.096019830105509,0.90625,2.497561673923804,1,0,3,25,3,25.715144100016914,14.959257200011052,14.959331799997017,10.978678632924725,0.10000134259462357,1.0044130558643805,,,,,,,,
Wine Quality,0,lmjgp_projection_control,lmjgp_isotropic_moment_matched,0.7010463275941988,0.40196987986564636,40.413422400015406,0.796875,1.936660030996122,0.890625,2.307672761184002,1,0,3,25,3,25.715144100016914,14.698278299998492,14.698331400024472,10.97584422367332,0.09852045029401779,1.0204106384889833,,,,,,,,
Wine Quality,0,lmjgp_projection_control,lmjgp_permuted_features,0.6672999722009291,0.3818102777004242,40.282840700034285,0.859375,2.040535505610377,0.890625,2.431448023483953,1,0,3,25,3,25.715144100016914,14.56769660001737,14.567745300009847,10.953673182452478,0.1071624681353569,1.0244085014586197,,,,,,,,
Wine Quality,0,lmjgp_projection_control,lmjgp_zero_mean_learned_sigma,0.6805515532267541,0.3864770531654358,40.87709300001734,0.859375,1.959150488795376,0.875,2.33447179458131,1,0,3,25,3,25.715144100016914,15.161948900000425,15.162019599985797,10.994484120699152,0.09628314524888992,1.0100413774463608,,,,,,,,
Wine Quality,0,cem_em_projection_uncertainty,cem_supervised_map_meanC,0.7383862662068885,0.4181157052516937,155.0080740999838,0.796875,1.5506547126951256,0.828125,1.847719055082472,1,0,3,25,1,149.26057600000058,5.747498099983204,5.747543400007999,10.311470948969358,0.16251789033412933,1.2425257776215672,3.9460031986236572,0.03249159827828407,0.06484594196081161,0.03235434368252754,0.011342651210725307,0,0.015171939507126808,5
Wine Quality,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble,0.6623839755034295,0.3841692805290222,166.65775280000526,0.765625,1.9446505019413494,0.84375,2.3171939945725226,1,0,3,25,3,149.26057600000058,17.397176800004672,17.397239000012632,10.420616916635092,0.16144709289073944,1.183077518448885,3.9460031986236572,0.03249159827828407,0.06484594196081161,0.03235434368252754,0.011342651210725307,0,0.015171939507126808,5
Wine Quality,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble_varx3,0.6967293700971023,0.40823978185653687,165.94930519998888,0.8125,1.9675890133806622,0.890625,2.344526916811529,1,0,3,25,3,149.26057600000058,16.688729199988302,16.68880249999347,10.5410615415128,0.1572747677564621,1.132621861023521,3.9460031986236572,0.03249159827828407,0.06484594196081161,0.03235434368252754,0.011342651210725307,0,0.015171939507126808,5
Wine Quality,0,cem_em_projection_uncertainty,cem_supervised_laplace_diag_ensemble,0.7049510653207269,0.40429186820983887,165.83783130001393,0.828125,1.9775239111530443,0.890625,2.3563650776696754,1,0,3,25,3,149.26057600000058,16.57725530001335,16.577312999987043,10.533798427327735,0.15295787155628204,1.1701078971996868,3.9460031986236572,0.03249159827828407,0.06484594196081161,0.03235434368252754,0.011342651210725307,0,0.015171939507126808,5
Parkinsons Telemonitoring,0,lmjgp_projection_control,lmjgp_learned_qW,6.590988314224785,3.472670316696167,80.77080509997904,0.875,16.513344883778494,0.890625,19.676864072385627,0,0,5,25,3,51.55034929999965,29.22045579997939,29.220529800018994,17.951379075272214,0.06944891810417175,1.0505659233433244,,,,,,,,
