dataset,train_size,method,n,rmse_mean,rmse_std,crps_mean,crps_std,cov90_mean,cov90_std,width90_mean,width90_std,cov95_mean,cov95_std,width95_mean,width95_std
Appliances Energy Prediction,200,cem_em_supervised_gp_cond_ensemble,5,118.86442277102643,14.688471181467982,50.15932388305664,5.666421296725438,0.753125,0.051727954241396396,135.348473601561,14.04569738570004,0.8,0.049804304532841334,161.27765369201225,16.7364807194073
Appliances Energy Prediction,200,cem_em_supervised_laplace_ensemble,5,114.79516661137636,11.495019930405245,47.94581298828125,4.336251210759572,0.784375,0.026882266459508208,136.11030043173315,19.720596185410884,0.815625,0.020728904939721248,162.18542635039833,23.498539714259707
Appliances Energy Prediction,200,cem_em_supervised_vi_fullcov_ensemble,5,115.24201784963918,14.26423087087924,49.047159576416014,5.319289228998452,0.775,0.027243118397129208,147.76335381530907,35.700477923944206,0.796875,0.02209708691207961,176.0708958946165,42.53974324237077
Appliances Energy Prediction,200,cem_em_transductive_gp_cond_ensemble,5,118.18206879816789,7.442273372941728,53.50337448120117,4.850333787286167,0.515625,0.03423265984407288,88.96009467946662,11.475500490711445,0.565625,0.05711145900780334,106.0024909062452,13.673902223173153
Appliances Energy Prediction,200,cem_em_transductive_laplace_ensemble,5,114.89399671032473,11.260866130765463,49.746874237060545,6.034468354708878,0.684375,0.07355376434962388,119.49683361332936,18.077105494794726,0.7125,0.0667317390751957,142.3892596344749,21.54019976853178
Appliances Energy Prediction,200,cem_em_transductive_vi_fullcov_ensemble,5,115.50693905902733,5.156375359595984,50.2459114074707,3.5325686674024843,0.625,0.051348989766109326,106.23772693975131,10.917230170149109,0.671875,0.038273277230987154,126.59005955881105,13.008682106312211
Appliances Energy Prediction,200,lmjgp_lowrank_cem_mean_cem_svd,5,113.4829078243594,8.689989499203152,47.35821533203125,3.328721850905812,0.765625,0.046351240544347895,127.39447333355147,15.994073342572305,0.8125,0.02795084971874737,151.79987779579838,19.05811386733121
Appliances Energy Prediction,200,lmjgp_lowrank_cem_mean_pls_pca,5,114.5641771699645,10.963564883661478,47.9275764465332,4.747766972703718,0.75,0.051348989766109326,120.23405271580353,9.876461065271123,0.796875,0.04739297152532219,143.2677103767712,11.768529226834717
Appliances Energy Prediction,200,lmjgp_lowrank_pls_pca,5,120.28688612642443,12.91253593220338,50.46602554321289,6.070021247783264,0.740625,0.05896238207535377,123.71977547608685,10.680077750244893,0.803125,0.06139650845121406,147.4212052278048,12.726097568549859
Appliances Energy Prediction,200,lmjgp_supervised_reparam,5,115.97322672844443,10.941574823313095,47.887149047851565,5.8598168693144945,0.79375,0.06281172263200557,149.79667196403642,21.541885980215316,0.821875,0.059784770217840594,178.4937439069368,25.668740359920168
