dataset,train_size,seed,family,method,rmse,crps,cov90,width90,cov95,width95,wall_sec,mean_crps,coverage_90,mean_width_90,coverage_95,mean_width_95,omitted_eval_points,standardize_x,standardize_y,Q,n,MC_num,train_time_sec,pred_time_sec,cem_map_train_time_sec,cem_vi_train_time_sec,coeff_gp_lengthscale,mean_coeff_gp_var,laplace_mean_var,laplace_hessian_median,laplace_hessian_failures,vi_query_var_mean,vi_anchor_var_mean,vi_kl,vi_best_loss,has_qV_gradient,best_elbo,R,residual_scale
Wine Quality,200,0,cem_em_repaired,cem_em_transductive_gp_cond_ensemble,0.8006510022965058,0.5014452338218689,0.609375,1.227859625321658,0.65625,1.4630849847481875,144.04933880001772,0.5014452338218689,0.609375,1.227859625321658,0.65625,1.4630849847481875,0,1,0,3,25,3,128.07955049999873,15.96978830001899,97.88821370000369,30.191336799995042,4.376106262207031,9.88692045211792e-05,0.018012279644608498,0.005929582752287388,0,0.0016089259879663587,0.0015494483523070812,7724.6162109375,174.4349365234375,,,,
Wine Quality,200,0,cem_em_repaired,cem_em_transductive_laplace_ensemble,0.7354937952186499,0.4306078553199768,0.71875,1.5766112988115308,0.765625,1.878648235111734,143.3332889000012,0.4306078553199768,0.71875,1.5766112988115308,0.765625,1.878648235111734,0,1,0,3,25,3,128.07955049999873,15.253738400002476,97.88821370000369,30.191336799995042,4.376106262207031,9.88692045211792e-05,0.018012279644608498,0.005929582752287388,0,0.0016089259879663587,0.0015494483523070812,7724.6162109375,174.4349365234375,,,,
Wine Quality,200,0,cem_em_repaired,cem_em_transductive_vi_fullcov_ensemble,0.7387724900557111,0.4179876148700714,0.78125,1.6533706400378958,0.8125,1.9701126315878676,145.071411300014,0.4179876148700714,0.78125,1.6533706400378958,0.8125,1.9701126315878676,0,1,0,3,25,3,128.07955049999873,16.991860800015274,97.88821370000369,30.191336799995042,4.376106262207031,9.88692045211792e-05,0.018012279644608498,0.005929582752287388,0,0.0016089259879663587,0.0015494483523070812,7724.6162109375,174.4349365234375,,,,
Wine Quality,200,0,cem_em_repaired,cem_em_supervised_gp_cond_ensemble,0.7774006253687593,0.4552699625492096,0.765625,1.8867479755176344,0.796875,2.248198878809733,221.1074241999886,0.4552699625492096,0.765625,1.8867479755176344,0.796875,2.248198878809733,0,1,0,3,25,3,203.99866479999037,17.108759399998235,152.69976039999165,51.29890439999872,4.47561502456665,0.021086281165480614,0.043334294110536575,0.006623737048357725,0,0.026831787079572678,0.001693044207058847,9068.8740234375,149.2700958251953,,,,
Wine Quality,200,0,cem_em_repaired,cem_em_supervised_laplace_ensemble,0.7709661353772255,0.4387865960597992,0.8125,1.9022970609925225,0.828125,2.2667267569284677,219.07101499999408,0.4387865960597992,0.8125,1.9022970609925225,0.828125,2.2667267569284677,0,1,0,3,25,3,203.99866479999037,15.072350200003712,152.69976039999165,51.29890439999872,4.47561502456665,0.021086281165480614,0.043334294110536575,0.006623737048357725,0,0.026831787079572678,0.001693044207058847,9068.8740234375,149.2700958251953,,,,
Wine Quality,200,0,cem_em_repaired,cem_em_supervised_vi_fullcov_ensemble,0.7885050749191219,0.44159162044525146,0.796875,1.900715272491603,0.828125,2.264841939676548,219.31271119997837,0.44159162044525146,0.796875,1.900715272491603,0.828125,2.264841939676548,0,1,0,3,25,3,203.99866479999037,15.314046399988001,152.69976039999165,51.29890439999872,4.47561502456665,0.021086281165480614,0.043334294110536575,0.006623737048357725,0,0.026831787079572678,0.001693044207058847,9068.8740234375,149.2700958251953,,,,
Wine Quality,200,0,lmjgp_supervised_reparam,lmjgp_supervised_reparam,0.7977892153732667,0.44301408529281616,0.84375,2.117894470253018,0.875,2.5236269153297237,34.72173429996474,0.44301408529281616,0.84375,2.117894470253018,0.875,2.5236269153297237,0,1,0,3,25,3,19.22263929998735,15.499094999977387,,,,,,,,,,,,True,,,
Wine Quality,200,0,lmjgp_lowrank_residual,lmjgp_lowrank_pls_pca,0.7505279639216945,0.4071464538574219,0.875,2.0472762279624757,0.875,2.43948008957386,43.711166299995966,0.4071464538574219,0.875,2.0472762279624757,0.875,2.43948008957386,0,,,,,,29.768945899995742,13.942220400000224,,,,,,,,,,,,,-3.891652539371159,10,1.0
Wine Quality,200,0,lmjgp_lowrank_residual,lmjgp_lowrank_cem_mean_pls_pca,0.7564043642055398,0.4133446514606476,0.859375,2.028869016767543,0.875,2.417546544602594,42.74026389999199,0.4133446514606476,0.859375,2.028869016767543,0.875,2.417546544602594,0,,,,,,28.950984199997038,13.78927969999495,,,,,,,,,,,,,-4.393928760451958,10,1.0
Wine Quality,200,0,lmjgp_lowrank_residual,lmjgp_lowrank_cem_mean_cem_svd,0.8510438429896244,0.48703834414482117,0.796875,2.096797170274026,0.859375,2.498487931864977,43.012414100026945,0.48703834414482117,0.796875,2.096797170274026,0.859375,2.498487931864977,0,,,,,,28.772850200009998,14.239563900016947,,,,,,,,,,,,,-3.658201162373417,10,1.0
Parkinsons Telemonitoring,200,0,cem_em_repaired,cem_em_transductive_gp_cond_ensemble,8.888015953608292,5.210027694702148,0.703125,17.887709118205017,0.78125,21.31452006619487,148.15550259998417,5.210027694702148,0.703125,17.887709118205017,0.78125,21.31452006619487,0,0,0,5,25,3,119.4637495999923,28.691752999991877,93.61432150000473,25.849428099987563,54.84204864501953,4.780106246471405e-05,0.00022828452347312123,0.17911700904369354,0,0.008538554422557354,0.008051438257098198,43992.140625,770.6802978515625,,,,
Parkinsons Telemonitoring,200,0,cem_em_repaired,cem_em_transductive_laplace_ensemble,8.945148744071624,5.269590377807617,0.703125,17.84775078759222,0.796875,21.266906778544115,148.598983999982,5.269590377807617,0.703125,17.84775078759222,0.796875,21.266906778544115,0,0,0,5,25,3,119.4637495999923,29.135234399989713,93.61432150000473,25.849428099987563,54.84204864501953,4.780106246471405e-05,0.00022828452347312123,0.17911700904369354,0,0.008538554422557354,0.008051438257098198,43992.140625,770.6802978515625,,,,
Parkinsons Telemonitoring,200,0,cem_em_repaired,cem_em_transductive_vi_fullcov_ensemble,8.250821310487703,4.706860542297363,0.75,18.989858173139105,0.796875,22.62781166726534,146.7044837999856,4.706860542297363,0.75,18.989858173139105,0.796875,22.62781166726534,0,0,0,5,25,3,119.4637495999923,27.240734199993312,93.61432150000473,25.849428099987563,54.84204864501953,4.780106246471405e-05,0.00022828452347312123,0.17911700904369354,0,0.008538554422557354,0.008051438257098198,43992.140625,770.6802978515625,,,,
Parkinsons Telemonitoring,200,0,cem_em_repaired,cem_em_supervised_gp_cond_ensemble,9.285939053387839,5.47626256942749,0.671875,17.90186890993134,0.71875,21.33139249870646,239.21161879997817,5.47626256942749,0.671875,17.90186890993134,0.71875,21.33139249870646,0,0,0,5,25,3,209.64924269999028,29.562376099987887,157.52025380000123,52.128988899989054,58.54518127441406,0.00029810983687639236,0.0007329645450226963,0.14163191616535187,0,0.006430249195545912,0.006866089068353176,3623.157958984375,111.05390930175781,,,,
Parkinsons Telemonitoring,200,0,cem_em_repaired,cem_em_supervised_laplace_ensemble,8.85650048321937,5.1492462158203125,0.71875,17.558813306089416,0.734375,20.922616533959385,239.35419680000632,5.1492462158203125,0.71875,17.558813306089416,0.734375,20.922616533959385,0,0,0,5,25,3,209.64924269999028,29.70495410001604,157.52025380000123,52.128988899989054,58.54518127441406,0.00029810983687639236,0.0007329645450226963,0.14163191616535187,0,0.006430249195545912,0.006866089068353176,3623.157958984375,111.05390930175781,,,,
Parkinsons Telemonitoring,200,0,cem_em_repaired,cem_em_supervised_vi_fullcov_ensemble,8.816736604440653,5.185009479522705,0.6875,17.727793880863523,0.734375,21.123969307979742,241.75193779999972,5.185009479522705,0.6875,17.727793880863523,0.734375,21.123969307979742,0,0,0,5,25,3,209.64924269999028,32.10269510000944,157.52025380000123,52.128988899989054,58.54518127441406,0.00029810983687639236,0.0007329645450226963,0.14163191616535187,0,0.006430249195545912,0.006866089068353176,3623.157958984375,111.05390930175781,,,,
Parkinsons Telemonitoring,200,0,lmjgp_supervised_reparam,lmjgp_supervised_reparam,8.129614753316234,4.586379528045654,0.828125,21.091515748870542,0.875,25.13209112944687,77.74773730000015,4.586379528045654,0.828125,21.091515748870542,0.875,25.13209112944687,0,0,0,5,25,3,45.737511599989375,32.01022570001078,,,,,,,,,,,,True,,,
Parkinsons Telemonitoring,200,0,lmjgp_lowrank_residual,lmjgp_lowrank_pls_pca,8.220349841162268,4.71271276473999,0.921875,26.439357298880644,0.953125,31.50443737430571,55.92708809996839,4.71271276473999,0.921875,26.439357298880644,0.953125,31.50443737430571,0,,,,,,39.098433599981945,16.828654499986442,,,,,,,,,,,,,-3.71684409152338,10,1.0
Parkinsons Telemonitoring,200,0,lmjgp_lowrank_residual,lmjgp_lowrank_cem_mean_pls_pca,8.337828158479322,4.797511100769043,0.765625,19.814785162716497,0.84375,23.610772803110187,70.25784050000948,4.797511100769043,0.765625,19.814785162716497,0.84375,23.610772803110187,0,,,,,,40.050280300027225,30.207560199982254,,,,,,,,,,,,,-8.812325740584619,10,1.0
Parkinsons Telemonitoring,200,0,lmjgp_lowrank_residual,lmjgp_lowrank_cem_mean_cem_svd,8.490602212761015,4.970893383026123,0.796875,19.66088290468746,0.828125,23.427386951667977,66.58636960000149,4.970893383026123,0.796875,19.66088290468746,0.828125,23.427386951667977,0,,,,,,38.5226488999906,28.06372070001089,,,,,,,,,,,,,-0.8332159320758982,10,1.0
Appliances Energy Prediction,200,0,cem_em_repaired,cem_em_transductive_gp_cond_ensemble,105.90671760632766,48.813377380371094,0.515625,76.80235729056113,0.546875,91.51565327807623,157.93327869995846,48.813377380371094,0.515625,76.80235729056113,0.546875,91.51565327807623,0,1,1,5,35,3,127.79789569997229,30.135382999986177,101.59371999997529,26.204175699996995,6.699244499206543,9.972881525754929e-05,0.037735141813755035,1.2168638706207275,0,0.002253896789625287,0.0021421650890260935,8343.4599609375,154.07594299316406,,,,
Appliances Energy Prediction,200,0,cem_em_repaired,cem_em_transductive_laplace_ensemble,92.94712280912069,40.32468032836914,0.703125,104.43725717923972,0.71875,124.44466751417272,156.68455819998053,40.32468032836914,0.703125,104.43725717923972,0.71875,124.44466751417272,0,1,1,5,35,3,127.79789569997229,28.886662500008242,101.59371999997529,26.204175699996995,6.699244499206543,9.972881525754929e-05,0.037735141813755035,1.2168638706207275,0,0.002253896789625287,0.0021421650890260935,8343.4599609375,154.07594299316406,,,,
Appliances Energy Prediction,200,0,cem_em_repaired,cem_em_transductive_vi_fullcov_ensemble,105.77145054590413,46.192039489746094,0.671875,96.15104538643845,0.703125,114.57103717038243,157.55814179999288,46.192039489746094,0.671875,96.15104538643845,0.703125,114.57103717038243,0,1,1,5,35,3,127.79789569997229,29.760246100020595,101.59371999997529,26.204175699996995,6.699244499206543,9.972881525754929e-05,0.037735141813755035,1.2168638706207275,0,0.002253896789625287,0.0021421650890260935,8343.4599609375,154.07594299316406,,,,
Appliances Energy Prediction,200,0,cem_em_repaired,cem_em_supervised_gp_cond_ensemble,103.60992831215339,41.64522171020508,0.796875,122.27019891492846,0.84375,145.69392821898697,244.11801479995484,41.64522171020508,0.796875,122.27019891492846,0.84375,145.69392821898697,0,1,1,5,35,3,214.7164721999725,29.40154259998235,162.86270989998593,51.853762299986556,6.568784236907959,0.06298603117465973,0.0977165475487709,0.03458181396126747,0,0.06813839823007584,0.004409351386129856,7864.3037109375,164.594970703125,,,,
Appliances Energy Prediction,200,0,cem_em_repaired,cem_em_supervised_laplace_ensemble,99.95691928220673,41.66459274291992,0.78125,118.01100034385786,0.8125,140.61878009302603,244.70645669996156,41.66459274291992,0.78125,118.01100034385786,0.8125,140.61878009302603,0,1,1,5,35,3,214.7164721999725,29.989984499989077,162.86270989998593,51.853762299986556,6.568784236907959,0.06298603117465973,0.0977165475487709,0.03458181396126747,0,0.06813839823007584,0.004409351386129856,7864.3037109375,164.594970703125,,,,
